lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
56.0,40.0,31.0,54.0,132.0,93.0,75.0,59.0,28.0,35.0,48.0,57.0,63.0,75.0,40.0,35.0,38.0,48.0,66.0,73.0,60.0,31.0,115.0,152.0,64.0,45.0,59.0,40.0,67,0,0,1,0,0,0,0,67,30,1
40.0,31.0,54.0,132.0,93.0,75.0,59.0,28.0,35.0,48.0,57.0,63.0,75.0,40.0,35.0,38.0,48.0,66.0,73.0,60.0,31.0,115.0,152.0,64.0,45.0,59.0,40.0,67.0,86,0,0,0,1,0,0,0,86,31,1
31.0,54.0,132.0,93.0,75.0,59.0,28.0,35.0,48.0,57.0,63.0,75.0,40.0,35.0,38.0,48.0,66.0,73.0,60.0,31.0,115.0,152.0,64.0,45.0,59.0,40.0,67.0,86.0,52,0,1,0,0,0,0,0,52,1,2
54.0,132.0,93.0,75.0,59.0,28.0,35.0,48.0,57.0,63.0,75.0,40.0,35.0,38.0,48.0,66.0,73.0,60.0,31.0,115.0,152.0,64.0,45.0,59.0,40.0,67.0,86.0,52.0,44,0,0,0,0,0,1,0,44,2,2
132.0,93.0,75.0,59.0,28.0,35.0,48.0,57.0,63.0,75.0,40.0,35.0,38.0,48.0,66.0,73.0,60.0,31.0,115.0,152.0,64.0,45.0,59.0,40.0,67.0,86.0,52.0,44.0,32,0,0,0,0,0,0,1,32,3,2
93.0,75.0,59.0,28.0,35.0,48.0,57.0,63.0,75.0,40.0,35.0,38.0,48.0,66.0,73.0,60.0,31.0,115.0,152.0,64.0,45.0,59.0,40.0,67.0,86.0,52.0,44.0,32.0,29,0,0,0,0,1,0,0,29,4,2
75.0,59.0,28.0,35.0,48.0,57.0,63.0,75.0,40.0,35.0,38.0,48.0,66.0,73.0,60.0,31.0,115.0,152.0,64.0,45.0,59.0,40.0,67.0,86.0,52.0,44.0,32.0,29.0,42,1,0,0,0,0,0,0,42,5,2
59.0,28.0,35.0,48.0,57.0,63.0,75.0,40.0,35.0,38.0,48.0,66.0,73.0,60.0,31.0,115.0,152.0,64.0,45.0,59.0,40.0,67.0,86.0,52.0,44.0,32.0,29.0,42.0,66,0,0,1,0,0,0,0,66,6,2
28.0,35.0,48.0,57.0,63.0,75.0,40.0,35.0,38.0,48.0,66.0,73.0,60.0,31.0,115.0,152.0,64.0,45.0,59.0,40.0,67.0,86.0,52.0,44.0,32.0,29.0,42.0,66.0,102,0,0,0,1,0,0,0,102,7,2
35.0,48.0,57.0,63.0,75.0,40.0,35.0,38.0,48.0,66.0,73.0,60.0,31.0,115.0,152.0,64.0,45.0,59.0,40.0,67.0,86.0,52.0,44.0,32.0,29.0,42.0,66.0,102.0,61,0,1,0,0,0,0,0,61,8,2
48.0,57.0,63.0,75.0,40.0,35.0,38.0,48.0,66.0,73.0,60.0,31.0,115.0,152.0,64.0,45.0,59.0,40.0,67.0,86.0,52.0,44.0,32.0,29.0,42.0,66.0,102.0,61.0,48,0,0,0,0,0,1,0,48,9,2
57.0,63.0,75.0,40.0,35.0,38.0,48.0,66.0,73.0,60.0,31.0,115.0,152.0,64.0,45.0,59.0,40.0,67.0,86.0,52.0,44.0,32.0,29.0,42.0,66.0,102.0,61.0,48.0,46,0,0,0,0,0,0,1,46,10,2
63.0,75.0,40.0,35.0,38.0,48.0,66.0,73.0,60.0,31.0,115.0,152.0,64.0,45.0,59.0,40.0,67.0,86.0,52.0,44.0,32.0,29.0,42.0,66.0,102.0,61.0,48.0,46.0,34,0,0,0,0,1,0,0,34,11,2
75.0,40.0,35.0,38.0,48.0,66.0,73.0,60.0,31.0,115.0,152.0,64.0,45.0,59.0,40.0,67.0,86.0,52.0,44.0,32.0,29.0,42.0,66.0,102.0,61.0,48.0,46.0,34.0,77,1,0,0,0,0,0,0,77,12,2
40.0,35.0,38.0,48.0,66.0,73.0,60.0,31.0,115.0,152.0,64.0,45.0,59.0,40.0,67.0,86.0,52.0,44.0,32.0,29.0,42.0,66.0,102.0,61.0,48.0,46.0,34.0,77.0,36,0,0,1,0,0,0,0,36,13,2
35.0,38.0,48.0,66.0,73.0,60.0,31.0,115.0,152.0,64.0,45.0,59.0,40.0,67.0,86.0,52.0,44.0,32.0,29.0,42.0,66.0,102.0,61.0,48.0,46.0,34.0,77.0,36.0,58,0,0,0,1,0,0,0,58,14,2
38.0,48.0,66.0,73.0,60.0,31.0,115.0,152.0,64.0,45.0,59.0,40.0,67.0,86.0,52.0,44.0,32.0,29.0,42.0,66.0,102.0,61.0,48.0,46.0,34.0,77.0,36.0,58.0,55,0,1,0,0,0,0,0,55,15,2
48.0,66.0,73.0,60.0,31.0,115.0,152.0,64.0,45.0,59.0,40.0,67.0,86.0,52.0,44.0,32.0,29.0,42.0,66.0,102.0,61.0,48.0,46.0,34.0,77.0,36.0,58.0,55.0,48,0,0,0,0,0,1,0,48,16,2
66.0,73.0,60.0,31.0,115.0,152.0,64.0,45.0,59.0,40.0,67.0,86.0,52.0,44.0,32.0,29.0,42.0,66.0,102.0,61.0,48.0,46.0,34.0,77.0,36.0,58.0,55.0,48.0,60,0,0,0,0,0,0,1,60,17,2
73.0,60.0,31.0,115.0,152.0,64.0,45.0,59.0,40.0,67.0,86.0,52.0,44.0,32.0,29.0,42.0,66.0,102.0,61.0,48.0,46.0,34.0,77.0,36.0,58.0,55.0,48.0,60.0,35,0,0,0,0,1,0,0,35,18,2
60.0,31.0,115.0,152.0,64.0,45.0,59.0,40.0,67.0,86.0,52.0,44.0,32.0,29.0,42.0,66.0,102.0,61.0,48.0,46.0,34.0,77.0,36.0,58.0,55.0,48.0,60.0,35.0,41,1,0,0,0,0,0,0,41,19,2
31.0,115.0,152.0,64.0,45.0,59.0,40.0,67.0,86.0,52.0,44.0,32.0,29.0,42.0,66.0,102.0,61.0,48.0,46.0,34.0,77.0,36.0,58.0,55.0,48.0,60.0,35.0,41.0,43,0,0,1,0,0,0,0,43,20,2
115.0,152.0,64.0,45.0,59.0,40.0,67.0,86.0,52.0,44.0,32.0,29.0,42.0,66.0,102.0,61.0,48.0,46.0,34.0,77.0,36.0,58.0,55.0,48.0,60.0,35.0,41.0,43.0,84,0,0,0,1,0,0,0,84,21,2
152.0,64.0,45.0,59.0,40.0,67.0,86.0,52.0,44.0,32.0,29.0,42.0,66.0,102.0,61.0,48.0,46.0,34.0,77.0,36.0,58.0,55.0,48.0,60.0,35.0,41.0,43.0,84.0,35,0,1,0,0,0,0,0,35,22,2
64.0,45.0,59.0,40.0,67.0,86.0,52.0,44.0,32.0,29.0,42.0,66.0,102.0,61.0,48.0,46.0,34.0,77.0,36.0,58.0,55.0,48.0,60.0,35.0,41.0,43.0,84.0,35.0,38,0,0,0,0,0,1,0,38,23,2
45.0,59.0,40.0,67.0,86.0,52.0,44.0,32.0,29.0,42.0,66.0,102.0,61.0,48.0,46.0,34.0,77.0,36.0,58.0,55.0,48.0,60.0,35.0,41.0,43.0,84.0,35.0,38.0,32,0,0,0,0,0,0,1,32,24,2
59.0,40.0,67.0,86.0,52.0,44.0,32.0,29.0,42.0,66.0,102.0,61.0,48.0,46.0,34.0,77.0,36.0,58.0,55.0,48.0,60.0,35.0,41.0,43.0,84.0,35.0,38.0,32.0,36,0,0,0,0,1,0,0,36,25,2
40.0,67.0,86.0,52.0,44.0,32.0,29.0,42.0,66.0,102.0,61.0,48.0,46.0,34.0,77.0,36.0,58.0,55.0,48.0,60.0,35.0,41.0,43.0,84.0,35.0,38.0,32.0,36.0,37,1,0,0,0,0,0,0,37,26,2
67.0,86.0,52.0,44.0,32.0,29.0,42.0,66.0,102.0,61.0,48.0,46.0,34.0,77.0,36.0,58.0,55.0,48.0,60.0,35.0,41.0,43.0,84.0,35.0,38.0,32.0,36.0,37.0,35,0,0,1,0,0,0,0,35,27,2
86.0,52.0,44.0,32.0,29.0,42.0,66.0,102.0,61.0,48.0,46.0,34.0,77.0,36.0,58.0,55.0,48.0,60.0,35.0,41.0,43.0,84.0,35.0,38.0,32.0,36.0,37.0,35.0,63,0,0,0,1,0,0,0,63,28,2
52.0,44.0,32.0,29.0,42.0,66.0,102.0,61.0,48.0,46.0,34.0,77.0,36.0,58.0,55.0,48.0,60.0,35.0,41.0,43.0,84.0,35.0,38.0,32.0,36.0,37.0,35.0,63.0,44,0,1,0,0,0,0,0,44,29,2
44.0,32.0,29.0,42.0,66.0,102.0,61.0,48.0,46.0,34.0,77.0,36.0,58.0,55.0,48.0,60.0,35.0,41.0,43.0,84.0,35.0,38.0,32.0,36.0,37.0,35.0,63.0,44.0,70,0,0,0,0,0,1,0,70,1,3
32.0,29.0,42.0,66.0,102.0,61.0,48.0,46.0,34.0,77.0,36.0,58.0,55.0,48.0,60.0,35.0,41.0,43.0,84.0,35.0,38.0,32.0,36.0,37.0,35.0,63.0,44.0,70.0,34,0,0,0,0,0,0,1,34,2,3
29.0,42.0,66.0,102.0,61.0,48.0,46.0,34.0,77.0,36.0,58.0,55.0,48.0,60.0,35.0,41.0,43.0,84.0,35.0,38.0,32.0,36.0,37.0,35.0,63.0,44.0,70.0,34.0,34,0,0,0,0,1,0,0,34,3,3
42.0,66.0,102.0,61.0,48.0,46.0,34.0,77.0,36.0,58.0,55.0,48.0,60.0,35.0,41.0,43.0,84.0,35.0,38.0,32.0,36.0,37.0,35.0,63.0,44.0,70.0,34.0,34.0,59,1,0,0,0,0,0,0,59,4,3
66.0,102.0,61.0,48.0,46.0,34.0,77.0,36.0,58.0,55.0,48.0,60.0,35.0,41.0,43.0,84.0,35.0,38.0,32.0,36.0,37.0,35.0,63.0,44.0,70.0,34.0,34.0,59.0,58,0,0,1,0,0,0,0,58,5,3
102.0,61.0,48.0,46.0,34.0,77.0,36.0,58.0,55.0,48.0,60.0,35.0,41.0,43.0,84.0,35.0,38.0,32.0,36.0,37.0,35.0,63.0,44.0,70.0,34.0,34.0,59.0,58.0,67,0,0,0,1,0,0,0,67,6,3
61.0,48.0,46.0,34.0,77.0,36.0,58.0,55.0,48.0,60.0,35.0,41.0,43.0,84.0,35.0,38.0,32.0,36.0,37.0,35.0,63.0,44.0,70.0,34.0,34.0,59.0,58.0,67.0,62,0,1,0,0,0,0,0,62,7,3
48.0,46.0,34.0,77.0,36.0,58.0,55.0,48.0,60.0,35.0,41.0,43.0,84.0,35.0,38.0,32.0,36.0,37.0,35.0,63.0,44.0,70.0,34.0,34.0,59.0,58.0,67.0,62.0,97,0,0,0,0,0,1,0,97,8,3
46.0,34.0,77.0,36.0,58.0,55.0,48.0,60.0,35.0,41.0,43.0,84.0,35.0,38.0,32.0,36.0,37.0,35.0,63.0,44.0,70.0,34.0,34.0,59.0,58.0,67.0,62.0,97.0,101,0,0,0,0,0,0,1,101,9,3
34.0,77.0,36.0,58.0,55.0,48.0,60.0,35.0,41.0,43.0,84.0,35.0,38.0,32.0,36.0,37.0,35.0,63.0,44.0,70.0,34.0,34.0,59.0,58.0,67.0,62.0,97.0,101.0,67,0,0,0,0,1,0,0,67,10,3
77.0,36.0,58.0,55.0,48.0,60.0,35.0,41.0,43.0,84.0,35.0,38.0,32.0,36.0,37.0,35.0,63.0,44.0,70.0,34.0,34.0,59.0,58.0,67.0,62.0,97.0,101.0,67.0,25,1,0,0,0,0,0,0,25,11,3
36.0,58.0,55.0,48.0,60.0,35.0,41.0,43.0,84.0,35.0,38.0,32.0,36.0,37.0,35.0,63.0,44.0,70.0,34.0,34.0,59.0,58.0,67.0,62.0,97.0,101.0,67.0,25.0,52,0,0,1,0,0,0,0,52,12,3
58.0,55.0,48.0,60.0,35.0,41.0,43.0,84.0,35.0,38.0,32.0,36.0,37.0,35.0,63.0,44.0,70.0,34.0,34.0,59.0,58.0,67.0,62.0,97.0,101.0,67.0,25.0,52.0,52,0,0,0,1,0,0,0,52,13,3
55.0,48.0,60.0,35.0,41.0,43.0,84.0,35.0,38.0,32.0,36.0,37.0,35.0,63.0,44.0,70.0,34.0,34.0,59.0,58.0,67.0,62.0,97.0,101.0,67.0,25.0,52.0,52.0,39,0,1,0,0,0,0,0,39,14,3
48.0,60.0,35.0,41.0,43.0,84.0,35.0,38.0,32.0,36.0,37.0,35.0,63.0,44.0,70.0,34.0,34.0,59.0,58.0,67.0,62.0,97.0,101.0,67.0,25.0,52.0,52.0,39.0,35,0,0,0,0,0,1,0,35,15,3
60.0,35.0,41.0,43.0,84.0,35.0,38.0,32.0,36.0,37.0,35.0,63.0,44.0,70.0,34.0,34.0,59.0,58.0,67.0,62.0,97.0,101.0,67.0,25.0,52.0,52.0,39.0,35.0,47,0,0,0,0,0,0,1,47,16,3
35.0,41.0,43.0,84.0,35.0,38.0,32.0,36.0,37.0,35.0,63.0,44.0,70.0,34.0,34.0,59.0,58.0,67.0,62.0,97.0,101.0,67.0,25.0,52.0,52.0,39.0,35.0,47.0,41,0,0,0,0,1,0,0,41,17,3
41.0,43.0,84.0,35.0,38.0,32.0,36.0,37.0,35.0,63.0,44.0,70.0,34.0,34.0,59.0,58.0,67.0,62.0,97.0,101.0,67.0,25.0,52.0,52.0,39.0,35.0,47.0,41.0,54,1,0,0,0,0,0,0,54,18,3
43.0,84.0,35.0,38.0,32.0,36.0,37.0,35.0,63.0,44.0,70.0,34.0,34.0,59.0,58.0,67.0,62.0,97.0,101.0,67.0,25.0,52.0,52.0,39.0,35.0,47.0,41.0,54.0,38,0,0,1,0,0,0,0,38,19,3
84.0,35.0,38.0,32.0,36.0,37.0,35.0,63.0,44.0,70.0,34.0,34.0,59.0,58.0,67.0,62.0,97.0,101.0,67.0,25.0,52.0,52.0,39.0,35.0,47.0,41.0,54.0,38.0,37,0,0,0,1,0,0,0,37,20,3
35.0,38.0,32.0,36.0,37.0,35.0,63.0,44.0,70.0,34.0,34.0,59.0,58.0,67.0,62.0,97.0,101.0,67.0,25.0,52.0,52.0,39.0,35.0,47.0,41.0,54.0,38.0,37.0,40,0,1,0,0,0,0,0,40,21,3
38.0,32.0,36.0,37.0,35.0,63.0,44.0,70.0,34.0,34.0,59.0,58.0,67.0,62.0,97.0,101.0,67.0,25.0,52.0,52.0,39.0,35.0,47.0,41.0,54.0,38.0,37.0,40.0,64,0,0,0,0,0,1,0,64,22,3
32.0,36.0,37.0,35.0,63.0,44.0,70.0,34.0,34.0,59.0,58.0,67.0,62.0,97.0,101.0,67.0,25.0,52.0,52.0,39.0,35.0,47.0,41.0,54.0,38.0,37.0,40.0,64.0,59,0,0,0,0,0,0,1,59,23,3
36.0,37.0,35.0,63.0,44.0,70.0,34.0,34.0,59.0,58.0,67.0,62.0,97.0,101.0,67.0,25.0,52.0,52.0,39.0,35.0,47.0,41.0,54.0,38.0,37.0,40.0,64.0,59.0,61,0,0,0,0,1,0,0,61,24,3
37.0,35.0,63.0,44.0,70.0,34.0,34.0,59.0,58.0,67.0,62.0,97.0,101.0,67.0,25.0,52.0,52.0,39.0,35.0,47.0,41.0,54.0,38.0,37.0,40.0,64.0,59.0,61.0,44,1,0,0,0,0,0,0,44,25,3
35.0,63.0,44.0,70.0,34.0,34.0,59.0,58.0,67.0,62.0,97.0,101.0,67.0,25.0,52.0,52.0,39.0,35.0,47.0,41.0,54.0,38.0,37.0,40.0,64.0,59.0,61.0,44.0,48,0,0,1,0,0,0,0,48,26,3
63.0,44.0,70.0,34.0,34.0,59.0,58.0,67.0,62.0,97.0,101.0,67.0,25.0,52.0,52.0,39.0,35.0,47.0,41.0,54.0,38.0,37.0,40.0,64.0,59.0,61.0,44.0,48.0,61,0,0,0,1,0,0,0,61,27,3
