lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
15.0,22.0,9.0,26.0,18.0,18.0,19.0,23.0,15.0,18.0,25.0,13.0,16.0,10.0,13.0,13.0,10.0,18.0,11.0,14.0,14.0,15.0,15.0,17.0,20.0,26.0,18.0,30.0,72,0,0,0,1,0,0,0,72,24,4
22.0,9.0,26.0,18.0,18.0,19.0,23.0,15.0,18.0,25.0,13.0,16.0,10.0,13.0,13.0,10.0,18.0,11.0,14.0,14.0,15.0,15.0,17.0,20.0,26.0,18.0,30.0,72.0,57,0,0,0,0,0,0,1,57,27,4
9.0,26.0,18.0,18.0,19.0,23.0,15.0,18.0,25.0,13.0,16.0,10.0,13.0,13.0,10.0,18.0,11.0,14.0,14.0,15.0,15.0,17.0,20.0,26.0,18.0,30.0,72.0,57.0,24,0,0,1,0,0,0,0,24,30,4
26.0,18.0,18.0,19.0,23.0,15.0,18.0,25.0,13.0,16.0,10.0,13.0,13.0,10.0,18.0,11.0,14.0,14.0,15.0,15.0,17.0,20.0,26.0,18.0,30.0,72.0,57.0,24.0,23,1,0,0,0,0,0,0,23,6,5
18.0,18.0,19.0,23.0,15.0,18.0,25.0,13.0,16.0,10.0,13.0,13.0,10.0,18.0,11.0,14.0,14.0,15.0,15.0,17.0,20.0,26.0,18.0,30.0,72.0,57.0,24.0,23.0,24,0,1,0,0,0,0,0,24,9,5
18.0,19.0,23.0,15.0,18.0,25.0,13.0,16.0,10.0,13.0,13.0,10.0,18.0,11.0,14.0,14.0,15.0,15.0,17.0,20.0,26.0,18.0,30.0,72.0,57.0,24.0,23.0,24.0,17,0,0,0,0,1,0,0,17,12,5
19.0,23.0,15.0,18.0,25.0,13.0,16.0,10.0,13.0,13.0,10.0,18.0,11.0,14.0,14.0,15.0,15.0,17.0,20.0,26.0,18.0,30.0,72.0,57.0,24.0,23.0,24.0,17.0,20,0,0,0,1,0,0,0,20,15,5
23.0,15.0,18.0,25.0,13.0,16.0,10.0,13.0,13.0,10.0,18.0,11.0,14.0,14.0,15.0,15.0,17.0,20.0,26.0,18.0,30.0,72.0,57.0,24.0,23.0,24.0,17.0,20.0,21,0,0,0,0,0,0,1,21,18,5
15.0,18.0,25.0,13.0,16.0,10.0,13.0,13.0,10.0,18.0,11.0,14.0,14.0,15.0,15.0,17.0,20.0,26.0,18.0,30.0,72.0,57.0,24.0,23.0,24.0,17.0,20.0,21.0,26,0,0,1,0,0,0,0,26,21,5
18.0,25.0,13.0,16.0,10.0,13.0,13.0,10.0,18.0,11.0,14.0,14.0,15.0,15.0,17.0,20.0,26.0,18.0,30.0,72.0,57.0,24.0,23.0,24.0,17.0,20.0,21.0,26.0,18,1,0,0,0,0,0,0,18,27,5
25.0,13.0,16.0,10.0,13.0,13.0,10.0,18.0,11.0,14.0,14.0,15.0,15.0,17.0,20.0,26.0,18.0,30.0,72.0,57.0,24.0,23.0,24.0,17.0,20.0,21.0,26.0,18.0,22,0,1,0,0,0,0,0,22,30,5
13.0,16.0,10.0,13.0,13.0,10.0,18.0,11.0,14.0,14.0,15.0,15.0,17.0,20.0,26.0,18.0,30.0,72.0,57.0,24.0,23.0,24.0,17.0,20.0,21.0,26.0,18.0,22.0,22,0,0,0,0,1,0,0,22,2,6
16.0,10.0,13.0,13.0,10.0,18.0,11.0,14.0,14.0,15.0,15.0,17.0,20.0,26.0,18.0,30.0,72.0,57.0,24.0,23.0,24.0,17.0,20.0,21.0,26.0,18.0,22.0,22.0,29,0,0,0,1,0,0,0,29,5,6
10.0,13.0,13.0,10.0,18.0,11.0,14.0,14.0,15.0,15.0,17.0,20.0,26.0,18.0,30.0,72.0,57.0,24.0,23.0,24.0,17.0,20.0,21.0,26.0,18.0,22.0,22.0,29.0,55,0,0,0,0,0,0,1,55,8,6
13.0,13.0,10.0,18.0,11.0,14.0,14.0,15.0,15.0,17.0,20.0,26.0,18.0,30.0,72.0,57.0,24.0,23.0,24.0,17.0,20.0,21.0,26.0,18.0,22.0,22.0,29.0,55.0,32,0,0,1,0,0,0,0,32,11,6
13.0,10.0,18.0,11.0,14.0,14.0,15.0,15.0,17.0,20.0,26.0,18.0,30.0,72.0,57.0,24.0,23.0,24.0,17.0,20.0,21.0,26.0,18.0,22.0,22.0,29.0,55.0,32.0,46,0,0,0,0,0,1,0,46,14,6
10.0,18.0,11.0,14.0,14.0,15.0,15.0,17.0,20.0,26.0,18.0,30.0,72.0,57.0,24.0,23.0,24.0,17.0,20.0,21.0,26.0,18.0,22.0,22.0,29.0,55.0,32.0,46.0,23,0,1,0,0,0,0,0,23,20,6
18.0,11.0,14.0,14.0,15.0,15.0,17.0,20.0,26.0,18.0,30.0,72.0,57.0,24.0,23.0,24.0,17.0,20.0,21.0,26.0,18.0,22.0,22.0,29.0,55.0,32.0,46.0,23.0,23,0,0,0,0,1,0,0,23,23,6
11.0,14.0,14.0,15.0,15.0,17.0,20.0,26.0,18.0,30.0,72.0,57.0,24.0,23.0,24.0,17.0,20.0,21.0,26.0,18.0,22.0,22.0,29.0,55.0,32.0,46.0,23.0,23.0,36,0,0,0,1,0,0,0,36,26,6
14.0,14.0,15.0,15.0,17.0,20.0,26.0,18.0,30.0,72.0,57.0,24.0,23.0,24.0,17.0,20.0,21.0,26.0,18.0,22.0,22.0,29.0,55.0,32.0,46.0,23.0,23.0,36.0,48,0,0,0,0,0,0,1,48,29,6
14.0,15.0,15.0,17.0,20.0,26.0,18.0,30.0,72.0,57.0,24.0,23.0,24.0,17.0,20.0,21.0,26.0,18.0,22.0,22.0,29.0,55.0,32.0,46.0,23.0,23.0,36.0,48.0,26,0,0,1,0,0,0,0,26,2,7
15.0,15.0,17.0,20.0,26.0,18.0,30.0,72.0,57.0,24.0,23.0,24.0,17.0,20.0,21.0,26.0,18.0,22.0,22.0,29.0,55.0,32.0,46.0,23.0,23.0,36.0,48.0,26.0,30,0,0,0,0,0,1,0,30,5,7
15.0,17.0,20.0,26.0,18.0,30.0,72.0,57.0,24.0,23.0,24.0,17.0,20.0,21.0,26.0,18.0,22.0,22.0,29.0,55.0,32.0,46.0,23.0,23.0,36.0,48.0,26.0,30.0,30,1,0,0,0,0,0,0,30,8,7
17.0,20.0,26.0,18.0,30.0,72.0,57.0,24.0,23.0,24.0,17.0,20.0,21.0,26.0,18.0,22.0,22.0,29.0,55.0,32.0,46.0,23.0,23.0,36.0,48.0,26.0,30.0,30.0,58,0,1,0,0,0,0,0,58,11,7
20.0,26.0,18.0,30.0,72.0,57.0,24.0,23.0,24.0,17.0,20.0,21.0,26.0,18.0,22.0,22.0,29.0,55.0,32.0,46.0,23.0,23.0,36.0,48.0,26.0,30.0,30.0,58.0,18,0,0,0,0,1,0,0,18,14,7
26.0,18.0,30.0,72.0,57.0,24.0,23.0,24.0,17.0,20.0,21.0,26.0,18.0,22.0,22.0,29.0,55.0,32.0,46.0,23.0,23.0,36.0,48.0,26.0,30.0,30.0,58.0,18.0,30,0,0,0,1,0,0,0,30,17,7
18.0,30.0,72.0,57.0,24.0,23.0,24.0,17.0,20.0,21.0,26.0,18.0,22.0,22.0,29.0,55.0,32.0,46.0,23.0,23.0,36.0,48.0,26.0,30.0,30.0,58.0,18.0,30.0,28,0,0,0,0,0,0,1,28,20,7
