lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
20.0,22.0,20.0,15.0,15.0,18.0,20.0,19.0,12.0,18.0,23.0,25.0,25.0,28.0,23.0,24.0,20.0,10.0,13.0,16.0,27.0,27.0,18.0,15.0,22.0,37.0,27.0,25.0,19,0,0,1,0,0,0,0,19,30,1
22.0,20.0,15.0,15.0,18.0,20.0,19.0,12.0,18.0,23.0,25.0,25.0,28.0,23.0,24.0,20.0,10.0,13.0,16.0,27.0,27.0,18.0,15.0,22.0,37.0,27.0,25.0,19.0,19,0,0,0,1,0,0,0,19,31,1
20.0,15.0,15.0,18.0,20.0,19.0,12.0,18.0,23.0,25.0,25.0,28.0,23.0,24.0,20.0,10.0,13.0,16.0,27.0,27.0,18.0,15.0,22.0,37.0,27.0,25.0,19.0,19.0,29,0,1,0,0,0,0,0,29,1,2
15.0,15.0,18.0,20.0,19.0,12.0,18.0,23.0,25.0,25.0,28.0,23.0,24.0,20.0,10.0,13.0,16.0,27.0,27.0,18.0,15.0,22.0,37.0,27.0,25.0,19.0,19.0,29.0,29,0,0,0,0,0,1,0,29,2,2
15.0,18.0,20.0,19.0,12.0,18.0,23.0,25.0,25.0,28.0,23.0,24.0,20.0,10.0,13.0,16.0,27.0,27.0,18.0,15.0,22.0,37.0,27.0,25.0,19.0,19.0,29.0,29.0,21,0,0,0,0,0,0,1,21,3,2
18.0,20.0,19.0,12.0,18.0,23.0,25.0,25.0,28.0,23.0,24.0,20.0,10.0,13.0,16.0,27.0,27.0,18.0,15.0,22.0,37.0,27.0,25.0,19.0,19.0,29.0,29.0,21.0,27,0,0,0,0,1,0,0,27,4,2
20.0,19.0,12.0,18.0,23.0,25.0,25.0,28.0,23.0,24.0,20.0,10.0,13.0,16.0,27.0,27.0,18.0,15.0,22.0,37.0,27.0,25.0,19.0,19.0,29.0,29.0,21.0,27.0,21,1,0,0,0,0,0,0,21,5,2
19.0,12.0,18.0,23.0,25.0,25.0,28.0,23.0,24.0,20.0,10.0,13.0,16.0,27.0,27.0,18.0,15.0,22.0,37.0,27.0,25.0,19.0,19.0,29.0,29.0,21.0,27.0,21.0,24,0,0,1,0,0,0,0,24,6,2
12.0,18.0,23.0,25.0,25.0,28.0,23.0,24.0,20.0,10.0,13.0,16.0,27.0,27.0,18.0,15.0,22.0,37.0,27.0,25.0,19.0,19.0,29.0,29.0,21.0,27.0,21.0,24.0,26,0,0,0,1,0,0,0,26,7,2
18.0,23.0,25.0,25.0,28.0,23.0,24.0,20.0,10.0,13.0,16.0,27.0,27.0,18.0,15.0,22.0,37.0,27.0,25.0,19.0,19.0,29.0,29.0,21.0,27.0,21.0,24.0,26.0,32,0,1,0,0,0,0,0,32,8,2
23.0,25.0,25.0,28.0,23.0,24.0,20.0,10.0,13.0,16.0,27.0,27.0,18.0,15.0,22.0,37.0,27.0,25.0,19.0,19.0,29.0,29.0,21.0,27.0,21.0,24.0,26.0,32.0,24,0,0,0,0,0,1,0,24,9,2
25.0,25.0,28.0,23.0,24.0,20.0,10.0,13.0,16.0,27.0,27.0,18.0,15.0,22.0,37.0,27.0,25.0,19.0,19.0,29.0,29.0,21.0,27.0,21.0,24.0,26.0,32.0,24.0,19,0,0,0,0,0,0,1,19,10,2
25.0,28.0,23.0,24.0,20.0,10.0,13.0,16.0,27.0,27.0,18.0,15.0,22.0,37.0,27.0,25.0,19.0,19.0,29.0,29.0,21.0,27.0,21.0,24.0,26.0,32.0,24.0,19.0,21,0,0,0,0,1,0,0,21,11,2
28.0,23.0,24.0,20.0,10.0,13.0,16.0,27.0,27.0,18.0,15.0,22.0,37.0,27.0,25.0,19.0,19.0,29.0,29.0,21.0,27.0,21.0,24.0,26.0,32.0,24.0,19.0,21.0,15,1,0,0,0,0,0,0,15,12,2
23.0,24.0,20.0,10.0,13.0,16.0,27.0,27.0,18.0,15.0,22.0,37.0,27.0,25.0,19.0,19.0,29.0,29.0,21.0,27.0,21.0,24.0,26.0,32.0,24.0,19.0,21.0,15.0,22,0,0,1,0,0,0,0,22,13,2
24.0,20.0,10.0,13.0,16.0,27.0,27.0,18.0,15.0,22.0,37.0,27.0,25.0,19.0,19.0,29.0,29.0,21.0,27.0,21.0,24.0,26.0,32.0,24.0,19.0,21.0,15.0,22.0,20,0,0,0,1,0,0,0,20,14,2
20.0,10.0,13.0,16.0,27.0,27.0,18.0,15.0,22.0,37.0,27.0,25.0,19.0,19.0,29.0,29.0,21.0,27.0,21.0,24.0,26.0,32.0,24.0,19.0,21.0,15.0,22.0,20.0,19,0,1,0,0,0,0,0,19,15,2
