lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
18.0,20.0,17.0,18.0,66.0,36.0,22.0,20.0,30.0,17.0,13.0,38.0,22.0,42.0,25.0,28.0,47.0,7.0,32.0,26.0,25.0,40.0,31.0,23.0,21.0,27.0,32.0,29.0,21,0,1,0,0,0,0,0,21,28,3
20.0,17.0,18.0,66.0,36.0,22.0,20.0,30.0,17.0,13.0,38.0,22.0,42.0,25.0,28.0,47.0,7.0,32.0,26.0,25.0,40.0,31.0,23.0,21.0,27.0,32.0,29.0,21.0,22,0,0,0,0,1,0,0,22,31,3
17.0,18.0,66.0,36.0,22.0,20.0,30.0,17.0,13.0,38.0,22.0,42.0,25.0,28.0,47.0,7.0,32.0,26.0,25.0,40.0,31.0,23.0,21.0,27.0,32.0,29.0,21.0,22.0,14,0,0,0,1,0,0,0,14,3,4
18.0,66.0,36.0,22.0,20.0,30.0,17.0,13.0,38.0,22.0,42.0,25.0,28.0,47.0,7.0,32.0,26.0,25.0,40.0,31.0,23.0,21.0,27.0,32.0,29.0,21.0,22.0,14.0,28,0,0,0,0,0,0,1,28,6,4
66.0,36.0,22.0,20.0,30.0,17.0,13.0,38.0,22.0,42.0,25.0,28.0,47.0,7.0,32.0,26.0,25.0,40.0,31.0,23.0,21.0,27.0,32.0,29.0,21.0,22.0,14.0,28.0,20,0,0,1,0,0,0,0,20,9,4
36.0,22.0,20.0,30.0,17.0,13.0,38.0,22.0,42.0,25.0,28.0,47.0,7.0,32.0,26.0,25.0,40.0,31.0,23.0,21.0,27.0,32.0,29.0,21.0,22.0,14.0,28.0,20.0,14,0,0,0,0,0,1,0,14,12,4
22.0,20.0,30.0,17.0,13.0,38.0,22.0,42.0,25.0,28.0,47.0,7.0,32.0,26.0,25.0,40.0,31.0,23.0,21.0,27.0,32.0,29.0,21.0,22.0,14.0,28.0,20.0,14.0,36,1,0,0,0,0,0,0,36,15,4
20.0,30.0,17.0,13.0,38.0,22.0,42.0,25.0,28.0,47.0,7.0,32.0,26.0,25.0,40.0,31.0,23.0,21.0,27.0,32.0,29.0,21.0,22.0,14.0,28.0,20.0,14.0,36.0,36,0,1,0,0,0,0,0,36,18,4
30.0,17.0,13.0,38.0,22.0,42.0,25.0,28.0,47.0,7.0,32.0,26.0,25.0,40.0,31.0,23.0,21.0,27.0,32.0,29.0,21.0,22.0,14.0,28.0,20.0,14.0,36.0,36.0,45,0,0,0,0,1,0,0,45,21,4
17.0,13.0,38.0,22.0,42.0,25.0,28.0,47.0,7.0,32.0,26.0,25.0,40.0,31.0,23.0,21.0,27.0,32.0,29.0,21.0,22.0,14.0,28.0,20.0,14.0,36.0,36.0,45.0,29,0,0,0,1,0,0,0,29,24,4
13.0,38.0,22.0,42.0,25.0,28.0,47.0,7.0,32.0,26.0,25.0,40.0,31.0,23.0,21.0,27.0,32.0,29.0,21.0,22.0,14.0,28.0,20.0,14.0,36.0,36.0,45.0,29.0,28,0,0,0,0,0,0,1,28,27,4
38.0,22.0,42.0,25.0,28.0,47.0,7.0,32.0,26.0,25.0,40.0,31.0,23.0,21.0,27.0,32.0,29.0,21.0,22.0,14.0,28.0,20.0,14.0,36.0,36.0,45.0,29.0,28.0,31,0,0,1,0,0,0,0,31,30,4
22.0,42.0,25.0,28.0,47.0,7.0,32.0,26.0,25.0,40.0,31.0,23.0,21.0,27.0,32.0,29.0,21.0,22.0,14.0,28.0,20.0,14.0,36.0,36.0,45.0,29.0,28.0,31.0,30,0,0,0,0,0,1,0,30,3,5
42.0,25.0,28.0,47.0,7.0,32.0,26.0,25.0,40.0,31.0,23.0,21.0,27.0,32.0,29.0,21.0,22.0,14.0,28.0,20.0,14.0,36.0,36.0,45.0,29.0,28.0,31.0,30.0,26,1,0,0,0,0,0,0,26,6,5
25.0,28.0,47.0,7.0,32.0,26.0,25.0,40.0,31.0,23.0,21.0,27.0,32.0,29.0,21.0,22.0,14.0,28.0,20.0,14.0,36.0,36.0,45.0,29.0,28.0,31.0,30.0,26.0,38,0,1,0,0,0,0,0,38,9,5
28.0,47.0,7.0,32.0,26.0,25.0,40.0,31.0,23.0,21.0,27.0,32.0,29.0,21.0,22.0,14.0,28.0,20.0,14.0,36.0,36.0,45.0,29.0,28.0,31.0,30.0,26.0,38.0,40,0,0,0,0,1,0,0,40,12,5
47.0,7.0,32.0,26.0,25.0,40.0,31.0,23.0,21.0,27.0,32.0,29.0,21.0,22.0,14.0,28.0,20.0,14.0,36.0,36.0,45.0,29.0,28.0,31.0,30.0,26.0,38.0,40.0,19,0,0,0,1,0,0,0,19,15,5
7.0,32.0,26.0,25.0,40.0,31.0,23.0,21.0,27.0,32.0,29.0,21.0,22.0,14.0,28.0,20.0,14.0,36.0,36.0,45.0,29.0,28.0,31.0,30.0,26.0,38.0,40.0,19.0,19,0,0,0,0,0,0,1,19,18,5
32.0,26.0,25.0,40.0,31.0,23.0,21.0,27.0,32.0,29.0,21.0,22.0,14.0,28.0,20.0,14.0,36.0,36.0,45.0,29.0,28.0,31.0,30.0,26.0,38.0,40.0,19.0,19.0,27,0,0,1,0,0,0,0,27,21,5
26.0,25.0,40.0,31.0,23.0,21.0,27.0,32.0,29.0,21.0,22.0,14.0,28.0,20.0,14.0,36.0,36.0,45.0,29.0,28.0,31.0,30.0,26.0,38.0,40.0,19.0,19.0,27.0,51,0,0,0,0,0,1,0,51,24,5
25.0,40.0,31.0,23.0,21.0,27.0,32.0,29.0,21.0,22.0,14.0,28.0,20.0,14.0,36.0,36.0,45.0,29.0,28.0,31.0,30.0,26.0,38.0,40.0,19.0,19.0,27.0,51.0,53,1,0,0,0,0,0,0,53,27,5
40.0,31.0,23.0,21.0,27.0,32.0,29.0,21.0,22.0,14.0,28.0,20.0,14.0,36.0,36.0,45.0,29.0,28.0,31.0,30.0,26.0,38.0,40.0,19.0,19.0,27.0,51.0,53.0,37,0,1,0,0,0,0,0,37,30,5
31.0,23.0,21.0,27.0,32.0,29.0,21.0,22.0,14.0,28.0,20.0,14.0,36.0,36.0,45.0,29.0,28.0,31.0,30.0,26.0,38.0,40.0,19.0,19.0,27.0,51.0,53.0,37.0,29,0,0,0,0,1,0,0,29,2,6
23.0,21.0,27.0,32.0,29.0,21.0,22.0,14.0,28.0,20.0,14.0,36.0,36.0,45.0,29.0,28.0,31.0,30.0,26.0,38.0,40.0,19.0,19.0,27.0,51.0,53.0,37.0,29.0,19,0,0,0,1,0,0,0,19,5,6
21.0,27.0,32.0,29.0,21.0,22.0,14.0,28.0,20.0,14.0,36.0,36.0,45.0,29.0,28.0,31.0,30.0,26.0,38.0,40.0,19.0,19.0,27.0,51.0,53.0,37.0,29.0,19.0,25,0,0,0,0,0,0,1,25,8,6
27.0,32.0,29.0,21.0,22.0,14.0,28.0,20.0,14.0,36.0,36.0,45.0,29.0,28.0,31.0,30.0,26.0,38.0,40.0,19.0,19.0,27.0,51.0,53.0,37.0,29.0,19.0,25.0,49,0,0,1,0,0,0,0,49,11,6
32.0,29.0,21.0,22.0,14.0,28.0,20.0,14.0,36.0,36.0,45.0,29.0,28.0,31.0,30.0,26.0,38.0,40.0,19.0,19.0,27.0,51.0,53.0,37.0,29.0,19.0,25.0,49.0,47,0,0,0,0,0,1,0,47,14,6
29.0,21.0,22.0,14.0,28.0,20.0,14.0,36.0,36.0,45.0,29.0,28.0,31.0,30.0,26.0,38.0,40.0,19.0,19.0,27.0,51.0,53.0,37.0,29.0,19.0,25.0,49.0,47.0,25,1,0,0,0,0,0,0,25,17,6
21.0,22.0,14.0,28.0,20.0,14.0,36.0,36.0,45.0,29.0,28.0,31.0,30.0,26.0,38.0,40.0,19.0,19.0,27.0,51.0,53.0,37.0,29.0,19.0,25.0,49.0,47.0,25.0,35,0,1,0,0,0,0,0,35,20,6
22.0,14.0,28.0,20.0,14.0,36.0,36.0,45.0,29.0,28.0,31.0,30.0,26.0,38.0,40.0,19.0,19.0,27.0,51.0,53.0,37.0,29.0,19.0,25.0,49.0,47.0,25.0,35.0,40,0,0,0,0,1,0,0,40,23,6
14.0,28.0,20.0,14.0,36.0,36.0,45.0,29.0,28.0,31.0,30.0,26.0,38.0,40.0,19.0,19.0,27.0,51.0,53.0,37.0,29.0,19.0,25.0,49.0,47.0,25.0,35.0,40.0,50,0,0,0,1,0,0,0,50,26,6
28.0,20.0,14.0,36.0,36.0,45.0,29.0,28.0,31.0,30.0,26.0,38.0,40.0,19.0,19.0,27.0,51.0,53.0,37.0,29.0,19.0,25.0,49.0,47.0,25.0,35.0,40.0,50.0,22,0,0,0,0,0,0,1,22,29,6
