lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
15.0,5.0,8.0,8.0,4.0,5.0,5.0,6.0,12.0,17.0,3.0,7.0,7.0,11.0,4.0,5.0,12.0,12.0,18.0,19.0,15.0,11.0,15.0,15.0,43.0,18.0,13.0,14.0,7,0,0,0,1,0,0,0,7,3,4
5.0,8.0,8.0,4.0,5.0,5.0,6.0,12.0,17.0,3.0,7.0,7.0,11.0,4.0,5.0,12.0,12.0,18.0,19.0,15.0,11.0,15.0,15.0,43.0,18.0,13.0,14.0,7.0,37,0,0,0,0,0,0,1,37,6,4
8.0,8.0,4.0,5.0,5.0,6.0,12.0,17.0,3.0,7.0,7.0,11.0,4.0,5.0,12.0,12.0,18.0,19.0,15.0,11.0,15.0,15.0,43.0,18.0,13.0,14.0,7.0,37.0,20,0,0,1,0,0,0,0,20,9,4
8.0,4.0,5.0,5.0,6.0,12.0,17.0,3.0,7.0,7.0,11.0,4.0,5.0,12.0,12.0,18.0,19.0,15.0,11.0,15.0,15.0,43.0,18.0,13.0,14.0,7.0,37.0,20.0,15,0,0,0,0,0,1,0,15,12,4
4.0,5.0,5.0,6.0,12.0,17.0,3.0,7.0,7.0,11.0,4.0,5.0,12.0,12.0,18.0,19.0,15.0,11.0,15.0,15.0,43.0,18.0,13.0,14.0,7.0,37.0,20.0,15.0,34,1,0,0,0,0,0,0,34,15,4
5.0,5.0,6.0,12.0,17.0,3.0,7.0,7.0,11.0,4.0,5.0,12.0,12.0,18.0,19.0,15.0,11.0,15.0,15.0,43.0,18.0,13.0,14.0,7.0,37.0,20.0,15.0,34.0,12,0,1,0,0,0,0,0,12,18,4
5.0,6.0,12.0,17.0,3.0,7.0,7.0,11.0,4.0,5.0,12.0,12.0,18.0,19.0,15.0,11.0,15.0,15.0,43.0,18.0,13.0,14.0,7.0,37.0,20.0,15.0,34.0,12.0,21,0,0,0,0,1,0,0,21,21,4
6.0,12.0,17.0,3.0,7.0,7.0,11.0,4.0,5.0,12.0,12.0,18.0,19.0,15.0,11.0,15.0,15.0,43.0,18.0,13.0,14.0,7.0,37.0,20.0,15.0,34.0,12.0,21.0,29,0,0,0,1,0,0,0,29,24,4
12.0,17.0,3.0,7.0,7.0,11.0,4.0,5.0,12.0,12.0,18.0,19.0,15.0,11.0,15.0,15.0,43.0,18.0,13.0,14.0,7.0,37.0,20.0,15.0,34.0,12.0,21.0,29.0,27,0,0,0,0,0,0,1,27,27,4
17.0,3.0,7.0,7.0,11.0,4.0,5.0,12.0,12.0,18.0,19.0,15.0,11.0,15.0,15.0,43.0,18.0,13.0,14.0,7.0,37.0,20.0,15.0,34.0,12.0,21.0,29.0,27.0,15,0,0,1,0,0,0,0,15,30,4
