lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
27.0,32.0,30.0,28.0,36.0,24.0,32.0,20.0,27.0,27.0,31.0,43.0,38.0,34.0,24.0,29.0,26.0,37.0,27.0,37.0,33.0,27.0,41.0,33.0,23.0,33.0,28.0,39.0,42,0,0,1,0,0,0,0,42,30,1
32.0,30.0,28.0,36.0,24.0,32.0,20.0,27.0,27.0,31.0,43.0,38.0,34.0,24.0,29.0,26.0,37.0,27.0,37.0,33.0,27.0,41.0,33.0,23.0,33.0,28.0,39.0,42.0,37,0,0,0,1,0,0,0,37,31,1
30.0,28.0,36.0,24.0,32.0,20.0,27.0,27.0,31.0,43.0,38.0,34.0,24.0,29.0,26.0,37.0,27.0,37.0,33.0,27.0,41.0,33.0,23.0,33.0,28.0,39.0,42.0,37.0,46,0,1,0,0,0,0,0,46,1,2
28.0,36.0,24.0,32.0,20.0,27.0,27.0,31.0,43.0,38.0,34.0,24.0,29.0,26.0,37.0,27.0,37.0,33.0,27.0,41.0,33.0,23.0,33.0,28.0,39.0,42.0,37.0,46.0,34,0,0,0,0,0,1,0,34,2,2
36.0,24.0,32.0,20.0,27.0,27.0,31.0,43.0,38.0,34.0,24.0,29.0,26.0,37.0,27.0,37.0,33.0,27.0,41.0,33.0,23.0,33.0,28.0,39.0,42.0,37.0,46.0,34.0,33,0,0,0,0,0,0,1,33,3,2
24.0,32.0,20.0,27.0,27.0,31.0,43.0,38.0,34.0,24.0,29.0,26.0,37.0,27.0,37.0,33.0,27.0,41.0,33.0,23.0,33.0,28.0,39.0,42.0,37.0,46.0,34.0,33.0,30,0,0,0,0,1,0,0,30,4,2
32.0,20.0,27.0,27.0,31.0,43.0,38.0,34.0,24.0,29.0,26.0,37.0,27.0,37.0,33.0,27.0,41.0,33.0,23.0,33.0,28.0,39.0,42.0,37.0,46.0,34.0,33.0,30.0,37,1,0,0,0,0,0,0,37,5,2
20.0,27.0,27.0,31.0,43.0,38.0,34.0,24.0,29.0,26.0,37.0,27.0,37.0,33.0,27.0,41.0,33.0,23.0,33.0,28.0,39.0,42.0,37.0,46.0,34.0,33.0,30.0,37.0,40,0,0,1,0,0,0,0,40,6,2
27.0,27.0,31.0,43.0,38.0,34.0,24.0,29.0,26.0,37.0,27.0,37.0,33.0,27.0,41.0,33.0,23.0,33.0,28.0,39.0,42.0,37.0,46.0,34.0,33.0,30.0,37.0,40.0,38,0,0,0,1,0,0,0,38,7,2
27.0,31.0,43.0,38.0,34.0,24.0,29.0,26.0,37.0,27.0,37.0,33.0,27.0,41.0,33.0,23.0,33.0,28.0,39.0,42.0,37.0,46.0,34.0,33.0,30.0,37.0,40.0,38.0,34,0,1,0,0,0,0,0,34,8,2
31.0,43.0,38.0,34.0,24.0,29.0,26.0,37.0,27.0,37.0,33.0,27.0,41.0,33.0,23.0,33.0,28.0,39.0,42.0,37.0,46.0,34.0,33.0,30.0,37.0,40.0,38.0,34.0,36,0,0,0,0,0,1,0,36,9,2
43.0,38.0,34.0,24.0,29.0,26.0,37.0,27.0,37.0,33.0,27.0,41.0,33.0,23.0,33.0,28.0,39.0,42.0,37.0,46.0,34.0,33.0,30.0,37.0,40.0,38.0,34.0,36.0,38,0,0,0,0,0,0,1,38,10,2
38.0,34.0,24.0,29.0,26.0,37.0,27.0,37.0,33.0,27.0,41.0,33.0,23.0,33.0,28.0,39.0,42.0,37.0,46.0,34.0,33.0,30.0,37.0,40.0,38.0,34.0,36.0,38.0,41,0,0,0,0,1,0,0,41,11,2
34.0,24.0,29.0,26.0,37.0,27.0,37.0,33.0,27.0,41.0,33.0,23.0,33.0,28.0,39.0,42.0,37.0,46.0,34.0,33.0,30.0,37.0,40.0,38.0,34.0,36.0,38.0,41.0,60,1,0,0,0,0,0,0,60,12,2
24.0,29.0,26.0,37.0,27.0,37.0,33.0,27.0,41.0,33.0,23.0,33.0,28.0,39.0,42.0,37.0,46.0,34.0,33.0,30.0,37.0,40.0,38.0,34.0,36.0,38.0,41.0,60.0,59,0,0,1,0,0,0,0,59,13,2
29.0,26.0,37.0,27.0,37.0,33.0,27.0,41.0,33.0,23.0,33.0,28.0,39.0,42.0,37.0,46.0,34.0,33.0,30.0,37.0,40.0,38.0,34.0,36.0,38.0,41.0,60.0,59.0,31,0,0,0,1,0,0,0,31,14,2
26.0,37.0,27.0,37.0,33.0,27.0,41.0,33.0,23.0,33.0,28.0,39.0,42.0,37.0,46.0,34.0,33.0,30.0,37.0,40.0,38.0,34.0,36.0,38.0,41.0,60.0,59.0,31.0,41,0,1,0,0,0,0,0,41,15,2
37.0,27.0,37.0,33.0,27.0,41.0,33.0,23.0,33.0,28.0,39.0,42.0,37.0,46.0,34.0,33.0,30.0,37.0,40.0,38.0,34.0,36.0,38.0,41.0,60.0,59.0,31.0,41.0,36,0,0,0,0,0,1,0,36,16,2
27.0,37.0,33.0,27.0,41.0,33.0,23.0,33.0,28.0,39.0,42.0,37.0,46.0,34.0,33.0,30.0,37.0,40.0,38.0,34.0,36.0,38.0,41.0,60.0,59.0,31.0,41.0,36.0,37,0,0,0,0,0,0,1,37,17,2
37.0,33.0,27.0,41.0,33.0,23.0,33.0,28.0,39.0,42.0,37.0,46.0,34.0,33.0,30.0,37.0,40.0,38.0,34.0,36.0,38.0,41.0,60.0,59.0,31.0,41.0,36.0,37.0,47,0,0,0,0,1,0,0,47,18,2
33.0,27.0,41.0,33.0,23.0,33.0,28.0,39.0,42.0,37.0,46.0,34.0,33.0,30.0,37.0,40.0,38.0,34.0,36.0,38.0,41.0,60.0,59.0,31.0,41.0,36.0,37.0,47.0,39,1,0,0,0,0,0,0,39,19,2
27.0,41.0,33.0,23.0,33.0,28.0,39.0,42.0,37.0,46.0,34.0,33.0,30.0,37.0,40.0,38.0,34.0,36.0,38.0,41.0,60.0,59.0,31.0,41.0,36.0,37.0,47.0,39.0,26,0,0,1,0,0,0,0,26,20,2
41.0,33.0,23.0,33.0,28.0,39.0,42.0,37.0,46.0,34.0,33.0,30.0,37.0,40.0,38.0,34.0,36.0,38.0,41.0,60.0,59.0,31.0,41.0,36.0,37.0,47.0,39.0,26.0,34,0,0,0,1,0,0,0,34,21,2
33.0,23.0,33.0,28.0,39.0,42.0,37.0,46.0,34.0,33.0,30.0,37.0,40.0,38.0,34.0,36.0,38.0,41.0,60.0,59.0,31.0,41.0,36.0,37.0,47.0,39.0,26.0,34.0,23,0,1,0,0,0,0,0,23,22,2
23.0,33.0,28.0,39.0,42.0,37.0,46.0,34.0,33.0,30.0,37.0,40.0,38.0,34.0,36.0,38.0,41.0,60.0,59.0,31.0,41.0,36.0,37.0,47.0,39.0,26.0,34.0,23.0,31,0,0,0,0,0,1,0,31,23,2
