lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
33.0,30.0,30.0,35.0,36.0,53.0,46.0,34.0,39.0,34.0,31.0,36.0,33.0,60.0,41.0,35.0,35.0,36.0,38.0,37.0,39.0,45.0,54.0,55.0,40.0,36.0,36.0,40.0,34,0,0,1,0,0,0,0,34,30,1
30.0,30.0,35.0,36.0,53.0,46.0,34.0,39.0,34.0,31.0,36.0,33.0,60.0,41.0,35.0,35.0,36.0,38.0,37.0,39.0,45.0,54.0,55.0,40.0,36.0,36.0,40.0,34.0,44,0,0,0,1,0,0,0,44,31,1
30.0,35.0,36.0,53.0,46.0,34.0,39.0,34.0,31.0,36.0,33.0,60.0,41.0,35.0,35.0,36.0,38.0,37.0,39.0,45.0,54.0,55.0,40.0,36.0,36.0,40.0,34.0,44.0,44,0,1,0,0,0,0,0,44,1,2
35.0,36.0,53.0,46.0,34.0,39.0,34.0,31.0,36.0,33.0,60.0,41.0,35.0,35.0,36.0,38.0,37.0,39.0,45.0,54.0,55.0,40.0,36.0,36.0,40.0,34.0,44.0,44.0,32,0,0,0,0,0,1,0,32,2,2
36.0,53.0,46.0,34.0,39.0,34.0,31.0,36.0,33.0,60.0,41.0,35.0,35.0,36.0,38.0,37.0,39.0,45.0,54.0,55.0,40.0,36.0,36.0,40.0,34.0,44.0,44.0,32.0,33,0,0,0,0,0,0,1,33,3,2
53.0,46.0,34.0,39.0,34.0,31.0,36.0,33.0,60.0,41.0,35.0,35.0,36.0,38.0,37.0,39.0,45.0,54.0,55.0,40.0,36.0,36.0,40.0,34.0,44.0,44.0,32.0,33.0,32,0,0,0,0,1,0,0,32,4,2
46.0,34.0,39.0,34.0,31.0,36.0,33.0,60.0,41.0,35.0,35.0,36.0,38.0,37.0,39.0,45.0,54.0,55.0,40.0,36.0,36.0,40.0,34.0,44.0,44.0,32.0,33.0,32.0,32,1,0,0,0,0,0,0,32,5,2
34.0,39.0,34.0,31.0,36.0,33.0,60.0,41.0,35.0,35.0,36.0,38.0,37.0,39.0,45.0,54.0,55.0,40.0,36.0,36.0,40.0,34.0,44.0,44.0,32.0,33.0,32.0,32.0,32,0,0,1,0,0,0,0,32,6,2
39.0,34.0,31.0,36.0,33.0,60.0,41.0,35.0,35.0,36.0,38.0,37.0,39.0,45.0,54.0,55.0,40.0,36.0,36.0,40.0,34.0,44.0,44.0,32.0,33.0,32.0,32.0,32.0,32,0,0,0,1,0,0,0,32,7,2
34.0,31.0,36.0,33.0,60.0,41.0,35.0,35.0,36.0,38.0,37.0,39.0,45.0,54.0,55.0,40.0,36.0,36.0,40.0,34.0,44.0,44.0,32.0,33.0,32.0,32.0,32.0,32.0,36,0,1,0,0,0,0,0,36,8,2
