lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
14.0,4.0,7.0,10.0,10.0,6.0,17.0,9.0,20.0,13.0,0.0,0.0,0.0,26.0,19.0,14.0,16.0,9.0,6.0,16.0,23.0,17.0,10.0,4.0,6.0,33.0,27.0,1.0,44,0,0,0,0,0,0,1,44,8,2
4.0,7.0,10.0,10.0,6.0,17.0,9.0,20.0,13.0,0.0,0.0,0.0,26.0,19.0,14.0,16.0,9.0,6.0,16.0,23.0,17.0,10.0,4.0,6.0,33.0,27.0,1.0,44.0,11,0,0,0,0,1,0,0,11,9,2
7.0,10.0,10.0,6.0,17.0,9.0,20.0,13.0,0.0,0.0,0.0,26.0,19.0,14.0,16.0,9.0,6.0,16.0,23.0,17.0,10.0,4.0,6.0,33.0,27.0,1.0,44.0,11.0,11,1,0,0,0,0,0,0,11,10,2
10.0,10.0,6.0,17.0,9.0,20.0,13.0,0.0,0.0,0.0,26.0,19.0,14.0,16.0,9.0,6.0,16.0,23.0,17.0,10.0,4.0,6.0,33.0,27.0,1.0,44.0,11.0,11.0,44,0,0,1,0,0,0,0,44,11,2
10.0,6.0,17.0,9.0,20.0,13.0,0.0,0.0,0.0,26.0,19.0,14.0,16.0,9.0,6.0,16.0,23.0,17.0,10.0,4.0,6.0,33.0,27.0,1.0,44.0,11.0,11.0,44.0,13,0,0,0,1,0,0,0,13,12,2
6.0,17.0,9.0,20.0,13.0,0.0,0.0,0.0,26.0,19.0,14.0,16.0,9.0,6.0,16.0,23.0,17.0,10.0,4.0,6.0,33.0,27.0,1.0,44.0,11.0,11.0,44.0,13.0,10,0,1,0,0,0,0,0,10,13,2
17.0,9.0,20.0,13.0,0.0,0.0,0.0,26.0,19.0,14.0,16.0,9.0,6.0,16.0,23.0,17.0,10.0,4.0,6.0,33.0,27.0,1.0,44.0,11.0,11.0,44.0,13.0,10.0,37,0,0,0,0,0,1,0,37,14,2
9.0,20.0,13.0,0.0,0.0,0.0,26.0,19.0,14.0,16.0,9.0,6.0,16.0,23.0,17.0,10.0,4.0,6.0,33.0,27.0,1.0,44.0,11.0,11.0,44.0,13.0,10.0,37.0,4,0,0,0,0,0,0,1,4,15,2
20.0,13.0,0.0,0.0,0.0,26.0,19.0,14.0,16.0,9.0,6.0,16.0,23.0,17.0,10.0,4.0,6.0,33.0,27.0,1.0,44.0,11.0,11.0,44.0,13.0,10.0,37.0,4.0,3,0,0,0,0,1,0,0,3,16,2
13.0,0.0,0.0,0.0,26.0,19.0,14.0,16.0,9.0,6.0,16.0,23.0,17.0,10.0,4.0,6.0,33.0,27.0,1.0,44.0,11.0,11.0,44.0,13.0,10.0,37.0,4.0,3.0,4,1,0,0,0,0,0,0,4,17,2
0.0,0.0,0.0,26.0,19.0,14.0,16.0,9.0,6.0,16.0,23.0,17.0,10.0,4.0,6.0,33.0,27.0,1.0,44.0,11.0,11.0,44.0,13.0,10.0,37.0,4.0,3.0,4.0,14,0,0,1,0,0,0,0,14,18,2
0.0,0.0,26.0,19.0,14.0,16.0,9.0,6.0,16.0,23.0,17.0,10.0,4.0,6.0,33.0,27.0,1.0,44.0,11.0,11.0,44.0,13.0,10.0,37.0,4.0,3.0,4.0,14.0,1,0,0,0,1,0,0,0,1,19,2
0.0,26.0,19.0,14.0,16.0,9.0,6.0,16.0,23.0,17.0,10.0,4.0,6.0,33.0,27.0,1.0,44.0,11.0,11.0,44.0,13.0,10.0,37.0,4.0,3.0,4.0,14.0,1.0,33,0,1,0,0,0,0,0,33,20,2
26.0,19.0,14.0,16.0,9.0,6.0,16.0,23.0,17.0,10.0,4.0,6.0,33.0,27.0,1.0,44.0,11.0,11.0,44.0,13.0,10.0,37.0,4.0,3.0,4.0,14.0,1.0,33.0,1,0,0,0,0,0,1,0,1,21,2
19.0,14.0,16.0,9.0,6.0,16.0,23.0,17.0,10.0,4.0,6.0,33.0,27.0,1.0,44.0,11.0,11.0,44.0,13.0,10.0,37.0,4.0,3.0,4.0,14.0,1.0,33.0,1.0,1,0,0,0,0,0,0,1,1,22,2
14.0,16.0,9.0,6.0,16.0,23.0,17.0,10.0,4.0,6.0,33.0,27.0,1.0,44.0,11.0,11.0,44.0,13.0,10.0,37.0,4.0,3.0,4.0,14.0,1.0,33.0,1.0,1.0,3,0,0,0,0,1,0,0,3,23,2
