lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
22.0,23.0,18.0,17.0,15.0,19.0,18.0,23.0,8.0,13.0,12.0,25.0,23.0,27.0,21.0,18.0,17.0,18.0,30.0,37.0,29.0,14.0,33.0,33.0,25.0,34.0,27.0,24.0,21,0,0,1,0,0,0,0,21,30,1
23.0,18.0,17.0,15.0,19.0,18.0,23.0,8.0,13.0,12.0,25.0,23.0,27.0,21.0,18.0,17.0,18.0,30.0,37.0,29.0,14.0,33.0,33.0,25.0,34.0,27.0,24.0,21.0,28,0,0,0,1,0,0,0,28,31,1
18.0,17.0,15.0,19.0,18.0,23.0,8.0,13.0,12.0,25.0,23.0,27.0,21.0,18.0,17.0,18.0,30.0,37.0,29.0,14.0,33.0,33.0,25.0,34.0,27.0,24.0,21.0,28.0,35,0,1,0,0,0,0,0,35,1,2
17.0,15.0,19.0,18.0,23.0,8.0,13.0,12.0,25.0,23.0,27.0,21.0,18.0,17.0,18.0,30.0,37.0,29.0,14.0,33.0,33.0,25.0,34.0,27.0,24.0,21.0,28.0,35.0,23,0,0,0,0,0,1,0,23,2,2
15.0,19.0,18.0,23.0,8.0,13.0,12.0,25.0,23.0,27.0,21.0,18.0,17.0,18.0,30.0,37.0,29.0,14.0,33.0,33.0,25.0,34.0,27.0,24.0,21.0,28.0,35.0,23.0,17,0,0,0,0,0,0,1,17,3,2
19.0,18.0,23.0,8.0,13.0,12.0,25.0,23.0,27.0,21.0,18.0,17.0,18.0,30.0,37.0,29.0,14.0,33.0,33.0,25.0,34.0,27.0,24.0,21.0,28.0,35.0,23.0,17.0,13,0,0,0,0,1,0,0,13,4,2
18.0,23.0,8.0,13.0,12.0,25.0,23.0,27.0,21.0,18.0,17.0,18.0,30.0,37.0,29.0,14.0,33.0,33.0,25.0,34.0,27.0,24.0,21.0,28.0,35.0,23.0,17.0,13.0,19,1,0,0,0,0,0,0,19,5,2
23.0,8.0,13.0,12.0,25.0,23.0,27.0,21.0,18.0,17.0,18.0,30.0,37.0,29.0,14.0,33.0,33.0,25.0,34.0,27.0,24.0,21.0,28.0,35.0,23.0,17.0,13.0,19.0,28,0,0,1,0,0,0,0,28,6,2
8.0,13.0,12.0,25.0,23.0,27.0,21.0,18.0,17.0,18.0,30.0,37.0,29.0,14.0,33.0,33.0,25.0,34.0,27.0,24.0,21.0,28.0,35.0,23.0,17.0,13.0,19.0,28.0,21,0,0,0,1,0,0,0,21,7,2
13.0,12.0,25.0,23.0,27.0,21.0,18.0,17.0,18.0,30.0,37.0,29.0,14.0,33.0,33.0,25.0,34.0,27.0,24.0,21.0,28.0,35.0,23.0,17.0,13.0,19.0,28.0,21.0,25,0,1,0,0,0,0,0,25,8,2
