lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
70.0,58.0,55.0,61.0,68.0,76.0,68.0,68.0,23.0,26.0,29.0,69.0,66.0,59.0,66.0,79.0,65.0,60.0,56.0,77.0,74.0,76.0,67.0,32.0,38.0,57.0,60.0,69.0,37,0,0,1,0,0,0,0,37,30,1
58.0,55.0,61.0,68.0,76.0,68.0,68.0,23.0,26.0,29.0,69.0,66.0,59.0,66.0,79.0,65.0,60.0,56.0,77.0,74.0,76.0,67.0,32.0,38.0,57.0,60.0,69.0,37.0,51,0,0,0,1,0,0,0,51,31,1
55.0,61.0,68.0,76.0,68.0,68.0,23.0,26.0,29.0,69.0,66.0,59.0,66.0,79.0,65.0,60.0,56.0,77.0,74.0,76.0,67.0,32.0,38.0,57.0,60.0,69.0,37.0,51.0,54,0,1,0,0,0,0,0,54,1,2
61.0,68.0,76.0,68.0,68.0,23.0,26.0,29.0,69.0,66.0,59.0,66.0,79.0,65.0,60.0,56.0,77.0,74.0,76.0,67.0,32.0,38.0,57.0,60.0,69.0,37.0,51.0,54.0,51,0,0,0,0,0,1,0,51,2,2
68.0,76.0,68.0,68.0,23.0,26.0,29.0,69.0,66.0,59.0,66.0,79.0,65.0,60.0,56.0,77.0,74.0,76.0,67.0,32.0,38.0,57.0,60.0,69.0,37.0,51.0,54.0,51.0,54,0,0,0,0,0,0,1,54,3,2
76.0,68.0,68.0,23.0,26.0,29.0,69.0,66.0,59.0,66.0,79.0,65.0,60.0,56.0,77.0,74.0,76.0,67.0,32.0,38.0,57.0,60.0,69.0,37.0,51.0,54.0,51.0,54.0,58,0,0,0,0,1,0,0,58,4,2
68.0,68.0,23.0,26.0,29.0,69.0,66.0,59.0,66.0,79.0,65.0,60.0,56.0,77.0,74.0,76.0,67.0,32.0,38.0,57.0,60.0,69.0,37.0,51.0,54.0,51.0,54.0,58.0,56,1,0,0,0,0,0,0,56,5,2
68.0,23.0,26.0,29.0,69.0,66.0,59.0,66.0,79.0,65.0,60.0,56.0,77.0,74.0,76.0,67.0,32.0,38.0,57.0,60.0,69.0,37.0,51.0,54.0,51.0,54.0,58.0,56.0,55,0,0,1,0,0,0,0,55,6,2
23.0,26.0,29.0,69.0,66.0,59.0,66.0,79.0,65.0,60.0,56.0,77.0,74.0,76.0,67.0,32.0,38.0,57.0,60.0,69.0,37.0,51.0,54.0,51.0,54.0,58.0,56.0,55.0,70,0,0,0,1,0,0,0,70,7,2
26.0,29.0,69.0,66.0,59.0,66.0,79.0,65.0,60.0,56.0,77.0,74.0,76.0,67.0,32.0,38.0,57.0,60.0,69.0,37.0,51.0,54.0,51.0,54.0,58.0,56.0,55.0,70.0,69,0,1,0,0,0,0,0,69,8,2
29.0,69.0,66.0,59.0,66.0,79.0,65.0,60.0,56.0,77.0,74.0,76.0,67.0,32.0,38.0,57.0,60.0,69.0,37.0,51.0,54.0,51.0,54.0,58.0,56.0,55.0,70.0,69.0,87,0,0,0,0,0,1,0,87,9,2
69.0,66.0,59.0,66.0,79.0,65.0,60.0,56.0,77.0,74.0,76.0,67.0,32.0,38.0,57.0,60.0,69.0,37.0,51.0,54.0,51.0,54.0,58.0,56.0,55.0,70.0,69.0,87.0,68,0,0,0,0,0,0,1,68,10,2
66.0,59.0,66.0,79.0,65.0,60.0,56.0,77.0,74.0,76.0,67.0,32.0,38.0,57.0,60.0,69.0,37.0,51.0,54.0,51.0,54.0,58.0,56.0,55.0,70.0,69.0,87.0,68.0,63,0,0,0,0,1,0,0,63,11,2
59.0,66.0,79.0,65.0,60.0,56.0,77.0,74.0,76.0,67.0,32.0,38.0,57.0,60.0,69.0,37.0,51.0,54.0,51.0,54.0,58.0,56.0,55.0,70.0,69.0,87.0,68.0,63.0,67,1,0,0,0,0,0,0,67,12,2
66.0,79.0,65.0,60.0,56.0,77.0,74.0,76.0,67.0,32.0,38.0,57.0,60.0,69.0,37.0,51.0,54.0,51.0,54.0,58.0,56.0,55.0,70.0,69.0,87.0,68.0,63.0,67.0,52,0,0,1,0,0,0,0,52,13,2
79.0,65.0,60.0,56.0,77.0,74.0,76.0,67.0,32.0,38.0,57.0,60.0,69.0,37.0,51.0,54.0,51.0,54.0,58.0,56.0,55.0,70.0,69.0,87.0,68.0,63.0,67.0,52.0,39,0,0,0,1,0,0,0,39,14,2
