lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
86.0,80.0,68.0,61.0,55.0,62.0,43.0,55.0,79.0,34.0,42.0,10.0,38.0,52.0,17.0,15.0,15.0,22.0,13.0,25.0,18.0,24.0,27.0,44.0,23.0,15.0,15.0,16.0,9,0,0,1,0,0,0,0,9,30,1
80.0,68.0,61.0,55.0,62.0,43.0,55.0,79.0,34.0,42.0,10.0,38.0,52.0,17.0,15.0,15.0,22.0,13.0,25.0,18.0,24.0,27.0,44.0,23.0,15.0,15.0,16.0,9.0,22,0,0,0,1,0,0,0,22,31,1
68.0,61.0,55.0,62.0,43.0,55.0,79.0,34.0,42.0,10.0,38.0,52.0,17.0,15.0,15.0,22.0,13.0,25.0,18.0,24.0,27.0,44.0,23.0,15.0,15.0,16.0,9.0,22.0,27,0,1,0,0,0,0,0,27,1,2
61.0,55.0,62.0,43.0,55.0,79.0,34.0,42.0,10.0,38.0,52.0,17.0,15.0,15.0,22.0,13.0,25.0,18.0,24.0,27.0,44.0,23.0,15.0,15.0,16.0,9.0,22.0,27.0,33,0,0,0,0,0,1,0,33,2,2
55.0,62.0,43.0,55.0,79.0,34.0,42.0,10.0,38.0,52.0,17.0,15.0,15.0,22.0,13.0,25.0,18.0,24.0,27.0,44.0,23.0,15.0,15.0,16.0,9.0,22.0,27.0,33.0,17,0,0,0,0,0,0,1,17,3,2
62.0,43.0,55.0,79.0,34.0,42.0,10.0,38.0,52.0,17.0,15.0,15.0,22.0,13.0,25.0,18.0,24.0,27.0,44.0,23.0,15.0,15.0,16.0,9.0,22.0,27.0,33.0,17.0,16,0,0,0,0,1,0,0,16,4,2
43.0,55.0,79.0,34.0,42.0,10.0,38.0,52.0,17.0,15.0,15.0,22.0,13.0,25.0,18.0,24.0,27.0,44.0,23.0,15.0,15.0,16.0,9.0,22.0,27.0,33.0,17.0,16.0,20,1,0,0,0,0,0,0,20,5,2
55.0,79.0,34.0,42.0,10.0,38.0,52.0,17.0,15.0,15.0,22.0,13.0,25.0,18.0,24.0,27.0,44.0,23.0,15.0,15.0,16.0,9.0,22.0,27.0,33.0,17.0,16.0,20.0,33,0,0,1,0,0,0,0,33,6,2
79.0,34.0,42.0,10.0,38.0,52.0,17.0,15.0,15.0,22.0,13.0,25.0,18.0,24.0,27.0,44.0,23.0,15.0,15.0,16.0,9.0,22.0,27.0,33.0,17.0,16.0,20.0,33.0,37,0,0,0,1,0,0,0,37,7,2
34.0,42.0,10.0,38.0,52.0,17.0,15.0,15.0,22.0,13.0,25.0,18.0,24.0,27.0,44.0,23.0,15.0,15.0,16.0,9.0,22.0,27.0,33.0,17.0,16.0,20.0,33.0,37.0,51,0,1,0,0,0,0,0,51,8,2
42.0,10.0,38.0,52.0,17.0,15.0,15.0,22.0,13.0,25.0,18.0,24.0,27.0,44.0,23.0,15.0,15.0,16.0,9.0,22.0,27.0,33.0,17.0,16.0,20.0,33.0,37.0,51.0,57,0,0,0,0,0,1,0,57,9,2
