lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
38.0,43.0,46.0,51.0,90.0,101.0,108.0,37.0,45.0,42.0,32.0,36.0,32.0,40.0,38.0,44.0,37.0,45.0,38.0,39.0,31.0,47.0,28.0,22.0,34.0,32.0,39.0,41.0,34,0,0,0,0,0,1,0,34,10,5
43.0,46.0,51.0,90.0,101.0,108.0,37.0,45.0,42.0,32.0,36.0,32.0,40.0,38.0,44.0,37.0,45.0,38.0,39.0,31.0,47.0,28.0,22.0,34.0,32.0,39.0,41.0,34.0,41,0,0,0,0,0,0,1,41,11,5
46.0,51.0,90.0,101.0,108.0,37.0,45.0,42.0,32.0,36.0,32.0,40.0,38.0,44.0,37.0,45.0,38.0,39.0,31.0,47.0,28.0,22.0,34.0,32.0,39.0,41.0,34.0,41.0,33,0,0,0,0,1,0,0,33,12,5
51.0,90.0,101.0,108.0,37.0,45.0,42.0,32.0,36.0,32.0,40.0,38.0,44.0,37.0,45.0,38.0,39.0,31.0,47.0,28.0,22.0,34.0,32.0,39.0,41.0,34.0,41.0,33.0,31,1,0,0,0,0,0,0,31,13,5
90.0,101.0,108.0,37.0,45.0,42.0,32.0,36.0,32.0,40.0,38.0,44.0,37.0,45.0,38.0,39.0,31.0,47.0,28.0,22.0,34.0,32.0,39.0,41.0,34.0,41.0,33.0,31.0,26,0,0,1,0,0,0,0,26,14,5
101.0,108.0,37.0,45.0,42.0,32.0,36.0,32.0,40.0,38.0,44.0,37.0,45.0,38.0,39.0,31.0,47.0,28.0,22.0,34.0,32.0,39.0,41.0,34.0,41.0,33.0,31.0,26.0,37,0,0,0,1,0,0,0,37,15,5
108.0,37.0,45.0,42.0,32.0,36.0,32.0,40.0,38.0,44.0,37.0,45.0,38.0,39.0,31.0,47.0,28.0,22.0,34.0,32.0,39.0,41.0,34.0,41.0,33.0,31.0,26.0,37.0,43,0,1,0,0,0,0,0,43,16,5
37.0,45.0,42.0,32.0,36.0,32.0,40.0,38.0,44.0,37.0,45.0,38.0,39.0,31.0,47.0,28.0,22.0,34.0,32.0,39.0,41.0,34.0,41.0,33.0,31.0,26.0,37.0,43.0,36,0,0,0,0,0,1,0,36,17,5
45.0,42.0,32.0,36.0,32.0,40.0,38.0,44.0,37.0,45.0,38.0,39.0,31.0,47.0,28.0,22.0,34.0,32.0,39.0,41.0,34.0,41.0,33.0,31.0,26.0,37.0,43.0,36.0,38,0,0,0,0,0,0,1,38,18,5
42.0,32.0,36.0,32.0,40.0,38.0,44.0,37.0,45.0,38.0,39.0,31.0,47.0,28.0,22.0,34.0,32.0,39.0,41.0,34.0,41.0,33.0,31.0,26.0,37.0,43.0,36.0,38.0,49,0,0,0,0,1,0,0,49,19,5
