lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
44.0,42.0,39.0,38.0,36.0,53.0,52.0,38.0,40.0,39.0,42.0,52.0,42.0,37.0,38.0,36.0,39.0,40.0,40.0,38.0,40.0,42.0,38.0,32.0,41.0,39.0,38.0,39.0,38,0,0,1,0,0,0,0,38,30,1
42.0,39.0,38.0,36.0,53.0,52.0,38.0,40.0,39.0,42.0,52.0,42.0,37.0,38.0,36.0,39.0,40.0,40.0,38.0,40.0,42.0,38.0,32.0,41.0,39.0,38.0,39.0,38.0,40,0,0,0,1,0,0,0,40,31,1
39.0,38.0,36.0,53.0,52.0,38.0,40.0,39.0,42.0,52.0,42.0,37.0,38.0,36.0,39.0,40.0,40.0,38.0,40.0,42.0,38.0,32.0,41.0,39.0,38.0,39.0,38.0,40.0,52,0,1,0,0,0,0,0,52,1,2
38.0,36.0,53.0,52.0,38.0,40.0,39.0,42.0,52.0,42.0,37.0,38.0,36.0,39.0,40.0,40.0,38.0,40.0,42.0,38.0,32.0,41.0,39.0,38.0,39.0,38.0,40.0,52.0,36,0,0,0,0,0,1,0,36,2,2
36.0,53.0,52.0,38.0,40.0,39.0,42.0,52.0,42.0,37.0,38.0,36.0,39.0,40.0,40.0,38.0,40.0,42.0,38.0,32.0,41.0,39.0,38.0,39.0,38.0,40.0,52.0,36.0,40,0,0,0,0,0,0,1,40,3,2
53.0,52.0,38.0,40.0,39.0,42.0,52.0,42.0,37.0,38.0,36.0,39.0,40.0,40.0,38.0,40.0,42.0,38.0,32.0,41.0,39.0,38.0,39.0,38.0,40.0,52.0,36.0,40.0,43,0,0,0,0,1,0,0,43,4,2
52.0,38.0,40.0,39.0,42.0,52.0,42.0,37.0,38.0,36.0,39.0,40.0,40.0,38.0,40.0,42.0,38.0,32.0,41.0,39.0,38.0,39.0,38.0,40.0,52.0,36.0,40.0,43.0,42,1,0,0,0,0,0,0,42,5,2
38.0,40.0,39.0,42.0,52.0,42.0,37.0,38.0,36.0,39.0,40.0,40.0,38.0,40.0,42.0,38.0,32.0,41.0,39.0,38.0,39.0,38.0,40.0,52.0,36.0,40.0,43.0,42.0,44,0,0,1,0,0,0,0,44,6,2
40.0,39.0,42.0,52.0,42.0,37.0,38.0,36.0,39.0,40.0,40.0,38.0,40.0,42.0,38.0,32.0,41.0,39.0,38.0,39.0,38.0,40.0,52.0,36.0,40.0,43.0,42.0,44.0,40,0,0,0,1,0,0,0,40,7,2
39.0,42.0,52.0,42.0,37.0,38.0,36.0,39.0,40.0,40.0,38.0,40.0,42.0,38.0,32.0,41.0,39.0,38.0,39.0,38.0,40.0,52.0,36.0,40.0,43.0,42.0,44.0,40.0,40,0,1,0,0,0,0,0,40,8,2
42.0,52.0,42.0,37.0,38.0,36.0,39.0,40.0,40.0,38.0,40.0,42.0,38.0,32.0,41.0,39.0,38.0,39.0,38.0,40.0,52.0,36.0,40.0,43.0,42.0,44.0,40.0,40.0,41,0,0,0,0,0,1,0,41,9,2
52.0,42.0,37.0,38.0,36.0,39.0,40.0,40.0,38.0,40.0,42.0,38.0,32.0,41.0,39.0,38.0,39.0,38.0,40.0,52.0,36.0,40.0,43.0,42.0,44.0,40.0,40.0,41.0,43,0,0,0,0,0,0,1,43,10,2
42.0,37.0,38.0,36.0,39.0,40.0,40.0,38.0,40.0,42.0,38.0,32.0,41.0,39.0,38.0,39.0,38.0,40.0,52.0,36.0,40.0,43.0,42.0,44.0,40.0,40.0,41.0,43.0,37,0,0,0,0,1,0,0,37,11,2
37.0,38.0,36.0,39.0,40.0,40.0,38.0,40.0,42.0,38.0,32.0,41.0,39.0,38.0,39.0,38.0,40.0,52.0,36.0,40.0,43.0,42.0,44.0,40.0,40.0,41.0,43.0,37.0,34,1,0,0,0,0,0,0,34,12,2
38.0,36.0,39.0,40.0,40.0,38.0,40.0,42.0,38.0,32.0,41.0,39.0,38.0,39.0,38.0,40.0,52.0,36.0,40.0,43.0,42.0,44.0,40.0,40.0,41.0,43.0,37.0,34.0,52,0,0,1,0,0,0,0,52,13,2
36.0,39.0,40.0,40.0,38.0,40.0,42.0,38.0,32.0,41.0,39.0,38.0,39.0,38.0,40.0,52.0,36.0,40.0,43.0,42.0,44.0,40.0,40.0,41.0,43.0,37.0,34.0,52.0,37,0,0,0,1,0,0,0,37,14,2
39.0,40.0,40.0,38.0,40.0,42.0,38.0,32.0,41.0,39.0,38.0,39.0,38.0,40.0,52.0,36.0,40.0,43.0,42.0,44.0,40.0,40.0,41.0,43.0,37.0,34.0,52.0,37.0,34,0,1,0,0,0,0,0,34,15,2
40.0,40.0,38.0,40.0,42.0,38.0,32.0,41.0,39.0,38.0,39.0,38.0,40.0,52.0,36.0,40.0,43.0,42.0,44.0,40.0,40.0,41.0,43.0,37.0,34.0,52.0,37.0,34.0,33,0,0,0,0,0,1,0,33,16,2
40.0,38.0,40.0,42.0,38.0,32.0,41.0,39.0,38.0,39.0,38.0,40.0,52.0,36.0,40.0,43.0,42.0,44.0,40.0,40.0,41.0,43.0,37.0,34.0,52.0,37.0,34.0,33.0,36,0,0,0,0,0,0,1,36,17,2
38.0,40.0,42.0,38.0,32.0,41.0,39.0,38.0,39.0,38.0,40.0,52.0,36.0,40.0,43.0,42.0,44.0,40.0,40.0,41.0,43.0,37.0,34.0,52.0,37.0,34.0,33.0,36.0,41,0,0,0,0,1,0,0,41,18,2
40.0,42.0,38.0,32.0,41.0,39.0,38.0,39.0,38.0,40.0,52.0,36.0,40.0,43.0,42.0,44.0,40.0,40.0,41.0,43.0,37.0,34.0,52.0,37.0,34.0,33.0,36.0,41.0,44,1,0,0,0,0,0,0,44,19,2
42.0,38.0,32.0,41.0,39.0,38.0,39.0,38.0,40.0,52.0,36.0,40.0,43.0,42.0,44.0,40.0,40.0,41.0,43.0,37.0,34.0,52.0,37.0,34.0,33.0,36.0,41.0,44.0,42,0,0,1,0,0,0,0,42,20,2
38.0,32.0,41.0,39.0,38.0,39.0,38.0,40.0,52.0,36.0,40.0,43.0,42.0,44.0,40.0,40.0,41.0,43.0,37.0,34.0,52.0,37.0,34.0,33.0,36.0,41.0,44.0,42.0,36,0,0,0,1,0,0,0,36,21,2
32.0,41.0,39.0,38.0,39.0,38.0,40.0,52.0,36.0,40.0,43.0,42.0,44.0,40.0,40.0,41.0,43.0,37.0,34.0,52.0,37.0,34.0,33.0,36.0,41.0,44.0,42.0,36.0,39,0,1,0,0,0,0,0,39,22,2
41.0,39.0,38.0,39.0,38.0,40.0,52.0,36.0,40.0,43.0,42.0,44.0,40.0,40.0,41.0,43.0,37.0,34.0,52.0,37.0,34.0,33.0,36.0,41.0,44.0,42.0,36.0,39.0,40,0,0,0,0,0,1,0,40,23,2
39.0,38.0,39.0,38.0,40.0,52.0,36.0,40.0,43.0,42.0,44.0,40.0,40.0,41.0,43.0,37.0,34.0,52.0,37.0,34.0,33.0,36.0,41.0,44.0,42.0,36.0,39.0,40.0,38,0,0,0,0,0,0,1,38,24,2
38.0,39.0,38.0,40.0,52.0,36.0,40.0,43.0,42.0,44.0,40.0,40.0,41.0,43.0,37.0,34.0,52.0,37.0,34.0,33.0,36.0,41.0,44.0,42.0,36.0,39.0,40.0,38.0,38,0,0,0,0,1,0,0,38,25,2
39.0,38.0,40.0,52.0,36.0,40.0,43.0,42.0,44.0,40.0,40.0,41.0,43.0,37.0,34.0,52.0,37.0,34.0,33.0,36.0,41.0,44.0,42.0,36.0,39.0,40.0,38.0,38.0,46,1,0,0,0,0,0,0,46,26,2
38.0,40.0,52.0,36.0,40.0,43.0,42.0,44.0,40.0,40.0,41.0,43.0,37.0,34.0,52.0,37.0,34.0,33.0,36.0,41.0,44.0,42.0,36.0,39.0,40.0,38.0,38.0,46.0,44,0,0,1,0,0,0,0,44,27,2
40.0,52.0,36.0,40.0,43.0,42.0,44.0,40.0,40.0,41.0,43.0,37.0,34.0,52.0,37.0,34.0,33.0,36.0,41.0,44.0,42.0,36.0,39.0,40.0,38.0,38.0,46.0,44.0,39,0,0,0,1,0,0,0,39,28,2
52.0,36.0,40.0,43.0,42.0,44.0,40.0,40.0,41.0,43.0,37.0,34.0,52.0,37.0,34.0,33.0,36.0,41.0,44.0,42.0,36.0,39.0,40.0,38.0,38.0,46.0,44.0,39.0,37,0,1,0,0,0,0,0,37,29,2
36.0,40.0,43.0,42.0,44.0,40.0,40.0,41.0,43.0,37.0,34.0,52.0,37.0,34.0,33.0,36.0,41.0,44.0,42.0,36.0,39.0,40.0,38.0,38.0,46.0,44.0,39.0,37.0,40,0,0,0,0,0,1,0,40,1,3
40.0,43.0,42.0,44.0,40.0,40.0,41.0,43.0,37.0,34.0,52.0,37.0,34.0,33.0,36.0,41.0,44.0,42.0,36.0,39.0,40.0,38.0,38.0,46.0,44.0,39.0,37.0,40.0,28,0,0,0,0,0,0,1,28,2,3
43.0,42.0,44.0,40.0,40.0,41.0,43.0,37.0,34.0,52.0,37.0,34.0,33.0,36.0,41.0,44.0,42.0,36.0,39.0,40.0,38.0,38.0,46.0,44.0,39.0,37.0,40.0,28.0,44,0,0,0,0,1,0,0,44,3,3
42.0,44.0,40.0,40.0,41.0,43.0,37.0,34.0,52.0,37.0,34.0,33.0,36.0,41.0,44.0,42.0,36.0,39.0,40.0,38.0,38.0,46.0,44.0,39.0,37.0,40.0,28.0,44.0,47,1,0,0,0,0,0,0,47,4,3
44.0,40.0,40.0,41.0,43.0,37.0,34.0,52.0,37.0,34.0,33.0,36.0,41.0,44.0,42.0,36.0,39.0,40.0,38.0,38.0,46.0,44.0,39.0,37.0,40.0,28.0,44.0,47.0,46,0,0,1,0,0,0,0,46,5,3
40.0,40.0,41.0,43.0,37.0,34.0,52.0,37.0,34.0,33.0,36.0,41.0,44.0,42.0,36.0,39.0,40.0,38.0,38.0,46.0,44.0,39.0,37.0,40.0,28.0,44.0,47.0,46.0,40,0,0,0,1,0,0,0,40,6,3
40.0,41.0,43.0,37.0,34.0,52.0,37.0,34.0,33.0,36.0,41.0,44.0,42.0,36.0,39.0,40.0,38.0,38.0,46.0,44.0,39.0,37.0,40.0,28.0,44.0,47.0,46.0,40.0,35,0,1,0,0,0,0,0,35,7,3
41.0,43.0,37.0,34.0,52.0,37.0,34.0,33.0,36.0,41.0,44.0,42.0,36.0,39.0,40.0,38.0,38.0,46.0,44.0,39.0,37.0,40.0,28.0,44.0,47.0,46.0,40.0,35.0,40,0,0,0,0,0,1,0,40,8,3
43.0,37.0,34.0,52.0,37.0,34.0,33.0,36.0,41.0,44.0,42.0,36.0,39.0,40.0,38.0,38.0,46.0,44.0,39.0,37.0,40.0,28.0,44.0,47.0,46.0,40.0,35.0,40.0,38,0,0,0,0,0,0,1,38,9,3
37.0,34.0,52.0,37.0,34.0,33.0,36.0,41.0,44.0,42.0,36.0,39.0,40.0,38.0,38.0,46.0,44.0,39.0,37.0,40.0,28.0,44.0,47.0,46.0,40.0,35.0,40.0,38.0,39,0,0,0,0,1,0,0,39,10,3
34.0,52.0,37.0,34.0,33.0,36.0,41.0,44.0,42.0,36.0,39.0,40.0,38.0,38.0,46.0,44.0,39.0,37.0,40.0,28.0,44.0,47.0,46.0,40.0,35.0,40.0,38.0,39.0,37,1,0,0,0,0,0,0,37,11,3
52.0,37.0,34.0,33.0,36.0,41.0,44.0,42.0,36.0,39.0,40.0,38.0,38.0,46.0,44.0,39.0,37.0,40.0,28.0,44.0,47.0,46.0,40.0,35.0,40.0,38.0,39.0,37.0,39,0,0,1,0,0,0,0,39,12,3
37.0,34.0,33.0,36.0,41.0,44.0,42.0,36.0,39.0,40.0,38.0,38.0,46.0,44.0,39.0,37.0,40.0,28.0,44.0,47.0,46.0,40.0,35.0,40.0,38.0,39.0,37.0,39.0,42,0,0,0,1,0,0,0,42,13,3
34.0,33.0,36.0,41.0,44.0,42.0,36.0,39.0,40.0,38.0,38.0,46.0,44.0,39.0,37.0,40.0,28.0,44.0,47.0,46.0,40.0,35.0,40.0,38.0,39.0,37.0,39.0,42.0,42,0,1,0,0,0,0,0,42,14,3
33.0,36.0,41.0,44.0,42.0,36.0,39.0,40.0,38.0,38.0,46.0,44.0,39.0,37.0,40.0,28.0,44.0,47.0,46.0,40.0,35.0,40.0,38.0,39.0,37.0,39.0,42.0,42.0,40,0,0,0,0,0,1,0,40,15,3
36.0,41.0,44.0,42.0,36.0,39.0,40.0,38.0,38.0,46.0,44.0,39.0,37.0,40.0,28.0,44.0,47.0,46.0,40.0,35.0,40.0,38.0,39.0,37.0,39.0,42.0,42.0,40.0,42,0,0,0,0,0,0,1,42,16,3
