lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
41.0,40.0,97.0,49.0,45.0,87.0,33.0,37.0,39.0,41.0,43.0,44.0,61.0,41.0,53.0,46.0,41.0,42.0,43.0,41.0,51.0,44.0,43.0,40.0,41.0,43.0,40.0,43.0,44,0,0,1,0,0,0,0,44,30,1
40.0,97.0,49.0,45.0,87.0,33.0,37.0,39.0,41.0,43.0,44.0,61.0,41.0,53.0,46.0,41.0,42.0,43.0,41.0,51.0,44.0,43.0,40.0,41.0,43.0,40.0,43.0,44.0,42,0,0,0,1,0,0,0,42,31,1
97.0,49.0,45.0,87.0,33.0,37.0,39.0,41.0,43.0,44.0,61.0,41.0,53.0,46.0,41.0,42.0,43.0,41.0,51.0,44.0,43.0,40.0,41.0,43.0,40.0,43.0,44.0,42.0,53,0,1,0,0,0,0,0,53,1,2
49.0,45.0,87.0,33.0,37.0,39.0,41.0,43.0,44.0,61.0,41.0,53.0,46.0,41.0,42.0,43.0,41.0,51.0,44.0,43.0,40.0,41.0,43.0,40.0,43.0,44.0,42.0,53.0,39,0,0,0,0,0,1,0,39,2,2
45.0,87.0,33.0,37.0,39.0,41.0,43.0,44.0,61.0,41.0,53.0,46.0,41.0,42.0,43.0,41.0,51.0,44.0,43.0,40.0,41.0,43.0,40.0,43.0,44.0,42.0,53.0,39.0,55,0,0,0,0,0,0,1,55,3,2
87.0,33.0,37.0,39.0,41.0,43.0,44.0,61.0,41.0,53.0,46.0,41.0,42.0,43.0,41.0,51.0,44.0,43.0,40.0,41.0,43.0,40.0,43.0,44.0,42.0,53.0,39.0,55.0,45,0,0,0,0,1,0,0,45,4,2
33.0,37.0,39.0,41.0,43.0,44.0,61.0,41.0,53.0,46.0,41.0,42.0,43.0,41.0,51.0,44.0,43.0,40.0,41.0,43.0,40.0,43.0,44.0,42.0,53.0,39.0,55.0,45.0,42,1,0,0,0,0,0,0,42,5,2
37.0,39.0,41.0,43.0,44.0,61.0,41.0,53.0,46.0,41.0,42.0,43.0,41.0,51.0,44.0,43.0,40.0,41.0,43.0,40.0,43.0,44.0,42.0,53.0,39.0,55.0,45.0,42.0,45,0,0,1,0,0,0,0,45,6,2
39.0,41.0,43.0,44.0,61.0,41.0,53.0,46.0,41.0,42.0,43.0,41.0,51.0,44.0,43.0,40.0,41.0,43.0,40.0,43.0,44.0,42.0,53.0,39.0,55.0,45.0,42.0,45.0,44,0,0,0,1,0,0,0,44,7,2
41.0,43.0,44.0,61.0,41.0,53.0,46.0,41.0,42.0,43.0,41.0,51.0,44.0,43.0,40.0,41.0,43.0,40.0,43.0,44.0,42.0,53.0,39.0,55.0,45.0,42.0,45.0,44.0,43,0,1,0,0,0,0,0,43,8,2
43.0,44.0,61.0,41.0,53.0,46.0,41.0,42.0,43.0,41.0,51.0,44.0,43.0,40.0,41.0,43.0,40.0,43.0,44.0,42.0,53.0,39.0,55.0,45.0,42.0,45.0,44.0,43.0,41,0,0,0,0,0,1,0,41,9,2
44.0,61.0,41.0,53.0,46.0,41.0,42.0,43.0,41.0,51.0,44.0,43.0,40.0,41.0,43.0,40.0,43.0,44.0,42.0,53.0,39.0,55.0,45.0,42.0,45.0,44.0,43.0,41.0,46,0,0,0,0,0,0,1,46,10,2
61.0,41.0,53.0,46.0,41.0,42.0,43.0,41.0,51.0,44.0,43.0,40.0,41.0,43.0,40.0,43.0,44.0,42.0,53.0,39.0,55.0,45.0,42.0,45.0,44.0,43.0,41.0,46.0,42,0,0,0,0,1,0,0,42,11,2
41.0,53.0,46.0,41.0,42.0,43.0,41.0,51.0,44.0,43.0,40.0,41.0,43.0,40.0,43.0,44.0,42.0,53.0,39.0,55.0,45.0,42.0,45.0,44.0,43.0,41.0,46.0,42.0,48,1,0,0,0,0,0,0,48,12,2
53.0,46.0,41.0,42.0,43.0,41.0,51.0,44.0,43.0,40.0,41.0,43.0,40.0,43.0,44.0,42.0,53.0,39.0,55.0,45.0,42.0,45.0,44.0,43.0,41.0,46.0,42.0,48.0,52,0,0,1,0,0,0,0,52,13,2
46.0,41.0,42.0,43.0,41.0,51.0,44.0,43.0,40.0,41.0,43.0,40.0,43.0,44.0,42.0,53.0,39.0,55.0,45.0,42.0,45.0,44.0,43.0,41.0,46.0,42.0,48.0,52.0,40,0,0,0,1,0,0,0,40,14,2
41.0,42.0,43.0,41.0,51.0,44.0,43.0,40.0,41.0,43.0,40.0,43.0,44.0,42.0,53.0,39.0,55.0,45.0,42.0,45.0,44.0,43.0,41.0,46.0,42.0,48.0,52.0,40.0,33,0,1,0,0,0,0,0,33,15,2
42.0,43.0,41.0,51.0,44.0,43.0,40.0,41.0,43.0,40.0,43.0,44.0,42.0,53.0,39.0,55.0,45.0,42.0,45.0,44.0,43.0,41.0,46.0,42.0,48.0,52.0,40.0,33.0,33,0,0,0,0,0,1,0,33,16,2
43.0,41.0,51.0,44.0,43.0,40.0,41.0,43.0,40.0,43.0,44.0,42.0,53.0,39.0,55.0,45.0,42.0,45.0,44.0,43.0,41.0,46.0,42.0,48.0,52.0,40.0,33.0,33.0,34,0,0,0,0,0,0,1,34,17,2
41.0,51.0,44.0,43.0,40.0,41.0,43.0,40.0,43.0,44.0,42.0,53.0,39.0,55.0,45.0,42.0,45.0,44.0,43.0,41.0,46.0,42.0,48.0,52.0,40.0,33.0,33.0,34.0,44,0,0,0,0,1,0,0,44,18,2
51.0,44.0,43.0,40.0,41.0,43.0,40.0,43.0,44.0,42.0,53.0,39.0,55.0,45.0,42.0,45.0,44.0,43.0,41.0,46.0,42.0,48.0,52.0,40.0,33.0,33.0,34.0,44.0,44,1,0,0,0,0,0,0,44,19,2
