"Notes"	"State"	"State Code"	"County"	"County Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"Autauga County, AL"	"01001"	"Sep., 2016"	"2016/09"	10	Not Applicable	Not Applicable
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"Jan., 2016"	"2016/01"	15	Not Applicable	Not Applicable
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"Feb., 2016"	"2016/02"	14	Not Applicable	Not Applicable
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"Mar., 2016"	"2016/03"	16	Not Applicable	Not Applicable
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"Apr., 2016"	"2016/04"	13	Not Applicable	Not Applicable
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"May, 2016"	"2016/05"	20	Not Applicable	Not Applicable
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"Jun., 2016"	"2016/06"	15	Not Applicable	Not Applicable
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"Jul., 2016"	"2016/07"	19	Not Applicable	Not Applicable
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"Aug., 2016"	"2016/08"	13	Not Applicable	Not Applicable
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"Sep., 2016"	"2016/09"	12	Not Applicable	Not Applicable
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"Oct., 2016"	"2016/10"	21	Not Applicable	Not Applicable
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"Nov., 2016"	"2016/11"	12	Not Applicable	Not Applicable
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"Dec., 2016"	"2016/12"	15	Not Applicable	Not Applicable
	"Alabama"	"01"	"Blount County, AL"	"01009"	"Jan., 2016"	"2016/01"	10	Not Applicable	Not Applicable
	"Alabama"	"01"	"Blount County, AL"	"01009"	"Mar., 2016"	"2016/03"	12	Not Applicable	Not Applicable
	"Alabama"	"01"	"Blount County, AL"	"01009"	"Apr., 2016"	"2016/04"	10	Not Applicable	Not Applicable
	"Alabama"	"01"	"Blount County, AL"	"01009"	"Jul., 2016"	"2016/07"	11	Not Applicable	Not Applicable
	"Alabama"	"01"	"Blount County, AL"	"01009"	"Oct., 2016"	"2016/10"	10	Not Applicable	Not Applicable
	"Alabama"	"01"	"Blount County, AL"	"01009"	"Dec., 2016"	"2016/12"	10	Not Applicable	Not Applicable
	"Alabama"	"01"	"Calhoun County, AL"	"01015"	"Jan., 2016"	"2016/01"	15	Not Applicable	Not Applicable
	"Alabama"	"01"	"Calhoun County, AL"	"01015"	"Feb., 2016"	"2016/02"	11	Not Applicable	Not Applicable
	"Alabama"	"01"	"Calhoun County, AL"	"01015"	"Mar., 2016"	"2016/03"	23	Not Applicable	Not Applicable
	"Alabama"	"01"	"Calhoun County, AL"	"01015"	"Apr., 2016"	"2016/04"	18	Not Applicable	Not Applicable
	"Alabama"	"01"	"Calhoun County, AL"	"01015"	"May, 2016"	"2016/05"	18	Not Applicable	Not Applicable
	"Alabama"	"01"	"Calhoun County, AL"	"01015"	"Sep., 2016"	"2016/09"	15	Not Applicable	Not Applicable
	"Alabama"	"01"	"Calhoun County, AL"	"01015"	"Oct., 2016"	"2016/10"	12	Not Applicable	Not Applicable
	"Alabama"	"01"	"Calhoun County, AL"	"01015"	"Nov., 2016"	"2016/11"	17	Not Applicable	Not Applicable
	"Alabama"	"01"	"Calhoun County, AL"	"01015"	"Dec., 2016"	"2016/12"	12	Not Applicable	Not Applicable
	"Alabama"	"01"	"Chilton County, AL"	"01021"	"Mar., 2016"	"2016/03"	10	Not Applicable	Not Applicable
	"Alabama"	"01"	"Coffee County, AL"	"01031"	"Feb., 2016"	"2016/02"	10	Not Applicable	Not Applicable
	"Alabama"	"01"	"Colbert County, AL"	"01033"	"Mar., 2016"	"2016/03"	12	Not Applicable	Not Applicable
	"Alabama"	"01"	"Colbert County, AL"	"01033"	"Oct., 2016"	"2016/10"	10	Not Applicable	Not Applicable
	"Alabama"	"01"	"Colbert County, AL"	"01033"	"Nov., 2016"	"2016/11"	10	Not Applicable	Not Applicable
	"Alabama"	"01"	"Colbert County, AL"	"01033"	"Dec., 2016"	"2016/12"	15	Not Applicable	Not Applicable
	"Alabama"	"01"	"Cullman County, AL"	"01043"	"Apr., 2016"	"2016/04"	13	Not Applicable	Not Applicable
	"Alabama"	"01"	"Cullman County, AL"	"01043"	"Sep., 2016"	"2016/09"	10	Not Applicable	Not Applicable
	"Alabama"	"01"	"Cullman County, AL"	"01043"	"Oct., 2016"	"2016/10"	11	Not Applicable	Not Applicable
	"Alabama"	"01"	"Cullman County, AL"	"01043"	"Nov., 2016"	"2016/11"	12	Not Applicable	Not Applicable
	"Alabama"	"01"	"Cullman County, AL"	"01043"	"Dec., 2016"	"2016/12"	20	Not Applicable	Not Applicable
	"Alabama"	"01"	"DeKalb County, AL"	"01049"	"Jan., 2016"	"2016/01"	12	Not Applicable	Not Applicable
	"Alabama"	"01"	"DeKalb County, AL"	"01049"	"Mar., 2016"	"2016/03"	12	Not Applicable	Not Applicable
	"Alabama"	"01"	"DeKalb County, AL"	"01049"	"Jul., 2016"	"2016/07"	13	Not Applicable	Not Applicable
	"Alabama"	"01"	"DeKalb County, AL"	"01049"	"Aug., 2016"	"2016/08"	10	Not Applicable	Not Applicable
	"Alabama"	"01"	"DeKalb County, AL"	"01049"	"Oct., 2016"	"2016/10"	13	Not Applicable	Not Applicable
	"Alabama"	"01"	"DeKalb County, AL"	"01049"	"Nov., 2016"	"2016/11"	12	Not Applicable	Not Applicable
	"Alabama"	"01"	"Elmore County, AL"	"01051"	"Jan., 2016"	"2016/01"	10	Not Applicable	Not Applicable
	"Alabama"	"01"	"Etowah County, AL"	"01055"	"Jan., 2016"	"2016/01"	13	Not Applicable	Not Applicable
	"Alabama"	"01"	"Etowah County, AL"	"01055"	"Feb., 2016"	"2016/02"	16	Not Applicable	Not Applicable
	"Alabama"	"01"	"Etowah County, AL"	"01055"	"Apr., 2016"	"2016/04"	18	Not Applicable	Not Applicable
	"Alabama"	"01"	"Etowah County, AL"	"01055"	"May, 2016"	"2016/05"	14	Not Applicable	Not Applicable
	"Alabama"	"01"	"Etowah County, AL"	"01055"	"Jun., 2016"	"2016/06"	16	Not Applicable	Not Applicable
	"Alabama"	"01"	"Etowah County, AL"	"01055"	"Jul., 2016"	"2016/07"	16	Not Applicable	Not Applicable
	"Alabama"	"01"	"Etowah County, AL"	"01055"	"Aug., 2016"	"2016/08"	12	Not Applicable	Not Applicable
	"Alabama"	"01"	"Etowah County, AL"	"01055"	"Sep., 2016"	"2016/09"	14	Not Applicable	Not Applicable
	"Alabama"	"01"	"Etowah County, AL"	"01055"	"Oct., 2016"	"2016/10"	13	Not Applicable	Not Applicable
	"Alabama"	"01"	"Etowah County, AL"	"01055"	"Nov., 2016"	"2016/11"	12	Not Applicable	Not Applicable
	"Alabama"	"01"	"Etowah County, AL"	"01055"	"Dec., 2016"	"2016/12"	19	Not Applicable	Not Applicable
	"Alabama"	"01"	"Houston County, AL"	"01069"	"Jan., 2016"	"2016/01"	10	Not Applicable	Not Applicable
	"Alabama"	"01"	"Houston County, AL"	"01069"	"Aug., 2016"	"2016/08"	11	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jackson County, AL"	"01071"	"Jan., 2016"	"2016/01"	13	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jackson County, AL"	"01071"	"Feb., 2016"	"2016/02"	11	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jackson County, AL"	"01071"	"May, 2016"	"2016/05"	10	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jackson County, AL"	"01071"	"Nov., 2016"	"2016/11"	10	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jackson County, AL"	"01071"	"Dec., 2016"	"2016/12"	10	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"Jan., 2016"	"2016/01"	57	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"Feb., 2016"	"2016/02"	47	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"Mar., 2016"	"2016/03"	65	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"Apr., 2016"	"2016/04"	49	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"May, 2016"	"2016/05"	47	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"Jun., 2016"	"2016/06"	54	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"Jul., 2016"	"2016/07"	44	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"Aug., 2016"	"2016/08"	49	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"Sep., 2016"	"2016/09"	48	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"Oct., 2016"	"2016/10"	48	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"Nov., 2016"	"2016/11"	52	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"Dec., 2016"	"2016/12"	65	Not Applicable	Not Applicable
	"Alabama"	"01"	"Lauderdale County, AL"	"01077"	"Mar., 2016"	"2016/03"	14	Not Applicable	Not Applicable
