lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
29.0,30.0,30.0,6.0,5.0,11.0,7.0,9.0,12.0,18.0,19.0,34.0,38.0,37.0,38.0,36.0,34.0,38.0,38.0,39.0,37.0,43.0,43.0,39.0,38.0,37.0,40.0,38.0,42,0,0,1,0,0,0,0,42,30,1
30.0,30.0,6.0,5.0,11.0,7.0,9.0,12.0,18.0,19.0,34.0,38.0,37.0,38.0,36.0,34.0,38.0,38.0,39.0,37.0,43.0,43.0,39.0,38.0,37.0,40.0,38.0,42.0,42,0,0,0,1,0,0,0,42,31,1
30.0,6.0,5.0,11.0,7.0,9.0,12.0,18.0,19.0,34.0,38.0,37.0,38.0,36.0,34.0,38.0,38.0,39.0,37.0,43.0,43.0,39.0,38.0,37.0,40.0,38.0,42.0,42.0,40,0,1,0,0,0,0,0,40,1,2
6.0,5.0,11.0,7.0,9.0,12.0,18.0,19.0,34.0,38.0,37.0,38.0,36.0,34.0,38.0,38.0,39.0,37.0,43.0,43.0,39.0,38.0,37.0,40.0,38.0,42.0,42.0,40.0,38,0,0,0,0,0,1,0,38,2,2
5.0,11.0,7.0,9.0,12.0,18.0,19.0,34.0,38.0,37.0,38.0,36.0,34.0,38.0,38.0,39.0,37.0,43.0,43.0,39.0,38.0,37.0,40.0,38.0,42.0,42.0,40.0,38.0,38,0,0,0,0,0,0,1,38,3,2
11.0,7.0,9.0,12.0,18.0,19.0,34.0,38.0,37.0,38.0,36.0,34.0,38.0,38.0,39.0,37.0,43.0,43.0,39.0,38.0,37.0,40.0,38.0,42.0,42.0,40.0,38.0,38.0,38,0,0,0,0,1,0,0,38,4,2
7.0,9.0,12.0,18.0,19.0,34.0,38.0,37.0,38.0,36.0,34.0,38.0,38.0,39.0,37.0,43.0,43.0,39.0,38.0,37.0,40.0,38.0,42.0,42.0,40.0,38.0,38.0,38.0,39,1,0,0,0,0,0,0,39,5,2
9.0,12.0,18.0,19.0,34.0,38.0,37.0,38.0,36.0,34.0,38.0,38.0,39.0,37.0,43.0,43.0,39.0,38.0,37.0,40.0,38.0,42.0,42.0,40.0,38.0,38.0,38.0,39.0,39,0,0,1,0,0,0,0,39,6,2
12.0,18.0,19.0,34.0,38.0,37.0,38.0,36.0,34.0,38.0,38.0,39.0,37.0,43.0,43.0,39.0,38.0,37.0,40.0,38.0,42.0,42.0,40.0,38.0,38.0,38.0,39.0,39.0,37,0,0,0,1,0,0,0,37,7,2
18.0,19.0,34.0,38.0,37.0,38.0,36.0,34.0,38.0,38.0,39.0,37.0,43.0,43.0,39.0,38.0,37.0,40.0,38.0,42.0,42.0,40.0,38.0,38.0,38.0,39.0,39.0,37.0,37,0,1,0,0,0,0,0,37,8,2
19.0,34.0,38.0,37.0,38.0,36.0,34.0,38.0,38.0,39.0,37.0,43.0,43.0,39.0,38.0,37.0,40.0,38.0,42.0,42.0,40.0,38.0,38.0,38.0,39.0,39.0,37.0,37.0,37,0,0,0,0,0,1,0,37,9,2
34.0,38.0,37.0,38.0,36.0,34.0,38.0,38.0,39.0,37.0,43.0,43.0,39.0,38.0,37.0,40.0,38.0,42.0,42.0,40.0,38.0,38.0,38.0,39.0,39.0,37.0,37.0,37.0,41,0,0,0,0,0,0,1,41,10,2
