lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
42.0,42.0,35.0,36.0,38.0,37.0,41.0,42.0,46.0,40.0,42.0,43.0,41.0,45.0,44.0,41.0,40.0,3.0,17.0,6.0,41.0,38.0,35.0,39.0,40.0,42.0,42.0,35.0,36,0,0,1,0,0,0,0,36,30,1
42.0,35.0,36.0,38.0,37.0,41.0,42.0,46.0,40.0,42.0,43.0,41.0,45.0,44.0,41.0,40.0,3.0,17.0,6.0,41.0,38.0,35.0,39.0,40.0,42.0,42.0,35.0,36.0,37,0,0,0,1,0,0,0,37,31,1
35.0,36.0,38.0,37.0,41.0,42.0,46.0,40.0,42.0,43.0,41.0,45.0,44.0,41.0,40.0,3.0,17.0,6.0,41.0,38.0,35.0,39.0,40.0,42.0,42.0,35.0,36.0,37.0,39,0,1,0,0,0,0,0,39,1,2
36.0,38.0,37.0,41.0,42.0,46.0,40.0,42.0,43.0,41.0,45.0,44.0,41.0,40.0,3.0,17.0,6.0,41.0,38.0,35.0,39.0,40.0,42.0,42.0,35.0,36.0,37.0,39.0,43,0,0,0,0,0,1,0,43,2,2
38.0,37.0,41.0,42.0,46.0,40.0,42.0,43.0,41.0,45.0,44.0,41.0,40.0,3.0,17.0,6.0,41.0,38.0,35.0,39.0,40.0,42.0,42.0,35.0,36.0,37.0,39.0,43.0,47,0,0,0,0,0,0,1,47,3,2
37.0,41.0,42.0,46.0,40.0,42.0,43.0,41.0,45.0,44.0,41.0,40.0,3.0,17.0,6.0,41.0,38.0,35.0,39.0,40.0,42.0,42.0,35.0,36.0,37.0,39.0,43.0,47.0,39,0,0,0,0,1,0,0,39,4,2
41.0,42.0,46.0,40.0,42.0,43.0,41.0,45.0,44.0,41.0,40.0,3.0,17.0,6.0,41.0,38.0,35.0,39.0,40.0,42.0,42.0,35.0,36.0,37.0,39.0,43.0,47.0,39.0,40,1,0,0,0,0,0,0,40,5,2
42.0,46.0,40.0,42.0,43.0,41.0,45.0,44.0,41.0,40.0,3.0,17.0,6.0,41.0,38.0,35.0,39.0,40.0,42.0,42.0,35.0,36.0,37.0,39.0,43.0,47.0,39.0,40.0,42,0,0,1,0,0,0,0,42,6,2
46.0,40.0,42.0,43.0,41.0,45.0,44.0,41.0,40.0,3.0,17.0,6.0,41.0,38.0,35.0,39.0,40.0,42.0,42.0,35.0,36.0,37.0,39.0,43.0,47.0,39.0,40.0,42.0,34,0,0,0,1,0,0,0,34,7,2
40.0,42.0,43.0,41.0,45.0,44.0,41.0,40.0,3.0,17.0,6.0,41.0,38.0,35.0,39.0,40.0,42.0,42.0,35.0,36.0,37.0,39.0,43.0,47.0,39.0,40.0,42.0,34.0,38,0,1,0,0,0,0,0,38,8,2
42.0,43.0,41.0,45.0,44.0,41.0,40.0,3.0,17.0,6.0,41.0,38.0,35.0,39.0,40.0,42.0,42.0,35.0,36.0,37.0,39.0,43.0,47.0,39.0,40.0,42.0,34.0,38.0,52,0,0,0,0,0,1,0,52,9,2
43.0,41.0,45.0,44.0,41.0,40.0,3.0,17.0,6.0,41.0,38.0,35.0,39.0,40.0,42.0,42.0,35.0,36.0,37.0,39.0,43.0,47.0,39.0,40.0,42.0,34.0,38.0,52.0,44,0,0,0,0,0,0,1,44,10,2
41.0,45.0,44.0,41.0,40.0,3.0,17.0,6.0,41.0,38.0,35.0,39.0,40.0,42.0,42.0,35.0,36.0,37.0,39.0,43.0,47.0,39.0,40.0,42.0,34.0,38.0,52.0,44.0,54,0,0,0,0,1,0,0,54,11,2
45.0,44.0,41.0,40.0,3.0,17.0,6.0,41.0,38.0,35.0,39.0,40.0,42.0,42.0,35.0,36.0,37.0,39.0,43.0,47.0,39.0,40.0,42.0,34.0,38.0,52.0,44.0,54.0,38,1,0,0,0,0,0,0,38,12,2
44.0,41.0,40.0,3.0,17.0,6.0,41.0,38.0,35.0,39.0,40.0,42.0,42.0,35.0,36.0,37.0,39.0,43.0,47.0,39.0,40.0,42.0,34.0,38.0,52.0,44.0,54.0,38.0,38,0,0,1,0,0,0,0,38,13,2
41.0,40.0,3.0,17.0,6.0,41.0,38.0,35.0,39.0,40.0,42.0,42.0,35.0,36.0,37.0,39.0,43.0,47.0,39.0,40.0,42.0,34.0,38.0,52.0,44.0,54.0,38.0,38.0,41,0,0,0,1,0,0,0,41,14,2
40.0,3.0,17.0,6.0,41.0,38.0,35.0,39.0,40.0,42.0,42.0,35.0,36.0,37.0,39.0,43.0,47.0,39.0,40.0,42.0,34.0,38.0,52.0,44.0,54.0,38.0,38.0,41.0,38,0,1,0,0,0,0,0,38,15,2
3.0,17.0,6.0,41.0,38.0,35.0,39.0,40.0,42.0,42.0,35.0,36.0,37.0,39.0,43.0,47.0,39.0,40.0,42.0,34.0,38.0,52.0,44.0,54.0,38.0,38.0,41.0,38.0,41,0,0,0,0,0,1,0,41,16,2
17.0,6.0,41.0,38.0,35.0,39.0,40.0,42.0,42.0,35.0,36.0,37.0,39.0,43.0,47.0,39.0,40.0,42.0,34.0,38.0,52.0,44.0,54.0,38.0,38.0,41.0,38.0,41.0,41,0,0,0,0,0,0,1,41,17,2
6.0,41.0,38.0,35.0,39.0,40.0,42.0,42.0,35.0,36.0,37.0,39.0,43.0,47.0,39.0,40.0,42.0,34.0,38.0,52.0,44.0,54.0,38.0,38.0,41.0,38.0,41.0,41.0,42,0,0,0,0,1,0,0,42,18,2
41.0,38.0,35.0,39.0,40.0,42.0,42.0,35.0,36.0,37.0,39.0,43.0,47.0,39.0,40.0,42.0,34.0,38.0,52.0,44.0,54.0,38.0,38.0,41.0,38.0,41.0,41.0,42.0,42,1,0,0,0,0,0,0,42,19,2
38.0,35.0,39.0,40.0,42.0,42.0,35.0,36.0,37.0,39.0,43.0,47.0,39.0,40.0,42.0,34.0,38.0,52.0,44.0,54.0,38.0,38.0,41.0,38.0,41.0,41.0,42.0,42.0,51,0,0,1,0,0,0,0,51,20,2
35.0,39.0,40.0,42.0,42.0,35.0,36.0,37.0,39.0,43.0,47.0,39.0,40.0,42.0,34.0,38.0,52.0,44.0,54.0,38.0,38.0,41.0,38.0,41.0,41.0,42.0,42.0,51.0,42,0,0,0,1,0,0,0,42,21,2
39.0,40.0,42.0,42.0,35.0,36.0,37.0,39.0,43.0,47.0,39.0,40.0,42.0,34.0,38.0,52.0,44.0,54.0,38.0,38.0,41.0,38.0,41.0,41.0,42.0,42.0,51.0,42.0,43,0,1,0,0,0,0,0,43,22,2
40.0,42.0,42.0,35.0,36.0,37.0,39.0,43.0,47.0,39.0,40.0,42.0,34.0,38.0,52.0,44.0,54.0,38.0,38.0,41.0,38.0,41.0,41.0,42.0,42.0,51.0,42.0,43.0,39,0,0,0,0,0,1,0,39,23,2
42.0,42.0,35.0,36.0,37.0,39.0,43.0,47.0,39.0,40.0,42.0,34.0,38.0,52.0,44.0,54.0,38.0,38.0,41.0,38.0,41.0,41.0,42.0,42.0,51.0,42.0,43.0,39.0,42,0,0,0,0,0,0,1,42,24,2
42.0,35.0,36.0,37.0,39.0,43.0,47.0,39.0,40.0,42.0,34.0,38.0,52.0,44.0,54.0,38.0,38.0,41.0,38.0,41.0,41.0,42.0,42.0,51.0,42.0,43.0,39.0,42.0,44,0,0,0,0,1,0,0,44,25,2
35.0,36.0,37.0,39.0,43.0,47.0,39.0,40.0,42.0,34.0,38.0,52.0,44.0,54.0,38.0,38.0,41.0,38.0,41.0,41.0,42.0,42.0,51.0,42.0,43.0,39.0,42.0,44.0,41,1,0,0,0,0,0,0,41,26,2
36.0,37.0,39.0,43.0,47.0,39.0,40.0,42.0,34.0,38.0,52.0,44.0,54.0,38.0,38.0,41.0,38.0,41.0,41.0,42.0,42.0,51.0,42.0,43.0,39.0,42.0,44.0,41.0,42,0,0,1,0,0,0,0,42,27,2
37.0,39.0,43.0,47.0,39.0,40.0,42.0,34.0,38.0,52.0,44.0,54.0,38.0,38.0,41.0,38.0,41.0,41.0,42.0,42.0,51.0,42.0,43.0,39.0,42.0,44.0,41.0,42.0,20,0,0,0,1,0,0,0,20,28,2
39.0,43.0,47.0,39.0,40.0,42.0,34.0,38.0,52.0,44.0,54.0,38.0,38.0,41.0,38.0,41.0,41.0,42.0,42.0,51.0,42.0,43.0,39.0,42.0,44.0,41.0,42.0,20.0,22,0,1,0,0,0,0,0,22,29,2
43.0,47.0,39.0,40.0,42.0,34.0,38.0,52.0,44.0,54.0,38.0,38.0,41.0,38.0,41.0,41.0,42.0,42.0,51.0,42.0,43.0,39.0,42.0,44.0,41.0,42.0,20.0,22.0,22,0,0,0,0,0,1,0,22,1,3
47.0,39.0,40.0,42.0,34.0,38.0,52.0,44.0,54.0,38.0,38.0,41.0,38.0,41.0,41.0,42.0,42.0,51.0,42.0,43.0,39.0,42.0,44.0,41.0,42.0,20.0,22.0,22.0,38,0,0,0,0,0,0,1,38,2,3
39.0,40.0,42.0,34.0,38.0,52.0,44.0,54.0,38.0,38.0,41.0,38.0,41.0,41.0,42.0,42.0,51.0,42.0,43.0,39.0,42.0,44.0,41.0,42.0,20.0,22.0,22.0,38.0,37,0,0,0,0,1,0,0,37,3,3
40.0,42.0,34.0,38.0,52.0,44.0,54.0,38.0,38.0,41.0,38.0,41.0,41.0,42.0,42.0,51.0,42.0,43.0,39.0,42.0,44.0,41.0,42.0,20.0,22.0,22.0,38.0,37.0,36,1,0,0,0,0,0,0,36,4,3
42.0,34.0,38.0,52.0,44.0,54.0,38.0,38.0,41.0,38.0,41.0,41.0,42.0,42.0,51.0,42.0,43.0,39.0,42.0,44.0,41.0,42.0,20.0,22.0,22.0,38.0,37.0,36.0,35,0,0,1,0,0,0,0,35,5,3
