lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
24.0,38.0,23.0,6.0,5.0,19.0,22.0,8.0,24.0,56.0,27.0,748.0,22.0,21.0,12.0,35.0,8.0,6.0,12.0,48.0,57.0,2.0,12.0,31.0,43.0,52.0,40.0,707.0,2,0,0,1,0,0,0,0,2,30,1
38.0,23.0,6.0,5.0,19.0,22.0,8.0,24.0,56.0,27.0,748.0,22.0,21.0,12.0,35.0,8.0,6.0,12.0,48.0,57.0,2.0,12.0,31.0,43.0,52.0,40.0,707.0,2.0,4,0,0,0,1,0,0,0,4,31,1
23.0,6.0,5.0,19.0,22.0,8.0,24.0,56.0,27.0,748.0,22.0,21.0,12.0,35.0,8.0,6.0,12.0,48.0,57.0,2.0,12.0,31.0,43.0,52.0,40.0,707.0,2.0,4.0,5,0,1,0,0,0,0,0,5,1,2
6.0,5.0,19.0,22.0,8.0,24.0,56.0,27.0,748.0,22.0,21.0,12.0,35.0,8.0,6.0,12.0,48.0,57.0,2.0,12.0,31.0,43.0,52.0,40.0,707.0,2.0,4.0,5.0,10,0,0,0,0,0,1,0,10,2,2
5.0,19.0,22.0,8.0,24.0,56.0,27.0,748.0,22.0,21.0,12.0,35.0,8.0,6.0,12.0,48.0,57.0,2.0,12.0,31.0,43.0,52.0,40.0,707.0,2.0,4.0,5.0,10.0,42,0,0,0,0,0,0,1,42,3,2
19.0,22.0,8.0,24.0,56.0,27.0,748.0,22.0,21.0,12.0,35.0,8.0,6.0,12.0,48.0,57.0,2.0,12.0,31.0,43.0,52.0,40.0,707.0,2.0,4.0,5.0,10.0,42.0,51,0,0,0,0,1,0,0,51,4,2
22.0,8.0,24.0,56.0,27.0,748.0,22.0,21.0,12.0,35.0,8.0,6.0,12.0,48.0,57.0,2.0,12.0,31.0,43.0,52.0,40.0,707.0,2.0,4.0,5.0,10.0,42.0,51.0,54,1,0,0,0,0,0,0,54,5,2
8.0,24.0,56.0,27.0,748.0,22.0,21.0,12.0,35.0,8.0,6.0,12.0,48.0,57.0,2.0,12.0,31.0,43.0,52.0,40.0,707.0,2.0,4.0,5.0,10.0,42.0,51.0,54.0,60,0,0,1,0,0,0,0,60,6,2
24.0,56.0,27.0,748.0,22.0,21.0,12.0,35.0,8.0,6.0,12.0,48.0,57.0,2.0,12.0,31.0,43.0,52.0,40.0,707.0,2.0,4.0,5.0,10.0,42.0,51.0,54.0,60.0,38,0,0,0,1,0,0,0,38,7,2
56.0,27.0,748.0,22.0,21.0,12.0,35.0,8.0,6.0,12.0,48.0,57.0,2.0,12.0,31.0,43.0,52.0,40.0,707.0,2.0,4.0,5.0,10.0,42.0,51.0,54.0,60.0,38.0,44,0,1,0,0,0,0,0,44,8,2
27.0,748.0,22.0,21.0,12.0,35.0,8.0,6.0,12.0,48.0,57.0,2.0,12.0,31.0,43.0,52.0,40.0,707.0,2.0,4.0,5.0,10.0,42.0,51.0,54.0,60.0,38.0,44.0,62,0,0,0,0,0,1,0,62,9,2
748.0,22.0,21.0,12.0,35.0,8.0,6.0,12.0,48.0,57.0,2.0,12.0,31.0,43.0,52.0,40.0,707.0,2.0,4.0,5.0,10.0,42.0,51.0,54.0,60.0,38.0,44.0,62.0,48,0,0,0,0,0,0,1,48,10,2
22.0,21.0,12.0,35.0,8.0,6.0,12.0,48.0,57.0,2.0,12.0,31.0,43.0,52.0,40.0,707.0,2.0,4.0,5.0,10.0,42.0,51.0,54.0,60.0,38.0,44.0,62.0,48.0,45,0,0,0,0,1,0,0,45,11,2
21.0,12.0,35.0,8.0,6.0,12.0,48.0,57.0,2.0,12.0,31.0,43.0,52.0,40.0,707.0,2.0,4.0,5.0,10.0,42.0,51.0,54.0,60.0,38.0,44.0,62.0,48.0,45.0,37,1,0,0,0,0,0,0,37,12,2
12.0,35.0,8.0,6.0,12.0,48.0,57.0,2.0,12.0,31.0,43.0,52.0,40.0,707.0,2.0,4.0,5.0,10.0,42.0,51.0,54.0,60.0,38.0,44.0,62.0,48.0,45.0,37.0,42,0,0,1,0,0,0,0,42,13,2
35.0,8.0,6.0,12.0,48.0,57.0,2.0,12.0,31.0,43.0,52.0,40.0,707.0,2.0,4.0,5.0,10.0,42.0,51.0,54.0,60.0,38.0,44.0,62.0,48.0,45.0,37.0,42.0,40,0,0,0,1,0,0,0,40,14,2
8.0,6.0,12.0,48.0,57.0,2.0,12.0,31.0,43.0,52.0,40.0,707.0,2.0,4.0,5.0,10.0,42.0,51.0,54.0,60.0,38.0,44.0,62.0,48.0,45.0,37.0,42.0,40.0,41,0,1,0,0,0,0,0,41,15,2
6.0,12.0,48.0,57.0,2.0,12.0,31.0,43.0,52.0,40.0,707.0,2.0,4.0,5.0,10.0,42.0,51.0,54.0,60.0,38.0,44.0,62.0,48.0,45.0,37.0,42.0,40.0,41.0,40,0,0,0,0,0,1,0,40,16,2
12.0,48.0,57.0,2.0,12.0,31.0,43.0,52.0,40.0,707.0,2.0,4.0,5.0,10.0,42.0,51.0,54.0,60.0,38.0,44.0,62.0,48.0,45.0,37.0,42.0,40.0,41.0,40.0,22,0,0,0,0,0,0,1,22,17,2
48.0,57.0,2.0,12.0,31.0,43.0,52.0,40.0,707.0,2.0,4.0,5.0,10.0,42.0,51.0,54.0,60.0,38.0,44.0,62.0,48.0,45.0,37.0,42.0,40.0,41.0,40.0,22.0,18,0,0,0,0,1,0,0,18,18,2
57.0,2.0,12.0,31.0,43.0,52.0,40.0,707.0,2.0,4.0,5.0,10.0,42.0,51.0,54.0,60.0,38.0,44.0,62.0,48.0,45.0,37.0,42.0,40.0,41.0,40.0,22.0,18.0,12,1,0,0,0,0,0,0,12,19,2
2.0,12.0,31.0,43.0,52.0,40.0,707.0,2.0,4.0,5.0,10.0,42.0,51.0,54.0,60.0,38.0,44.0,62.0,48.0,45.0,37.0,42.0,40.0,41.0,40.0,22.0,18.0,12.0,13,0,0,1,0,0,0,0,13,20,2
12.0,31.0,43.0,52.0,40.0,707.0,2.0,4.0,5.0,10.0,42.0,51.0,54.0,60.0,38.0,44.0,62.0,48.0,45.0,37.0,42.0,40.0,41.0,40.0,22.0,18.0,12.0,13.0,19,0,0,0,1,0,0,0,19,21,2
31.0,43.0,52.0,40.0,707.0,2.0,4.0,5.0,10.0,42.0,51.0,54.0,60.0,38.0,44.0,62.0,48.0,45.0,37.0,42.0,40.0,41.0,40.0,22.0,18.0,12.0,13.0,19.0,21,0,1,0,0,0,0,0,21,22,2
43.0,52.0,40.0,707.0,2.0,4.0,5.0,10.0,42.0,51.0,54.0,60.0,38.0,44.0,62.0,48.0,45.0,37.0,42.0,40.0,41.0,40.0,22.0,18.0,12.0,13.0,19.0,21.0,43,0,0,0,0,0,1,0,43,23,2
