lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
68.0,77.0,58.0,37.0,38.0,34.0,35.0,41.0,38.0,36.0,44.0,43.0,40.0,48.0,32.0,39.0,39.0,48.0,44.0,41.0,41.0,37.0,37.0,35.0,37.0,42.0,51.0,59.0,37,0,0,1,0,0,0,0,37,30,1
77.0,58.0,37.0,38.0,34.0,35.0,41.0,38.0,36.0,44.0,43.0,40.0,48.0,32.0,39.0,39.0,48.0,44.0,41.0,41.0,37.0,37.0,35.0,37.0,42.0,51.0,59.0,37.0,38,0,0,0,1,0,0,0,38,31,1
58.0,37.0,38.0,34.0,35.0,41.0,38.0,36.0,44.0,43.0,40.0,48.0,32.0,39.0,39.0,48.0,44.0,41.0,41.0,37.0,37.0,35.0,37.0,42.0,51.0,59.0,37.0,38.0,38,0,1,0,0,0,0,0,38,1,2
37.0,38.0,34.0,35.0,41.0,38.0,36.0,44.0,43.0,40.0,48.0,32.0,39.0,39.0,48.0,44.0,41.0,41.0,37.0,37.0,35.0,37.0,42.0,51.0,59.0,37.0,38.0,38.0,37,0,0,0,0,0,1,0,37,2,2
38.0,34.0,35.0,41.0,38.0,36.0,44.0,43.0,40.0,48.0,32.0,39.0,39.0,48.0,44.0,41.0,41.0,37.0,37.0,35.0,37.0,42.0,51.0,59.0,37.0,38.0,38.0,37.0,39,0,0,0,0,0,0,1,39,3,2
34.0,35.0,41.0,38.0,36.0,44.0,43.0,40.0,48.0,32.0,39.0,39.0,48.0,44.0,41.0,41.0,37.0,37.0,35.0,37.0,42.0,51.0,59.0,37.0,38.0,38.0,37.0,39.0,36,0,0,0,0,1,0,0,36,4,2
35.0,41.0,38.0,36.0,44.0,43.0,40.0,48.0,32.0,39.0,39.0,48.0,44.0,41.0,41.0,37.0,37.0,35.0,37.0,42.0,51.0,59.0,37.0,38.0,38.0,37.0,39.0,36.0,45,1,0,0,0,0,0,0,45,5,2
41.0,38.0,36.0,44.0,43.0,40.0,48.0,32.0,39.0,39.0,48.0,44.0,41.0,41.0,37.0,37.0,35.0,37.0,42.0,51.0,59.0,37.0,38.0,38.0,37.0,39.0,36.0,45.0,54,0,0,1,0,0,0,0,54,6,2
38.0,36.0,44.0,43.0,40.0,48.0,32.0,39.0,39.0,48.0,44.0,41.0,41.0,37.0,37.0,35.0,37.0,42.0,51.0,59.0,37.0,38.0,38.0,37.0,39.0,36.0,45.0,54.0,56,0,0,0,1,0,0,0,56,7,2
36.0,44.0,43.0,40.0,48.0,32.0,39.0,39.0,48.0,44.0,41.0,41.0,37.0,37.0,35.0,37.0,42.0,51.0,59.0,37.0,38.0,38.0,37.0,39.0,36.0,45.0,54.0,56.0,40,0,1,0,0,0,0,0,40,8,2
44.0,43.0,40.0,48.0,32.0,39.0,39.0,48.0,44.0,41.0,41.0,37.0,37.0,35.0,37.0,42.0,51.0,59.0,37.0,38.0,38.0,37.0,39.0,36.0,45.0,54.0,56.0,40.0,37,0,0,0,0,0,1,0,37,9,2
43.0,40.0,48.0,32.0,39.0,39.0,48.0,44.0,41.0,41.0,37.0,37.0,35.0,37.0,42.0,51.0,59.0,37.0,38.0,38.0,37.0,39.0,36.0,45.0,54.0,56.0,40.0,37.0,45,0,0,0,0,0,0,1,45,10,2
40.0,48.0,32.0,39.0,39.0,48.0,44.0,41.0,41.0,37.0,37.0,35.0,37.0,42.0,51.0,59.0,37.0,38.0,38.0,37.0,39.0,36.0,45.0,54.0,56.0,40.0,37.0,45.0,52,0,0,0,0,1,0,0,52,11,2
48.0,32.0,39.0,39.0,48.0,44.0,41.0,41.0,37.0,37.0,35.0,37.0,42.0,51.0,59.0,37.0,38.0,38.0,37.0,39.0,36.0,45.0,54.0,56.0,40.0,37.0,45.0,52.0,56,1,0,0,0,0,0,0,56,12,2
32.0,39.0,39.0,48.0,44.0,41.0,41.0,37.0,37.0,35.0,37.0,42.0,51.0,59.0,37.0,38.0,38.0,37.0,39.0,36.0,45.0,54.0,56.0,40.0,37.0,45.0,52.0,56.0,55,0,0,1,0,0,0,0,55,13,2
39.0,39.0,48.0,44.0,41.0,41.0,37.0,37.0,35.0,37.0,42.0,51.0,59.0,37.0,38.0,38.0,37.0,39.0,36.0,45.0,54.0,56.0,40.0,37.0,45.0,52.0,56.0,55.0,40,0,0,0,1,0,0,0,40,14,2
39.0,48.0,44.0,41.0,41.0,37.0,37.0,35.0,37.0,42.0,51.0,59.0,37.0,38.0,38.0,37.0,39.0,36.0,45.0,54.0,56.0,40.0,37.0,45.0,52.0,56.0,55.0,40.0,56,0,1,0,0,0,0,0,56,15,2
48.0,44.0,41.0,41.0,37.0,37.0,35.0,37.0,42.0,51.0,59.0,37.0,38.0,38.0,37.0,39.0,36.0,45.0,54.0,56.0,40.0,37.0,45.0,52.0,56.0,55.0,40.0,56.0,56,0,0,0,0,0,1,0,56,16,2
44.0,41.0,41.0,37.0,37.0,35.0,37.0,42.0,51.0,59.0,37.0,38.0,38.0,37.0,39.0,36.0,45.0,54.0,56.0,40.0,37.0,45.0,52.0,56.0,55.0,40.0,56.0,56.0,57,0,0,0,0,0,0,1,57,17,2
41.0,41.0,37.0,37.0,35.0,37.0,42.0,51.0,59.0,37.0,38.0,38.0,37.0,39.0,36.0,45.0,54.0,56.0,40.0,37.0,45.0,52.0,56.0,55.0,40.0,56.0,56.0,57.0,43,0,0,0,0,1,0,0,43,18,2
41.0,37.0,37.0,35.0,37.0,42.0,51.0,59.0,37.0,38.0,38.0,37.0,39.0,36.0,45.0,54.0,56.0,40.0,37.0,45.0,52.0,56.0,55.0,40.0,56.0,56.0,57.0,43.0,43,1,0,0,0,0,0,0,43,19,2
37.0,37.0,35.0,37.0,42.0,51.0,59.0,37.0,38.0,38.0,37.0,39.0,36.0,45.0,54.0,56.0,40.0,37.0,45.0,52.0,56.0,55.0,40.0,56.0,56.0,57.0,43.0,43.0,50,0,0,1,0,0,0,0,50,20,2
37.0,35.0,37.0,42.0,51.0,59.0,37.0,38.0,38.0,37.0,39.0,36.0,45.0,54.0,56.0,40.0,37.0,45.0,52.0,56.0,55.0,40.0,56.0,56.0,57.0,43.0,43.0,50.0,50,0,0,0,1,0,0,0,50,21,2
35.0,37.0,42.0,51.0,59.0,37.0,38.0,38.0,37.0,39.0,36.0,45.0,54.0,56.0,40.0,37.0,45.0,52.0,56.0,55.0,40.0,56.0,56.0,57.0,43.0,43.0,50.0,50.0,45,0,1,0,0,0,0,0,45,22,2
37.0,42.0,51.0,59.0,37.0,38.0,38.0,37.0,39.0,36.0,45.0,54.0,56.0,40.0,37.0,45.0,52.0,56.0,55.0,40.0,56.0,56.0,57.0,43.0,43.0,50.0,50.0,45.0,54,0,0,0,0,0,1,0,54,23,2
42.0,51.0,59.0,37.0,38.0,38.0,37.0,39.0,36.0,45.0,54.0,56.0,40.0,37.0,45.0,52.0,56.0,55.0,40.0,56.0,56.0,57.0,43.0,43.0,50.0,50.0,45.0,54.0,57,0,0,0,0,0,0,1,57,24,2
51.0,59.0,37.0,38.0,38.0,37.0,39.0,36.0,45.0,54.0,56.0,40.0,37.0,45.0,52.0,56.0,55.0,40.0,56.0,56.0,57.0,43.0,43.0,50.0,50.0,45.0,54.0,57.0,58,0,0,0,0,1,0,0,58,25,2
59.0,37.0,38.0,38.0,37.0,39.0,36.0,45.0,54.0,56.0,40.0,37.0,45.0,52.0,56.0,55.0,40.0,56.0,56.0,57.0,43.0,43.0,50.0,50.0,45.0,54.0,57.0,58.0,54,1,0,0,0,0,0,0,54,26,2
37.0,38.0,38.0,37.0,39.0,36.0,45.0,54.0,56.0,40.0,37.0,45.0,52.0,56.0,55.0,40.0,56.0,56.0,57.0,43.0,43.0,50.0,50.0,45.0,54.0,57.0,58.0,54.0,48,0,0,1,0,0,0,0,48,27,2
38.0,38.0,37.0,39.0,36.0,45.0,54.0,56.0,40.0,37.0,45.0,52.0,56.0,55.0,40.0,56.0,56.0,57.0,43.0,43.0,50.0,50.0,45.0,54.0,57.0,58.0,54.0,48.0,53,0,0,0,1,0,0,0,53,28,2
38.0,37.0,39.0,36.0,45.0,54.0,56.0,40.0,37.0,45.0,52.0,56.0,55.0,40.0,56.0,56.0,57.0,43.0,43.0,50.0,50.0,45.0,54.0,57.0,58.0,54.0,48.0,53.0,47,0,1,0,0,0,0,0,47,29,2
37.0,39.0,36.0,45.0,54.0,56.0,40.0,37.0,45.0,52.0,56.0,55.0,40.0,56.0,56.0,57.0,43.0,43.0,50.0,50.0,45.0,54.0,57.0,58.0,54.0,48.0,53.0,47.0,44,0,0,0,0,0,1,0,44,1,3
39.0,36.0,45.0,54.0,56.0,40.0,37.0,45.0,52.0,56.0,55.0,40.0,56.0,56.0,57.0,43.0,43.0,50.0,50.0,45.0,54.0,57.0,58.0,54.0,48.0,53.0,47.0,44.0,43,0,0,0,0,0,0,1,43,2,3
36.0,45.0,54.0,56.0,40.0,37.0,45.0,52.0,56.0,55.0,40.0,56.0,56.0,57.0,43.0,43.0,50.0,50.0,45.0,54.0,57.0,58.0,54.0,48.0,53.0,47.0,44.0,43.0,40,0,0,0,0,1,0,0,40,3,3
45.0,54.0,56.0,40.0,37.0,45.0,52.0,56.0,55.0,40.0,56.0,56.0,57.0,43.0,43.0,50.0,50.0,45.0,54.0,57.0,58.0,54.0,48.0,53.0,47.0,44.0,43.0,40.0,33,1,0,0,0,0,0,0,33,4,3
54.0,56.0,40.0,37.0,45.0,52.0,56.0,55.0,40.0,56.0,56.0,57.0,43.0,43.0,50.0,50.0,45.0,54.0,57.0,58.0,54.0,48.0,53.0,47.0,44.0,43.0,40.0,33.0,39,0,0,1,0,0,0,0,39,5,3
56.0,40.0,37.0,45.0,52.0,56.0,55.0,40.0,56.0,56.0,57.0,43.0,43.0,50.0,50.0,45.0,54.0,57.0,58.0,54.0,48.0,53.0,47.0,44.0,43.0,40.0,33.0,39.0,42,0,0,0,1,0,0,0,42,6,3
40.0,37.0,45.0,52.0,56.0,55.0,40.0,56.0,56.0,57.0,43.0,43.0,50.0,50.0,45.0,54.0,57.0,58.0,54.0,48.0,53.0,47.0,44.0,43.0,40.0,33.0,39.0,42.0,41,0,1,0,0,0,0,0,41,7,3
37.0,45.0,52.0,56.0,55.0,40.0,56.0,56.0,57.0,43.0,43.0,50.0,50.0,45.0,54.0,57.0,58.0,54.0,48.0,53.0,47.0,44.0,43.0,40.0,33.0,39.0,42.0,41.0,38,0,0,0,0,0,1,0,38,8,3
45.0,52.0,56.0,55.0,40.0,56.0,56.0,57.0,43.0,43.0,50.0,50.0,45.0,54.0,57.0,58.0,54.0,48.0,53.0,47.0,44.0,43.0,40.0,33.0,39.0,42.0,41.0,38.0,35,0,0,0,0,0,0,1,35,9,3
