lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
57.0,38.0,32.0,35.0,36.0,33.0,28.0,32.0,29.0,26.0,34.0,35.0,30.0,35.0,29.0,24.0,31.0,28.0,26.0,35.0,34.0,35.0,33.0,32.0,27.0,27.0,31.0,23.0,34,0,0,1,0,0,0,0,34,30,1
38.0,32.0,35.0,36.0,33.0,28.0,32.0,29.0,26.0,34.0,35.0,30.0,35.0,29.0,24.0,31.0,28.0,26.0,35.0,34.0,35.0,33.0,32.0,27.0,27.0,31.0,23.0,34.0,34,0,0,0,1,0,0,0,34,31,1
32.0,35.0,36.0,33.0,28.0,32.0,29.0,26.0,34.0,35.0,30.0,35.0,29.0,24.0,31.0,28.0,26.0,35.0,34.0,35.0,33.0,32.0,27.0,27.0,31.0,23.0,34.0,34.0,33,0,1,0,0,0,0,0,33,1,2
35.0,36.0,33.0,28.0,32.0,29.0,26.0,34.0,35.0,30.0,35.0,29.0,24.0,31.0,28.0,26.0,35.0,34.0,35.0,33.0,32.0,27.0,27.0,31.0,23.0,34.0,34.0,33.0,32,0,0,0,0,0,1,0,32,2,2
36.0,33.0,28.0,32.0,29.0,26.0,34.0,35.0,30.0,35.0,29.0,24.0,31.0,28.0,26.0,35.0,34.0,35.0,33.0,32.0,27.0,27.0,31.0,23.0,34.0,34.0,33.0,32.0,33,0,0,0,0,0,0,1,33,3,2
33.0,28.0,32.0,29.0,26.0,34.0,35.0,30.0,35.0,29.0,24.0,31.0,28.0,26.0,35.0,34.0,35.0,33.0,32.0,27.0,27.0,31.0,23.0,34.0,34.0,33.0,32.0,33.0,33,0,0,0,0,1,0,0,33,4,2
28.0,32.0,29.0,26.0,34.0,35.0,30.0,35.0,29.0,24.0,31.0,28.0,26.0,35.0,34.0,35.0,33.0,32.0,27.0,27.0,31.0,23.0,34.0,34.0,33.0,32.0,33.0,33.0,33,1,0,0,0,0,0,0,33,5,2
32.0,29.0,26.0,34.0,35.0,30.0,35.0,29.0,24.0,31.0,28.0,26.0,35.0,34.0,35.0,33.0,32.0,27.0,27.0,31.0,23.0,34.0,34.0,33.0,32.0,33.0,33.0,33.0,33,0,0,1,0,0,0,0,33,6,2
29.0,26.0,34.0,35.0,30.0,35.0,29.0,24.0,31.0,28.0,26.0,35.0,34.0,35.0,33.0,32.0,27.0,27.0,31.0,23.0,34.0,34.0,33.0,32.0,33.0,33.0,33.0,33.0,32,0,0,0,1,0,0,0,32,7,2
26.0,34.0,35.0,30.0,35.0,29.0,24.0,31.0,28.0,26.0,35.0,34.0,35.0,33.0,32.0,27.0,27.0,31.0,23.0,34.0,34.0,33.0,32.0,33.0,33.0,33.0,33.0,32.0,34,0,1,0,0,0,0,0,34,8,2
34.0,35.0,30.0,35.0,29.0,24.0,31.0,28.0,26.0,35.0,34.0,35.0,33.0,32.0,27.0,27.0,31.0,23.0,34.0,34.0,33.0,32.0,33.0,33.0,33.0,33.0,32.0,34.0,35,0,0,0,0,0,1,0,35,9,2
35.0,30.0,35.0,29.0,24.0,31.0,28.0,26.0,35.0,34.0,35.0,33.0,32.0,27.0,27.0,31.0,23.0,34.0,34.0,33.0,32.0,33.0,33.0,33.0,33.0,32.0,34.0,35.0,33,0,0,0,0,0,0,1,33,10,2
30.0,35.0,29.0,24.0,31.0,28.0,26.0,35.0,34.0,35.0,33.0,32.0,27.0,27.0,31.0,23.0,34.0,34.0,33.0,32.0,33.0,33.0,33.0,33.0,32.0,34.0,35.0,33.0,36,0,0,0,0,1,0,0,36,11,2
35.0,29.0,24.0,31.0,28.0,26.0,35.0,34.0,35.0,33.0,32.0,27.0,27.0,31.0,23.0,34.0,34.0,33.0,32.0,33.0,33.0,33.0,33.0,32.0,34.0,35.0,33.0,36.0,39,1,0,0,0,0,0,0,39,12,2
29.0,24.0,31.0,28.0,26.0,35.0,34.0,35.0,33.0,32.0,27.0,27.0,31.0,23.0,34.0,34.0,33.0,32.0,33.0,33.0,33.0,33.0,32.0,34.0,35.0,33.0,36.0,39.0,34,0,0,1,0,0,0,0,34,13,2
24.0,31.0,28.0,26.0,35.0,34.0,35.0,33.0,32.0,27.0,27.0,31.0,23.0,34.0,34.0,33.0,32.0,33.0,33.0,33.0,33.0,32.0,34.0,35.0,33.0,36.0,39.0,34.0,31,0,0,0,1,0,0,0,31,14,2
31.0,28.0,26.0,35.0,34.0,35.0,33.0,32.0,27.0,27.0,31.0,23.0,34.0,34.0,33.0,32.0,33.0,33.0,33.0,33.0,32.0,34.0,35.0,33.0,36.0,39.0,34.0,31.0,31,0,1,0,0,0,0,0,31,15,2
28.0,26.0,35.0,34.0,35.0,33.0,32.0,27.0,27.0,31.0,23.0,34.0,34.0,33.0,32.0,33.0,33.0,33.0,33.0,32.0,34.0,35.0,33.0,36.0,39.0,34.0,31.0,31.0,36,0,0,0,0,0,1,0,36,16,2
26.0,35.0,34.0,35.0,33.0,32.0,27.0,27.0,31.0,23.0,34.0,34.0,33.0,32.0,33.0,33.0,33.0,33.0,32.0,34.0,35.0,33.0,36.0,39.0,34.0,31.0,31.0,36.0,38,0,0,0,0,0,0,1,38,17,2
35.0,34.0,35.0,33.0,32.0,27.0,27.0,31.0,23.0,34.0,34.0,33.0,32.0,33.0,33.0,33.0,33.0,32.0,34.0,35.0,33.0,36.0,39.0,34.0,31.0,31.0,36.0,38.0,37,0,0,0,0,1,0,0,37,18,2
34.0,35.0,33.0,32.0,27.0,27.0,31.0,23.0,34.0,34.0,33.0,32.0,33.0,33.0,33.0,33.0,32.0,34.0,35.0,33.0,36.0,39.0,34.0,31.0,31.0,36.0,38.0,37.0,37,1,0,0,0,0,0,0,37,19,2
35.0,33.0,32.0,27.0,27.0,31.0,23.0,34.0,34.0,33.0,32.0,33.0,33.0,33.0,33.0,32.0,34.0,35.0,33.0,36.0,39.0,34.0,31.0,31.0,36.0,38.0,37.0,37.0,31,0,0,1,0,0,0,0,31,20,2
33.0,32.0,27.0,27.0,31.0,23.0,34.0,34.0,33.0,32.0,33.0,33.0,33.0,33.0,32.0,34.0,35.0,33.0,36.0,39.0,34.0,31.0,31.0,36.0,38.0,37.0,37.0,31.0,33,0,0,0,1,0,0,0,33,21,2
32.0,27.0,27.0,31.0,23.0,34.0,34.0,33.0,32.0,33.0,33.0,33.0,33.0,32.0,34.0,35.0,33.0,36.0,39.0,34.0,31.0,31.0,36.0,38.0,37.0,37.0,31.0,33.0,37,0,1,0,0,0,0,0,37,22,2
27.0,27.0,31.0,23.0,34.0,34.0,33.0,32.0,33.0,33.0,33.0,33.0,32.0,34.0,35.0,33.0,36.0,39.0,34.0,31.0,31.0,36.0,38.0,37.0,37.0,31.0,33.0,37.0,35,0,0,0,0,0,1,0,35,23,2
27.0,31.0,23.0,34.0,34.0,33.0,32.0,33.0,33.0,33.0,33.0,32.0,34.0,35.0,33.0,36.0,39.0,34.0,31.0,31.0,36.0,38.0,37.0,37.0,31.0,33.0,37.0,35.0,44,0,0,0,0,0,0,1,44,24,2
31.0,23.0,34.0,34.0,33.0,32.0,33.0,33.0,33.0,33.0,32.0,34.0,35.0,33.0,36.0,39.0,34.0,31.0,31.0,36.0,38.0,37.0,37.0,31.0,33.0,37.0,35.0,44.0,44,0,0,0,0,1,0,0,44,25,2
23.0,34.0,34.0,33.0,32.0,33.0,33.0,33.0,33.0,32.0,34.0,35.0,33.0,36.0,39.0,34.0,31.0,31.0,36.0,38.0,37.0,37.0,31.0,33.0,37.0,35.0,44.0,44.0,42,1,0,0,0,0,0,0,42,26,2
34.0,34.0,33.0,32.0,33.0,33.0,33.0,33.0,32.0,34.0,35.0,33.0,36.0,39.0,34.0,31.0,31.0,36.0,38.0,37.0,37.0,31.0,33.0,37.0,35.0,44.0,44.0,42.0,33,0,0,1,0,0,0,0,33,27,2
34.0,33.0,32.0,33.0,33.0,33.0,33.0,32.0,34.0,35.0,33.0,36.0,39.0,34.0,31.0,31.0,36.0,38.0,37.0,37.0,31.0,33.0,37.0,35.0,44.0,44.0,42.0,33.0,38,0,0,0,1,0,0,0,38,28,2
33.0,32.0,33.0,33.0,33.0,33.0,32.0,34.0,35.0,33.0,36.0,39.0,34.0,31.0,31.0,36.0,38.0,37.0,37.0,31.0,33.0,37.0,35.0,44.0,44.0,42.0,33.0,38.0,36,0,1,0,0,0,0,0,36,29,2
32.0,33.0,33.0,33.0,33.0,32.0,34.0,35.0,33.0,36.0,39.0,34.0,31.0,31.0,36.0,38.0,37.0,37.0,31.0,33.0,37.0,35.0,44.0,44.0,42.0,33.0,38.0,36.0,41,0,0,0,0,0,1,0,41,1,3
33.0,33.0,33.0,33.0,32.0,34.0,35.0,33.0,36.0,39.0,34.0,31.0,31.0,36.0,38.0,37.0,37.0,31.0,33.0,37.0,35.0,44.0,44.0,42.0,33.0,38.0,36.0,41.0,42,0,0,0,0,0,0,1,42,2,3
33.0,33.0,33.0,32.0,34.0,35.0,33.0,36.0,39.0,34.0,31.0,31.0,36.0,38.0,37.0,37.0,31.0,33.0,37.0,35.0,44.0,44.0,42.0,33.0,38.0,36.0,41.0,42.0,27,0,0,0,0,1,0,0,27,3,3
33.0,33.0,32.0,34.0,35.0,33.0,36.0,39.0,34.0,31.0,31.0,36.0,38.0,37.0,37.0,31.0,33.0,37.0,35.0,44.0,44.0,42.0,33.0,38.0,36.0,41.0,42.0,27.0,23,1,0,0,0,0,0,0,23,4,3
33.0,32.0,34.0,35.0,33.0,36.0,39.0,34.0,31.0,31.0,36.0,38.0,37.0,37.0,31.0,33.0,37.0,35.0,44.0,44.0,42.0,33.0,38.0,36.0,41.0,42.0,27.0,23.0,38,0,0,1,0,0,0,0,38,5,3
32.0,34.0,35.0,33.0,36.0,39.0,34.0,31.0,31.0,36.0,38.0,37.0,37.0,31.0,33.0,37.0,35.0,44.0,44.0,42.0,33.0,38.0,36.0,41.0,42.0,27.0,23.0,38.0,40,0,0,0,1,0,0,0,40,6,3
34.0,35.0,33.0,36.0,39.0,34.0,31.0,31.0,36.0,38.0,37.0,37.0,31.0,33.0,37.0,35.0,44.0,44.0,42.0,33.0,38.0,36.0,41.0,42.0,27.0,23.0,38.0,40.0,38,0,1,0,0,0,0,0,38,7,3
35.0,33.0,36.0,39.0,34.0,31.0,31.0,36.0,38.0,37.0,37.0,31.0,33.0,37.0,35.0,44.0,44.0,42.0,33.0,38.0,36.0,41.0,42.0,27.0,23.0,38.0,40.0,38.0,33,0,0,0,0,0,1,0,33,8,3
33.0,36.0,39.0,34.0,31.0,31.0,36.0,38.0,37.0,37.0,31.0,33.0,37.0,35.0,44.0,44.0,42.0,33.0,38.0,36.0,41.0,42.0,27.0,23.0,38.0,40.0,38.0,33.0,29,0,0,0,0,0,0,1,29,9,3
