lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
94.0,106.0,93.0,58.0,32.0,49.0,63.0,59.0,57.0,67.0,75.0,67.0,43.0,55.0,58.0,59.0,41.0,34.0,52.0,53.0,50.0,39.0,44.0,49.0,57.0,72.0,81.0,111.0,37,0,0,1,0,0,0,0,37,30,1
106.0,93.0,58.0,32.0,49.0,63.0,59.0,57.0,67.0,75.0,67.0,43.0,55.0,58.0,59.0,41.0,34.0,52.0,53.0,50.0,39.0,44.0,49.0,57.0,72.0,81.0,111.0,37.0,35,0,0,0,1,0,0,0,35,31,1
93.0,58.0,32.0,49.0,63.0,59.0,57.0,67.0,75.0,67.0,43.0,55.0,58.0,59.0,41.0,34.0,52.0,53.0,50.0,39.0,44.0,49.0,57.0,72.0,81.0,111.0,37.0,35.0,38,0,1,0,0,0,0,0,38,1,2
58.0,32.0,49.0,63.0,59.0,57.0,67.0,75.0,67.0,43.0,55.0,58.0,59.0,41.0,34.0,52.0,53.0,50.0,39.0,44.0,49.0,57.0,72.0,81.0,111.0,37.0,35.0,38.0,54,0,0,0,0,0,1,0,54,2,2
32.0,49.0,63.0,59.0,57.0,67.0,75.0,67.0,43.0,55.0,58.0,59.0,41.0,34.0,52.0,53.0,50.0,39.0,44.0,49.0,57.0,72.0,81.0,111.0,37.0,35.0,38.0,54.0,66,0,0,0,0,0,0,1,66,3,2
49.0,63.0,59.0,57.0,67.0,75.0,67.0,43.0,55.0,58.0,59.0,41.0,34.0,52.0,53.0,50.0,39.0,44.0,49.0,57.0,72.0,81.0,111.0,37.0,35.0,38.0,54.0,66.0,56,0,0,0,0,1,0,0,56,4,2
63.0,59.0,57.0,67.0,75.0,67.0,43.0,55.0,58.0,59.0,41.0,34.0,52.0,53.0,50.0,39.0,44.0,49.0,57.0,72.0,81.0,111.0,37.0,35.0,38.0,54.0,66.0,56.0,70,1,0,0,0,0,0,0,70,5,2
59.0,57.0,67.0,75.0,67.0,43.0,55.0,58.0,59.0,41.0,34.0,52.0,53.0,50.0,39.0,44.0,49.0,57.0,72.0,81.0,111.0,37.0,35.0,38.0,54.0,66.0,56.0,70.0,77,0,0,1,0,0,0,0,77,6,2
57.0,67.0,75.0,67.0,43.0,55.0,58.0,59.0,41.0,34.0,52.0,53.0,50.0,39.0,44.0,49.0,57.0,72.0,81.0,111.0,37.0,35.0,38.0,54.0,66.0,56.0,70.0,77.0,72,0,0,0,1,0,0,0,72,7,2
67.0,75.0,67.0,43.0,55.0,58.0,59.0,41.0,34.0,52.0,53.0,50.0,39.0,44.0,49.0,57.0,72.0,81.0,111.0,37.0,35.0,38.0,54.0,66.0,56.0,70.0,77.0,72.0,80,0,1,0,0,0,0,0,80,8,2
75.0,67.0,43.0,55.0,58.0,59.0,41.0,34.0,52.0,53.0,50.0,39.0,44.0,49.0,57.0,72.0,81.0,111.0,37.0,35.0,38.0,54.0,66.0,56.0,70.0,77.0,72.0,80.0,83,0,0,0,0,0,1,0,83,9,2
67.0,43.0,55.0,58.0,59.0,41.0,34.0,52.0,53.0,50.0,39.0,44.0,49.0,57.0,72.0,81.0,111.0,37.0,35.0,38.0,54.0,66.0,56.0,70.0,77.0,72.0,80.0,83.0,97,0,0,0,0,0,0,1,97,10,2
43.0,55.0,58.0,59.0,41.0,34.0,52.0,53.0,50.0,39.0,44.0,49.0,57.0,72.0,81.0,111.0,37.0,35.0,38.0,54.0,66.0,56.0,70.0,77.0,72.0,80.0,83.0,97.0,88,0,0,0,0,1,0,0,88,11,2
55.0,58.0,59.0,41.0,34.0,52.0,53.0,50.0,39.0,44.0,49.0,57.0,72.0,81.0,111.0,37.0,35.0,38.0,54.0,66.0,56.0,70.0,77.0,72.0,80.0,83.0,97.0,88.0,98,1,0,0,0,0,0,0,98,12,2
