lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
30.0,40.0,31.0,40.0,62.0,69.0,56.0,45.0,33.0,27.0,37.0,28.0,51.0,60.0,28.0,27.0,29.0,29.0,31.0,32.0,31.0,34.0,35.0,54.0,69.0,43.0,55.0,59.0,33,0,0,1,0,0,0,0,33,30,1
40.0,31.0,40.0,62.0,69.0,56.0,45.0,33.0,27.0,37.0,28.0,51.0,60.0,28.0,27.0,29.0,29.0,31.0,32.0,31.0,34.0,35.0,54.0,69.0,43.0,55.0,59.0,33.0,54,0,0,0,1,0,0,0,54,31,1
31.0,40.0,62.0,69.0,56.0,45.0,33.0,27.0,37.0,28.0,51.0,60.0,28.0,27.0,29.0,29.0,31.0,32.0,31.0,34.0,35.0,54.0,69.0,43.0,55.0,59.0,33.0,54.0,57,0,1,0,0,0,0,0,57,1,2
40.0,62.0,69.0,56.0,45.0,33.0,27.0,37.0,28.0,51.0,60.0,28.0,27.0,29.0,29.0,31.0,32.0,31.0,34.0,35.0,54.0,69.0,43.0,55.0,59.0,33.0,54.0,57.0,37,0,0,0,0,0,1,0,37,2,2
62.0,69.0,56.0,45.0,33.0,27.0,37.0,28.0,51.0,60.0,28.0,27.0,29.0,29.0,31.0,32.0,31.0,34.0,35.0,54.0,69.0,43.0,55.0,59.0,33.0,54.0,57.0,37.0,33,0,0,0,0,0,0,1,33,3,2
69.0,56.0,45.0,33.0,27.0,37.0,28.0,51.0,60.0,28.0,27.0,29.0,29.0,31.0,32.0,31.0,34.0,35.0,54.0,69.0,43.0,55.0,59.0,33.0,54.0,57.0,37.0,33.0,29,0,0,0,0,1,0,0,29,4,2
56.0,45.0,33.0,27.0,37.0,28.0,51.0,60.0,28.0,27.0,29.0,29.0,31.0,32.0,31.0,34.0,35.0,54.0,69.0,43.0,55.0,59.0,33.0,54.0,57.0,37.0,33.0,29.0,29,1,0,0,0,0,0,0,29,5,2
45.0,33.0,27.0,37.0,28.0,51.0,60.0,28.0,27.0,29.0,29.0,31.0,32.0,31.0,34.0,35.0,54.0,69.0,43.0,55.0,59.0,33.0,54.0,57.0,37.0,33.0,29.0,29.0,47,0,0,1,0,0,0,0,47,6,2
33.0,27.0,37.0,28.0,51.0,60.0,28.0,27.0,29.0,29.0,31.0,32.0,31.0,34.0,35.0,54.0,69.0,43.0,55.0,59.0,33.0,54.0,57.0,37.0,33.0,29.0,29.0,47.0,66,0,0,0,1,0,0,0,66,7,2
27.0,37.0,28.0,51.0,60.0,28.0,27.0,29.0,29.0,31.0,32.0,31.0,34.0,35.0,54.0,69.0,43.0,55.0,59.0,33.0,54.0,57.0,37.0,33.0,29.0,29.0,47.0,66.0,31,0,1,0,0,0,0,0,31,8,2
37.0,28.0,51.0,60.0,28.0,27.0,29.0,29.0,31.0,32.0,31.0,34.0,35.0,54.0,69.0,43.0,55.0,59.0,33.0,54.0,57.0,37.0,33.0,29.0,29.0,47.0,66.0,31.0,35,0,0,0,0,0,1,0,35,9,2
28.0,51.0,60.0,28.0,27.0,29.0,29.0,31.0,32.0,31.0,34.0,35.0,54.0,69.0,43.0,55.0,59.0,33.0,54.0,57.0,37.0,33.0,29.0,29.0,47.0,66.0,31.0,35.0,62,0,0,0,0,0,0,1,62,10,2
51.0,60.0,28.0,27.0,29.0,29.0,31.0,32.0,31.0,34.0,35.0,54.0,69.0,43.0,55.0,59.0,33.0,54.0,57.0,37.0,33.0,29.0,29.0,47.0,66.0,31.0,35.0,62.0,31,0,0,0,0,1,0,0,31,11,2
60.0,28.0,27.0,29.0,29.0,31.0,32.0,31.0,34.0,35.0,54.0,69.0,43.0,55.0,59.0,33.0,54.0,57.0,37.0,33.0,29.0,29.0,47.0,66.0,31.0,35.0,62.0,31.0,39,1,0,0,0,0,0,0,39,12,2
28.0,27.0,29.0,29.0,31.0,32.0,31.0,34.0,35.0,54.0,69.0,43.0,55.0,59.0,33.0,54.0,57.0,37.0,33.0,29.0,29.0,47.0,66.0,31.0,35.0,62.0,31.0,39.0,45,0,0,1,0,0,0,0,45,13,2
27.0,29.0,29.0,31.0,32.0,31.0,34.0,35.0,54.0,69.0,43.0,55.0,59.0,33.0,54.0,57.0,37.0,33.0,29.0,29.0,47.0,66.0,31.0,35.0,62.0,31.0,39.0,45.0,42,0,0,0,1,0,0,0,42,14,2
29.0,29.0,31.0,32.0,31.0,34.0,35.0,54.0,69.0,43.0,55.0,59.0,33.0,54.0,57.0,37.0,33.0,29.0,29.0,47.0,66.0,31.0,35.0,62.0,31.0,39.0,45.0,42.0,77,0,1,0,0,0,0,0,77,15,2
29.0,31.0,32.0,31.0,34.0,35.0,54.0,69.0,43.0,55.0,59.0,33.0,54.0,57.0,37.0,33.0,29.0,29.0,47.0,66.0,31.0,35.0,62.0,31.0,39.0,45.0,42.0,77.0,36,0,0,0,0,0,1,0,36,16,2
31.0,32.0,31.0,34.0,35.0,54.0,69.0,43.0,55.0,59.0,33.0,54.0,57.0,37.0,33.0,29.0,29.0,47.0,66.0,31.0,35.0,62.0,31.0,39.0,45.0,42.0,77.0,36.0,32,0,0,0,0,0,0,1,32,17,2
32.0,31.0,34.0,35.0,54.0,69.0,43.0,55.0,59.0,33.0,54.0,57.0,37.0,33.0,29.0,29.0,47.0,66.0,31.0,35.0,62.0,31.0,39.0,45.0,42.0,77.0,36.0,32.0,31,0,0,0,0,1,0,0,31,18,2
31.0,34.0,35.0,54.0,69.0,43.0,55.0,59.0,33.0,54.0,57.0,37.0,33.0,29.0,29.0,47.0,66.0,31.0,35.0,62.0,31.0,39.0,45.0,42.0,77.0,36.0,32.0,31.0,32,1,0,0,0,0,0,0,32,19,2
34.0,35.0,54.0,69.0,43.0,55.0,59.0,33.0,54.0,57.0,37.0,33.0,29.0,29.0,47.0,66.0,31.0,35.0,62.0,31.0,39.0,45.0,42.0,77.0,36.0,32.0,31.0,32.0,38,0,0,1,0,0,0,0,38,20,2
35.0,54.0,69.0,43.0,55.0,59.0,33.0,54.0,57.0,37.0,33.0,29.0,29.0,47.0,66.0,31.0,35.0,62.0,31.0,39.0,45.0,42.0,77.0,36.0,32.0,31.0,32.0,38.0,34,0,0,0,1,0,0,0,34,21,2
54.0,69.0,43.0,55.0,59.0,33.0,54.0,57.0,37.0,33.0,29.0,29.0,47.0,66.0,31.0,35.0,62.0,31.0,39.0,45.0,42.0,77.0,36.0,32.0,31.0,32.0,38.0,34.0,28,0,1,0,0,0,0,0,28,22,2
69.0,43.0,55.0,59.0,33.0,54.0,57.0,37.0,33.0,29.0,29.0,47.0,66.0,31.0,35.0,62.0,31.0,39.0,45.0,42.0,77.0,36.0,32.0,31.0,32.0,38.0,34.0,28.0,32,0,0,0,0,0,1,0,32,23,2
43.0,55.0,59.0,33.0,54.0,57.0,37.0,33.0,29.0,29.0,47.0,66.0,31.0,35.0,62.0,31.0,39.0,45.0,42.0,77.0,36.0,32.0,31.0,32.0,38.0,34.0,28.0,32.0,31,0,0,0,0,0,0,1,31,24,2
55.0,59.0,33.0,54.0,57.0,37.0,33.0,29.0,29.0,47.0,66.0,31.0,35.0,62.0,31.0,39.0,45.0,42.0,77.0,36.0,32.0,31.0,32.0,38.0,34.0,28.0,32.0,31.0,27,0,0,0,0,1,0,0,27,25,2
59.0,33.0,54.0,57.0,37.0,33.0,29.0,29.0,47.0,66.0,31.0,35.0,62.0,31.0,39.0,45.0,42.0,77.0,36.0,32.0,31.0,32.0,38.0,34.0,28.0,32.0,31.0,27.0,34,1,0,0,0,0,0,0,34,26,2
33.0,54.0,57.0,37.0,33.0,29.0,29.0,47.0,66.0,31.0,35.0,62.0,31.0,39.0,45.0,42.0,77.0,36.0,32.0,31.0,32.0,38.0,34.0,28.0,32.0,31.0,27.0,34.0,44,0,0,1,0,0,0,0,44,27,2
54.0,57.0,37.0,33.0,29.0,29.0,47.0,66.0,31.0,35.0,62.0,31.0,39.0,45.0,42.0,77.0,36.0,32.0,31.0,32.0,38.0,34.0,28.0,32.0,31.0,27.0,34.0,44.0,55,0,0,0,1,0,0,0,55,28,2
57.0,37.0,33.0,29.0,29.0,47.0,66.0,31.0,35.0,62.0,31.0,39.0,45.0,42.0,77.0,36.0,32.0,31.0,32.0,38.0,34.0,28.0,32.0,31.0,27.0,34.0,44.0,55.0,42,0,1,0,0,0,0,0,42,29,2
37.0,33.0,29.0,29.0,47.0,66.0,31.0,35.0,62.0,31.0,39.0,45.0,42.0,77.0,36.0,32.0,31.0,32.0,38.0,34.0,28.0,32.0,31.0,27.0,34.0,44.0,55.0,42.0,41,0,0,0,0,0,1,0,41,1,3
33.0,29.0,29.0,47.0,66.0,31.0,35.0,62.0,31.0,39.0,45.0,42.0,77.0,36.0,32.0,31.0,32.0,38.0,34.0,28.0,32.0,31.0,27.0,34.0,44.0,55.0,42.0,41.0,36,0,0,0,0,0,0,1,36,2,3
29.0,29.0,47.0,66.0,31.0,35.0,62.0,31.0,39.0,45.0,42.0,77.0,36.0,32.0,31.0,32.0,38.0,34.0,28.0,32.0,31.0,27.0,34.0,44.0,55.0,42.0,41.0,36.0,32,0,0,0,0,1,0,0,32,3,3
29.0,47.0,66.0,31.0,35.0,62.0,31.0,39.0,45.0,42.0,77.0,36.0,32.0,31.0,32.0,38.0,34.0,28.0,32.0,31.0,27.0,34.0,44.0,55.0,42.0,41.0,36.0,32.0,31,1,0,0,0,0,0,0,31,4,3
47.0,66.0,31.0,35.0,62.0,31.0,39.0,45.0,42.0,77.0,36.0,32.0,31.0,32.0,38.0,34.0,28.0,32.0,31.0,27.0,34.0,44.0,55.0,42.0,41.0,36.0,32.0,31.0,35,0,0,1,0,0,0,0,35,5,3
66.0,31.0,35.0,62.0,31.0,39.0,45.0,42.0,77.0,36.0,32.0,31.0,32.0,38.0,34.0,28.0,32.0,31.0,27.0,34.0,44.0,55.0,42.0,41.0,36.0,32.0,31.0,35.0,36,0,0,0,1,0,0,0,36,6,3
