lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
62.0,126.0,88.0,127.0,69.0,104.0,134.0,92.0,114.0,140.0,44.0,73.0,101.0,85.0,52.0,137.0,39.0,52.0,99.0,65.0,75.0,71.0,43.0,74.0,62.0,46.0,63.0,47.0,67,1,0,0,0,0,0,0,67,29,4
126.0,88.0,127.0,69.0,104.0,134.0,92.0,114.0,140.0,44.0,73.0,101.0,85.0,52.0,137.0,39.0,52.0,99.0,65.0,75.0,71.0,43.0,74.0,62.0,46.0,63.0,47.0,67.0,60,0,0,1,0,0,0,0,60,30,4
88.0,127.0,69.0,104.0,134.0,92.0,114.0,140.0,44.0,73.0,101.0,85.0,52.0,137.0,39.0,52.0,99.0,65.0,75.0,71.0,43.0,74.0,62.0,46.0,63.0,47.0,67.0,60.0,39,0,0,0,1,0,0,0,39,1,5
127.0,69.0,104.0,134.0,92.0,114.0,140.0,44.0,73.0,101.0,85.0,52.0,137.0,39.0,52.0,99.0,65.0,75.0,71.0,43.0,74.0,62.0,46.0,63.0,47.0,67.0,60.0,39.0,56,0,1,0,0,0,0,0,56,2,5
69.0,104.0,134.0,92.0,114.0,140.0,44.0,73.0,101.0,85.0,52.0,137.0,39.0,52.0,99.0,65.0,75.0,71.0,43.0,74.0,62.0,46.0,63.0,47.0,67.0,60.0,39.0,56.0,55,0,0,0,0,0,1,0,55,3,5
104.0,134.0,92.0,114.0,140.0,44.0,73.0,101.0,85.0,52.0,137.0,39.0,52.0,99.0,65.0,75.0,71.0,43.0,74.0,62.0,46.0,63.0,47.0,67.0,60.0,39.0,56.0,55.0,66,0,0,0,0,0,0,1,66,4,5
134.0,92.0,114.0,140.0,44.0,73.0,101.0,85.0,52.0,137.0,39.0,52.0,99.0,65.0,75.0,71.0,43.0,74.0,62.0,46.0,63.0,47.0,67.0,60.0,39.0,56.0,55.0,66.0,64,0,0,0,0,1,0,0,64,5,5
92.0,114.0,140.0,44.0,73.0,101.0,85.0,52.0,137.0,39.0,52.0,99.0,65.0,75.0,71.0,43.0,74.0,62.0,46.0,63.0,47.0,67.0,60.0,39.0,56.0,55.0,66.0,64.0,54,1,0,0,0,0,0,0,54,6,5
114.0,140.0,44.0,73.0,101.0,85.0,52.0,137.0,39.0,52.0,99.0,65.0,75.0,71.0,43.0,74.0,62.0,46.0,63.0,47.0,67.0,60.0,39.0,56.0,55.0,66.0,64.0,54.0,38,0,0,1,0,0,0,0,38,7,5
140.0,44.0,73.0,101.0,85.0,52.0,137.0,39.0,52.0,99.0,65.0,75.0,71.0,43.0,74.0,62.0,46.0,63.0,47.0,67.0,60.0,39.0,56.0,55.0,66.0,64.0,54.0,38.0,43,0,0,0,1,0,0,0,43,8,5
44.0,73.0,101.0,85.0,52.0,137.0,39.0,52.0,99.0,65.0,75.0,71.0,43.0,74.0,62.0,46.0,63.0,47.0,67.0,60.0,39.0,56.0,55.0,66.0,64.0,54.0,38.0,43.0,56,0,1,0,0,0,0,0,56,9,5
73.0,101.0,85.0,52.0,137.0,39.0,52.0,99.0,65.0,75.0,71.0,43.0,74.0,62.0,46.0,63.0,47.0,67.0,60.0,39.0,56.0,55.0,66.0,64.0,54.0,38.0,43.0,56.0,52,0,0,0,0,0,1,0,52,10,5
101.0,85.0,52.0,137.0,39.0,52.0,99.0,65.0,75.0,71.0,43.0,74.0,62.0,46.0,63.0,47.0,67.0,60.0,39.0,56.0,55.0,66.0,64.0,54.0,38.0,43.0,56.0,52.0,50,0,0,0,0,0,0,1,50,11,5
85.0,52.0,137.0,39.0,52.0,99.0,65.0,75.0,71.0,43.0,74.0,62.0,46.0,63.0,47.0,67.0,60.0,39.0,56.0,55.0,66.0,64.0,54.0,38.0,43.0,56.0,52.0,50.0,99,0,0,0,0,1,0,0,99,12,5
52.0,137.0,39.0,52.0,99.0,65.0,75.0,71.0,43.0,74.0,62.0,46.0,63.0,47.0,67.0,60.0,39.0,56.0,55.0,66.0,64.0,54.0,38.0,43.0,56.0,52.0,50.0,99.0,59,1,0,0,0,0,0,0,59,13,5
137.0,39.0,52.0,99.0,65.0,75.0,71.0,43.0,74.0,62.0,46.0,63.0,47.0,67.0,60.0,39.0,56.0,55.0,66.0,64.0,54.0,38.0,43.0,56.0,52.0,50.0,99.0,59.0,46,0,0,1,0,0,0,0,46,14,5
39.0,52.0,99.0,65.0,75.0,71.0,43.0,74.0,62.0,46.0,63.0,47.0,67.0,60.0,39.0,56.0,55.0,66.0,64.0,54.0,38.0,43.0,56.0,52.0,50.0,99.0,59.0,46.0,39,0,0,0,1,0,0,0,39,15,5
52.0,99.0,65.0,75.0,71.0,43.0,74.0,62.0,46.0,63.0,47.0,67.0,60.0,39.0,56.0,55.0,66.0,64.0,54.0,38.0,43.0,56.0,52.0,50.0,99.0,59.0,46.0,39.0,32,0,1,0,0,0,0,0,32,16,5
99.0,65.0,75.0,71.0,43.0,74.0,62.0,46.0,63.0,47.0,67.0,60.0,39.0,56.0,55.0,66.0,64.0,54.0,38.0,43.0,56.0,52.0,50.0,99.0,59.0,46.0,39.0,32.0,51,0,0,0,0,0,1,0,51,17,5
65.0,75.0,71.0,43.0,74.0,62.0,46.0,63.0,47.0,67.0,60.0,39.0,56.0,55.0,66.0,64.0,54.0,38.0,43.0,56.0,52.0,50.0,99.0,59.0,46.0,39.0,32.0,51.0,61,0,0,0,0,0,0,1,61,18,5
75.0,71.0,43.0,74.0,62.0,46.0,63.0,47.0,67.0,60.0,39.0,56.0,55.0,66.0,64.0,54.0,38.0,43.0,56.0,52.0,50.0,99.0,59.0,46.0,39.0,32.0,51.0,61.0,43,0,0,0,0,1,0,0,43,19,5
71.0,43.0,74.0,62.0,46.0,63.0,47.0,67.0,60.0,39.0,56.0,55.0,66.0,64.0,54.0,38.0,43.0,56.0,52.0,50.0,99.0,59.0,46.0,39.0,32.0,51.0,61.0,43.0,63,1,0,0,0,0,0,0,63,20,5
43.0,74.0,62.0,46.0,63.0,47.0,67.0,60.0,39.0,56.0,55.0,66.0,64.0,54.0,38.0,43.0,56.0,52.0,50.0,99.0,59.0,46.0,39.0,32.0,51.0,61.0,43.0,63.0,67,0,0,1,0,0,0,0,67,21,5
74.0,62.0,46.0,63.0,47.0,67.0,60.0,39.0,56.0,55.0,66.0,64.0,54.0,38.0,43.0,56.0,52.0,50.0,99.0,59.0,46.0,39.0,32.0,51.0,61.0,43.0,63.0,67.0,32,0,0,0,1,0,0,0,32,22,5
62.0,46.0,63.0,47.0,67.0,60.0,39.0,56.0,55.0,66.0,64.0,54.0,38.0,43.0,56.0,52.0,50.0,99.0,59.0,46.0,39.0,32.0,51.0,61.0,43.0,63.0,67.0,32.0,43,0,1,0,0,0,0,0,43,23,5
46.0,63.0,47.0,67.0,60.0,39.0,56.0,55.0,66.0,64.0,54.0,38.0,43.0,56.0,52.0,50.0,99.0,59.0,46.0,39.0,32.0,51.0,61.0,43.0,63.0,67.0,32.0,43.0,72,0,0,0,0,0,1,0,72,24,5
63.0,47.0,67.0,60.0,39.0,56.0,55.0,66.0,64.0,54.0,38.0,43.0,56.0,52.0,50.0,99.0,59.0,46.0,39.0,32.0,51.0,61.0,43.0,63.0,67.0,32.0,43.0,72.0,42,0,0,0,0,0,0,1,42,25,5
47.0,67.0,60.0,39.0,56.0,55.0,66.0,64.0,54.0,38.0,43.0,56.0,52.0,50.0,99.0,59.0,46.0,39.0,32.0,51.0,61.0,43.0,63.0,67.0,32.0,43.0,72.0,42.0,46,0,0,0,0,1,0,0,46,26,5
67.0,60.0,39.0,56.0,55.0,66.0,64.0,54.0,38.0,43.0,56.0,52.0,50.0,99.0,59.0,46.0,39.0,32.0,51.0,61.0,43.0,63.0,67.0,32.0,43.0,72.0,42.0,46.0,56,1,0,0,0,0,0,0,56,27,5
60.0,39.0,56.0,55.0,66.0,64.0,54.0,38.0,43.0,56.0,52.0,50.0,99.0,59.0,46.0,39.0,32.0,51.0,61.0,43.0,63.0,67.0,32.0,43.0,72.0,42.0,46.0,56.0,56,0,0,1,0,0,0,0,56,28,5
39.0,56.0,55.0,66.0,64.0,54.0,38.0,43.0,56.0,52.0,50.0,99.0,59.0,46.0,39.0,32.0,51.0,61.0,43.0,63.0,67.0,32.0,43.0,72.0,42.0,46.0,56.0,56.0,56,0,0,0,1,0,0,0,56,29,5
56.0,55.0,66.0,64.0,54.0,38.0,43.0,56.0,52.0,50.0,99.0,59.0,46.0,39.0,32.0,51.0,61.0,43.0,63.0,67.0,32.0,43.0,72.0,42.0,46.0,56.0,56.0,56.0,91,0,1,0,0,0,0,0,91,30,5
