lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
30.0,28.0,33.0,32.0,31.0,28.0,23.0,35.0,29.0,31.0,35.0,37.0,41.0,40.0,34.0,33.0,36.0,32.0,43.0,44.0,40.0,35.0,36.0,39.0,42.0,33.0,31.0,49.0,54,0,0,1,0,0,0,0,54,30,1
28.0,33.0,32.0,31.0,28.0,23.0,35.0,29.0,31.0,35.0,37.0,41.0,40.0,34.0,33.0,36.0,32.0,43.0,44.0,40.0,35.0,36.0,39.0,42.0,33.0,31.0,49.0,54.0,44,0,0,0,1,0,0,0,44,31,1
33.0,32.0,31.0,28.0,23.0,35.0,29.0,31.0,35.0,37.0,41.0,40.0,34.0,33.0,36.0,32.0,43.0,44.0,40.0,35.0,36.0,39.0,42.0,33.0,31.0,49.0,54.0,44.0,38,0,1,0,0,0,0,0,38,1,2
32.0,31.0,28.0,23.0,35.0,29.0,31.0,35.0,37.0,41.0,40.0,34.0,33.0,36.0,32.0,43.0,44.0,40.0,35.0,36.0,39.0,42.0,33.0,31.0,49.0,54.0,44.0,38.0,30,0,0,0,0,0,1,0,30,2,2
31.0,28.0,23.0,35.0,29.0,31.0,35.0,37.0,41.0,40.0,34.0,33.0,36.0,32.0,43.0,44.0,40.0,35.0,36.0,39.0,42.0,33.0,31.0,49.0,54.0,44.0,38.0,30.0,35,0,0,0,0,0,0,1,35,3,2
28.0,23.0,35.0,29.0,31.0,35.0,37.0,41.0,40.0,34.0,33.0,36.0,32.0,43.0,44.0,40.0,35.0,36.0,39.0,42.0,33.0,31.0,49.0,54.0,44.0,38.0,30.0,35.0,34,0,0,0,0,1,0,0,34,4,2
23.0,35.0,29.0,31.0,35.0,37.0,41.0,40.0,34.0,33.0,36.0,32.0,43.0,44.0,40.0,35.0,36.0,39.0,42.0,33.0,31.0,49.0,54.0,44.0,38.0,30.0,35.0,34.0,37,1,0,0,0,0,0,0,37,5,2
35.0,29.0,31.0,35.0,37.0,41.0,40.0,34.0,33.0,36.0,32.0,43.0,44.0,40.0,35.0,36.0,39.0,42.0,33.0,31.0,49.0,54.0,44.0,38.0,30.0,35.0,34.0,37.0,40,0,0,1,0,0,0,0,40,6,2
29.0,31.0,35.0,37.0,41.0,40.0,34.0,33.0,36.0,32.0,43.0,44.0,40.0,35.0,36.0,39.0,42.0,33.0,31.0,49.0,54.0,44.0,38.0,30.0,35.0,34.0,37.0,40.0,44,0,0,0,1,0,0,0,44,7,2
31.0,35.0,37.0,41.0,40.0,34.0,33.0,36.0,32.0,43.0,44.0,40.0,35.0,36.0,39.0,42.0,33.0,31.0,49.0,54.0,44.0,38.0,30.0,35.0,34.0,37.0,40.0,44.0,49,0,1,0,0,0,0,0,49,8,2
35.0,37.0,41.0,40.0,34.0,33.0,36.0,32.0,43.0,44.0,40.0,35.0,36.0,39.0,42.0,33.0,31.0,49.0,54.0,44.0,38.0,30.0,35.0,34.0,37.0,40.0,44.0,49.0,40,0,0,0,0,0,1,0,40,9,2
37.0,41.0,40.0,34.0,33.0,36.0,32.0,43.0,44.0,40.0,35.0,36.0,39.0,42.0,33.0,31.0,49.0,54.0,44.0,38.0,30.0,35.0,34.0,37.0,40.0,44.0,49.0,40.0,42,0,0,0,0,0,0,1,42,10,2
41.0,40.0,34.0,33.0,36.0,32.0,43.0,44.0,40.0,35.0,36.0,39.0,42.0,33.0,31.0,49.0,54.0,44.0,38.0,30.0,35.0,34.0,37.0,40.0,44.0,49.0,40.0,42.0,46,0,0,0,0,1,0,0,46,11,2
40.0,34.0,33.0,36.0,32.0,43.0,44.0,40.0,35.0,36.0,39.0,42.0,33.0,31.0,49.0,54.0,44.0,38.0,30.0,35.0,34.0,37.0,40.0,44.0,49.0,40.0,42.0,46.0,47,1,0,0,0,0,0,0,47,12,2
34.0,33.0,36.0,32.0,43.0,44.0,40.0,35.0,36.0,39.0,42.0,33.0,31.0,49.0,54.0,44.0,38.0,30.0,35.0,34.0,37.0,40.0,44.0,49.0,40.0,42.0,46.0,47.0,41,0,0,1,0,0,0,0,41,13,2
33.0,36.0,32.0,43.0,44.0,40.0,35.0,36.0,39.0,42.0,33.0,31.0,49.0,54.0,44.0,38.0,30.0,35.0,34.0,37.0,40.0,44.0,49.0,40.0,42.0,46.0,47.0,41.0,47,0,0,0,1,0,0,0,47,14,2
36.0,32.0,43.0,44.0,40.0,35.0,36.0,39.0,42.0,33.0,31.0,49.0,54.0,44.0,38.0,30.0,35.0,34.0,37.0,40.0,44.0,49.0,40.0,42.0,46.0,47.0,41.0,47.0,40,0,1,0,0,0,0,0,40,15,2
32.0,43.0,44.0,40.0,35.0,36.0,39.0,42.0,33.0,31.0,49.0,54.0,44.0,38.0,30.0,35.0,34.0,37.0,40.0,44.0,49.0,40.0,42.0,46.0,47.0,41.0,47.0,40.0,40,0,0,0,0,0,1,0,40,16,2
43.0,44.0,40.0,35.0,36.0,39.0,42.0,33.0,31.0,49.0,54.0,44.0,38.0,30.0,35.0,34.0,37.0,40.0,44.0,49.0,40.0,42.0,46.0,47.0,41.0,47.0,40.0,40.0,37,0,0,0,0,0,0,1,37,17,2
44.0,40.0,35.0,36.0,39.0,42.0,33.0,31.0,49.0,54.0,44.0,38.0,30.0,35.0,34.0,37.0,40.0,44.0,49.0,40.0,42.0,46.0,47.0,41.0,47.0,40.0,40.0,37.0,38,0,0,0,0,1,0,0,38,18,2
40.0,35.0,36.0,39.0,42.0,33.0,31.0,49.0,54.0,44.0,38.0,30.0,35.0,34.0,37.0,40.0,44.0,49.0,40.0,42.0,46.0,47.0,41.0,47.0,40.0,40.0,37.0,38.0,43,1,0,0,0,0,0,0,43,19,2
