lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
28.0,29.0,35.0,40.0,40.0,39.0,41.0,36.0,34.0,28.0,30.0,38.0,39.0,39.0,44.0,51.0,36.0,38.0,43.0,42.0,46.0,41.0,42.0,42.0,40.0,31.0,28.0,39.0,45,0,0,1,0,0,0,0,45,30,1
29.0,35.0,40.0,40.0,39.0,41.0,36.0,34.0,28.0,30.0,38.0,39.0,39.0,44.0,51.0,36.0,38.0,43.0,42.0,46.0,41.0,42.0,42.0,40.0,31.0,28.0,39.0,45.0,42,0,0,0,1,0,0,0,42,31,1
35.0,40.0,40.0,39.0,41.0,36.0,34.0,28.0,30.0,38.0,39.0,39.0,44.0,51.0,36.0,38.0,43.0,42.0,46.0,41.0,42.0,42.0,40.0,31.0,28.0,39.0,45.0,42.0,31,0,1,0,0,0,0,0,31,1,2
40.0,40.0,39.0,41.0,36.0,34.0,28.0,30.0,38.0,39.0,39.0,44.0,51.0,36.0,38.0,43.0,42.0,46.0,41.0,42.0,42.0,40.0,31.0,28.0,39.0,45.0,42.0,31.0,30,0,0,0,0,0,1,0,30,2,2
40.0,39.0,41.0,36.0,34.0,28.0,30.0,38.0,39.0,39.0,44.0,51.0,36.0,38.0,43.0,42.0,46.0,41.0,42.0,42.0,40.0,31.0,28.0,39.0,45.0,42.0,31.0,30.0,31,0,0,0,0,0,0,1,31,3,2
39.0,41.0,36.0,34.0,28.0,30.0,38.0,39.0,39.0,44.0,51.0,36.0,38.0,43.0,42.0,46.0,41.0,42.0,42.0,40.0,31.0,28.0,39.0,45.0,42.0,31.0,30.0,31.0,31,0,0,0,0,1,0,0,31,4,2
41.0,36.0,34.0,28.0,30.0,38.0,39.0,39.0,44.0,51.0,36.0,38.0,43.0,42.0,46.0,41.0,42.0,42.0,40.0,31.0,28.0,39.0,45.0,42.0,31.0,30.0,31.0,31.0,42,1,0,0,0,0,0,0,42,5,2
36.0,34.0,28.0,30.0,38.0,39.0,39.0,44.0,51.0,36.0,38.0,43.0,42.0,46.0,41.0,42.0,42.0,40.0,31.0,28.0,39.0,45.0,42.0,31.0,30.0,31.0,31.0,42.0,37,0,0,1,0,0,0,0,37,6,2
34.0,28.0,30.0,38.0,39.0,39.0,44.0,51.0,36.0,38.0,43.0,42.0,46.0,41.0,42.0,42.0,40.0,31.0,28.0,39.0,45.0,42.0,31.0,30.0,31.0,31.0,42.0,37.0,44,0,0,0,1,0,0,0,44,7,2
28.0,30.0,38.0,39.0,39.0,44.0,51.0,36.0,38.0,43.0,42.0,46.0,41.0,42.0,42.0,40.0,31.0,28.0,39.0,45.0,42.0,31.0,30.0,31.0,31.0,42.0,37.0,44.0,44,0,1,0,0,0,0,0,44,8,2
