lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
24.0,27.0,32.0,36.0,28.0,24.0,28.0,22.0,31.0,28.0,34.0,32.0,33.0,37.0,43.0,36.0,32.0,34.0,37.0,37.0,33.0,34.0,34.0,39.0,34.0,19.0,19.0,37.0,41,0,0,1,0,0,0,0,41,30,1
27.0,32.0,36.0,28.0,24.0,28.0,22.0,31.0,28.0,34.0,32.0,33.0,37.0,43.0,36.0,32.0,34.0,37.0,37.0,33.0,34.0,34.0,39.0,34.0,19.0,19.0,37.0,41.0,37,0,0,0,1,0,0,0,37,31,1
32.0,36.0,28.0,24.0,28.0,22.0,31.0,28.0,34.0,32.0,33.0,37.0,43.0,36.0,32.0,34.0,37.0,37.0,33.0,34.0,34.0,39.0,34.0,19.0,19.0,37.0,41.0,37.0,35,0,1,0,0,0,0,0,35,1,2
36.0,28.0,24.0,28.0,22.0,31.0,28.0,34.0,32.0,33.0,37.0,43.0,36.0,32.0,34.0,37.0,37.0,33.0,34.0,34.0,39.0,34.0,19.0,19.0,37.0,41.0,37.0,35.0,26,0,0,0,0,0,1,0,26,2,2
28.0,24.0,28.0,22.0,31.0,28.0,34.0,32.0,33.0,37.0,43.0,36.0,32.0,34.0,37.0,37.0,33.0,34.0,34.0,39.0,34.0,19.0,19.0,37.0,41.0,37.0,35.0,26.0,35,0,0,0,0,0,0,1,35,3,2
24.0,28.0,22.0,31.0,28.0,34.0,32.0,33.0,37.0,43.0,36.0,32.0,34.0,37.0,37.0,33.0,34.0,34.0,39.0,34.0,19.0,19.0,37.0,41.0,37.0,35.0,26.0,35.0,28,0,0,0,0,1,0,0,28,4,2
28.0,22.0,31.0,28.0,34.0,32.0,33.0,37.0,43.0,36.0,32.0,34.0,37.0,37.0,33.0,34.0,34.0,39.0,34.0,19.0,19.0,37.0,41.0,37.0,35.0,26.0,35.0,28.0,36,1,0,0,0,0,0,0,36,5,2
22.0,31.0,28.0,34.0,32.0,33.0,37.0,43.0,36.0,32.0,34.0,37.0,37.0,33.0,34.0,34.0,39.0,34.0,19.0,19.0,37.0,41.0,37.0,35.0,26.0,35.0,28.0,36.0,28,0,0,1,0,0,0,0,28,6,2
31.0,28.0,34.0,32.0,33.0,37.0,43.0,36.0,32.0,34.0,37.0,37.0,33.0,34.0,34.0,39.0,34.0,19.0,19.0,37.0,41.0,37.0,35.0,26.0,35.0,28.0,36.0,28.0,38,0,0,0,1,0,0,0,38,7,2
28.0,34.0,32.0,33.0,37.0,43.0,36.0,32.0,34.0,37.0,37.0,33.0,34.0,34.0,39.0,34.0,19.0,19.0,37.0,41.0,37.0,35.0,26.0,35.0,28.0,36.0,28.0,38.0,46,0,1,0,0,0,0,0,46,8,2
