lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
26.0,28.0,39.0,38.0,30.0,29.0,37.0,28.0,34.0,29.0,39.0,35.0,33.0,38.0,40.0,38.0,37.0,37.0,39.0,37.0,34.0,37.0,36.0,41.0,37.0,19.0,20.0,39.0,41,0,0,1,0,0,0,0,41,30,1
28.0,39.0,38.0,30.0,29.0,37.0,28.0,34.0,29.0,39.0,35.0,33.0,38.0,40.0,38.0,37.0,37.0,39.0,37.0,34.0,37.0,36.0,41.0,37.0,19.0,20.0,39.0,41.0,41,0,0,0,1,0,0,0,41,31,1
39.0,38.0,30.0,29.0,37.0,28.0,34.0,29.0,39.0,35.0,33.0,38.0,40.0,38.0,37.0,37.0,39.0,37.0,34.0,37.0,36.0,41.0,37.0,19.0,20.0,39.0,41.0,41.0,33,0,1,0,0,0,0,0,33,1,2
38.0,30.0,29.0,37.0,28.0,34.0,29.0,39.0,35.0,33.0,38.0,40.0,38.0,37.0,37.0,39.0,37.0,34.0,37.0,36.0,41.0,37.0,19.0,20.0,39.0,41.0,41.0,33.0,29,0,0,0,0,0,1,0,29,2,2
30.0,29.0,37.0,28.0,34.0,29.0,39.0,35.0,33.0,38.0,40.0,38.0,37.0,37.0,39.0,37.0,34.0,37.0,36.0,41.0,37.0,19.0,20.0,39.0,41.0,41.0,33.0,29.0,27,0,0,0,0,0,0,1,27,3,2
29.0,37.0,28.0,34.0,29.0,39.0,35.0,33.0,38.0,40.0,38.0,37.0,37.0,39.0,37.0,34.0,37.0,36.0,41.0,37.0,19.0,20.0,39.0,41.0,41.0,33.0,29.0,27.0,35,0,0,0,0,1,0,0,35,4,2
37.0,28.0,34.0,29.0,39.0,35.0,33.0,38.0,40.0,38.0,37.0,37.0,39.0,37.0,34.0,37.0,36.0,41.0,37.0,19.0,20.0,39.0,41.0,41.0,33.0,29.0,27.0,35.0,40,1,0,0,0,0,0,0,40,5,2
28.0,34.0,29.0,39.0,35.0,33.0,38.0,40.0,38.0,37.0,37.0,39.0,37.0,34.0,37.0,36.0,41.0,37.0,19.0,20.0,39.0,41.0,41.0,33.0,29.0,27.0,35.0,40.0,33,0,0,1,0,0,0,0,33,6,2
34.0,29.0,39.0,35.0,33.0,38.0,40.0,38.0,37.0,37.0,39.0,37.0,34.0,37.0,36.0,41.0,37.0,19.0,20.0,39.0,41.0,41.0,33.0,29.0,27.0,35.0,40.0,33.0,45,0,0,0,1,0,0,0,45,7,2
29.0,39.0,35.0,33.0,38.0,40.0,38.0,37.0,37.0,39.0,37.0,34.0,37.0,36.0,41.0,37.0,19.0,20.0,39.0,41.0,41.0,33.0,29.0,27.0,35.0,40.0,33.0,45.0,49,0,1,0,0,0,0,0,49,8,2
39.0,35.0,33.0,38.0,40.0,38.0,37.0,37.0,39.0,37.0,34.0,37.0,36.0,41.0,37.0,19.0,20.0,39.0,41.0,41.0,33.0,29.0,27.0,35.0,40.0,33.0,45.0,49.0,42,0,0,0,0,0,1,0,42,9,2
35.0,33.0,38.0,40.0,38.0,37.0,37.0,39.0,37.0,34.0,37.0,36.0,41.0,37.0,19.0,20.0,39.0,41.0,41.0,33.0,29.0,27.0,35.0,40.0,33.0,45.0,49.0,42.0,42,0,0,0,0,0,0,1,42,10,2
33.0,38.0,40.0,38.0,37.0,37.0,39.0,37.0,34.0,37.0,36.0,41.0,37.0,19.0,20.0,39.0,41.0,41.0,33.0,29.0,27.0,35.0,40.0,33.0,45.0,49.0,42.0,42.0,44,0,0,0,0,1,0,0,44,11,2
38.0,40.0,38.0,37.0,37.0,39.0,37.0,34.0,37.0,36.0,41.0,37.0,19.0,20.0,39.0,41.0,41.0,33.0,29.0,27.0,35.0,40.0,33.0,45.0,49.0,42.0,42.0,44.0,40,1,0,0,0,0,0,0,40,12,2
40.0,38.0,37.0,37.0,39.0,37.0,34.0,37.0,36.0,41.0,37.0,19.0,20.0,39.0,41.0,41.0,33.0,29.0,27.0,35.0,40.0,33.0,45.0,49.0,42.0,42.0,44.0,40.0,44,0,0,1,0,0,0,0,44,13,2
38.0,37.0,37.0,39.0,37.0,34.0,37.0,36.0,41.0,37.0,19.0,20.0,39.0,41.0,41.0,33.0,29.0,27.0,35.0,40.0,33.0,45.0,49.0,42.0,42.0,44.0,40.0,44.0,44,0,0,0,1,0,0,0,44,14,2
37.0,37.0,39.0,37.0,34.0,37.0,36.0,41.0,37.0,19.0,20.0,39.0,41.0,41.0,33.0,29.0,27.0,35.0,40.0,33.0,45.0,49.0,42.0,42.0,44.0,40.0,44.0,44.0,40,0,1,0,0,0,0,0,40,15,2
37.0,39.0,37.0,34.0,37.0,36.0,41.0,37.0,19.0,20.0,39.0,41.0,41.0,33.0,29.0,27.0,35.0,40.0,33.0,45.0,49.0,42.0,42.0,44.0,40.0,44.0,44.0,40.0,43,0,0,0,0,0,1,0,43,16,2
39.0,37.0,34.0,37.0,36.0,41.0,37.0,19.0,20.0,39.0,41.0,41.0,33.0,29.0,27.0,35.0,40.0,33.0,45.0,49.0,42.0,42.0,44.0,40.0,44.0,44.0,40.0,43.0,45,0,0,0,0,0,0,1,45,17,2
