lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
27.0,26.0,35.0,42.0,42.0,35.0,31.0,30.0,29.0,33.0,36.0,39.0,39.0,33.0,44.0,40.0,37.0,42.0,40.0,42.0,38.0,38.0,38.0,39.0,36.0,29.0,22.0,35.0,45,0,0,1,0,0,0,0,45,30,1
26.0,35.0,42.0,42.0,35.0,31.0,30.0,29.0,33.0,36.0,39.0,39.0,33.0,44.0,40.0,37.0,42.0,40.0,42.0,38.0,38.0,38.0,39.0,36.0,29.0,22.0,35.0,45.0,39,0,0,0,1,0,0,0,39,31,1
35.0,42.0,42.0,35.0,31.0,30.0,29.0,33.0,36.0,39.0,39.0,33.0,44.0,40.0,37.0,42.0,40.0,42.0,38.0,38.0,38.0,39.0,36.0,29.0,22.0,35.0,45.0,39.0,33,0,1,0,0,0,0,0,33,1,2
42.0,42.0,35.0,31.0,30.0,29.0,33.0,36.0,39.0,39.0,33.0,44.0,40.0,37.0,42.0,40.0,42.0,38.0,38.0,38.0,39.0,36.0,29.0,22.0,35.0,45.0,39.0,33.0,31,0,0,0,0,0,0,1,31,3,2
42.0,35.0,31.0,30.0,29.0,33.0,36.0,39.0,39.0,33.0,44.0,40.0,37.0,42.0,40.0,42.0,38.0,38.0,38.0,39.0,36.0,29.0,22.0,35.0,45.0,39.0,33.0,31.0,36,0,0,0,0,1,0,0,36,4,2
35.0,31.0,30.0,29.0,33.0,36.0,39.0,39.0,33.0,44.0,40.0,37.0,42.0,40.0,42.0,38.0,38.0,38.0,39.0,36.0,29.0,22.0,35.0,45.0,39.0,33.0,31.0,36.0,43,1,0,0,0,0,0,0,43,5,2
31.0,30.0,29.0,33.0,36.0,39.0,39.0,33.0,44.0,40.0,37.0,42.0,40.0,42.0,38.0,38.0,38.0,39.0,36.0,29.0,22.0,35.0,45.0,39.0,33.0,31.0,36.0,43.0,42,0,0,1,0,0,0,0,42,6,2
30.0,29.0,33.0,36.0,39.0,39.0,33.0,44.0,40.0,37.0,42.0,40.0,42.0,38.0,38.0,38.0,39.0,36.0,29.0,22.0,35.0,45.0,39.0,33.0,31.0,36.0,43.0,42.0,40,0,0,0,1,0,0,0,40,7,2
29.0,33.0,36.0,39.0,39.0,33.0,44.0,40.0,37.0,42.0,40.0,42.0,38.0,38.0,38.0,39.0,36.0,29.0,22.0,35.0,45.0,39.0,33.0,31.0,36.0,43.0,42.0,40.0,43,0,1,0,0,0,0,0,43,8,2
33.0,36.0,39.0,39.0,33.0,44.0,40.0,37.0,42.0,40.0,42.0,38.0,38.0,38.0,39.0,36.0,29.0,22.0,35.0,45.0,39.0,33.0,31.0,36.0,43.0,42.0,40.0,43.0,39,0,0,0,0,0,1,0,39,9,2
36.0,39.0,39.0,33.0,44.0,40.0,37.0,42.0,40.0,42.0,38.0,38.0,38.0,39.0,36.0,29.0,22.0,35.0,45.0,39.0,33.0,31.0,36.0,43.0,42.0,40.0,43.0,39.0,41,0,0,0,0,0,0,1,41,10,2
39.0,39.0,33.0,44.0,40.0,37.0,42.0,40.0,42.0,38.0,38.0,38.0,39.0,36.0,29.0,22.0,35.0,45.0,39.0,33.0,31.0,36.0,43.0,42.0,40.0,43.0,39.0,41.0,43,0,0,0,0,1,0,0,43,11,2
39.0,33.0,44.0,40.0,37.0,42.0,40.0,42.0,38.0,38.0,38.0,39.0,36.0,29.0,22.0,35.0,45.0,39.0,33.0,31.0,36.0,43.0,42.0,40.0,43.0,39.0,41.0,43.0,44,1,0,0,0,0,0,0,44,12,2
33.0,44.0,40.0,37.0,42.0,40.0,42.0,38.0,38.0,38.0,39.0,36.0,29.0,22.0,35.0,45.0,39.0,33.0,31.0,36.0,43.0,42.0,40.0,43.0,39.0,41.0,43.0,44.0,48,0,0,1,0,0,0,0,48,13,2
44.0,40.0,37.0,42.0,40.0,42.0,38.0,38.0,38.0,39.0,36.0,29.0,22.0,35.0,45.0,39.0,33.0,31.0,36.0,43.0,42.0,40.0,43.0,39.0,41.0,43.0,44.0,48.0,44,0,0,0,1,0,0,0,44,14,2
