lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
33.0,31.0,34.0,32.0,32.0,33.0,26.0,31.0,28.0,32.0,38.0,33.0,52.0,40.0,32.0,32.0,34.0,38.0,42.0,39.0,35.0,40.0,39.0,39.0,105.0,80.0,43.0,59.0,52,0,0,1,0,0,0,0,52,30,1
31.0,34.0,32.0,32.0,33.0,26.0,31.0,28.0,32.0,38.0,33.0,52.0,40.0,32.0,32.0,34.0,38.0,42.0,39.0,35.0,40.0,39.0,39.0,105.0,80.0,43.0,59.0,52.0,38,0,0,0,1,0,0,0,38,31,1
34.0,32.0,32.0,33.0,26.0,31.0,28.0,32.0,38.0,33.0,52.0,40.0,32.0,32.0,34.0,38.0,42.0,39.0,35.0,40.0,39.0,39.0,105.0,80.0,43.0,59.0,52.0,38.0,50,0,1,0,0,0,0,0,50,1,2
32.0,32.0,33.0,26.0,31.0,28.0,32.0,38.0,33.0,52.0,40.0,32.0,32.0,34.0,38.0,42.0,39.0,35.0,40.0,39.0,39.0,105.0,80.0,43.0,59.0,52.0,38.0,50.0,33,0,0,0,0,0,1,0,33,2,2
32.0,33.0,26.0,31.0,28.0,32.0,38.0,33.0,52.0,40.0,32.0,32.0,34.0,38.0,42.0,39.0,35.0,40.0,39.0,39.0,105.0,80.0,43.0,59.0,52.0,38.0,50.0,33.0,34,0,0,0,0,0,0,1,34,3,2
33.0,26.0,31.0,28.0,32.0,38.0,33.0,52.0,40.0,32.0,32.0,34.0,38.0,42.0,39.0,35.0,40.0,39.0,39.0,105.0,80.0,43.0,59.0,52.0,38.0,50.0,33.0,34.0,34,0,0,0,0,1,0,0,34,4,2
26.0,31.0,28.0,32.0,38.0,33.0,52.0,40.0,32.0,32.0,34.0,38.0,42.0,39.0,35.0,40.0,39.0,39.0,105.0,80.0,43.0,59.0,52.0,38.0,50.0,33.0,34.0,34.0,37,1,0,0,0,0,0,0,37,5,2
31.0,28.0,32.0,38.0,33.0,52.0,40.0,32.0,32.0,34.0,38.0,42.0,39.0,35.0,40.0,39.0,39.0,105.0,80.0,43.0,59.0,52.0,38.0,50.0,33.0,34.0,34.0,37.0,31,0,0,1,0,0,0,0,31,6,2
28.0,32.0,38.0,33.0,52.0,40.0,32.0,32.0,34.0,38.0,42.0,39.0,35.0,40.0,39.0,39.0,105.0,80.0,43.0,59.0,52.0,38.0,50.0,33.0,34.0,34.0,37.0,31.0,41,0,0,0,1,0,0,0,41,7,2
32.0,38.0,33.0,52.0,40.0,32.0,32.0,34.0,38.0,42.0,39.0,35.0,40.0,39.0,39.0,105.0,80.0,43.0,59.0,52.0,38.0,50.0,33.0,34.0,34.0,37.0,31.0,41.0,49,0,1,0,0,0,0,0,49,8,2
38.0,33.0,52.0,40.0,32.0,32.0,34.0,38.0,42.0,39.0,35.0,40.0,39.0,39.0,105.0,80.0,43.0,59.0,52.0,38.0,50.0,33.0,34.0,34.0,37.0,31.0,41.0,49.0,71,0,0,0,0,0,1,0,71,9,2
33.0,52.0,40.0,32.0,32.0,34.0,38.0,42.0,39.0,35.0,40.0,39.0,39.0,105.0,80.0,43.0,59.0,52.0,38.0,50.0,33.0,34.0,34.0,37.0,31.0,41.0,49.0,71.0,44,0,0,0,0,0,0,1,44,10,2
52.0,40.0,32.0,32.0,34.0,38.0,42.0,39.0,35.0,40.0,39.0,39.0,105.0,80.0,43.0,59.0,52.0,38.0,50.0,33.0,34.0,34.0,37.0,31.0,41.0,49.0,71.0,44.0,73,0,0,0,0,1,0,0,73,11,2
40.0,32.0,32.0,34.0,38.0,42.0,39.0,35.0,40.0,39.0,39.0,105.0,80.0,43.0,59.0,52.0,38.0,50.0,33.0,34.0,34.0,37.0,31.0,41.0,49.0,71.0,44.0,73.0,43,1,0,0,0,0,0,0,43,12,2
32.0,32.0,34.0,38.0,42.0,39.0,35.0,40.0,39.0,39.0,105.0,80.0,43.0,59.0,52.0,38.0,50.0,33.0,34.0,34.0,37.0,31.0,41.0,49.0,71.0,44.0,73.0,43.0,66,0,0,1,0,0,0,0,66,13,2
32.0,34.0,38.0,42.0,39.0,35.0,40.0,39.0,39.0,105.0,80.0,43.0,59.0,52.0,38.0,50.0,33.0,34.0,34.0,37.0,31.0,41.0,49.0,71.0,44.0,73.0,43.0,66.0,57,0,0,0,1,0,0,0,57,14,2
34.0,38.0,42.0,39.0,35.0,40.0,39.0,39.0,105.0,80.0,43.0,59.0,52.0,38.0,50.0,33.0,34.0,34.0,37.0,31.0,41.0,49.0,71.0,44.0,73.0,43.0,66.0,57.0,39,0,1,0,0,0,0,0,39,15,2
38.0,42.0,39.0,35.0,40.0,39.0,39.0,105.0,80.0,43.0,59.0,52.0,38.0,50.0,33.0,34.0,34.0,37.0,31.0,41.0,49.0,71.0,44.0,73.0,43.0,66.0,57.0,39.0,35,0,0,0,0,0,1,0,35,16,2
42.0,39.0,35.0,40.0,39.0,39.0,105.0,80.0,43.0,59.0,52.0,38.0,50.0,33.0,34.0,34.0,37.0,31.0,41.0,49.0,71.0,44.0,73.0,43.0,66.0,57.0,39.0,35.0,37,0,0,0,0,0,0,1,37,17,2
39.0,35.0,40.0,39.0,39.0,105.0,80.0,43.0,59.0,52.0,38.0,50.0,33.0,34.0,34.0,37.0,31.0,41.0,49.0,71.0,44.0,73.0,43.0,66.0,57.0,39.0,35.0,37.0,42,0,0,0,0,1,0,0,42,18,2
35.0,40.0,39.0,39.0,105.0,80.0,43.0,59.0,52.0,38.0,50.0,33.0,34.0,34.0,37.0,31.0,41.0,49.0,71.0,44.0,73.0,43.0,66.0,57.0,39.0,35.0,37.0,42.0,43,1,0,0,0,0,0,0,43,19,2
40.0,39.0,39.0,105.0,80.0,43.0,59.0,52.0,38.0,50.0,33.0,34.0,34.0,37.0,31.0,41.0,49.0,71.0,44.0,73.0,43.0,66.0,57.0,39.0,35.0,37.0,42.0,43.0,41,0,0,1,0,0,0,0,41,20,2
39.0,39.0,105.0,80.0,43.0,59.0,52.0,38.0,50.0,33.0,34.0,34.0,37.0,31.0,41.0,49.0,71.0,44.0,73.0,43.0,66.0,57.0,39.0,35.0,37.0,42.0,43.0,41.0,38,0,0,0,1,0,0,0,38,21,2
39.0,105.0,80.0,43.0,59.0,52.0,38.0,50.0,33.0,34.0,34.0,37.0,31.0,41.0,49.0,71.0,44.0,73.0,43.0,66.0,57.0,39.0,35.0,37.0,42.0,43.0,41.0,38.0,37,0,1,0,0,0,0,0,37,22,2
105.0,80.0,43.0,59.0,52.0,38.0,50.0,33.0,34.0,34.0,37.0,31.0,41.0,49.0,71.0,44.0,73.0,43.0,66.0,57.0,39.0,35.0,37.0,42.0,43.0,41.0,38.0,37.0,37,0,0,0,0,0,1,0,37,23,2
80.0,43.0,59.0,52.0,38.0,50.0,33.0,34.0,34.0,37.0,31.0,41.0,49.0,71.0,44.0,73.0,43.0,66.0,57.0,39.0,35.0,37.0,42.0,43.0,41.0,38.0,37.0,37.0,35,0,0,0,0,0,0,1,35,24,2
43.0,59.0,52.0,38.0,50.0,33.0,34.0,34.0,37.0,31.0,41.0,49.0,71.0,44.0,73.0,43.0,66.0,57.0,39.0,35.0,37.0,42.0,43.0,41.0,38.0,37.0,37.0,35.0,41,0,0,0,0,1,0,0,41,25,2
59.0,52.0,38.0,50.0,33.0,34.0,34.0,37.0,31.0,41.0,49.0,71.0,44.0,73.0,43.0,66.0,57.0,39.0,35.0,37.0,42.0,43.0,41.0,38.0,37.0,37.0,35.0,41.0,39,1,0,0,0,0,0,0,39,26,2
52.0,38.0,50.0,33.0,34.0,34.0,37.0,31.0,41.0,49.0,71.0,44.0,73.0,43.0,66.0,57.0,39.0,35.0,37.0,42.0,43.0,41.0,38.0,37.0,37.0,35.0,41.0,39.0,45,0,0,1,0,0,0,0,45,27,2
38.0,50.0,33.0,34.0,34.0,37.0,31.0,41.0,49.0,71.0,44.0,73.0,43.0,66.0,57.0,39.0,35.0,37.0,42.0,43.0,41.0,38.0,37.0,37.0,35.0,41.0,39.0,45.0,58,0,0,0,1,0,0,0,58,28,2
50.0,33.0,34.0,34.0,37.0,31.0,41.0,49.0,71.0,44.0,73.0,43.0,66.0,57.0,39.0,35.0,37.0,42.0,43.0,41.0,38.0,37.0,37.0,35.0,41.0,39.0,45.0,58.0,49,0,1,0,0,0,0,0,49,29,2
33.0,34.0,34.0,37.0,31.0,41.0,49.0,71.0,44.0,73.0,43.0,66.0,57.0,39.0,35.0,37.0,42.0,43.0,41.0,38.0,37.0,37.0,35.0,41.0,39.0,45.0,58.0,49.0,48,0,0,0,0,0,1,0,48,1,3
34.0,34.0,37.0,31.0,41.0,49.0,71.0,44.0,73.0,43.0,66.0,57.0,39.0,35.0,37.0,42.0,43.0,41.0,38.0,37.0,37.0,35.0,41.0,39.0,45.0,58.0,49.0,48.0,42,0,0,0,0,0,0,1,42,2,3
34.0,37.0,31.0,41.0,49.0,71.0,44.0,73.0,43.0,66.0,57.0,39.0,35.0,37.0,42.0,43.0,41.0,38.0,37.0,37.0,35.0,41.0,39.0,45.0,58.0,49.0,48.0,42.0,58,0,0,0,0,1,0,0,58,3,3
37.0,31.0,41.0,49.0,71.0,44.0,73.0,43.0,66.0,57.0,39.0,35.0,37.0,42.0,43.0,41.0,38.0,37.0,37.0,35.0,41.0,39.0,45.0,58.0,49.0,48.0,42.0,58.0,38,1,0,0,0,0,0,0,38,4,3
31.0,41.0,49.0,71.0,44.0,73.0,43.0,66.0,57.0,39.0,35.0,37.0,42.0,43.0,41.0,38.0,37.0,37.0,35.0,41.0,39.0,45.0,58.0,49.0,48.0,42.0,58.0,38.0,43,0,0,1,0,0,0,0,43,5,3
41.0,49.0,71.0,44.0,73.0,43.0,66.0,57.0,39.0,35.0,37.0,42.0,43.0,41.0,38.0,37.0,37.0,35.0,41.0,39.0,45.0,58.0,49.0,48.0,42.0,58.0,38.0,43.0,44,0,0,0,1,0,0,0,44,6,3
49.0,71.0,44.0,73.0,43.0,66.0,57.0,39.0,35.0,37.0,42.0,43.0,41.0,38.0,37.0,37.0,35.0,41.0,39.0,45.0,58.0,49.0,48.0,42.0,58.0,38.0,43.0,44.0,48,0,1,0,0,0,0,0,48,7,3
71.0,44.0,73.0,43.0,66.0,57.0,39.0,35.0,37.0,42.0,43.0,41.0,38.0,37.0,37.0,35.0,41.0,39.0,45.0,58.0,49.0,48.0,42.0,58.0,38.0,43.0,44.0,48.0,42,0,0,0,0,0,1,0,42,8,3
44.0,73.0,43.0,66.0,57.0,39.0,35.0,37.0,42.0,43.0,41.0,38.0,37.0,37.0,35.0,41.0,39.0,45.0,58.0,49.0,48.0,42.0,58.0,38.0,43.0,44.0,48.0,42.0,44,0,0,0,0,0,0,1,44,9,3
73.0,43.0,66.0,57.0,39.0,35.0,37.0,42.0,43.0,41.0,38.0,37.0,37.0,35.0,41.0,39.0,45.0,58.0,49.0,48.0,42.0,58.0,38.0,43.0,44.0,48.0,42.0,44.0,44,0,0,0,0,1,0,0,44,10,3
43.0,66.0,57.0,39.0,35.0,37.0,42.0,43.0,41.0,38.0,37.0,37.0,35.0,41.0,39.0,45.0,58.0,49.0,48.0,42.0,58.0,38.0,43.0,44.0,48.0,42.0,44.0,44.0,42,1,0,0,0,0,0,0,42,11,3
66.0,57.0,39.0,35.0,37.0,42.0,43.0,41.0,38.0,37.0,37.0,35.0,41.0,39.0,45.0,58.0,49.0,48.0,42.0,58.0,38.0,43.0,44.0,48.0,42.0,44.0,44.0,42.0,39,0,0,1,0,0,0,0,39,12,3
57.0,39.0,35.0,37.0,42.0,43.0,41.0,38.0,37.0,37.0,35.0,41.0,39.0,45.0,58.0,49.0,48.0,42.0,58.0,38.0,43.0,44.0,48.0,42.0,44.0,44.0,42.0,39.0,34,0,0,0,1,0,0,0,34,13,3
39.0,35.0,37.0,42.0,43.0,41.0,38.0,37.0,37.0,35.0,41.0,39.0,45.0,58.0,49.0,48.0,42.0,58.0,38.0,43.0,44.0,48.0,42.0,44.0,44.0,42.0,39.0,34.0,33,0,1,0,0,0,0,0,33,14,3
35.0,37.0,42.0,43.0,41.0,38.0,37.0,37.0,35.0,41.0,39.0,45.0,58.0,49.0,48.0,42.0,58.0,38.0,43.0,44.0,48.0,42.0,44.0,44.0,42.0,39.0,34.0,33.0,42,0,0,0,0,0,1,0,42,15,3
37.0,42.0,43.0,41.0,38.0,37.0,37.0,35.0,41.0,39.0,45.0,58.0,49.0,48.0,42.0,58.0,38.0,43.0,44.0,48.0,42.0,44.0,44.0,42.0,39.0,34.0,33.0,42.0,25,0,0,0,0,0,0,1,25,16,3
42.0,43.0,41.0,38.0,37.0,37.0,35.0,41.0,39.0,45.0,58.0,49.0,48.0,42.0,58.0,38.0,43.0,44.0,48.0,42.0,44.0,44.0,42.0,39.0,34.0,33.0,42.0,25.0,34,0,0,0,0,1,0,0,34,17,3
43.0,41.0,38.0,37.0,37.0,35.0,41.0,39.0,45.0,58.0,49.0,48.0,42.0,58.0,38.0,43.0,44.0,48.0,42.0,44.0,44.0,42.0,39.0,34.0,33.0,42.0,25.0,34.0,29,1,0,0,0,0,0,0,29,18,3
41.0,38.0,37.0,37.0,35.0,41.0,39.0,45.0,58.0,49.0,48.0,42.0,58.0,38.0,43.0,44.0,48.0,42.0,44.0,44.0,42.0,39.0,34.0,33.0,42.0,25.0,34.0,29.0,39,0,0,1,0,0,0,0,39,19,3
38.0,37.0,37.0,35.0,41.0,39.0,45.0,58.0,49.0,48.0,42.0,58.0,38.0,43.0,44.0,48.0,42.0,44.0,44.0,42.0,39.0,34.0,33.0,42.0,25.0,34.0,29.0,39.0,42,0,0,0,1,0,0,0,42,20,3
37.0,37.0,35.0,41.0,39.0,45.0,58.0,49.0,48.0,42.0,58.0,38.0,43.0,44.0,48.0,42.0,44.0,44.0,42.0,39.0,34.0,33.0,42.0,25.0,34.0,29.0,39.0,42.0,43,0,1,0,0,0,0,0,43,21,3
37.0,35.0,41.0,39.0,45.0,58.0,49.0,48.0,42.0,58.0,38.0,43.0,44.0,48.0,42.0,44.0,44.0,42.0,39.0,34.0,33.0,42.0,25.0,34.0,29.0,39.0,42.0,43.0,53,0,0,0,0,0,1,0,53,22,3
35.0,41.0,39.0,45.0,58.0,49.0,48.0,42.0,58.0,38.0,43.0,44.0,48.0,42.0,44.0,44.0,42.0,39.0,34.0,33.0,42.0,25.0,34.0,29.0,39.0,42.0,43.0,53.0,49,0,0,0,0,0,0,1,49,23,3
41.0,39.0,45.0,58.0,49.0,48.0,42.0,58.0,38.0,43.0,44.0,48.0,42.0,44.0,44.0,42.0,39.0,34.0,33.0,42.0,25.0,34.0,29.0,39.0,42.0,43.0,53.0,49.0,47,0,0,0,0,1,0,0,47,24,3
39.0,45.0,58.0,49.0,48.0,42.0,58.0,38.0,43.0,44.0,48.0,42.0,44.0,44.0,42.0,39.0,34.0,33.0,42.0,25.0,34.0,29.0,39.0,42.0,43.0,53.0,49.0,47.0,41,1,0,0,0,0,0,0,41,25,3
45.0,58.0,49.0,48.0,42.0,58.0,38.0,43.0,44.0,48.0,42.0,44.0,44.0,42.0,39.0,34.0,33.0,42.0,25.0,34.0,29.0,39.0,42.0,43.0,53.0,49.0,47.0,41.0,32,0,0,1,0,0,0,0,32,26,3
58.0,49.0,48.0,42.0,58.0,38.0,43.0,44.0,48.0,42.0,44.0,44.0,42.0,39.0,34.0,33.0,42.0,25.0,34.0,29.0,39.0,42.0,43.0,53.0,49.0,47.0,41.0,32.0,26,0,0,0,1,0,0,0,26,27,3
49.0,48.0,42.0,58.0,38.0,43.0,44.0,48.0,42.0,44.0,44.0,42.0,39.0,34.0,33.0,42.0,25.0,34.0,29.0,39.0,42.0,43.0,53.0,49.0,47.0,41.0,32.0,26.0,32,0,1,0,0,0,0,0,32,28,3
48.0,42.0,58.0,38.0,43.0,44.0,48.0,42.0,44.0,44.0,42.0,39.0,34.0,33.0,42.0,25.0,34.0,29.0,39.0,42.0,43.0,53.0,49.0,47.0,41.0,32.0,26.0,32.0,31,0,0,0,0,0,1,0,31,29,3
42.0,58.0,38.0,43.0,44.0,48.0,42.0,44.0,44.0,42.0,39.0,34.0,33.0,42.0,25.0,34.0,29.0,39.0,42.0,43.0,53.0,49.0,47.0,41.0,32.0,26.0,32.0,31.0,47,0,0,0,0,0,0,1,47,30,3
58.0,38.0,43.0,44.0,48.0,42.0,44.0,44.0,42.0,39.0,34.0,33.0,42.0,25.0,34.0,29.0,39.0,42.0,43.0,53.0,49.0,47.0,41.0,32.0,26.0,32.0,31.0,47.0,38,0,0,0,0,1,0,0,38,31,3
38.0,43.0,44.0,48.0,42.0,44.0,44.0,42.0,39.0,34.0,33.0,42.0,25.0,34.0,29.0,39.0,42.0,43.0,53.0,49.0,47.0,41.0,32.0,26.0,32.0,31.0,47.0,38.0,45,1,0,0,0,0,0,0,45,1,4
43.0,44.0,48.0,42.0,44.0,44.0,42.0,39.0,34.0,33.0,42.0,25.0,34.0,29.0,39.0,42.0,43.0,53.0,49.0,47.0,41.0,32.0,26.0,32.0,31.0,47.0,38.0,45.0,38,0,0,1,0,0,0,0,38,2,4
44.0,48.0,42.0,44.0,44.0,42.0,39.0,34.0,33.0,42.0,25.0,34.0,29.0,39.0,42.0,43.0,53.0,49.0,47.0,41.0,32.0,26.0,32.0,31.0,47.0,38.0,45.0,38.0,44,0,0,0,1,0,0,0,44,3,4
48.0,42.0,44.0,44.0,42.0,39.0,34.0,33.0,42.0,25.0,34.0,29.0,39.0,42.0,43.0,53.0,49.0,47.0,41.0,32.0,26.0,32.0,31.0,47.0,38.0,45.0,38.0,44.0,44,0,1,0,0,0,0,0,44,4,4
42.0,44.0,44.0,42.0,39.0,34.0,33.0,42.0,25.0,34.0,29.0,39.0,42.0,43.0,53.0,49.0,47.0,41.0,32.0,26.0,32.0,31.0,47.0,38.0,45.0,38.0,44.0,44.0,74,0,0,0,0,0,1,0,74,5,4
44.0,44.0,42.0,39.0,34.0,33.0,42.0,25.0,34.0,29.0,39.0,42.0,43.0,53.0,49.0,47.0,41.0,32.0,26.0,32.0,31.0,47.0,38.0,45.0,38.0,44.0,44.0,74.0,50,0,0,0,0,0,0,1,50,6,4
44.0,42.0,39.0,34.0,33.0,42.0,25.0,34.0,29.0,39.0,42.0,43.0,53.0,49.0,47.0,41.0,32.0,26.0,32.0,31.0,47.0,38.0,45.0,38.0,44.0,44.0,74.0,50.0,44,0,0,0,0,1,0,0,44,7,4
42.0,39.0,34.0,33.0,42.0,25.0,34.0,29.0,39.0,42.0,43.0,53.0,49.0,47.0,41.0,32.0,26.0,32.0,31.0,47.0,38.0,45.0,38.0,44.0,44.0,74.0,50.0,44.0,48,1,0,0,0,0,0,0,48,8,4
39.0,34.0,33.0,42.0,25.0,34.0,29.0,39.0,42.0,43.0,53.0,49.0,47.0,41.0,32.0,26.0,32.0,31.0,47.0,38.0,45.0,38.0,44.0,44.0,74.0,50.0,44.0,48.0,46,0,0,1,0,0,0,0,46,9,4
34.0,33.0,42.0,25.0,34.0,29.0,39.0,42.0,43.0,53.0,49.0,47.0,41.0,32.0,26.0,32.0,31.0,47.0,38.0,45.0,38.0,44.0,44.0,74.0,50.0,44.0,48.0,46.0,51,0,0,0,1,0,0,0,51,10,4
33.0,42.0,25.0,34.0,29.0,39.0,42.0,43.0,53.0,49.0,47.0,41.0,32.0,26.0,32.0,31.0,47.0,38.0,45.0,38.0,44.0,44.0,74.0,50.0,44.0,48.0,46.0,51.0,48,0,1,0,0,0,0,0,48,11,4
42.0,25.0,34.0,29.0,39.0,42.0,43.0,53.0,49.0,47.0,41.0,32.0,26.0,32.0,31.0,47.0,38.0,45.0,38.0,44.0,44.0,74.0,50.0,44.0,48.0,46.0,51.0,48.0,37,0,0,0,0,0,1,0,37,12,4
25.0,34.0,29.0,39.0,42.0,43.0,53.0,49.0,47.0,41.0,32.0,26.0,32.0,31.0,47.0,38.0,45.0,38.0,44.0,44.0,74.0,50.0,44.0,48.0,46.0,51.0,48.0,37.0,28,0,0,0,0,0,0,1,28,13,4
34.0,29.0,39.0,42.0,43.0,53.0,49.0,47.0,41.0,32.0,26.0,32.0,31.0,47.0,38.0,45.0,38.0,44.0,44.0,74.0,50.0,44.0,48.0,46.0,51.0,48.0,37.0,28.0,47,0,1,0,0,0,0,0,47,18,4
