lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
33.0,25.0,37.0,44.0,41.0,47.0,50.0,44.0,43.0,36.0,45.0,41.0,42.0,64.0,49.0,49.0,61.0,41.0,38.0,41.0,50.0,51.0,44.0,45.0,31.0,18.0,41.0,48.0,51,0,0,0,0,0,0,1,51,30,3
25.0,37.0,44.0,41.0,47.0,50.0,44.0,43.0,36.0,45.0,41.0,42.0,64.0,49.0,49.0,61.0,41.0,38.0,41.0,50.0,51.0,44.0,45.0,31.0,18.0,41.0,48.0,51.0,33,0,0,0,0,1,0,0,33,31,3
37.0,44.0,41.0,47.0,50.0,44.0,43.0,36.0,45.0,41.0,42.0,64.0,49.0,49.0,61.0,41.0,38.0,41.0,50.0,51.0,44.0,45.0,31.0,18.0,41.0,48.0,51.0,33.0,34,1,0,0,0,0,0,0,34,1,4
44.0,41.0,47.0,50.0,44.0,43.0,36.0,45.0,41.0,42.0,64.0,49.0,49.0,61.0,41.0,38.0,41.0,50.0,51.0,44.0,45.0,31.0,18.0,41.0,48.0,51.0,33.0,34.0,42,0,0,1,0,0,0,0,42,2,4
41.0,47.0,50.0,44.0,43.0,36.0,45.0,41.0,42.0,64.0,49.0,49.0,61.0,41.0,38.0,41.0,50.0,51.0,44.0,45.0,31.0,18.0,41.0,48.0,51.0,33.0,34.0,42.0,44,0,0,0,1,0,0,0,44,3,4
47.0,50.0,44.0,43.0,36.0,45.0,41.0,42.0,64.0,49.0,49.0,61.0,41.0,38.0,41.0,50.0,51.0,44.0,45.0,31.0,18.0,41.0,48.0,51.0,33.0,34.0,42.0,44.0,50,0,1,0,0,0,0,0,50,4,4
50.0,44.0,43.0,36.0,45.0,41.0,42.0,64.0,49.0,49.0,61.0,41.0,38.0,41.0,50.0,51.0,44.0,45.0,31.0,18.0,41.0,48.0,51.0,33.0,34.0,42.0,44.0,50.0,44,0,0,0,0,0,1,0,44,5,4
44.0,43.0,36.0,45.0,41.0,42.0,64.0,49.0,49.0,61.0,41.0,38.0,41.0,50.0,51.0,44.0,45.0,31.0,18.0,41.0,48.0,51.0,33.0,34.0,42.0,44.0,50.0,44.0,44,0,0,0,0,0,0,1,44,6,4
43.0,36.0,45.0,41.0,42.0,64.0,49.0,49.0,61.0,41.0,38.0,41.0,50.0,51.0,44.0,45.0,31.0,18.0,41.0,48.0,51.0,33.0,34.0,42.0,44.0,50.0,44.0,44.0,39,0,0,0,0,1,0,0,39,7,4
36.0,45.0,41.0,42.0,64.0,49.0,49.0,61.0,41.0,38.0,41.0,50.0,51.0,44.0,45.0,31.0,18.0,41.0,48.0,51.0,33.0,34.0,42.0,44.0,50.0,44.0,44.0,39.0,38,1,0,0,0,0,0,0,38,8,4
45.0,41.0,42.0,64.0,49.0,49.0,61.0,41.0,38.0,41.0,50.0,51.0,44.0,45.0,31.0,18.0,41.0,48.0,51.0,33.0,34.0,42.0,44.0,50.0,44.0,44.0,39.0,38.0,43,0,0,1,0,0,0,0,43,9,4
41.0,42.0,64.0,49.0,49.0,61.0,41.0,38.0,41.0,50.0,51.0,44.0,45.0,31.0,18.0,41.0,48.0,51.0,33.0,34.0,42.0,44.0,50.0,44.0,44.0,39.0,38.0,43.0,38,0,0,0,1,0,0,0,38,10,4
42.0,64.0,49.0,49.0,61.0,41.0,38.0,41.0,50.0,51.0,44.0,45.0,31.0,18.0,41.0,48.0,51.0,33.0,34.0,42.0,44.0,50.0,44.0,44.0,39.0,38.0,43.0,38.0,44,0,1,0,0,0,0,0,44,11,4
64.0,49.0,49.0,61.0,41.0,38.0,41.0,50.0,51.0,44.0,45.0,31.0,18.0,41.0,48.0,51.0,33.0,34.0,42.0,44.0,50.0,44.0,44.0,39.0,38.0,43.0,38.0,44.0,37,0,0,0,0,0,1,0,37,12,4
49.0,49.0,61.0,41.0,38.0,41.0,50.0,51.0,44.0,45.0,31.0,18.0,41.0,48.0,51.0,33.0,34.0,42.0,44.0,50.0,44.0,44.0,39.0,38.0,43.0,38.0,44.0,37.0,44,0,0,0,0,0,0,1,44,13,4
49.0,61.0,41.0,38.0,41.0,50.0,51.0,44.0,45.0,31.0,18.0,41.0,48.0,51.0,33.0,34.0,42.0,44.0,50.0,44.0,44.0,39.0,38.0,43.0,38.0,44.0,37.0,44.0,49,0,0,0,0,1,0,0,49,14,4
61.0,41.0,38.0,41.0,50.0,51.0,44.0,45.0,31.0,18.0,41.0,48.0,51.0,33.0,34.0,42.0,44.0,50.0,44.0,44.0,39.0,38.0,43.0,38.0,44.0,37.0,44.0,49.0,51,1,0,0,0,0,0,0,51,15,4
41.0,38.0,41.0,50.0,51.0,44.0,45.0,31.0,18.0,41.0,48.0,51.0,33.0,34.0,42.0,44.0,50.0,44.0,44.0,39.0,38.0,43.0,38.0,44.0,37.0,44.0,49.0,51.0,51,0,0,1,0,0,0,0,51,16,4
38.0,41.0,50.0,51.0,44.0,45.0,31.0,18.0,41.0,48.0,51.0,33.0,34.0,42.0,44.0,50.0,44.0,44.0,39.0,38.0,43.0,38.0,44.0,37.0,44.0,49.0,51.0,51.0,67,0,0,0,1,0,0,0,67,17,4
41.0,50.0,51.0,44.0,45.0,31.0,18.0,41.0,48.0,51.0,33.0,34.0,42.0,44.0,50.0,44.0,44.0,39.0,38.0,43.0,38.0,44.0,37.0,44.0,49.0,51.0,51.0,67.0,71,0,1,0,0,0,0,0,71,18,4
50.0,51.0,44.0,45.0,31.0,18.0,41.0,48.0,51.0,33.0,34.0,42.0,44.0,50.0,44.0,44.0,39.0,38.0,43.0,38.0,44.0,37.0,44.0,49.0,51.0,51.0,67.0,71.0,90,0,0,0,0,0,1,0,90,19,4
51.0,44.0,45.0,31.0,18.0,41.0,48.0,51.0,33.0,34.0,42.0,44.0,50.0,44.0,44.0,39.0,38.0,43.0,38.0,44.0,37.0,44.0,49.0,51.0,51.0,67.0,71.0,90.0,97,0,0,0,0,0,0,1,97,20,4
44.0,45.0,31.0,18.0,41.0,48.0,51.0,33.0,34.0,42.0,44.0,50.0,44.0,44.0,39.0,38.0,43.0,38.0,44.0,37.0,44.0,49.0,51.0,51.0,67.0,71.0,90.0,97.0,50,0,0,0,0,1,0,0,50,21,4
45.0,31.0,18.0,41.0,48.0,51.0,33.0,34.0,42.0,44.0,50.0,44.0,44.0,39.0,38.0,43.0,38.0,44.0,37.0,44.0,49.0,51.0,51.0,67.0,71.0,90.0,97.0,50.0,40,1,0,0,0,0,0,0,40,22,4
31.0,18.0,41.0,48.0,51.0,33.0,34.0,42.0,44.0,50.0,44.0,44.0,39.0,38.0,43.0,38.0,44.0,37.0,44.0,49.0,51.0,51.0,67.0,71.0,90.0,97.0,50.0,40.0,45,0,0,1,0,0,0,0,45,23,4
18.0,41.0,48.0,51.0,33.0,34.0,42.0,44.0,50.0,44.0,44.0,39.0,38.0,43.0,38.0,44.0,37.0,44.0,49.0,51.0,51.0,67.0,71.0,90.0,97.0,50.0,40.0,45.0,50,0,0,0,1,0,0,0,50,24,4
41.0,48.0,51.0,33.0,34.0,42.0,44.0,50.0,44.0,44.0,39.0,38.0,43.0,38.0,44.0,37.0,44.0,49.0,51.0,51.0,67.0,71.0,90.0,97.0,50.0,40.0,45.0,50.0,67,0,1,0,0,0,0,0,67,25,4
48.0,51.0,33.0,34.0,42.0,44.0,50.0,44.0,44.0,39.0,38.0,43.0,38.0,44.0,37.0,44.0,49.0,51.0,51.0,67.0,71.0,90.0,97.0,50.0,40.0,45.0,50.0,67.0,54,0,0,0,0,0,1,0,54,26,4
51.0,33.0,34.0,42.0,44.0,50.0,44.0,44.0,39.0,38.0,43.0,38.0,44.0,37.0,44.0,49.0,51.0,51.0,67.0,71.0,90.0,97.0,50.0,40.0,45.0,50.0,67.0,54.0,48,0,0,0,0,0,0,1,48,27,4
