lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
21.0,15.0,17.0,10.0,13.0,14.0,16.0,10.0,5.0,14.0,16.0,14.0,39.0,27.0,18.0,22.0,12.0,15.0,30.0,37.0,3.0,21.0,28.0,30.0,39.0,17.0,22.0,18.0,28,0,0,1,0,0,0,0,28,30,1
15.0,17.0,10.0,13.0,14.0,16.0,10.0,5.0,14.0,16.0,14.0,39.0,27.0,18.0,22.0,12.0,15.0,30.0,37.0,3.0,21.0,28.0,30.0,39.0,17.0,22.0,18.0,28.0,33,0,0,0,1,0,0,0,33,31,1
17.0,10.0,13.0,14.0,16.0,10.0,5.0,14.0,16.0,14.0,39.0,27.0,18.0,22.0,12.0,15.0,30.0,37.0,3.0,21.0,28.0,30.0,39.0,17.0,22.0,18.0,28.0,33.0,33,0,1,0,0,0,0,0,33,1,2
10.0,13.0,14.0,16.0,10.0,5.0,14.0,16.0,14.0,39.0,27.0,18.0,22.0,12.0,15.0,30.0,37.0,3.0,21.0,28.0,30.0,39.0,17.0,22.0,18.0,28.0,33.0,33.0,30,0,0,0,0,0,1,0,30,2,2
13.0,14.0,16.0,10.0,5.0,14.0,16.0,14.0,39.0,27.0,18.0,22.0,12.0,15.0,30.0,37.0,3.0,21.0,28.0,30.0,39.0,17.0,22.0,18.0,28.0,33.0,33.0,30.0,18,0,0,0,0,0,0,1,18,3,2
14.0,16.0,10.0,5.0,14.0,16.0,14.0,39.0,27.0,18.0,22.0,12.0,15.0,30.0,37.0,3.0,21.0,28.0,30.0,39.0,17.0,22.0,18.0,28.0,33.0,33.0,30.0,18.0,12,0,0,0,0,1,0,0,12,4,2
16.0,10.0,5.0,14.0,16.0,14.0,39.0,27.0,18.0,22.0,12.0,15.0,30.0,37.0,3.0,21.0,28.0,30.0,39.0,17.0,22.0,18.0,28.0,33.0,33.0,30.0,18.0,12.0,14,1,0,0,0,0,0,0,14,5,2
10.0,5.0,14.0,16.0,14.0,39.0,27.0,18.0,22.0,12.0,15.0,30.0,37.0,3.0,21.0,28.0,30.0,39.0,17.0,22.0,18.0,28.0,33.0,33.0,30.0,18.0,12.0,14.0,23,0,0,1,0,0,0,0,23,6,2
5.0,14.0,16.0,14.0,39.0,27.0,18.0,22.0,12.0,15.0,30.0,37.0,3.0,21.0,28.0,30.0,39.0,17.0,22.0,18.0,28.0,33.0,33.0,30.0,18.0,12.0,14.0,23.0,30,0,0,0,1,0,0,0,30,7,2
14.0,16.0,14.0,39.0,27.0,18.0,22.0,12.0,15.0,30.0,37.0,3.0,21.0,28.0,30.0,39.0,17.0,22.0,18.0,28.0,33.0,33.0,30.0,18.0,12.0,14.0,23.0,30.0,14,0,1,0,0,0,0,0,14,8,2
