lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
33.0,26.0,33.0,39.0,41.0,48.0,45.0,43.0,40.0,33.0,38.0,38.0,41.0,50.0,49.0,49.0,58.0,42.0,40.0,40.0,48.0,54.0,43.0,34.0,10.0,15.0,44.0,46.0,51,0,0,0,0,0,0,1,51,30,3
26.0,33.0,39.0,41.0,48.0,45.0,43.0,40.0,33.0,38.0,38.0,41.0,50.0,49.0,49.0,58.0,42.0,40.0,40.0,48.0,54.0,43.0,34.0,10.0,15.0,44.0,46.0,51.0,34,0,0,0,0,1,0,0,34,31,3
33.0,39.0,41.0,48.0,45.0,43.0,40.0,33.0,38.0,38.0,41.0,50.0,49.0,49.0,58.0,42.0,40.0,40.0,48.0,54.0,43.0,34.0,10.0,15.0,44.0,46.0,51.0,34.0,27,1,0,0,0,0,0,0,27,1,4
39.0,41.0,48.0,45.0,43.0,40.0,33.0,38.0,38.0,41.0,50.0,49.0,49.0,58.0,42.0,40.0,40.0,48.0,54.0,43.0,34.0,10.0,15.0,44.0,46.0,51.0,34.0,27.0,44,0,0,1,0,0,0,0,44,2,4
41.0,48.0,45.0,43.0,40.0,33.0,38.0,38.0,41.0,50.0,49.0,49.0,58.0,42.0,40.0,40.0,48.0,54.0,43.0,34.0,10.0,15.0,44.0,46.0,51.0,34.0,27.0,44.0,46,0,0,0,1,0,0,0,46,3,4
48.0,45.0,43.0,40.0,33.0,38.0,38.0,41.0,50.0,49.0,49.0,58.0,42.0,40.0,40.0,48.0,54.0,43.0,34.0,10.0,15.0,44.0,46.0,51.0,34.0,27.0,44.0,46.0,48,0,1,0,0,0,0,0,48,4,4
45.0,43.0,40.0,33.0,38.0,38.0,41.0,50.0,49.0,49.0,58.0,42.0,40.0,40.0,48.0,54.0,43.0,34.0,10.0,15.0,44.0,46.0,51.0,34.0,27.0,44.0,46.0,48.0,44,0,0,0,0,0,1,0,44,5,4
43.0,40.0,33.0,38.0,38.0,41.0,50.0,49.0,49.0,58.0,42.0,40.0,40.0,48.0,54.0,43.0,34.0,10.0,15.0,44.0,46.0,51.0,34.0,27.0,44.0,46.0,48.0,44.0,43,0,0,0,0,0,0,1,43,6,4
40.0,33.0,38.0,38.0,41.0,50.0,49.0,49.0,58.0,42.0,40.0,40.0,48.0,54.0,43.0,34.0,10.0,15.0,44.0,46.0,51.0,34.0,27.0,44.0,46.0,48.0,44.0,43.0,40,0,0,0,0,1,0,0,40,7,4
33.0,38.0,38.0,41.0,50.0,49.0,49.0,58.0,42.0,40.0,40.0,48.0,54.0,43.0,34.0,10.0,15.0,44.0,46.0,51.0,34.0,27.0,44.0,46.0,48.0,44.0,43.0,40.0,39,1,0,0,0,0,0,0,39,8,4
38.0,38.0,41.0,50.0,49.0,49.0,58.0,42.0,40.0,40.0,48.0,54.0,43.0,34.0,10.0,15.0,44.0,46.0,51.0,34.0,27.0,44.0,46.0,48.0,44.0,43.0,40.0,39.0,44,0,0,1,0,0,0,0,44,9,4
38.0,41.0,50.0,49.0,49.0,58.0,42.0,40.0,40.0,48.0,54.0,43.0,34.0,10.0,15.0,44.0,46.0,51.0,34.0,27.0,44.0,46.0,48.0,44.0,43.0,40.0,39.0,44.0,40,0,0,0,1,0,0,0,40,10,4
41.0,50.0,49.0,49.0,58.0,42.0,40.0,40.0,48.0,54.0,43.0,34.0,10.0,15.0,44.0,46.0,51.0,34.0,27.0,44.0,46.0,48.0,44.0,43.0,40.0,39.0,44.0,40.0,38,0,1,0,0,0,0,0,38,11,4
50.0,49.0,49.0,58.0,42.0,40.0,40.0,48.0,54.0,43.0,34.0,10.0,15.0,44.0,46.0,51.0,34.0,27.0,44.0,46.0,48.0,44.0,43.0,40.0,39.0,44.0,40.0,38.0,42,0,0,0,0,0,1,0,42,12,4
49.0,49.0,58.0,42.0,40.0,40.0,48.0,54.0,43.0,34.0,10.0,15.0,44.0,46.0,51.0,34.0,27.0,44.0,46.0,48.0,44.0,43.0,40.0,39.0,44.0,40.0,38.0,42.0,33,0,0,0,0,0,0,1,33,13,4
49.0,58.0,42.0,40.0,40.0,48.0,54.0,43.0,34.0,10.0,15.0,44.0,46.0,51.0,34.0,27.0,44.0,46.0,48.0,44.0,43.0,40.0,39.0,44.0,40.0,38.0,42.0,33.0,42,0,0,0,0,1,0,0,42,14,4
58.0,42.0,40.0,40.0,48.0,54.0,43.0,34.0,10.0,15.0,44.0,46.0,51.0,34.0,27.0,44.0,46.0,48.0,44.0,43.0,40.0,39.0,44.0,40.0,38.0,42.0,33.0,42.0,44,1,0,0,0,0,0,0,44,15,4
42.0,40.0,40.0,48.0,54.0,43.0,34.0,10.0,15.0,44.0,46.0,51.0,34.0,27.0,44.0,46.0,48.0,44.0,43.0,40.0,39.0,44.0,40.0,38.0,42.0,33.0,42.0,44.0,45,0,0,1,0,0,0,0,45,16,4
40.0,40.0,48.0,54.0,43.0,34.0,10.0,15.0,44.0,46.0,51.0,34.0,27.0,44.0,46.0,48.0,44.0,43.0,40.0,39.0,44.0,40.0,38.0,42.0,33.0,42.0,44.0,45.0,58,0,0,0,1,0,0,0,58,17,4
40.0,48.0,54.0,43.0,34.0,10.0,15.0,44.0,46.0,51.0,34.0,27.0,44.0,46.0,48.0,44.0,43.0,40.0,39.0,44.0,40.0,38.0,42.0,33.0,42.0,44.0,45.0,58.0,71,0,1,0,0,0,0,0,71,18,4
48.0,54.0,43.0,34.0,10.0,15.0,44.0,46.0,51.0,34.0,27.0,44.0,46.0,48.0,44.0,43.0,40.0,39.0,44.0,40.0,38.0,42.0,33.0,42.0,44.0,45.0,58.0,71.0,100,0,0,0,0,0,1,0,100,19,4
54.0,43.0,34.0,10.0,15.0,44.0,46.0,51.0,34.0,27.0,44.0,46.0,48.0,44.0,43.0,40.0,39.0,44.0,40.0,38.0,42.0,33.0,42.0,44.0,45.0,58.0,71.0,100.0,87,0,0,0,0,0,0,1,87,20,4
43.0,34.0,10.0,15.0,44.0,46.0,51.0,34.0,27.0,44.0,46.0,48.0,44.0,43.0,40.0,39.0,44.0,40.0,38.0,42.0,33.0,42.0,44.0,45.0,58.0,71.0,100.0,87.0,44,0,0,0,0,1,0,0,44,21,4
