lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
23.0,23.0,17.0,20.0,33.0,18.0,24.0,39.0,24.0,37.0,15.0,18.0,20.0,15.0,25.0,45.0,39.0,17.0,40.0,66.0,29.0,37.0,26.0,25.0,83.0,27.0,52.0,22.0,29,0,1,0,0,0,0,0,29,28,3
23.0,17.0,20.0,33.0,18.0,24.0,39.0,24.0,37.0,15.0,18.0,20.0,15.0,25.0,45.0,39.0,17.0,40.0,66.0,29.0,37.0,26.0,25.0,83.0,27.0,52.0,22.0,29.0,27,0,0,0,0,1,0,0,27,31,3
17.0,20.0,33.0,18.0,24.0,39.0,24.0,37.0,15.0,18.0,20.0,15.0,25.0,45.0,39.0,17.0,40.0,66.0,29.0,37.0,26.0,25.0,83.0,27.0,52.0,22.0,29.0,27.0,19,0,0,0,1,0,0,0,19,3,4
20.0,33.0,18.0,24.0,39.0,24.0,37.0,15.0,18.0,20.0,15.0,25.0,45.0,39.0,17.0,40.0,66.0,29.0,37.0,26.0,25.0,83.0,27.0,52.0,22.0,29.0,27.0,19.0,28,0,0,0,0,0,0,1,28,6,4
33.0,18.0,24.0,39.0,24.0,37.0,15.0,18.0,20.0,15.0,25.0,45.0,39.0,17.0,40.0,66.0,29.0,37.0,26.0,25.0,83.0,27.0,52.0,22.0,29.0,27.0,19.0,28.0,20,0,0,1,0,0,0,0,20,9,4
18.0,24.0,39.0,24.0,37.0,15.0,18.0,20.0,15.0,25.0,45.0,39.0,17.0,40.0,66.0,29.0,37.0,26.0,25.0,83.0,27.0,52.0,22.0,29.0,27.0,19.0,28.0,20.0,30,0,0,0,0,0,1,0,30,12,4
24.0,39.0,24.0,37.0,15.0,18.0,20.0,15.0,25.0,45.0,39.0,17.0,40.0,66.0,29.0,37.0,26.0,25.0,83.0,27.0,52.0,22.0,29.0,27.0,19.0,28.0,20.0,30.0,27,1,0,0,0,0,0,0,27,15,4
39.0,24.0,37.0,15.0,18.0,20.0,15.0,25.0,45.0,39.0,17.0,40.0,66.0,29.0,37.0,26.0,25.0,83.0,27.0,52.0,22.0,29.0,27.0,19.0,28.0,20.0,30.0,27.0,33,0,1,0,0,0,0,0,33,18,4
24.0,37.0,15.0,18.0,20.0,15.0,25.0,45.0,39.0,17.0,40.0,66.0,29.0,37.0,26.0,25.0,83.0,27.0,52.0,22.0,29.0,27.0,19.0,28.0,20.0,30.0,27.0,33.0,26,0,0,0,1,0,0,0,26,24,4
37.0,15.0,18.0,20.0,15.0,25.0,45.0,39.0,17.0,40.0,66.0,29.0,37.0,26.0,25.0,83.0,27.0,52.0,22.0,29.0,27.0,19.0,28.0,20.0,30.0,27.0,33.0,26.0,32,0,0,0,0,0,0,1,32,27,4
15.0,18.0,20.0,15.0,25.0,45.0,39.0,17.0,40.0,66.0,29.0,37.0,26.0,25.0,83.0,27.0,52.0,22.0,29.0,27.0,19.0,28.0,20.0,30.0,27.0,33.0,26.0,32.0,47,0,0,1,0,0,0,0,47,30,4
