lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
55.0,68.0,84.0,80.0,67.0,35.0,37.0,26.0,54.0,27.0,30.0,24.0,39.0,30.0,28.0,34.0,35.0,31.0,32.0,30.0,32.0,30.0,34.0,35.0,25.0,21.0,32.0,24.0,31,0,0,1,0,0,0,0,31,30,1
68.0,84.0,80.0,67.0,35.0,37.0,26.0,54.0,27.0,30.0,24.0,39.0,30.0,28.0,34.0,35.0,31.0,32.0,30.0,32.0,30.0,34.0,35.0,25.0,21.0,32.0,24.0,31.0,36,0,0,0,1,0,0,0,36,31,1
84.0,80.0,67.0,35.0,37.0,26.0,54.0,27.0,30.0,24.0,39.0,30.0,28.0,34.0,35.0,31.0,32.0,30.0,32.0,30.0,34.0,35.0,25.0,21.0,32.0,24.0,31.0,36.0,32,0,1,0,0,0,0,0,32,1,2
80.0,67.0,35.0,37.0,26.0,54.0,27.0,30.0,24.0,39.0,30.0,28.0,34.0,35.0,31.0,32.0,30.0,32.0,30.0,34.0,35.0,25.0,21.0,32.0,24.0,31.0,36.0,32.0,34,0,0,0,0,0,1,0,34,2,2
67.0,35.0,37.0,26.0,54.0,27.0,30.0,24.0,39.0,30.0,28.0,34.0,35.0,31.0,32.0,30.0,32.0,30.0,34.0,35.0,25.0,21.0,32.0,24.0,31.0,36.0,32.0,34.0,30,0,0,0,0,0,0,1,30,3,2
35.0,37.0,26.0,54.0,27.0,30.0,24.0,39.0,30.0,28.0,34.0,35.0,31.0,32.0,30.0,32.0,30.0,34.0,35.0,25.0,21.0,32.0,24.0,31.0,36.0,32.0,34.0,30.0,28,0,0,0,0,1,0,0,28,4,2
37.0,26.0,54.0,27.0,30.0,24.0,39.0,30.0,28.0,34.0,35.0,31.0,32.0,30.0,32.0,30.0,34.0,35.0,25.0,21.0,32.0,24.0,31.0,36.0,32.0,34.0,30.0,28.0,35,1,0,0,0,0,0,0,35,5,2
26.0,54.0,27.0,30.0,24.0,39.0,30.0,28.0,34.0,35.0,31.0,32.0,30.0,32.0,30.0,34.0,35.0,25.0,21.0,32.0,24.0,31.0,36.0,32.0,34.0,30.0,28.0,35.0,27,0,0,1,0,0,0,0,27,6,2
54.0,27.0,30.0,24.0,39.0,30.0,28.0,34.0,35.0,31.0,32.0,30.0,32.0,30.0,34.0,35.0,25.0,21.0,32.0,24.0,31.0,36.0,32.0,34.0,30.0,28.0,35.0,27.0,45,0,0,0,1,0,0,0,45,7,2
27.0,30.0,24.0,39.0,30.0,28.0,34.0,35.0,31.0,32.0,30.0,32.0,30.0,34.0,35.0,25.0,21.0,32.0,24.0,31.0,36.0,32.0,34.0,30.0,28.0,35.0,27.0,45.0,30,0,1,0,0,0,0,0,30,8,2
30.0,24.0,39.0,30.0,28.0,34.0,35.0,31.0,32.0,30.0,32.0,30.0,34.0,35.0,25.0,21.0,32.0,24.0,31.0,36.0,32.0,34.0,30.0,28.0,35.0,27.0,45.0,30.0,33,0,0,0,0,0,1,0,33,9,2
24.0,39.0,30.0,28.0,34.0,35.0,31.0,32.0,30.0,32.0,30.0,34.0,35.0,25.0,21.0,32.0,24.0,31.0,36.0,32.0,34.0,30.0,28.0,35.0,27.0,45.0,30.0,33.0,38,0,0,0,0,0,0,1,38,10,2
39.0,30.0,28.0,34.0,35.0,31.0,32.0,30.0,32.0,30.0,34.0,35.0,25.0,21.0,32.0,24.0,31.0,36.0,32.0,34.0,30.0,28.0,35.0,27.0,45.0,30.0,33.0,38.0,41,0,0,0,0,1,0,0,41,11,2
30.0,28.0,34.0,35.0,31.0,32.0,30.0,32.0,30.0,34.0,35.0,25.0,21.0,32.0,24.0,31.0,36.0,32.0,34.0,30.0,28.0,35.0,27.0,45.0,30.0,33.0,38.0,41.0,64,1,0,0,0,0,0,0,64,12,2
28.0,34.0,35.0,31.0,32.0,30.0,32.0,30.0,34.0,35.0,25.0,21.0,32.0,24.0,31.0,36.0,32.0,34.0,30.0,28.0,35.0,27.0,45.0,30.0,33.0,38.0,41.0,64.0,45,0,0,1,0,0,0,0,45,13,2
34.0,35.0,31.0,32.0,30.0,32.0,30.0,34.0,35.0,25.0,21.0,32.0,24.0,31.0,36.0,32.0,34.0,30.0,28.0,35.0,27.0,45.0,30.0,33.0,38.0,41.0,64.0,45.0,28,0,0,0,1,0,0,0,28,14,2
35.0,31.0,32.0,30.0,32.0,30.0,34.0,35.0,25.0,21.0,32.0,24.0,31.0,36.0,32.0,34.0,30.0,28.0,35.0,27.0,45.0,30.0,33.0,38.0,41.0,64.0,45.0,28.0,21,0,1,0,0,0,0,0,21,15,2
31.0,32.0,30.0,32.0,30.0,34.0,35.0,25.0,21.0,32.0,24.0,31.0,36.0,32.0,34.0,30.0,28.0,35.0,27.0,45.0,30.0,33.0,38.0,41.0,64.0,45.0,28.0,21.0,30,0,0,0,0,0,1,0,30,16,2
32.0,30.0,32.0,30.0,34.0,35.0,25.0,21.0,32.0,24.0,31.0,36.0,32.0,34.0,30.0,28.0,35.0,27.0,45.0,30.0,33.0,38.0,41.0,64.0,45.0,28.0,21.0,30.0,31,0,0,0,0,0,0,1,31,17,2
30.0,32.0,30.0,34.0,35.0,25.0,21.0,32.0,24.0,31.0,36.0,32.0,34.0,30.0,28.0,35.0,27.0,45.0,30.0,33.0,38.0,41.0,64.0,45.0,28.0,21.0,30.0,31.0,32,0,0,0,0,1,0,0,32,18,2
32.0,30.0,34.0,35.0,25.0,21.0,32.0,24.0,31.0,36.0,32.0,34.0,30.0,28.0,35.0,27.0,45.0,30.0,33.0,38.0,41.0,64.0,45.0,28.0,21.0,30.0,31.0,32.0,32,1,0,0,0,0,0,0,32,19,2
30.0,34.0,35.0,25.0,21.0,32.0,24.0,31.0,36.0,32.0,34.0,30.0,28.0,35.0,27.0,45.0,30.0,33.0,38.0,41.0,64.0,45.0,28.0,21.0,30.0,31.0,32.0,32.0,36,0,0,1,0,0,0,0,36,20,2
34.0,35.0,25.0,21.0,32.0,24.0,31.0,36.0,32.0,34.0,30.0,28.0,35.0,27.0,45.0,30.0,33.0,38.0,41.0,64.0,45.0,28.0,21.0,30.0,31.0,32.0,32.0,36.0,34,0,0,0,1,0,0,0,34,21,2
