lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
24.0,31.0,31.0,58.0,56.0,64.0,32.0,20.0,33.0,24.0,34.0,48.0,17.0,26.0,35.0,36.0,17.0,22.0,16.0,37.0,42.0,40.0,33.0,29.0,29.0,38.0,46.0,46.0,9,0,0,1,0,0,0,0,9,30,1
31.0,31.0,58.0,56.0,64.0,32.0,20.0,33.0,24.0,34.0,48.0,17.0,26.0,35.0,36.0,17.0,22.0,16.0,37.0,42.0,40.0,33.0,29.0,29.0,38.0,46.0,46.0,9.0,16,0,0,0,1,0,0,0,16,31,1
31.0,58.0,56.0,64.0,32.0,20.0,33.0,24.0,34.0,48.0,17.0,26.0,35.0,36.0,17.0,22.0,16.0,37.0,42.0,40.0,33.0,29.0,29.0,38.0,46.0,46.0,9.0,16.0,15,0,1,0,0,0,0,0,15,1,2
58.0,56.0,64.0,32.0,20.0,33.0,24.0,34.0,48.0,17.0,26.0,35.0,36.0,17.0,22.0,16.0,37.0,42.0,40.0,33.0,29.0,29.0,38.0,46.0,46.0,9.0,16.0,15.0,28,0,0,0,0,0,1,0,28,2,2
56.0,64.0,32.0,20.0,33.0,24.0,34.0,48.0,17.0,26.0,35.0,36.0,17.0,22.0,16.0,37.0,42.0,40.0,33.0,29.0,29.0,38.0,46.0,46.0,9.0,16.0,15.0,28.0,40,0,0,0,0,0,0,1,40,3,2
64.0,32.0,20.0,33.0,24.0,34.0,48.0,17.0,26.0,35.0,36.0,17.0,22.0,16.0,37.0,42.0,40.0,33.0,29.0,29.0,38.0,46.0,46.0,9.0,16.0,15.0,28.0,40.0,54,0,0,0,0,1,0,0,54,4,2
32.0,20.0,33.0,24.0,34.0,48.0,17.0,26.0,35.0,36.0,17.0,22.0,16.0,37.0,42.0,40.0,33.0,29.0,29.0,38.0,46.0,46.0,9.0,16.0,15.0,28.0,40.0,54.0,40,1,0,0,0,0,0,0,40,5,2
20.0,33.0,24.0,34.0,48.0,17.0,26.0,35.0,36.0,17.0,22.0,16.0,37.0,42.0,40.0,33.0,29.0,29.0,38.0,46.0,46.0,9.0,16.0,15.0,28.0,40.0,54.0,40.0,47,0,0,1,0,0,0,0,47,6,2
33.0,24.0,34.0,48.0,17.0,26.0,35.0,36.0,17.0,22.0,16.0,37.0,42.0,40.0,33.0,29.0,29.0,38.0,46.0,46.0,9.0,16.0,15.0,28.0,40.0,54.0,40.0,47.0,41,0,0,0,1,0,0,0,41,7,2
24.0,34.0,48.0,17.0,26.0,35.0,36.0,17.0,22.0,16.0,37.0,42.0,40.0,33.0,29.0,29.0,38.0,46.0,46.0,9.0,16.0,15.0,28.0,40.0,54.0,40.0,47.0,41.0,45,0,1,0,0,0,0,0,45,8,2
34.0,48.0,17.0,26.0,35.0,36.0,17.0,22.0,16.0,37.0,42.0,40.0,33.0,29.0,29.0,38.0,46.0,46.0,9.0,16.0,15.0,28.0,40.0,54.0,40.0,47.0,41.0,45.0,55,0,0,0,0,0,1,0,55,9,2
48.0,17.0,26.0,35.0,36.0,17.0,22.0,16.0,37.0,42.0,40.0,33.0,29.0,29.0,38.0,46.0,46.0,9.0,16.0,15.0,28.0,40.0,54.0,40.0,47.0,41.0,45.0,55.0,42,0,0,0,0,0,0,1,42,10,2
17.0,26.0,35.0,36.0,17.0,22.0,16.0,37.0,42.0,40.0,33.0,29.0,29.0,38.0,46.0,46.0,9.0,16.0,15.0,28.0,40.0,54.0,40.0,47.0,41.0,45.0,55.0,42.0,53,0,0,0,0,1,0,0,53,11,2
26.0,35.0,36.0,17.0,22.0,16.0,37.0,42.0,40.0,33.0,29.0,29.0,38.0,46.0,46.0,9.0,16.0,15.0,28.0,40.0,54.0,40.0,47.0,41.0,45.0,55.0,42.0,53.0,62,1,0,0,0,0,0,0,62,12,2
35.0,36.0,17.0,22.0,16.0,37.0,42.0,40.0,33.0,29.0,29.0,38.0,46.0,46.0,9.0,16.0,15.0,28.0,40.0,54.0,40.0,47.0,41.0,45.0,55.0,42.0,53.0,62.0,52,0,0,1,0,0,0,0,52,13,2
