lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
53.0,59.0,56.0,51.0,14.0,5.0,24.0,26.0,48.0,51.0,52.0,7.0,9.0,19.0,41.0,12.0,8.0,8.0,17.0,47.0,28.0,8.0,1.0,41.0,38.0,42.0,28.0,5.0,21,0,0,1,0,0,0,0,21,30,1
59.0,56.0,51.0,14.0,5.0,24.0,26.0,48.0,51.0,52.0,7.0,9.0,19.0,41.0,12.0,8.0,8.0,17.0,47.0,28.0,8.0,1.0,41.0,38.0,42.0,28.0,5.0,21.0,20,0,0,0,1,0,0,0,20,31,1
56.0,51.0,14.0,5.0,24.0,26.0,48.0,51.0,52.0,7.0,9.0,19.0,41.0,12.0,8.0,8.0,17.0,47.0,28.0,8.0,1.0,41.0,38.0,42.0,28.0,5.0,21.0,20.0,43,0,1,0,0,0,0,0,43,1,2
51.0,14.0,5.0,24.0,26.0,48.0,51.0,52.0,7.0,9.0,19.0,41.0,12.0,8.0,8.0,17.0,47.0,28.0,8.0,1.0,41.0,38.0,42.0,28.0,5.0,21.0,20.0,43.0,38,0,0,0,0,0,1,0,38,2,2
14.0,5.0,24.0,26.0,48.0,51.0,52.0,7.0,9.0,19.0,41.0,12.0,8.0,8.0,17.0,47.0,28.0,8.0,1.0,41.0,38.0,42.0,28.0,5.0,21.0,20.0,43.0,38.0,40,0,0,0,0,0,0,1,40,3,2
5.0,24.0,26.0,48.0,51.0,52.0,7.0,9.0,19.0,41.0,12.0,8.0,8.0,17.0,47.0,28.0,8.0,1.0,41.0,38.0,42.0,28.0,5.0,21.0,20.0,43.0,38.0,40.0,12,0,0,0,0,1,0,0,12,4,2
24.0,26.0,48.0,51.0,52.0,7.0,9.0,19.0,41.0,12.0,8.0,8.0,17.0,47.0,28.0,8.0,1.0,41.0,38.0,42.0,28.0,5.0,21.0,20.0,43.0,38.0,40.0,12.0,33,1,0,0,0,0,0,0,33,5,2
26.0,48.0,51.0,52.0,7.0,9.0,19.0,41.0,12.0,8.0,8.0,17.0,47.0,28.0,8.0,1.0,41.0,38.0,42.0,28.0,5.0,21.0,20.0,43.0,38.0,40.0,12.0,33.0,33,0,0,1,0,0,0,0,33,6,2
48.0,51.0,52.0,7.0,9.0,19.0,41.0,12.0,8.0,8.0,17.0,47.0,28.0,8.0,1.0,41.0,38.0,42.0,28.0,5.0,21.0,20.0,43.0,38.0,40.0,12.0,33.0,33.0,31,0,0,0,1,0,0,0,31,7,2
51.0,52.0,7.0,9.0,19.0,41.0,12.0,8.0,8.0,17.0,47.0,28.0,8.0,1.0,41.0,38.0,42.0,28.0,5.0,21.0,20.0,43.0,38.0,40.0,12.0,33.0,33.0,31.0,59,0,1,0,0,0,0,0,59,8,2
52.0,7.0,9.0,19.0,41.0,12.0,8.0,8.0,17.0,47.0,28.0,8.0,1.0,41.0,38.0,42.0,28.0,5.0,21.0,20.0,43.0,38.0,40.0,12.0,33.0,33.0,31.0,59.0,58,0,0,0,0,0,1,0,58,9,2
7.0,9.0,19.0,41.0,12.0,8.0,8.0,17.0,47.0,28.0,8.0,1.0,41.0,38.0,42.0,28.0,5.0,21.0,20.0,43.0,38.0,40.0,12.0,33.0,33.0,31.0,59.0,58.0,47,0,0,0,0,0,0,1,47,10,2
9.0,19.0,41.0,12.0,8.0,8.0,17.0,47.0,28.0,8.0,1.0,41.0,38.0,42.0,28.0,5.0,21.0,20.0,43.0,38.0,40.0,12.0,33.0,33.0,31.0,59.0,58.0,47.0,59,0,0,0,0,1,0,0,59,11,2
19.0,41.0,12.0,8.0,8.0,17.0,47.0,28.0,8.0,1.0,41.0,38.0,42.0,28.0,5.0,21.0,20.0,43.0,38.0,40.0,12.0,33.0,33.0,31.0,59.0,58.0,47.0,59.0,52,1,0,0,0,0,0,0,52,12,2
41.0,12.0,8.0,8.0,17.0,47.0,28.0,8.0,1.0,41.0,38.0,42.0,28.0,5.0,21.0,20.0,43.0,38.0,40.0,12.0,33.0,33.0,31.0,59.0,58.0,47.0,59.0,52.0,10,0,0,1,0,0,0,0,10,13,2
12.0,8.0,8.0,17.0,47.0,28.0,8.0,1.0,41.0,38.0,42.0,28.0,5.0,21.0,20.0,43.0,38.0,40.0,12.0,33.0,33.0,31.0,59.0,58.0,47.0,59.0,52.0,10.0,9,0,0,0,1,0,0,0,9,14,2
8.0,8.0,17.0,47.0,28.0,8.0,1.0,41.0,38.0,42.0,28.0,5.0,21.0,20.0,43.0,38.0,40.0,12.0,33.0,33.0,31.0,59.0,58.0,47.0,59.0,52.0,10.0,9.0,14,0,1,0,0,0,0,0,14,15,2
8.0,17.0,47.0,28.0,8.0,1.0,41.0,38.0,42.0,28.0,5.0,21.0,20.0,43.0,38.0,40.0,12.0,33.0,33.0,31.0,59.0,58.0,47.0,59.0,52.0,10.0,9.0,14.0,22,0,0,0,0,0,1,0,22,16,2
17.0,47.0,28.0,8.0,1.0,41.0,38.0,42.0,28.0,5.0,21.0,20.0,43.0,38.0,40.0,12.0,33.0,33.0,31.0,59.0,58.0,47.0,59.0,52.0,10.0,9.0,14.0,22.0,19,0,0,0,0,0,0,1,19,17,2
47.0,28.0,8.0,1.0,41.0,38.0,42.0,28.0,5.0,21.0,20.0,43.0,38.0,40.0,12.0,33.0,33.0,31.0,59.0,58.0,47.0,59.0,52.0,10.0,9.0,14.0,22.0,19.0,3,0,0,0,0,1,0,0,3,18,2
28.0,8.0,1.0,41.0,38.0,42.0,28.0,5.0,21.0,20.0,43.0,38.0,40.0,12.0,33.0,33.0,31.0,59.0,58.0,47.0,59.0,52.0,10.0,9.0,14.0,22.0,19.0,3.0,5,1,0,0,0,0,0,0,5,19,2
8.0,1.0,41.0,38.0,42.0,28.0,5.0,21.0,20.0,43.0,38.0,40.0,12.0,33.0,33.0,31.0,59.0,58.0,47.0,59.0,52.0,10.0,9.0,14.0,22.0,19.0,3.0,5.0,16,0,0,1,0,0,0,0,16,20,2
