lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
11.0,58.0,13.0,17.0,41.0,22.0,55.0,21.0,18.0,25.0,13.0,33.0,37.0,48.0,36.0,18.0,17.0,28.0,24.0,49.0,31.0,16.0,15.0,32.0,20.0,22.0,18.0,15.0,22,0,0,0,0,1,0,0,22,31,3
58.0,13.0,17.0,41.0,22.0,55.0,21.0,18.0,25.0,13.0,33.0,37.0,48.0,36.0,18.0,17.0,28.0,24.0,49.0,31.0,16.0,15.0,32.0,20.0,22.0,18.0,15.0,22.0,37,1,0,0,0,0,0,0,37,1,4
13.0,17.0,41.0,22.0,55.0,21.0,18.0,25.0,13.0,33.0,37.0,48.0,36.0,18.0,17.0,28.0,24.0,49.0,31.0,16.0,15.0,32.0,20.0,22.0,18.0,15.0,22.0,37.0,43,0,0,1,0,0,0,0,43,2,4
17.0,41.0,22.0,55.0,21.0,18.0,25.0,13.0,33.0,37.0,48.0,36.0,18.0,17.0,28.0,24.0,49.0,31.0,16.0,15.0,32.0,20.0,22.0,18.0,15.0,22.0,37.0,43.0,46,0,0,0,1,0,0,0,46,3,4
41.0,22.0,55.0,21.0,18.0,25.0,13.0,33.0,37.0,48.0,36.0,18.0,17.0,28.0,24.0,49.0,31.0,16.0,15.0,32.0,20.0,22.0,18.0,15.0,22.0,37.0,43.0,46.0,40,0,1,0,0,0,0,0,40,4,4
22.0,55.0,21.0,18.0,25.0,13.0,33.0,37.0,48.0,36.0,18.0,17.0,28.0,24.0,49.0,31.0,16.0,15.0,32.0,20.0,22.0,18.0,15.0,22.0,37.0,43.0,46.0,40.0,42,0,0,0,0,0,1,0,42,5,4
55.0,21.0,18.0,25.0,13.0,33.0,37.0,48.0,36.0,18.0,17.0,28.0,24.0,49.0,31.0,16.0,15.0,32.0,20.0,22.0,18.0,15.0,22.0,37.0,43.0,46.0,40.0,42.0,41,0,0,0,0,0,0,1,41,6,4
21.0,18.0,25.0,13.0,33.0,37.0,48.0,36.0,18.0,17.0,28.0,24.0,49.0,31.0,16.0,15.0,32.0,20.0,22.0,18.0,15.0,22.0,37.0,43.0,46.0,40.0,42.0,41.0,35,0,0,0,0,1,0,0,35,7,4
18.0,25.0,13.0,33.0,37.0,48.0,36.0,18.0,17.0,28.0,24.0,49.0,31.0,16.0,15.0,32.0,20.0,22.0,18.0,15.0,22.0,37.0,43.0,46.0,40.0,42.0,41.0,35.0,36,1,0,0,0,0,0,0,36,8,4
25.0,13.0,33.0,37.0,48.0,36.0,18.0,17.0,28.0,24.0,49.0,31.0,16.0,15.0,32.0,20.0,22.0,18.0,15.0,22.0,37.0,43.0,46.0,40.0,42.0,41.0,35.0,36.0,40,0,0,1,0,0,0,0,40,9,4
