lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
10.0,30.0,14.0,17.0,39.0,22.0,66.0,33.0,17.0,72.0,24.0,29.0,44.0,59.0,42.0,29.0,24.0,63.0,33.0,15.0,17.0,18.0,25.0,23.0,16.0,14.0,34.0,41.0,46,0,0,0,1,0,0,0,46,3,4
30.0,14.0,17.0,39.0,22.0,66.0,33.0,17.0,72.0,24.0,29.0,44.0,59.0,42.0,29.0,24.0,63.0,33.0,15.0,17.0,18.0,25.0,23.0,16.0,14.0,34.0,41.0,46.0,39,0,1,0,0,0,0,0,39,4,4
14.0,17.0,39.0,22.0,66.0,33.0,17.0,72.0,24.0,29.0,44.0,59.0,42.0,29.0,24.0,63.0,33.0,15.0,17.0,18.0,25.0,23.0,16.0,14.0,34.0,41.0,46.0,39.0,41,0,0,0,0,0,1,0,41,5,4
17.0,39.0,22.0,66.0,33.0,17.0,72.0,24.0,29.0,44.0,59.0,42.0,29.0,24.0,63.0,33.0,15.0,17.0,18.0,25.0,23.0,16.0,14.0,34.0,41.0,46.0,39.0,41.0,34,0,0,0,0,0,0,1,34,6,4
39.0,22.0,66.0,33.0,17.0,72.0,24.0,29.0,44.0,59.0,42.0,29.0,24.0,63.0,33.0,15.0,17.0,18.0,25.0,23.0,16.0,14.0,34.0,41.0,46.0,39.0,41.0,34.0,34,0,0,0,0,1,0,0,34,7,4
22.0,66.0,33.0,17.0,72.0,24.0,29.0,44.0,59.0,42.0,29.0,24.0,63.0,33.0,15.0,17.0,18.0,25.0,23.0,16.0,14.0,34.0,41.0,46.0,39.0,41.0,34.0,34.0,35,1,0,0,0,0,0,0,35,8,4
66.0,33.0,17.0,72.0,24.0,29.0,44.0,59.0,42.0,29.0,24.0,63.0,33.0,15.0,17.0,18.0,25.0,23.0,16.0,14.0,34.0,41.0,46.0,39.0,41.0,34.0,34.0,35.0,39,0,0,1,0,0,0,0,39,9,4
33.0,17.0,72.0,24.0,29.0,44.0,59.0,42.0,29.0,24.0,63.0,33.0,15.0,17.0,18.0,25.0,23.0,16.0,14.0,34.0,41.0,46.0,39.0,41.0,34.0,34.0,35.0,39.0,38,0,0,0,1,0,0,0,38,10,4
17.0,72.0,24.0,29.0,44.0,59.0,42.0,29.0,24.0,63.0,33.0,15.0,17.0,18.0,25.0,23.0,16.0,14.0,34.0,41.0,46.0,39.0,41.0,34.0,34.0,35.0,39.0,38.0,33,0,1,0,0,0,0,0,33,11,4
72.0,24.0,29.0,44.0,59.0,42.0,29.0,24.0,63.0,33.0,15.0,17.0,18.0,25.0,23.0,16.0,14.0,34.0,41.0,46.0,39.0,41.0,34.0,34.0,35.0,39.0,38.0,33.0,47,0,0,0,0,0,1,0,47,12,4
24.0,29.0,44.0,59.0,42.0,29.0,24.0,63.0,33.0,15.0,17.0,18.0,25.0,23.0,16.0,14.0,34.0,41.0,46.0,39.0,41.0,34.0,34.0,35.0,39.0,38.0,33.0,47.0,71,0,0,0,0,0,0,1,71,13,4
29.0,44.0,59.0,42.0,29.0,24.0,63.0,33.0,15.0,17.0,18.0,25.0,23.0,16.0,14.0,34.0,41.0,46.0,39.0,41.0,34.0,34.0,35.0,39.0,38.0,33.0,47.0,71.0,84,0,0,0,0,1,0,0,84,14,4
44.0,59.0,42.0,29.0,24.0,63.0,33.0,15.0,17.0,18.0,25.0,23.0,16.0,14.0,34.0,41.0,46.0,39.0,41.0,34.0,34.0,35.0,39.0,38.0,33.0,47.0,71.0,84.0,80,1,0,0,0,0,0,0,80,15,4
59.0,42.0,29.0,24.0,63.0,33.0,15.0,17.0,18.0,25.0,23.0,16.0,14.0,34.0,41.0,46.0,39.0,41.0,34.0,34.0,35.0,39.0,38.0,33.0,47.0,71.0,84.0,80.0,54,0,0,1,0,0,0,0,54,16,4
42.0,29.0,24.0,63.0,33.0,15.0,17.0,18.0,25.0,23.0,16.0,14.0,34.0,41.0,46.0,39.0,41.0,34.0,34.0,35.0,39.0,38.0,33.0,47.0,71.0,84.0,80.0,54.0,61,0,0,0,1,0,0,0,61,17,4
29.0,24.0,63.0,33.0,15.0,17.0,18.0,25.0,23.0,16.0,14.0,34.0,41.0,46.0,39.0,41.0,34.0,34.0,35.0,39.0,38.0,33.0,47.0,71.0,84.0,80.0,54.0,61.0,87,0,1,0,0,0,0,0,87,18,4
24.0,63.0,33.0,15.0,17.0,18.0,25.0,23.0,16.0,14.0,34.0,41.0,46.0,39.0,41.0,34.0,34.0,35.0,39.0,38.0,33.0,47.0,71.0,84.0,80.0,54.0,61.0,87.0,47,0,0,0,0,0,1,0,47,19,4
63.0,33.0,15.0,17.0,18.0,25.0,23.0,16.0,14.0,34.0,41.0,46.0,39.0,41.0,34.0,34.0,35.0,39.0,38.0,33.0,47.0,71.0,84.0,80.0,54.0,61.0,87.0,47.0,43,0,0,0,0,0,0,1,43,20,4
33.0,15.0,17.0,18.0,25.0,23.0,16.0,14.0,34.0,41.0,46.0,39.0,41.0,34.0,34.0,35.0,39.0,38.0,33.0,47.0,71.0,84.0,80.0,54.0,61.0,87.0,47.0,43.0,45,0,0,0,0,1,0,0,45,21,4
15.0,17.0,18.0,25.0,23.0,16.0,14.0,34.0,41.0,46.0,39.0,41.0,34.0,34.0,35.0,39.0,38.0,33.0,47.0,71.0,84.0,80.0,54.0,61.0,87.0,47.0,43.0,45.0,45,0,0,0,1,0,0,0,45,24,4
17.0,18.0,25.0,23.0,16.0,14.0,34.0,41.0,46.0,39.0,41.0,34.0,34.0,35.0,39.0,38.0,33.0,47.0,71.0,84.0,80.0,54.0,61.0,87.0,47.0,43.0,45.0,45.0,18,0,0,0,0,0,0,1,18,27,4
18.0,25.0,23.0,16.0,14.0,34.0,41.0,46.0,39.0,41.0,34.0,34.0,35.0,39.0,38.0,33.0,47.0,71.0,84.0,80.0,54.0,61.0,87.0,47.0,43.0,45.0,45.0,18.0,37,0,0,0,0,1,0,0,37,28,4
25.0,23.0,16.0,14.0,34.0,41.0,46.0,39.0,41.0,34.0,34.0,35.0,39.0,38.0,33.0,47.0,71.0,84.0,80.0,54.0,61.0,87.0,47.0,43.0,45.0,45.0,18.0,37.0,32,1,0,0,0,0,0,0,32,29,4
23.0,16.0,14.0,34.0,41.0,46.0,39.0,41.0,34.0,34.0,35.0,39.0,38.0,33.0,47.0,71.0,84.0,80.0,54.0,61.0,87.0,47.0,43.0,45.0,45.0,18.0,37.0,32.0,48,0,0,1,0,0,0,0,48,30,4
16.0,14.0,34.0,41.0,46.0,39.0,41.0,34.0,34.0,35.0,39.0,38.0,33.0,47.0,71.0,84.0,80.0,54.0,61.0,87.0,47.0,43.0,45.0,45.0,18.0,37.0,32.0,48.0,44,0,0,0,1,0,0,0,44,1,5
14.0,34.0,41.0,46.0,39.0,41.0,34.0,34.0,35.0,39.0,38.0,33.0,47.0,71.0,84.0,80.0,54.0,61.0,87.0,47.0,43.0,45.0,45.0,18.0,37.0,32.0,48.0,44.0,22,0,0,0,0,0,1,0,22,3,5
34.0,41.0,46.0,39.0,41.0,34.0,34.0,35.0,39.0,38.0,33.0,47.0,71.0,84.0,80.0,54.0,61.0,87.0,47.0,43.0,45.0,45.0,18.0,37.0,32.0,48.0,44.0,22.0,39,0,0,0,0,1,0,0,39,5,5
41.0,46.0,39.0,41.0,34.0,34.0,35.0,39.0,38.0,33.0,47.0,71.0,84.0,80.0,54.0,61.0,87.0,47.0,43.0,45.0,45.0,18.0,37.0,32.0,48.0,44.0,22.0,39.0,54,1,0,0,0,0,0,0,54,6,5
46.0,39.0,41.0,34.0,34.0,35.0,39.0,38.0,33.0,47.0,71.0,84.0,80.0,54.0,61.0,87.0,47.0,43.0,45.0,45.0,18.0,37.0,32.0,48.0,44.0,22.0,39.0,54.0,48,0,0,1,0,0,0,0,48,7,5
39.0,41.0,34.0,34.0,35.0,39.0,38.0,33.0,47.0,71.0,84.0,80.0,54.0,61.0,87.0,47.0,43.0,45.0,45.0,18.0,37.0,32.0,48.0,44.0,22.0,39.0,54.0,48.0,45,0,0,0,1,0,0,0,45,8,5
41.0,34.0,34.0,35.0,39.0,38.0,33.0,47.0,71.0,84.0,80.0,54.0,61.0,87.0,47.0,43.0,45.0,45.0,18.0,37.0,32.0,48.0,44.0,22.0,39.0,54.0,48.0,45.0,40,0,1,0,0,0,0,0,40,9,5
34.0,34.0,35.0,39.0,38.0,33.0,47.0,71.0,84.0,80.0,54.0,61.0,87.0,47.0,43.0,45.0,45.0,18.0,37.0,32.0,48.0,44.0,22.0,39.0,54.0,48.0,45.0,40.0,43,0,0,0,0,0,1,0,43,10,5
34.0,35.0,39.0,38.0,33.0,47.0,71.0,84.0,80.0,54.0,61.0,87.0,47.0,43.0,45.0,45.0,18.0,37.0,32.0,48.0,44.0,22.0,39.0,54.0,48.0,45.0,40.0,43.0,44,0,0,0,0,0,0,1,44,11,5
35.0,39.0,38.0,33.0,47.0,71.0,84.0,80.0,54.0,61.0,87.0,47.0,43.0,45.0,45.0,18.0,37.0,32.0,48.0,44.0,22.0,39.0,54.0,48.0,45.0,40.0,43.0,44.0,41,0,0,0,0,1,0,0,41,12,5
39.0,38.0,33.0,47.0,71.0,84.0,80.0,54.0,61.0,87.0,47.0,43.0,45.0,45.0,18.0,37.0,32.0,48.0,44.0,22.0,39.0,54.0,48.0,45.0,40.0,43.0,44.0,41.0,44,1,0,0,0,0,0,0,44,13,5
