lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
21.0,30.0,17.0,37.0,53.0,60.0,46.0,26.0,19.0,22.0,50.0,38.0,39.0,38.0,19.0,31.0,22.0,38.0,56.0,72.0,70.0,33.0,57.0,55.0,29.0,18.0,34.0,15.0,32,0,0,1,0,0,0,0,32,30,1
30.0,17.0,37.0,53.0,60.0,46.0,26.0,19.0,22.0,50.0,38.0,39.0,38.0,19.0,31.0,22.0,38.0,56.0,72.0,70.0,33.0,57.0,55.0,29.0,18.0,34.0,15.0,32.0,47,0,0,0,1,0,0,0,47,31,1
17.0,37.0,53.0,60.0,46.0,26.0,19.0,22.0,50.0,38.0,39.0,38.0,19.0,31.0,22.0,38.0,56.0,72.0,70.0,33.0,57.0,55.0,29.0,18.0,34.0,15.0,32.0,47.0,53,0,1,0,0,0,0,0,53,1,2
37.0,53.0,60.0,46.0,26.0,19.0,22.0,50.0,38.0,39.0,38.0,19.0,31.0,22.0,38.0,56.0,72.0,70.0,33.0,57.0,55.0,29.0,18.0,34.0,15.0,32.0,47.0,53.0,49,0,0,0,0,0,1,0,49,2,2
53.0,60.0,46.0,26.0,19.0,22.0,50.0,38.0,39.0,38.0,19.0,31.0,22.0,38.0,56.0,72.0,70.0,33.0,57.0,55.0,29.0,18.0,34.0,15.0,32.0,47.0,53.0,49.0,21,0,0,0,0,0,0,1,21,3,2
60.0,46.0,26.0,19.0,22.0,50.0,38.0,39.0,38.0,19.0,31.0,22.0,38.0,56.0,72.0,70.0,33.0,57.0,55.0,29.0,18.0,34.0,15.0,32.0,47.0,53.0,49.0,21.0,28,0,0,0,0,1,0,0,28,4,2
46.0,26.0,19.0,22.0,50.0,38.0,39.0,38.0,19.0,31.0,22.0,38.0,56.0,72.0,70.0,33.0,57.0,55.0,29.0,18.0,34.0,15.0,32.0,47.0,53.0,49.0,21.0,28.0,45,1,0,0,0,0,0,0,45,5,2
26.0,19.0,22.0,50.0,38.0,39.0,38.0,19.0,31.0,22.0,38.0,56.0,72.0,70.0,33.0,57.0,55.0,29.0,18.0,34.0,15.0,32.0,47.0,53.0,49.0,21.0,28.0,45.0,63,0,0,1,0,0,0,0,63,6,2
19.0,22.0,50.0,38.0,39.0,38.0,19.0,31.0,22.0,38.0,56.0,72.0,70.0,33.0,57.0,55.0,29.0,18.0,34.0,15.0,32.0,47.0,53.0,49.0,21.0,28.0,45.0,63.0,40,0,0,0,1,0,0,0,40,7,2
22.0,50.0,38.0,39.0,38.0,19.0,31.0,22.0,38.0,56.0,72.0,70.0,33.0,57.0,55.0,29.0,18.0,34.0,15.0,32.0,47.0,53.0,49.0,21.0,28.0,45.0,63.0,40.0,33,0,1,0,0,0,0,0,33,8,2
50.0,38.0,39.0,38.0,19.0,31.0,22.0,38.0,56.0,72.0,70.0,33.0,57.0,55.0,29.0,18.0,34.0,15.0,32.0,47.0,53.0,49.0,21.0,28.0,45.0,63.0,40.0,33.0,37,0,0,0,0,0,1,0,37,9,2
38.0,39.0,38.0,19.0,31.0,22.0,38.0,56.0,72.0,70.0,33.0,57.0,55.0,29.0,18.0,34.0,15.0,32.0,47.0,53.0,49.0,21.0,28.0,45.0,63.0,40.0,33.0,37.0,28,0,0,0,0,0,0,1,28,10,2
