lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
28.0,26.0,28.0,24.0,21.0,27.0,19.0,19.0,28.0,28.0,28.0,26.0,37.0,36.0,31.0,28.0,26.0,29.0,22.0,26.0,28.0,34.0,34.0,31.0,29.0,29.0,26.0,31.0,32,0,0,1,0,0,0,0,32,30,1
26.0,28.0,24.0,21.0,27.0,19.0,19.0,28.0,28.0,28.0,26.0,37.0,36.0,31.0,28.0,26.0,29.0,22.0,26.0,28.0,34.0,34.0,31.0,29.0,29.0,26.0,31.0,32.0,32,0,0,0,1,0,0,0,32,31,1
28.0,24.0,21.0,27.0,19.0,19.0,28.0,28.0,28.0,26.0,37.0,36.0,31.0,28.0,26.0,29.0,22.0,26.0,28.0,34.0,34.0,31.0,29.0,29.0,26.0,31.0,32.0,32.0,26,0,1,0,0,0,0,0,26,1,2
24.0,21.0,27.0,19.0,19.0,28.0,28.0,28.0,26.0,37.0,36.0,31.0,28.0,26.0,29.0,22.0,26.0,28.0,34.0,34.0,31.0,29.0,29.0,26.0,31.0,32.0,32.0,26.0,27,0,0,0,0,0,1,0,27,2,2
21.0,27.0,19.0,19.0,28.0,28.0,28.0,26.0,37.0,36.0,31.0,28.0,26.0,29.0,22.0,26.0,28.0,34.0,34.0,31.0,29.0,29.0,26.0,31.0,32.0,32.0,26.0,27.0,27,0,0,0,0,0,0,1,27,3,2
27.0,19.0,19.0,28.0,28.0,28.0,26.0,37.0,36.0,31.0,28.0,26.0,29.0,22.0,26.0,28.0,34.0,34.0,31.0,29.0,29.0,26.0,31.0,32.0,32.0,26.0,27.0,27.0,28,0,0,0,0,1,0,0,28,4,2
19.0,19.0,28.0,28.0,28.0,26.0,37.0,36.0,31.0,28.0,26.0,29.0,22.0,26.0,28.0,34.0,34.0,31.0,29.0,29.0,26.0,31.0,32.0,32.0,26.0,27.0,27.0,28.0,26,1,0,0,0,0,0,0,26,5,2
19.0,28.0,28.0,28.0,26.0,37.0,36.0,31.0,28.0,26.0,29.0,22.0,26.0,28.0,34.0,34.0,31.0,29.0,29.0,26.0,31.0,32.0,32.0,26.0,27.0,27.0,28.0,26.0,31,0,0,1,0,0,0,0,31,6,2
28.0,28.0,28.0,26.0,37.0,36.0,31.0,28.0,26.0,29.0,22.0,26.0,28.0,34.0,34.0,31.0,29.0,29.0,26.0,31.0,32.0,32.0,26.0,27.0,27.0,28.0,26.0,31.0,37,0,0,0,1,0,0,0,37,7,2
28.0,28.0,26.0,37.0,36.0,31.0,28.0,26.0,29.0,22.0,26.0,28.0,34.0,34.0,31.0,29.0,29.0,26.0,31.0,32.0,32.0,26.0,27.0,27.0,28.0,26.0,31.0,37.0,24,0,1,0,0,0,0,0,24,8,2
28.0,26.0,37.0,36.0,31.0,28.0,26.0,29.0,22.0,26.0,28.0,34.0,34.0,31.0,29.0,29.0,26.0,31.0,32.0,32.0,26.0,27.0,27.0,28.0,26.0,31.0,37.0,24.0,24,0,0,0,0,0,1,0,24,9,2
26.0,37.0,36.0,31.0,28.0,26.0,29.0,22.0,26.0,28.0,34.0,34.0,31.0,29.0,29.0,26.0,31.0,32.0,32.0,26.0,27.0,27.0,28.0,26.0,31.0,37.0,24.0,24.0,30,0,0,0,0,0,0,1,30,10,2
37.0,36.0,31.0,28.0,26.0,29.0,22.0,26.0,28.0,34.0,34.0,31.0,29.0,29.0,26.0,31.0,32.0,32.0,26.0,27.0,27.0,28.0,26.0,31.0,37.0,24.0,24.0,30.0,34,0,0,0,0,1,0,0,34,11,2
36.0,31.0,28.0,26.0,29.0,22.0,26.0,28.0,34.0,34.0,31.0,29.0,29.0,26.0,31.0,32.0,32.0,26.0,27.0,27.0,28.0,26.0,31.0,37.0,24.0,24.0,30.0,34.0,36,1,0,0,0,0,0,0,36,12,2
31.0,28.0,26.0,29.0,22.0,26.0,28.0,34.0,34.0,31.0,29.0,29.0,26.0,31.0,32.0,32.0,26.0,27.0,27.0,28.0,26.0,31.0,37.0,24.0,24.0,30.0,34.0,36.0,35,0,0,1,0,0,0,0,35,13,2
28.0,26.0,29.0,22.0,26.0,28.0,34.0,34.0,31.0,29.0,29.0,26.0,31.0,32.0,32.0,26.0,27.0,27.0,28.0,26.0,31.0,37.0,24.0,24.0,30.0,34.0,36.0,35.0,33,0,0,0,1,0,0,0,33,14,2
26.0,29.0,22.0,26.0,28.0,34.0,34.0,31.0,29.0,29.0,26.0,31.0,32.0,32.0,26.0,27.0,27.0,28.0,26.0,31.0,37.0,24.0,24.0,30.0,34.0,36.0,35.0,33.0,27,0,1,0,0,0,0,0,27,15,2
29.0,22.0,26.0,28.0,34.0,34.0,31.0,29.0,29.0,26.0,31.0,32.0,32.0,26.0,27.0,27.0,28.0,26.0,31.0,37.0,24.0,24.0,30.0,34.0,36.0,35.0,33.0,27.0,28,0,0,0,0,0,1,0,28,16,2
22.0,26.0,28.0,34.0,34.0,31.0,29.0,29.0,26.0,31.0,32.0,32.0,26.0,27.0,27.0,28.0,26.0,31.0,37.0,24.0,24.0,30.0,34.0,36.0,35.0,33.0,27.0,28.0,35,0,0,0,0,0,0,1,35,17,2
26.0,28.0,34.0,34.0,31.0,29.0,29.0,26.0,31.0,32.0,32.0,26.0,27.0,27.0,28.0,26.0,31.0,37.0,24.0,24.0,30.0,34.0,36.0,35.0,33.0,27.0,28.0,35.0,31,0,0,0,0,1,0,0,31,18,2
28.0,34.0,34.0,31.0,29.0,29.0,26.0,31.0,32.0,32.0,26.0,27.0,27.0,28.0,26.0,31.0,37.0,24.0,24.0,30.0,34.0,36.0,35.0,33.0,27.0,28.0,35.0,31.0,40,1,0,0,0,0,0,0,40,19,2
34.0,34.0,31.0,29.0,29.0,26.0,31.0,32.0,32.0,26.0,27.0,27.0,28.0,26.0,31.0,37.0,24.0,24.0,30.0,34.0,36.0,35.0,33.0,27.0,28.0,35.0,31.0,40.0,38,0,0,1,0,0,0,0,38,20,2
34.0,31.0,29.0,29.0,26.0,31.0,32.0,32.0,26.0,27.0,27.0,28.0,26.0,31.0,37.0,24.0,24.0,30.0,34.0,36.0,35.0,33.0,27.0,28.0,35.0,31.0,40.0,38.0,30,0,0,0,1,0,0,0,30,21,2
