lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
35.0,25.0,32.0,36.0,38.0,55.0,32.0,35.0,16.0,43.0,35.0,38.0,34.0,62.0,29.0,11.0,18.0,41.0,62.0,69.0,56.0,50.0,80.0,59.0,16.0,32.0,18.0,41.0,43,0,0,1,0,0,0,0,43,30,1
25.0,32.0,36.0,38.0,55.0,32.0,35.0,16.0,43.0,35.0,38.0,34.0,62.0,29.0,11.0,18.0,41.0,62.0,69.0,56.0,50.0,80.0,59.0,16.0,32.0,18.0,41.0,43.0,45,0,0,0,1,0,0,0,45,31,1
32.0,36.0,38.0,55.0,32.0,35.0,16.0,43.0,35.0,38.0,34.0,62.0,29.0,11.0,18.0,41.0,62.0,69.0,56.0,50.0,80.0,59.0,16.0,32.0,18.0,41.0,43.0,45.0,56,0,1,0,0,0,0,0,56,1,2
36.0,38.0,55.0,32.0,35.0,16.0,43.0,35.0,38.0,34.0,62.0,29.0,11.0,18.0,41.0,62.0,69.0,56.0,50.0,80.0,59.0,16.0,32.0,18.0,41.0,43.0,45.0,56.0,56,0,0,0,0,0,1,0,56,2,2
38.0,55.0,32.0,35.0,16.0,43.0,35.0,38.0,34.0,62.0,29.0,11.0,18.0,41.0,62.0,69.0,56.0,50.0,80.0,59.0,16.0,32.0,18.0,41.0,43.0,45.0,56.0,56.0,18,0,0,0,0,0,0,1,18,3,2
55.0,32.0,35.0,16.0,43.0,35.0,38.0,34.0,62.0,29.0,11.0,18.0,41.0,62.0,69.0,56.0,50.0,80.0,59.0,16.0,32.0,18.0,41.0,43.0,45.0,56.0,56.0,18.0,33,0,0,0,0,1,0,0,33,4,2
32.0,35.0,16.0,43.0,35.0,38.0,34.0,62.0,29.0,11.0,18.0,41.0,62.0,69.0,56.0,50.0,80.0,59.0,16.0,32.0,18.0,41.0,43.0,45.0,56.0,56.0,18.0,33.0,51,1,0,0,0,0,0,0,51,5,2
35.0,16.0,43.0,35.0,38.0,34.0,62.0,29.0,11.0,18.0,41.0,62.0,69.0,56.0,50.0,80.0,59.0,16.0,32.0,18.0,41.0,43.0,45.0,56.0,56.0,18.0,33.0,51.0,52,0,0,1,0,0,0,0,52,6,2
16.0,43.0,35.0,38.0,34.0,62.0,29.0,11.0,18.0,41.0,62.0,69.0,56.0,50.0,80.0,59.0,16.0,32.0,18.0,41.0,43.0,45.0,56.0,56.0,18.0,33.0,51.0,52.0,11,0,0,0,1,0,0,0,11,7,2
43.0,35.0,38.0,34.0,62.0,29.0,11.0,18.0,41.0,62.0,69.0,56.0,50.0,80.0,59.0,16.0,32.0,18.0,41.0,43.0,45.0,56.0,56.0,18.0,33.0,51.0,52.0,11.0,17,0,1,0,0,0,0,0,17,8,2
35.0,38.0,34.0,62.0,29.0,11.0,18.0,41.0,62.0,69.0,56.0,50.0,80.0,59.0,16.0,32.0,18.0,41.0,43.0,45.0,56.0,56.0,18.0,33.0,51.0,52.0,11.0,17.0,18,0,0,0,0,0,1,0,18,9,2
38.0,34.0,62.0,29.0,11.0,18.0,41.0,62.0,69.0,56.0,50.0,80.0,59.0,16.0,32.0,18.0,41.0,43.0,45.0,56.0,56.0,18.0,33.0,51.0,52.0,11.0,17.0,18.0,19,0,0,0,0,0,0,1,19,10,2
