lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
40.0,45.0,43.0,43.0,50.0,53.0,40.0,45.0,29.0,45.0,48.0,39.0,42.0,67.0,42.0,34.0,47.0,54.0,61.0,70.0,73.0,59.0,69.0,53.0,37.0,54.0,32.0,41.0,40,0,0,1,0,0,0,0,40,30,1
45.0,43.0,43.0,50.0,53.0,40.0,45.0,29.0,45.0,48.0,39.0,42.0,67.0,42.0,34.0,47.0,54.0,61.0,70.0,73.0,59.0,69.0,53.0,37.0,54.0,32.0,41.0,40.0,46,0,0,0,1,0,0,0,46,31,1
43.0,43.0,50.0,53.0,40.0,45.0,29.0,45.0,48.0,39.0,42.0,67.0,42.0,34.0,47.0,54.0,61.0,70.0,73.0,59.0,69.0,53.0,37.0,54.0,32.0,41.0,40.0,46.0,54,0,1,0,0,0,0,0,54,1,2
43.0,50.0,53.0,40.0,45.0,29.0,45.0,48.0,39.0,42.0,67.0,42.0,34.0,47.0,54.0,61.0,70.0,73.0,59.0,69.0,53.0,37.0,54.0,32.0,41.0,40.0,46.0,54.0,53,0,0,0,0,0,1,0,53,2,2
50.0,53.0,40.0,45.0,29.0,45.0,48.0,39.0,42.0,67.0,42.0,34.0,47.0,54.0,61.0,70.0,73.0,59.0,69.0,53.0,37.0,54.0,32.0,41.0,40.0,46.0,54.0,53.0,35,0,0,0,0,0,0,1,35,3,2
53.0,40.0,45.0,29.0,45.0,48.0,39.0,42.0,67.0,42.0,34.0,47.0,54.0,61.0,70.0,73.0,59.0,69.0,53.0,37.0,54.0,32.0,41.0,40.0,46.0,54.0,53.0,35.0,43,0,0,0,0,1,0,0,43,4,2
40.0,45.0,29.0,45.0,48.0,39.0,42.0,67.0,42.0,34.0,47.0,54.0,61.0,70.0,73.0,59.0,69.0,53.0,37.0,54.0,32.0,41.0,40.0,46.0,54.0,53.0,35.0,43.0,52,1,0,0,0,0,0,0,52,5,2
45.0,29.0,45.0,48.0,39.0,42.0,67.0,42.0,34.0,47.0,54.0,61.0,70.0,73.0,59.0,69.0,53.0,37.0,54.0,32.0,41.0,40.0,46.0,54.0,53.0,35.0,43.0,52.0,49,0,0,1,0,0,0,0,49,6,2
29.0,45.0,48.0,39.0,42.0,67.0,42.0,34.0,47.0,54.0,61.0,70.0,73.0,59.0,69.0,53.0,37.0,54.0,32.0,41.0,40.0,46.0,54.0,53.0,35.0,43.0,52.0,49.0,22,0,0,0,1,0,0,0,22,7,2
45.0,48.0,39.0,42.0,67.0,42.0,34.0,47.0,54.0,61.0,70.0,73.0,59.0,69.0,53.0,37.0,54.0,32.0,41.0,40.0,46.0,54.0,53.0,35.0,43.0,52.0,49.0,22.0,33,0,1,0,0,0,0,0,33,8,2
