lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
17.0,26.0,20.0,25.0,68.0,33.0,54.0,47.0,35.0,21.0,16.0,40.0,20.0,37.0,55.0,43.0,33.0,12.0,31.0,33.0,35.0,28.0,25.0,37.0,33.0,43.0,45.0,39.0,30,0,0,0,0,1,0,0,30,10,3
26.0,20.0,25.0,68.0,33.0,54.0,47.0,35.0,21.0,16.0,40.0,20.0,37.0,55.0,43.0,33.0,12.0,31.0,33.0,35.0,28.0,25.0,37.0,33.0,43.0,45.0,39.0,30.0,23,1,0,0,0,0,0,0,23,11,3
20.0,25.0,68.0,33.0,54.0,47.0,35.0,21.0,16.0,40.0,20.0,37.0,55.0,43.0,33.0,12.0,31.0,33.0,35.0,28.0,25.0,37.0,33.0,43.0,45.0,39.0,30.0,23.0,27,0,0,1,0,0,0,0,27,12,3
25.0,68.0,33.0,54.0,47.0,35.0,21.0,16.0,40.0,20.0,37.0,55.0,43.0,33.0,12.0,31.0,33.0,35.0,28.0,25.0,37.0,33.0,43.0,45.0,39.0,30.0,23.0,27.0,37,0,0,0,1,0,0,0,37,13,3
68.0,33.0,54.0,47.0,35.0,21.0,16.0,40.0,20.0,37.0,55.0,43.0,33.0,12.0,31.0,33.0,35.0,28.0,25.0,37.0,33.0,43.0,45.0,39.0,30.0,23.0,27.0,37.0,46,0,1,0,0,0,0,0,46,14,3
33.0,54.0,47.0,35.0,21.0,16.0,40.0,20.0,37.0,55.0,43.0,33.0,12.0,31.0,33.0,35.0,28.0,25.0,37.0,33.0,43.0,45.0,39.0,30.0,23.0,27.0,37.0,46.0,51,0,0,0,0,0,1,0,51,15,3
54.0,47.0,35.0,21.0,16.0,40.0,20.0,37.0,55.0,43.0,33.0,12.0,31.0,33.0,35.0,28.0,25.0,37.0,33.0,43.0,45.0,39.0,30.0,23.0,27.0,37.0,46.0,51.0,44,0,0,0,0,0,0,1,44,16,3
47.0,35.0,21.0,16.0,40.0,20.0,37.0,55.0,43.0,33.0,12.0,31.0,33.0,35.0,28.0,25.0,37.0,33.0,43.0,45.0,39.0,30.0,23.0,27.0,37.0,46.0,51.0,44.0,45,0,0,0,0,1,0,0,45,17,3
35.0,21.0,16.0,40.0,20.0,37.0,55.0,43.0,33.0,12.0,31.0,33.0,35.0,28.0,25.0,37.0,33.0,43.0,45.0,39.0,30.0,23.0,27.0,37.0,46.0,51.0,44.0,45.0,46,1,0,0,0,0,0,0,46,18,3
21.0,16.0,40.0,20.0,37.0,55.0,43.0,33.0,12.0,31.0,33.0,35.0,28.0,25.0,37.0,33.0,43.0,45.0,39.0,30.0,23.0,27.0,37.0,46.0,51.0,44.0,45.0,46.0,32,0,0,1,0,0,0,0,32,19,3
