lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
31.0,30.0,31.0,28.0,31.0,36.0,25.0,29.0,28.0,26.0,36.0,31.0,44.0,36.0,57.0,28.0,30.0,29.0,24.0,29.0,34.0,37.0,40.0,39.0,27.0,29.0,28.0,31.0,43,0,0,1,0,0,0,0,43,30,1
30.0,31.0,28.0,31.0,36.0,25.0,29.0,28.0,26.0,36.0,31.0,44.0,36.0,57.0,28.0,30.0,29.0,24.0,29.0,34.0,37.0,40.0,39.0,27.0,29.0,28.0,31.0,43.0,40,0,0,0,1,0,0,0,40,31,1
31.0,28.0,31.0,36.0,25.0,29.0,28.0,26.0,36.0,31.0,44.0,36.0,57.0,28.0,30.0,29.0,24.0,29.0,34.0,37.0,40.0,39.0,27.0,29.0,28.0,31.0,43.0,40.0,31,0,1,0,0,0,0,0,31,1,2
28.0,31.0,36.0,25.0,29.0,28.0,26.0,36.0,31.0,44.0,36.0,57.0,28.0,30.0,29.0,24.0,29.0,34.0,37.0,40.0,39.0,27.0,29.0,28.0,31.0,43.0,40.0,31.0,35,0,0,0,0,0,1,0,35,2,2
31.0,36.0,25.0,29.0,28.0,26.0,36.0,31.0,44.0,36.0,57.0,28.0,30.0,29.0,24.0,29.0,34.0,37.0,40.0,39.0,27.0,29.0,28.0,31.0,43.0,40.0,31.0,35.0,34,0,0,0,0,0,0,1,34,3,2
36.0,25.0,29.0,28.0,26.0,36.0,31.0,44.0,36.0,57.0,28.0,30.0,29.0,24.0,29.0,34.0,37.0,40.0,39.0,27.0,29.0,28.0,31.0,43.0,40.0,31.0,35.0,34.0,32,0,0,0,0,1,0,0,32,4,2
25.0,29.0,28.0,26.0,36.0,31.0,44.0,36.0,57.0,28.0,30.0,29.0,24.0,29.0,34.0,37.0,40.0,39.0,27.0,29.0,28.0,31.0,43.0,40.0,31.0,35.0,34.0,32.0,34,1,0,0,0,0,0,0,34,5,2
29.0,28.0,26.0,36.0,31.0,44.0,36.0,57.0,28.0,30.0,29.0,24.0,29.0,34.0,37.0,40.0,39.0,27.0,29.0,28.0,31.0,43.0,40.0,31.0,35.0,34.0,32.0,34.0,41,0,0,1,0,0,0,0,41,6,2
28.0,26.0,36.0,31.0,44.0,36.0,57.0,28.0,30.0,29.0,24.0,29.0,34.0,37.0,40.0,39.0,27.0,29.0,28.0,31.0,43.0,40.0,31.0,35.0,34.0,32.0,34.0,41.0,42,0,0,0,1,0,0,0,42,7,2
26.0,36.0,31.0,44.0,36.0,57.0,28.0,30.0,29.0,24.0,29.0,34.0,37.0,40.0,39.0,27.0,29.0,28.0,31.0,43.0,40.0,31.0,35.0,34.0,32.0,34.0,41.0,42.0,31,0,1,0,0,0,0,0,31,8,2
36.0,31.0,44.0,36.0,57.0,28.0,30.0,29.0,24.0,29.0,34.0,37.0,40.0,39.0,27.0,29.0,28.0,31.0,43.0,40.0,31.0,35.0,34.0,32.0,34.0,41.0,42.0,31.0,28,0,0,0,0,0,1,0,28,9,2
31.0,44.0,36.0,57.0,28.0,30.0,29.0,24.0,29.0,34.0,37.0,40.0,39.0,27.0,29.0,28.0,31.0,43.0,40.0,31.0,35.0,34.0,32.0,34.0,41.0,42.0,31.0,28.0,34,0,0,0,0,0,0,1,34,10,2
44.0,36.0,57.0,28.0,30.0,29.0,24.0,29.0,34.0,37.0,40.0,39.0,27.0,29.0,28.0,31.0,43.0,40.0,31.0,35.0,34.0,32.0,34.0,41.0,42.0,31.0,28.0,34.0,34,0,0,0,0,1,0,0,34,11,2
36.0,57.0,28.0,30.0,29.0,24.0,29.0,34.0,37.0,40.0,39.0,27.0,29.0,28.0,31.0,43.0,40.0,31.0,35.0,34.0,32.0,34.0,41.0,42.0,31.0,28.0,34.0,34.0,32,1,0,0,0,0,0,0,32,12,2
57.0,28.0,30.0,29.0,24.0,29.0,34.0,37.0,40.0,39.0,27.0,29.0,28.0,31.0,43.0,40.0,31.0,35.0,34.0,32.0,34.0,41.0,42.0,31.0,28.0,34.0,34.0,32.0,36,0,0,1,0,0,0,0,36,13,2
28.0,30.0,29.0,24.0,29.0,34.0,37.0,40.0,39.0,27.0,29.0,28.0,31.0,43.0,40.0,31.0,35.0,34.0,32.0,34.0,41.0,42.0,31.0,28.0,34.0,34.0,32.0,36.0,31,0,0,0,1,0,0,0,31,14,2
30.0,29.0,24.0,29.0,34.0,37.0,40.0,39.0,27.0,29.0,28.0,31.0,43.0,40.0,31.0,35.0,34.0,32.0,34.0,41.0,42.0,31.0,28.0,34.0,34.0,32.0,36.0,31.0,29,0,1,0,0,0,0,0,29,15,2
29.0,24.0,29.0,34.0,37.0,40.0,39.0,27.0,29.0,28.0,31.0,43.0,40.0,31.0,35.0,34.0,32.0,34.0,41.0,42.0,31.0,28.0,34.0,34.0,32.0,36.0,31.0,29.0,26,0,0,0,0,0,1,0,26,16,2
24.0,29.0,34.0,37.0,40.0,39.0,27.0,29.0,28.0,31.0,43.0,40.0,31.0,35.0,34.0,32.0,34.0,41.0,42.0,31.0,28.0,34.0,34.0,32.0,36.0,31.0,29.0,26.0,24,0,0,0,0,0,0,1,24,17,2
29.0,34.0,37.0,40.0,39.0,27.0,29.0,28.0,31.0,43.0,40.0,31.0,35.0,34.0,32.0,34.0,41.0,42.0,31.0,28.0,34.0,34.0,32.0,36.0,31.0,29.0,26.0,24.0,32,0,0,0,0,1,0,0,32,18,2
34.0,37.0,40.0,39.0,27.0,29.0,28.0,31.0,43.0,40.0,31.0,35.0,34.0,32.0,34.0,41.0,42.0,31.0,28.0,34.0,34.0,32.0,36.0,31.0,29.0,26.0,24.0,32.0,44,1,0,0,0,0,0,0,44,19,2
37.0,40.0,39.0,27.0,29.0,28.0,31.0,43.0,40.0,31.0,35.0,34.0,32.0,34.0,41.0,42.0,31.0,28.0,34.0,34.0,32.0,36.0,31.0,29.0,26.0,24.0,32.0,44.0,40,0,0,1,0,0,0,0,40,20,2
40.0,39.0,27.0,29.0,28.0,31.0,43.0,40.0,31.0,35.0,34.0,32.0,34.0,41.0,42.0,31.0,28.0,34.0,34.0,32.0,36.0,31.0,29.0,26.0,24.0,32.0,44.0,40.0,33,0,0,0,1,0,0,0,33,21,2
39.0,27.0,29.0,28.0,31.0,43.0,40.0,31.0,35.0,34.0,32.0,34.0,41.0,42.0,31.0,28.0,34.0,34.0,32.0,36.0,31.0,29.0,26.0,24.0,32.0,44.0,40.0,33.0,27,0,1,0,0,0,0,0,27,22,2
