lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
28.0,30.0,31.0,29.0,36.0,25.0,26.0,33.0,25.0,31.0,35.0,38.0,30.0,40.0,31.0,31.0,31.0,29.0,37.0,34.0,26.0,30.0,24.0,34.0,20.0,27.0,33.0,45.0,43,0,0,1,0,0,0,0,43,30,1
30.0,31.0,29.0,36.0,25.0,26.0,33.0,25.0,31.0,35.0,38.0,30.0,40.0,31.0,31.0,31.0,29.0,37.0,34.0,26.0,30.0,24.0,34.0,20.0,27.0,33.0,45.0,43.0,40,0,0,0,1,0,0,0,40,31,1
31.0,29.0,36.0,25.0,26.0,33.0,25.0,31.0,35.0,38.0,30.0,40.0,31.0,31.0,31.0,29.0,37.0,34.0,26.0,30.0,24.0,34.0,20.0,27.0,33.0,45.0,43.0,40.0,29,0,1,0,0,0,0,0,29,1,2
29.0,36.0,25.0,26.0,33.0,25.0,31.0,35.0,38.0,30.0,40.0,31.0,31.0,31.0,29.0,37.0,34.0,26.0,30.0,24.0,34.0,20.0,27.0,33.0,45.0,43.0,40.0,29.0,31,0,0,0,0,0,1,0,31,2,2
36.0,25.0,26.0,33.0,25.0,31.0,35.0,38.0,30.0,40.0,31.0,31.0,31.0,29.0,37.0,34.0,26.0,30.0,24.0,34.0,20.0,27.0,33.0,45.0,43.0,40.0,29.0,31.0,32,0,0,0,0,0,0,1,32,3,2
25.0,26.0,33.0,25.0,31.0,35.0,38.0,30.0,40.0,31.0,31.0,31.0,29.0,37.0,34.0,26.0,30.0,24.0,34.0,20.0,27.0,33.0,45.0,43.0,40.0,29.0,31.0,32.0,35,0,0,0,0,1,0,0,35,4,2
26.0,33.0,25.0,31.0,35.0,38.0,30.0,40.0,31.0,31.0,31.0,29.0,37.0,34.0,26.0,30.0,24.0,34.0,20.0,27.0,33.0,45.0,43.0,40.0,29.0,31.0,32.0,35.0,38,1,0,0,0,0,0,0,38,5,2
33.0,25.0,31.0,35.0,38.0,30.0,40.0,31.0,31.0,31.0,29.0,37.0,34.0,26.0,30.0,24.0,34.0,20.0,27.0,33.0,45.0,43.0,40.0,29.0,31.0,32.0,35.0,38.0,42,0,0,1,0,0,0,0,42,6,2
25.0,31.0,35.0,38.0,30.0,40.0,31.0,31.0,31.0,29.0,37.0,34.0,26.0,30.0,24.0,34.0,20.0,27.0,33.0,45.0,43.0,40.0,29.0,31.0,32.0,35.0,38.0,42.0,45,0,0,0,1,0,0,0,45,7,2
31.0,35.0,38.0,30.0,40.0,31.0,31.0,31.0,29.0,37.0,34.0,26.0,30.0,24.0,34.0,20.0,27.0,33.0,45.0,43.0,40.0,29.0,31.0,32.0,35.0,38.0,42.0,45.0,39,0,1,0,0,0,0,0,39,8,2
35.0,38.0,30.0,40.0,31.0,31.0,31.0,29.0,37.0,34.0,26.0,30.0,24.0,34.0,20.0,27.0,33.0,45.0,43.0,40.0,29.0,31.0,32.0,35.0,38.0,42.0,45.0,39.0,39,0,0,0,0,0,1,0,39,9,2
38.0,30.0,40.0,31.0,31.0,31.0,29.0,37.0,34.0,26.0,30.0,24.0,34.0,20.0,27.0,33.0,45.0,43.0,40.0,29.0,31.0,32.0,35.0,38.0,42.0,45.0,39.0,39.0,39,0,0,0,0,0,0,1,39,10,2
30.0,40.0,31.0,31.0,31.0,29.0,37.0,34.0,26.0,30.0,24.0,34.0,20.0,27.0,33.0,45.0,43.0,40.0,29.0,31.0,32.0,35.0,38.0,42.0,45.0,39.0,39.0,39.0,44,0,0,0,0,1,0,0,44,11,2
40.0,31.0,31.0,31.0,29.0,37.0,34.0,26.0,30.0,24.0,34.0,20.0,27.0,33.0,45.0,43.0,40.0,29.0,31.0,32.0,35.0,38.0,42.0,45.0,39.0,39.0,39.0,44.0,39,1,0,0,0,0,0,0,39,12,2
31.0,31.0,31.0,29.0,37.0,34.0,26.0,30.0,24.0,34.0,20.0,27.0,33.0,45.0,43.0,40.0,29.0,31.0,32.0,35.0,38.0,42.0,45.0,39.0,39.0,39.0,44.0,39.0,38,0,0,1,0,0,0,0,38,13,2
31.0,31.0,29.0,37.0,34.0,26.0,30.0,24.0,34.0,20.0,27.0,33.0,45.0,43.0,40.0,29.0,31.0,32.0,35.0,38.0,42.0,45.0,39.0,39.0,39.0,44.0,39.0,38.0,42,0,0,0,1,0,0,0,42,14,2
31.0,29.0,37.0,34.0,26.0,30.0,24.0,34.0,20.0,27.0,33.0,45.0,43.0,40.0,29.0,31.0,32.0,35.0,38.0,42.0,45.0,39.0,39.0,39.0,44.0,39.0,38.0,42.0,35,0,1,0,0,0,0,0,35,15,2
29.0,37.0,34.0,26.0,30.0,24.0,34.0,20.0,27.0,33.0,45.0,43.0,40.0,29.0,31.0,32.0,35.0,38.0,42.0,45.0,39.0,39.0,39.0,44.0,39.0,38.0,42.0,35.0,44,0,0,0,0,0,1,0,44,16,2
37.0,34.0,26.0,30.0,24.0,34.0,20.0,27.0,33.0,45.0,43.0,40.0,29.0,31.0,32.0,35.0,38.0,42.0,45.0,39.0,39.0,39.0,44.0,39.0,38.0,42.0,35.0,44.0,34,0,0,0,0,0,0,1,34,17,2
34.0,26.0,30.0,24.0,34.0,20.0,27.0,33.0,45.0,43.0,40.0,29.0,31.0,32.0,35.0,38.0,42.0,45.0,39.0,39.0,39.0,44.0,39.0,38.0,42.0,35.0,44.0,34.0,41,0,0,0,0,1,0,0,41,18,2
26.0,30.0,24.0,34.0,20.0,27.0,33.0,45.0,43.0,40.0,29.0,31.0,32.0,35.0,38.0,42.0,45.0,39.0,39.0,39.0,44.0,39.0,38.0,42.0,35.0,44.0,34.0,41.0,42,1,0,0,0,0,0,0,42,19,2
30.0,24.0,34.0,20.0,27.0,33.0,45.0,43.0,40.0,29.0,31.0,32.0,35.0,38.0,42.0,45.0,39.0,39.0,39.0,44.0,39.0,38.0,42.0,35.0,44.0,34.0,41.0,42.0,43,0,0,1,0,0,0,0,43,20,2
24.0,34.0,20.0,27.0,33.0,45.0,43.0,40.0,29.0,31.0,32.0,35.0,38.0,42.0,45.0,39.0,39.0,39.0,44.0,39.0,38.0,42.0,35.0,44.0,34.0,41.0,42.0,43.0,36,0,0,0,1,0,0,0,36,21,2
34.0,20.0,27.0,33.0,45.0,43.0,40.0,29.0,31.0,32.0,35.0,38.0,42.0,45.0,39.0,39.0,39.0,44.0,39.0,38.0,42.0,35.0,44.0,34.0,41.0,42.0,43.0,36.0,26,0,1,0,0,0,0,0,26,22,2
20.0,27.0,33.0,45.0,43.0,40.0,29.0,31.0,32.0,35.0,38.0,42.0,45.0,39.0,39.0,39.0,44.0,39.0,38.0,42.0,35.0,44.0,34.0,41.0,42.0,43.0,36.0,26.0,29,0,0,0,0,0,1,0,29,23,2
