lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
31.0,37.0,39.0,33.0,41.0,31.0,35.0,38.0,31.0,38.0,41.0,44.0,33.0,46.0,35.0,35.0,39.0,43.0,43.0,41.0,26.0,35.0,38.0,41.0,32.0,39.0,44.0,43.0,33,0,1,0,0,0,0,0,33,1,2
37.0,39.0,33.0,41.0,31.0,35.0,38.0,31.0,38.0,41.0,44.0,33.0,46.0,35.0,35.0,39.0,43.0,43.0,41.0,26.0,35.0,38.0,41.0,32.0,39.0,44.0,43.0,33.0,37,0,0,0,0,0,1,0,37,2,2
39.0,33.0,41.0,31.0,35.0,38.0,31.0,38.0,41.0,44.0,33.0,46.0,35.0,35.0,39.0,43.0,43.0,41.0,26.0,35.0,38.0,41.0,32.0,39.0,44.0,43.0,33.0,37.0,38,0,0,0,0,0,0,1,38,3,2
33.0,41.0,31.0,35.0,38.0,31.0,38.0,41.0,44.0,33.0,46.0,35.0,35.0,39.0,43.0,43.0,41.0,26.0,35.0,38.0,41.0,32.0,39.0,44.0,43.0,33.0,37.0,38.0,39,0,0,0,0,1,0,0,39,4,2
41.0,31.0,35.0,38.0,31.0,38.0,41.0,44.0,33.0,46.0,35.0,35.0,39.0,43.0,43.0,41.0,26.0,35.0,38.0,41.0,32.0,39.0,44.0,43.0,33.0,37.0,38.0,39.0,43,1,0,0,0,0,0,0,43,5,2
31.0,35.0,38.0,31.0,38.0,41.0,44.0,33.0,46.0,35.0,35.0,39.0,43.0,43.0,41.0,26.0,35.0,38.0,41.0,32.0,39.0,44.0,43.0,33.0,37.0,38.0,39.0,43.0,42,0,0,1,0,0,0,0,42,6,2
35.0,38.0,31.0,38.0,41.0,44.0,33.0,46.0,35.0,35.0,39.0,43.0,43.0,41.0,26.0,35.0,38.0,41.0,32.0,39.0,44.0,43.0,33.0,37.0,38.0,39.0,43.0,42.0,48,0,0,0,1,0,0,0,48,7,2
38.0,31.0,38.0,41.0,44.0,33.0,46.0,35.0,35.0,39.0,43.0,43.0,41.0,26.0,35.0,38.0,41.0,32.0,39.0,44.0,43.0,33.0,37.0,38.0,39.0,43.0,42.0,48.0,42,0,1,0,0,0,0,0,42,8,2
31.0,38.0,41.0,44.0,33.0,46.0,35.0,35.0,39.0,43.0,43.0,41.0,26.0,35.0,38.0,41.0,32.0,39.0,44.0,43.0,33.0,37.0,38.0,39.0,43.0,42.0,48.0,42.0,41,0,0,0,0,0,1,0,41,9,2
38.0,41.0,44.0,33.0,46.0,35.0,35.0,39.0,43.0,43.0,41.0,26.0,35.0,38.0,41.0,32.0,39.0,44.0,43.0,33.0,37.0,38.0,39.0,43.0,42.0,48.0,42.0,41.0,43,0,0,0,0,0,0,1,43,10,2
41.0,44.0,33.0,46.0,35.0,35.0,39.0,43.0,43.0,41.0,26.0,35.0,38.0,41.0,32.0,39.0,44.0,43.0,33.0,37.0,38.0,39.0,43.0,42.0,48.0,42.0,41.0,43.0,44,0,0,0,0,1,0,0,44,11,2
44.0,33.0,46.0,35.0,35.0,39.0,43.0,43.0,41.0,26.0,35.0,38.0,41.0,32.0,39.0,44.0,43.0,33.0,37.0,38.0,39.0,43.0,42.0,48.0,42.0,41.0,43.0,44.0,45,1,0,0,0,0,0,0,45,12,2
33.0,46.0,35.0,35.0,39.0,43.0,43.0,41.0,26.0,35.0,38.0,41.0,32.0,39.0,44.0,43.0,33.0,37.0,38.0,39.0,43.0,42.0,48.0,42.0,41.0,43.0,44.0,45.0,50,0,0,1,0,0,0,0,50,13,2
46.0,35.0,35.0,39.0,43.0,43.0,41.0,26.0,35.0,38.0,41.0,32.0,39.0,44.0,43.0,33.0,37.0,38.0,39.0,43.0,42.0,48.0,42.0,41.0,43.0,44.0,45.0,50.0,44,0,0,0,1,0,0,0,44,14,2
35.0,35.0,39.0,43.0,43.0,41.0,26.0,35.0,38.0,41.0,32.0,39.0,44.0,43.0,33.0,37.0,38.0,39.0,43.0,42.0,48.0,42.0,41.0,43.0,44.0,45.0,50.0,44.0,40,0,1,0,0,0,0,0,40,15,2
35.0,39.0,43.0,43.0,41.0,26.0,35.0,38.0,41.0,32.0,39.0,44.0,43.0,33.0,37.0,38.0,39.0,43.0,42.0,48.0,42.0,41.0,43.0,44.0,45.0,50.0,44.0,40.0,45,0,0,0,0,0,1,0,45,16,2
39.0,43.0,43.0,41.0,26.0,35.0,38.0,41.0,32.0,39.0,44.0,43.0,33.0,37.0,38.0,39.0,43.0,42.0,48.0,42.0,41.0,43.0,44.0,45.0,50.0,44.0,40.0,45.0,41,0,0,0,0,0,0,1,41,17,2
43.0,43.0,41.0,26.0,35.0,38.0,41.0,32.0,39.0,44.0,43.0,33.0,37.0,38.0,39.0,43.0,42.0,48.0,42.0,41.0,43.0,44.0,45.0,50.0,44.0,40.0,45.0,41.0,44,0,0,0,0,1,0,0,44,18,2
43.0,41.0,26.0,35.0,38.0,41.0,32.0,39.0,44.0,43.0,33.0,37.0,38.0,39.0,43.0,42.0,48.0,42.0,41.0,43.0,44.0,45.0,50.0,44.0,40.0,45.0,41.0,44.0,45,1,0,0,0,0,0,0,45,19,2
41.0,26.0,35.0,38.0,41.0,32.0,39.0,44.0,43.0,33.0,37.0,38.0,39.0,43.0,42.0,48.0,42.0,41.0,43.0,44.0,45.0,50.0,44.0,40.0,45.0,41.0,44.0,45.0,46,0,0,1,0,0,0,0,46,20,2
26.0,35.0,38.0,41.0,32.0,39.0,44.0,43.0,33.0,37.0,38.0,39.0,43.0,42.0,48.0,42.0,41.0,43.0,44.0,45.0,50.0,44.0,40.0,45.0,41.0,44.0,45.0,46.0,39,0,0,0,1,0,0,0,39,21,2
35.0,38.0,41.0,32.0,39.0,44.0,43.0,33.0,37.0,38.0,39.0,43.0,42.0,48.0,42.0,41.0,43.0,44.0,45.0,50.0,44.0,40.0,45.0,41.0,44.0,45.0,46.0,39.0,32,0,1,0,0,0,0,0,32,22,2
38.0,41.0,32.0,39.0,44.0,43.0,33.0,37.0,38.0,39.0,43.0,42.0,48.0,42.0,41.0,43.0,44.0,45.0,50.0,44.0,40.0,45.0,41.0,44.0,45.0,46.0,39.0,32.0,36,0,0,0,0,0,1,0,36,23,2
41.0,32.0,39.0,44.0,43.0,33.0,37.0,38.0,39.0,43.0,42.0,48.0,42.0,41.0,43.0,44.0,45.0,50.0,44.0,40.0,45.0,41.0,44.0,45.0,46.0,39.0,32.0,36.0,41,0,0,0,0,0,0,1,41,24,2
