lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
0.0,5.0,0.0,10.0,0.0,8.0,13.0,5.0,0.0,0.0,0.0,0.0,6.0,13.0,7.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,0.0,0.0,13.0,14,0,0,1,0,0,0,0,14,30,1
5.0,0.0,10.0,0.0,8.0,13.0,5.0,0.0,0.0,0.0,0.0,6.0,13.0,7.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,0.0,0.0,13.0,14.0,35,0,0,0,1,0,0,0,35,31,1
0.0,10.0,0.0,8.0,13.0,5.0,0.0,0.0,0.0,0.0,6.0,13.0,7.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,0.0,0.0,13.0,14.0,35.0,26,0,1,0,0,0,0,0,26,1,2
10.0,0.0,8.0,13.0,5.0,0.0,0.0,0.0,0.0,6.0,13.0,7.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,0.0,0.0,13.0,14.0,35.0,26.0,13,0,0,0,0,0,1,0,13,2,2
0.0,8.0,13.0,5.0,0.0,0.0,0.0,0.0,6.0,13.0,7.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,0.0,0.0,13.0,14.0,35.0,26.0,13.0,9,0,0,0,0,0,0,1,9,3,2
8.0,13.0,5.0,0.0,0.0,0.0,0.0,6.0,13.0,7.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,0.0,0.0,13.0,14.0,35.0,26.0,13.0,9.0,16,0,0,0,0,1,0,0,16,4,2
13.0,5.0,0.0,0.0,0.0,0.0,6.0,13.0,7.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,0.0,0.0,13.0,14.0,35.0,26.0,13.0,9.0,16.0,11,1,0,0,0,0,0,0,11,5,2
5.0,0.0,0.0,0.0,0.0,6.0,13.0,7.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,0.0,0.0,13.0,14.0,35.0,26.0,13.0,9.0,16.0,11.0,22,0,0,1,0,0,0,0,22,6,2
0.0,0.0,0.0,0.0,6.0,13.0,7.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,0.0,0.0,13.0,14.0,35.0,26.0,13.0,9.0,16.0,11.0,22.0,13,0,0,0,1,0,0,0,13,7,2
0.0,0.0,0.0,6.0,13.0,7.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,0.0,0.0,13.0,14.0,35.0,26.0,13.0,9.0,16.0,11.0,22.0,13.0,17,0,1,0,0,0,0,0,17,8,2
0.0,0.0,6.0,13.0,7.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,0.0,0.0,13.0,14.0,35.0,26.0,13.0,9.0,16.0,11.0,22.0,13.0,17.0,8,0,0,0,0,0,1,0,8,9,2
0.0,6.0,13.0,7.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,0.0,0.0,13.0,14.0,35.0,26.0,13.0,9.0,16.0,11.0,22.0,13.0,17.0,8.0,25,0,0,0,0,0,0,1,25,10,2
6.0,13.0,7.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,0.0,0.0,13.0,14.0,35.0,26.0,13.0,9.0,16.0,11.0,22.0,13.0,17.0,8.0,25.0,21,0,0,0,0,1,0,0,21,11,2
13.0,7.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,0.0,0.0,13.0,14.0,35.0,26.0,13.0,9.0,16.0,11.0,22.0,13.0,17.0,8.0,25.0,21.0,7,1,0,0,0,0,0,0,7,12,2
7.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,0.0,0.0,13.0,14.0,35.0,26.0,13.0,9.0,16.0,11.0,22.0,13.0,17.0,8.0,25.0,21.0,7.0,15,0,0,1,0,0,0,0,15,13,2
0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,0.0,0.0,13.0,14.0,35.0,26.0,13.0,9.0,16.0,11.0,22.0,13.0,17.0,8.0,25.0,21.0,7.0,15.0,10,0,0,0,1,0,0,0,10,14,2
