lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
40.0,54.0,42.0,55.0,68.0,75.0,61.0,33.0,25.0,25.0,33.0,32.0,54.0,59.0,31.0,39.0,34.0,29.0,27.0,33.0,42.0,48.0,46.0,57.0,54.0,36.0,46.0,52.0,43,0,0,1,0,0,0,0,43,30,1
54.0,42.0,55.0,68.0,75.0,61.0,33.0,25.0,25.0,33.0,32.0,54.0,59.0,31.0,39.0,34.0,29.0,27.0,33.0,42.0,48.0,46.0,57.0,54.0,36.0,46.0,52.0,43.0,56,0,0,0,1,0,0,0,56,31,1
42.0,55.0,68.0,75.0,61.0,33.0,25.0,25.0,33.0,32.0,54.0,59.0,31.0,39.0,34.0,29.0,27.0,33.0,42.0,48.0,46.0,57.0,54.0,36.0,46.0,52.0,43.0,56.0,52,0,1,0,0,0,0,0,52,1,2
55.0,68.0,75.0,61.0,33.0,25.0,25.0,33.0,32.0,54.0,59.0,31.0,39.0,34.0,29.0,27.0,33.0,42.0,48.0,46.0,57.0,54.0,36.0,46.0,52.0,43.0,56.0,52.0,49,0,0,0,0,0,1,0,49,2,2
68.0,75.0,61.0,33.0,25.0,25.0,33.0,32.0,54.0,59.0,31.0,39.0,34.0,29.0,27.0,33.0,42.0,48.0,46.0,57.0,54.0,36.0,46.0,52.0,43.0,56.0,52.0,49.0,28,0,0,0,0,0,0,1,28,3,2
75.0,61.0,33.0,25.0,25.0,33.0,32.0,54.0,59.0,31.0,39.0,34.0,29.0,27.0,33.0,42.0,48.0,46.0,57.0,54.0,36.0,46.0,52.0,43.0,56.0,52.0,49.0,28.0,35,0,0,0,0,1,0,0,35,4,2
61.0,33.0,25.0,25.0,33.0,32.0,54.0,59.0,31.0,39.0,34.0,29.0,27.0,33.0,42.0,48.0,46.0,57.0,54.0,36.0,46.0,52.0,43.0,56.0,52.0,49.0,28.0,35.0,28,1,0,0,0,0,0,0,28,5,2
33.0,25.0,25.0,33.0,32.0,54.0,59.0,31.0,39.0,34.0,29.0,27.0,33.0,42.0,48.0,46.0,57.0,54.0,36.0,46.0,52.0,43.0,56.0,52.0,49.0,28.0,35.0,28.0,40,0,0,1,0,0,0,0,40,6,2
25.0,25.0,33.0,32.0,54.0,59.0,31.0,39.0,34.0,29.0,27.0,33.0,42.0,48.0,46.0,57.0,54.0,36.0,46.0,52.0,43.0,56.0,52.0,49.0,28.0,35.0,28.0,40.0,40,0,0,0,1,0,0,0,40,7,2
25.0,33.0,32.0,54.0,59.0,31.0,39.0,34.0,29.0,27.0,33.0,42.0,48.0,46.0,57.0,54.0,36.0,46.0,52.0,43.0,56.0,52.0,49.0,28.0,35.0,28.0,40.0,40.0,28,0,1,0,0,0,0,0,28,8,2
