lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
30.0,40.0,28.0,39.0,77.0,99.0,66.0,34.0,33.0,31.0,43.0,33.0,45.0,66.0,34.0,31.0,34.0,34.0,32.0,35.0,38.0,35.0,39.0,33.0,34.0,30.0,33.0,48.0,35,0,0,1,0,0,0,0,35,30,1
40.0,28.0,39.0,77.0,99.0,66.0,34.0,33.0,31.0,43.0,33.0,45.0,66.0,34.0,31.0,34.0,34.0,32.0,35.0,38.0,35.0,39.0,33.0,34.0,30.0,33.0,48.0,35.0,56,0,0,0,1,0,0,0,56,31,1
28.0,39.0,77.0,99.0,66.0,34.0,33.0,31.0,43.0,33.0,45.0,66.0,34.0,31.0,34.0,34.0,32.0,35.0,38.0,35.0,39.0,33.0,34.0,30.0,33.0,48.0,35.0,56.0,46,0,1,0,0,0,0,0,46,1,2
39.0,77.0,99.0,66.0,34.0,33.0,31.0,43.0,33.0,45.0,66.0,34.0,31.0,34.0,34.0,32.0,35.0,38.0,35.0,39.0,33.0,34.0,30.0,33.0,48.0,35.0,56.0,46.0,36,0,0,0,0,0,1,0,36,2,2
77.0,99.0,66.0,34.0,33.0,31.0,43.0,33.0,45.0,66.0,34.0,31.0,34.0,34.0,32.0,35.0,38.0,35.0,39.0,33.0,34.0,30.0,33.0,48.0,35.0,56.0,46.0,36.0,53,0,0,0,0,0,0,1,53,3,2
99.0,66.0,34.0,33.0,31.0,43.0,33.0,45.0,66.0,34.0,31.0,34.0,34.0,32.0,35.0,38.0,35.0,39.0,33.0,34.0,30.0,33.0,48.0,35.0,56.0,46.0,36.0,53.0,30,0,0,0,0,1,0,0,30,4,2
66.0,34.0,33.0,31.0,43.0,33.0,45.0,66.0,34.0,31.0,34.0,34.0,32.0,35.0,38.0,35.0,39.0,33.0,34.0,30.0,33.0,48.0,35.0,56.0,46.0,36.0,53.0,30.0,33,1,0,0,0,0,0,0,33,5,2
34.0,33.0,31.0,43.0,33.0,45.0,66.0,34.0,31.0,34.0,34.0,32.0,35.0,38.0,35.0,39.0,33.0,34.0,30.0,33.0,48.0,35.0,56.0,46.0,36.0,53.0,30.0,33.0,52,0,0,1,0,0,0,0,52,6,2
33.0,31.0,43.0,33.0,45.0,66.0,34.0,31.0,34.0,34.0,32.0,35.0,38.0,35.0,39.0,33.0,34.0,30.0,33.0,48.0,35.0,56.0,46.0,36.0,53.0,30.0,33.0,52.0,60,0,0,0,1,0,0,0,60,7,2
31.0,43.0,33.0,45.0,66.0,34.0,31.0,34.0,34.0,32.0,35.0,38.0,35.0,39.0,33.0,34.0,30.0,33.0,48.0,35.0,56.0,46.0,36.0,53.0,30.0,33.0,52.0,60.0,36,0,1,0,0,0,0,0,36,8,2
43.0,33.0,45.0,66.0,34.0,31.0,34.0,34.0,32.0,35.0,38.0,35.0,39.0,33.0,34.0,30.0,33.0,48.0,35.0,56.0,46.0,36.0,53.0,30.0,33.0,52.0,60.0,36.0,38,0,0,0,0,0,1,0,38,9,2
