lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
28.0,33.0,26.0,23.0,35.0,49.0,38.0,40.0,36.0,31.0,26.0,31.0,28.0,53.0,24.0,26.0,31.0,34.0,33.0,32.0,31.0,36.0,33.0,28.0,38.0,23.0,26.0,45.0,31,0,0,1,0,0,0,0,31,30,1
33.0,26.0,23.0,35.0,49.0,38.0,40.0,36.0,31.0,26.0,31.0,28.0,53.0,24.0,26.0,31.0,34.0,33.0,32.0,31.0,36.0,33.0,28.0,38.0,23.0,26.0,45.0,31.0,35,0,0,0,1,0,0,0,35,31,1
26.0,23.0,35.0,49.0,38.0,40.0,36.0,31.0,26.0,31.0,28.0,53.0,24.0,26.0,31.0,34.0,33.0,32.0,31.0,36.0,33.0,28.0,38.0,23.0,26.0,45.0,31.0,35.0,36,0,1,0,0,0,0,0,36,1,2
23.0,35.0,49.0,38.0,40.0,36.0,31.0,26.0,31.0,28.0,53.0,24.0,26.0,31.0,34.0,33.0,32.0,31.0,36.0,33.0,28.0,38.0,23.0,26.0,45.0,31.0,35.0,36.0,34,0,0,0,0,0,1,0,34,2,2
35.0,49.0,38.0,40.0,36.0,31.0,26.0,31.0,28.0,53.0,24.0,26.0,31.0,34.0,33.0,32.0,31.0,36.0,33.0,28.0,38.0,23.0,26.0,45.0,31.0,35.0,36.0,34.0,37,0,0,0,0,0,0,1,37,3,2
49.0,38.0,40.0,36.0,31.0,26.0,31.0,28.0,53.0,24.0,26.0,31.0,34.0,33.0,32.0,31.0,36.0,33.0,28.0,38.0,23.0,26.0,45.0,31.0,35.0,36.0,34.0,37.0,32,0,0,0,0,1,0,0,32,4,2
38.0,40.0,36.0,31.0,26.0,31.0,28.0,53.0,24.0,26.0,31.0,34.0,33.0,32.0,31.0,36.0,33.0,28.0,38.0,23.0,26.0,45.0,31.0,35.0,36.0,34.0,37.0,32.0,27,1,0,0,0,0,0,0,27,5,2
40.0,36.0,31.0,26.0,31.0,28.0,53.0,24.0,26.0,31.0,34.0,33.0,32.0,31.0,36.0,33.0,28.0,38.0,23.0,26.0,45.0,31.0,35.0,36.0,34.0,37.0,32.0,27.0,30,0,0,1,0,0,0,0,30,6,2
36.0,31.0,26.0,31.0,28.0,53.0,24.0,26.0,31.0,34.0,33.0,32.0,31.0,36.0,33.0,28.0,38.0,23.0,26.0,45.0,31.0,35.0,36.0,34.0,37.0,32.0,27.0,30.0,47,0,0,0,1,0,0,0,47,7,2
31.0,26.0,31.0,28.0,53.0,24.0,26.0,31.0,34.0,33.0,32.0,31.0,36.0,33.0,28.0,38.0,23.0,26.0,45.0,31.0,35.0,36.0,34.0,37.0,32.0,27.0,30.0,47.0,36,0,1,0,0,0,0,0,36,8,2
26.0,31.0,28.0,53.0,24.0,26.0,31.0,34.0,33.0,32.0,31.0,36.0,33.0,28.0,38.0,23.0,26.0,45.0,31.0,35.0,36.0,34.0,37.0,32.0,27.0,30.0,47.0,36.0,22,0,0,0,0,0,1,0,22,9,2
31.0,28.0,53.0,24.0,26.0,31.0,34.0,33.0,32.0,31.0,36.0,33.0,28.0,38.0,23.0,26.0,45.0,31.0,35.0,36.0,34.0,37.0,32.0,27.0,30.0,47.0,36.0,22.0,53,0,0,0,0,0,0,1,53,10,2
28.0,53.0,24.0,26.0,31.0,34.0,33.0,32.0,31.0,36.0,33.0,28.0,38.0,23.0,26.0,45.0,31.0,35.0,36.0,34.0,37.0,32.0,27.0,30.0,47.0,36.0,22.0,53.0,0,0,0,0,0,1,0,0,0,11,2
53.0,24.0,26.0,31.0,34.0,33.0,32.0,31.0,36.0,33.0,28.0,38.0,23.0,26.0,45.0,31.0,35.0,36.0,34.0,37.0,32.0,27.0,30.0,47.0,36.0,22.0,53.0,0.0,32,1,0,0,0,0,0,0,32,12,2
24.0,26.0,31.0,34.0,33.0,32.0,31.0,36.0,33.0,28.0,38.0,23.0,26.0,45.0,31.0,35.0,36.0,34.0,37.0,32.0,27.0,30.0,47.0,36.0,22.0,53.0,0.0,32.0,33,0,0,1,0,0,0,0,33,13,2
26.0,31.0,34.0,33.0,32.0,31.0,36.0,33.0,28.0,38.0,23.0,26.0,45.0,31.0,35.0,36.0,34.0,37.0,32.0,27.0,30.0,47.0,36.0,22.0,53.0,0.0,32.0,33.0,25,0,0,0,1,0,0,0,25,14,2
31.0,34.0,33.0,32.0,31.0,36.0,33.0,28.0,38.0,23.0,26.0,45.0,31.0,35.0,36.0,34.0,37.0,32.0,27.0,30.0,47.0,36.0,22.0,53.0,0.0,32.0,33.0,25.0,38,0,1,0,0,0,0,0,38,15,2
34.0,33.0,32.0,31.0,36.0,33.0,28.0,38.0,23.0,26.0,45.0,31.0,35.0,36.0,34.0,37.0,32.0,27.0,30.0,47.0,36.0,22.0,53.0,0.0,32.0,33.0,25.0,38.0,39,0,0,0,0,0,1,0,39,16,2
33.0,32.0,31.0,36.0,33.0,28.0,38.0,23.0,26.0,45.0,31.0,35.0,36.0,34.0,37.0,32.0,27.0,30.0,47.0,36.0,22.0,53.0,0.0,32.0,33.0,25.0,38.0,39.0,29,0,0,0,0,0,0,1,29,17,2
32.0,31.0,36.0,33.0,28.0,38.0,23.0,26.0,45.0,31.0,35.0,36.0,34.0,37.0,32.0,27.0,30.0,47.0,36.0,22.0,53.0,0.0,32.0,33.0,25.0,38.0,39.0,29.0,31,0,0,0,0,1,0,0,31,18,2
31.0,36.0,33.0,28.0,38.0,23.0,26.0,45.0,31.0,35.0,36.0,34.0,37.0,32.0,27.0,30.0,47.0,36.0,22.0,53.0,0.0,32.0,33.0,25.0,38.0,39.0,29.0,31.0,31,1,0,0,0,0,0,0,31,19,2
36.0,33.0,28.0,38.0,23.0,26.0,45.0,31.0,35.0,36.0,34.0,37.0,32.0,27.0,30.0,47.0,36.0,22.0,53.0,0.0,32.0,33.0,25.0,38.0,39.0,29.0,31.0,31.0,36,0,0,1,0,0,0,0,36,20,2
33.0,28.0,38.0,23.0,26.0,45.0,31.0,35.0,36.0,34.0,37.0,32.0,27.0,30.0,47.0,36.0,22.0,53.0,0.0,32.0,33.0,25.0,38.0,39.0,29.0,31.0,31.0,36.0,32,0,0,0,1,0,0,0,32,21,2
28.0,38.0,23.0,26.0,45.0,31.0,35.0,36.0,34.0,37.0,32.0,27.0,30.0,47.0,36.0,22.0,53.0,0.0,32.0,33.0,25.0,38.0,39.0,29.0,31.0,31.0,36.0,32.0,30,0,1,0,0,0,0,0,30,22,2
38.0,23.0,26.0,45.0,31.0,35.0,36.0,34.0,37.0,32.0,27.0,30.0,47.0,36.0,22.0,53.0,0.0,32.0,33.0,25.0,38.0,39.0,29.0,31.0,31.0,36.0,32.0,30.0,37,0,0,0,0,0,1,0,37,23,2
23.0,26.0,45.0,31.0,35.0,36.0,34.0,37.0,32.0,27.0,30.0,47.0,36.0,22.0,53.0,0.0,32.0,33.0,25.0,38.0,39.0,29.0,31.0,31.0,36.0,32.0,30.0,37.0,33,0,0,0,0,0,0,1,33,24,2
26.0,45.0,31.0,35.0,36.0,34.0,37.0,32.0,27.0,30.0,47.0,36.0,22.0,53.0,0.0,32.0,33.0,25.0,38.0,39.0,29.0,31.0,31.0,36.0,32.0,30.0,37.0,33.0,31,0,0,0,0,1,0,0,31,25,2
45.0,31.0,35.0,36.0,34.0,37.0,32.0,27.0,30.0,47.0,36.0,22.0,53.0,0.0,32.0,33.0,25.0,38.0,39.0,29.0,31.0,31.0,36.0,32.0,30.0,37.0,33.0,31.0,36,1,0,0,0,0,0,0,36,26,2
31.0,35.0,36.0,34.0,37.0,32.0,27.0,30.0,47.0,36.0,22.0,53.0,0.0,32.0,33.0,25.0,38.0,39.0,29.0,31.0,31.0,36.0,32.0,30.0,37.0,33.0,31.0,36.0,36,0,0,1,0,0,0,0,36,27,2
35.0,36.0,34.0,37.0,32.0,27.0,30.0,47.0,36.0,22.0,53.0,0.0,32.0,33.0,25.0,38.0,39.0,29.0,31.0,31.0,36.0,32.0,30.0,37.0,33.0,31.0,36.0,36.0,40,0,0,0,1,0,0,0,40,28,2
36.0,34.0,37.0,32.0,27.0,30.0,47.0,36.0,22.0,53.0,0.0,32.0,33.0,25.0,38.0,39.0,29.0,31.0,31.0,36.0,32.0,30.0,37.0,33.0,31.0,36.0,36.0,40.0,42,0,1,0,0,0,0,0,42,29,2
34.0,37.0,32.0,27.0,30.0,47.0,36.0,22.0,53.0,0.0,32.0,33.0,25.0,38.0,39.0,29.0,31.0,31.0,36.0,32.0,30.0,37.0,33.0,31.0,36.0,36.0,40.0,42.0,41,0,0,0,0,0,1,0,41,1,3
37.0,32.0,27.0,30.0,47.0,36.0,22.0,53.0,0.0,32.0,33.0,25.0,38.0,39.0,29.0,31.0,31.0,36.0,32.0,30.0,37.0,33.0,31.0,36.0,36.0,40.0,42.0,41.0,42,0,0,0,0,0,0,1,42,2,3
32.0,27.0,30.0,47.0,36.0,22.0,53.0,0.0,32.0,33.0,25.0,38.0,39.0,29.0,31.0,31.0,36.0,32.0,30.0,37.0,33.0,31.0,36.0,36.0,40.0,42.0,41.0,42.0,33,0,0,0,0,1,0,0,33,3,3
27.0,30.0,47.0,36.0,22.0,53.0,0.0,32.0,33.0,25.0,38.0,39.0,29.0,31.0,31.0,36.0,32.0,30.0,37.0,33.0,31.0,36.0,36.0,40.0,42.0,41.0,42.0,33.0,33,1,0,0,0,0,0,0,33,4,3
30.0,47.0,36.0,22.0,53.0,0.0,32.0,33.0,25.0,38.0,39.0,29.0,31.0,31.0,36.0,32.0,30.0,37.0,33.0,31.0,36.0,36.0,40.0,42.0,41.0,42.0,33.0,33.0,35,0,0,1,0,0,0,0,35,5,3
47.0,36.0,22.0,53.0,0.0,32.0,33.0,25.0,38.0,39.0,29.0,31.0,31.0,36.0,32.0,30.0,37.0,33.0,31.0,36.0,36.0,40.0,42.0,41.0,42.0,33.0,33.0,35.0,40,0,0,0,1,0,0,0,40,6,3
36.0,22.0,53.0,0.0,32.0,33.0,25.0,38.0,39.0,29.0,31.0,31.0,36.0,32.0,30.0,37.0,33.0,31.0,36.0,36.0,40.0,42.0,41.0,42.0,33.0,33.0,35.0,40.0,55,0,1,0,0,0,0,0,55,7,3
22.0,53.0,0.0,32.0,33.0,25.0,38.0,39.0,29.0,31.0,31.0,36.0,32.0,30.0,37.0,33.0,31.0,36.0,36.0,40.0,42.0,41.0,42.0,33.0,33.0,35.0,40.0,55.0,60,0,0,0,0,0,1,0,60,8,3
53.0,0.0,32.0,33.0,25.0,38.0,39.0,29.0,31.0,31.0,36.0,32.0,30.0,37.0,33.0,31.0,36.0,36.0,40.0,42.0,41.0,42.0,33.0,33.0,35.0,40.0,55.0,60.0,58,0,0,0,0,0,0,1,58,9,3
0.0,32.0,33.0,25.0,38.0,39.0,29.0,31.0,31.0,36.0,32.0,30.0,37.0,33.0,31.0,36.0,36.0,40.0,42.0,41.0,42.0,33.0,33.0,35.0,40.0,55.0,60.0,58.0,62,0,0,0,0,1,0,0,62,10,3
32.0,33.0,25.0,38.0,39.0,29.0,31.0,31.0,36.0,32.0,30.0,37.0,33.0,31.0,36.0,36.0,40.0,42.0,41.0,42.0,33.0,33.0,35.0,40.0,55.0,60.0,58.0,62.0,28,1,0,0,0,0,0,0,28,11,3
33.0,25.0,38.0,39.0,29.0,31.0,31.0,36.0,32.0,30.0,37.0,33.0,31.0,36.0,36.0,40.0,42.0,41.0,42.0,33.0,33.0,35.0,40.0,55.0,60.0,58.0,62.0,28.0,36,0,0,1,0,0,0,0,36,12,3
25.0,38.0,39.0,29.0,31.0,31.0,36.0,32.0,30.0,37.0,33.0,31.0,36.0,36.0,40.0,42.0,41.0,42.0,33.0,33.0,35.0,40.0,55.0,60.0,58.0,62.0,28.0,36.0,43,0,0,0,1,0,0,0,43,13,3
38.0,39.0,29.0,31.0,31.0,36.0,32.0,30.0,37.0,33.0,31.0,36.0,36.0,40.0,42.0,41.0,42.0,33.0,33.0,35.0,40.0,55.0,60.0,58.0,62.0,28.0,36.0,43.0,39,0,1,0,0,0,0,0,39,14,3
39.0,29.0,31.0,31.0,36.0,32.0,30.0,37.0,33.0,31.0,36.0,36.0,40.0,42.0,41.0,42.0,33.0,33.0,35.0,40.0,55.0,60.0,58.0,62.0,28.0,36.0,43.0,39.0,39,0,0,0,0,0,1,0,39,15,3
29.0,31.0,31.0,36.0,32.0,30.0,37.0,33.0,31.0,36.0,36.0,40.0,42.0,41.0,42.0,33.0,33.0,35.0,40.0,55.0,60.0,58.0,62.0,28.0,36.0,43.0,39.0,39.0,32,0,0,0,0,0,0,1,32,16,3
31.0,31.0,36.0,32.0,30.0,37.0,33.0,31.0,36.0,36.0,40.0,42.0,41.0,42.0,33.0,33.0,35.0,40.0,55.0,60.0,58.0,62.0,28.0,36.0,43.0,39.0,39.0,32.0,40,0,0,0,0,1,0,0,40,17,3
31.0,36.0,32.0,30.0,37.0,33.0,31.0,36.0,36.0,40.0,42.0,41.0,42.0,33.0,33.0,35.0,40.0,55.0,60.0,58.0,62.0,28.0,36.0,43.0,39.0,39.0,32.0,40.0,31,1,0,0,0,0,0,0,31,18,3
36.0,32.0,30.0,37.0,33.0,31.0,36.0,36.0,40.0,42.0,41.0,42.0,33.0,33.0,35.0,40.0,55.0,60.0,58.0,62.0,28.0,36.0,43.0,39.0,39.0,32.0,40.0,31.0,40,0,0,1,0,0,0,0,40,19,3
32.0,30.0,37.0,33.0,31.0,36.0,36.0,40.0,42.0,41.0,42.0,33.0,33.0,35.0,40.0,55.0,60.0,58.0,62.0,28.0,36.0,43.0,39.0,39.0,32.0,40.0,31.0,40.0,39,0,0,0,1,0,0,0,39,20,3
30.0,37.0,33.0,31.0,36.0,36.0,40.0,42.0,41.0,42.0,33.0,33.0,35.0,40.0,55.0,60.0,58.0,62.0,28.0,36.0,43.0,39.0,39.0,32.0,40.0,31.0,40.0,39.0,38,0,1,0,0,0,0,0,38,21,3
37.0,33.0,31.0,36.0,36.0,40.0,42.0,41.0,42.0,33.0,33.0,35.0,40.0,55.0,60.0,58.0,62.0,28.0,36.0,43.0,39.0,39.0,32.0,40.0,31.0,40.0,39.0,38.0,42,0,0,0,0,0,1,0,42,22,3
33.0,31.0,36.0,36.0,40.0,42.0,41.0,42.0,33.0,33.0,35.0,40.0,55.0,60.0,58.0,62.0,28.0,36.0,43.0,39.0,39.0,32.0,40.0,31.0,40.0,39.0,38.0,42.0,43,0,0,0,0,0,0,1,43,23,3
31.0,36.0,36.0,40.0,42.0,41.0,42.0,33.0,33.0,35.0,40.0,55.0,60.0,58.0,62.0,28.0,36.0,43.0,39.0,39.0,32.0,40.0,31.0,40.0,39.0,38.0,42.0,43.0,41,0,0,0,0,1,0,0,41,24,3
36.0,36.0,40.0,42.0,41.0,42.0,33.0,33.0,35.0,40.0,55.0,60.0,58.0,62.0,28.0,36.0,43.0,39.0,39.0,32.0,40.0,31.0,40.0,39.0,38.0,42.0,43.0,41.0,45,1,0,0,0,0,0,0,45,25,3
36.0,40.0,42.0,41.0,42.0,33.0,33.0,35.0,40.0,55.0,60.0,58.0,62.0,28.0,36.0,43.0,39.0,39.0,32.0,40.0,31.0,40.0,39.0,38.0,42.0,43.0,41.0,45.0,35,0,0,1,0,0,0,0,35,26,3
40.0,42.0,41.0,42.0,33.0,33.0,35.0,40.0,55.0,60.0,58.0,62.0,28.0,36.0,43.0,39.0,39.0,32.0,40.0,31.0,40.0,39.0,38.0,42.0,43.0,41.0,45.0,35.0,37,0,0,0,1,0,0,0,37,27,3
42.0,41.0,42.0,33.0,33.0,35.0,40.0,55.0,60.0,58.0,62.0,28.0,36.0,43.0,39.0,39.0,32.0,40.0,31.0,40.0,39.0,38.0,42.0,43.0,41.0,45.0,35.0,37.0,33,0,1,0,0,0,0,0,33,28,3
41.0,42.0,33.0,33.0,35.0,40.0,55.0,60.0,58.0,62.0,28.0,36.0,43.0,39.0,39.0,32.0,40.0,31.0,40.0,39.0,38.0,42.0,43.0,41.0,45.0,35.0,37.0,33.0,38,0,0,0,0,0,1,0,38,29,3
