lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
34.0,34.0,48.0,35.0,52.0,77.0,59.0,33.0,39.0,65.0,33.0,69.0,85.0,38.0,29.0,28.0,31.0,65.0,67.0,59.0,33.0,51.0,72.0,51.0,29.0,34.0,30.0,37.0,29,0,0,1,0,0,0,0,29,30,1
34.0,48.0,35.0,52.0,77.0,59.0,33.0,39.0,65.0,33.0,69.0,85.0,38.0,29.0,28.0,31.0,65.0,67.0,59.0,33.0,51.0,72.0,51.0,29.0,34.0,30.0,37.0,29.0,33,0,0,0,1,0,0,0,33,31,1
48.0,35.0,52.0,77.0,59.0,33.0,39.0,65.0,33.0,69.0,85.0,38.0,29.0,28.0,31.0,65.0,67.0,59.0,33.0,51.0,72.0,51.0,29.0,34.0,30.0,37.0,29.0,33.0,45,0,1,0,0,0,0,0,45,1,2
35.0,52.0,77.0,59.0,33.0,39.0,65.0,33.0,69.0,85.0,38.0,29.0,28.0,31.0,65.0,67.0,59.0,33.0,51.0,72.0,51.0,29.0,34.0,30.0,37.0,29.0,33.0,45.0,31,0,0,0,0,0,1,0,31,2,2
52.0,77.0,59.0,33.0,39.0,65.0,33.0,69.0,85.0,38.0,29.0,28.0,31.0,65.0,67.0,59.0,33.0,51.0,72.0,51.0,29.0,34.0,30.0,37.0,29.0,33.0,45.0,31.0,33,0,0,0,0,0,0,1,33,3,2
77.0,59.0,33.0,39.0,65.0,33.0,69.0,85.0,38.0,29.0,28.0,31.0,65.0,67.0,59.0,33.0,51.0,72.0,51.0,29.0,34.0,30.0,37.0,29.0,33.0,45.0,31.0,33.0,43,0,0,0,0,1,0,0,43,4,2
59.0,33.0,39.0,65.0,33.0,69.0,85.0,38.0,29.0,28.0,31.0,65.0,67.0,59.0,33.0,51.0,72.0,51.0,29.0,34.0,30.0,37.0,29.0,33.0,45.0,31.0,33.0,43.0,47,1,0,0,0,0,0,0,47,5,2
33.0,39.0,65.0,33.0,69.0,85.0,38.0,29.0,28.0,31.0,65.0,67.0,59.0,33.0,51.0,72.0,51.0,29.0,34.0,30.0,37.0,29.0,33.0,45.0,31.0,33.0,43.0,47.0,39,0,0,1,0,0,0,0,39,6,2
39.0,65.0,33.0,69.0,85.0,38.0,29.0,28.0,31.0,65.0,67.0,59.0,33.0,51.0,72.0,51.0,29.0,34.0,30.0,37.0,29.0,33.0,45.0,31.0,33.0,43.0,47.0,39.0,31,0,0,0,1,0,0,0,31,7,2
65.0,33.0,69.0,85.0,38.0,29.0,28.0,31.0,65.0,67.0,59.0,33.0,51.0,72.0,51.0,29.0,34.0,30.0,37.0,29.0,33.0,45.0,31.0,33.0,43.0,47.0,39.0,31.0,32,0,1,0,0,0,0,0,32,8,2
33.0,69.0,85.0,38.0,29.0,28.0,31.0,65.0,67.0,59.0,33.0,51.0,72.0,51.0,29.0,34.0,30.0,37.0,29.0,33.0,45.0,31.0,33.0,43.0,47.0,39.0,31.0,32.0,35,0,0,0,0,0,1,0,35,9,2
69.0,85.0,38.0,29.0,28.0,31.0,65.0,67.0,59.0,33.0,51.0,72.0,51.0,29.0,34.0,30.0,37.0,29.0,33.0,45.0,31.0,33.0,43.0,47.0,39.0,31.0,32.0,35.0,32,0,0,0,0,0,0,1,32,10,2
85.0,38.0,29.0,28.0,31.0,65.0,67.0,59.0,33.0,51.0,72.0,51.0,29.0,34.0,30.0,37.0,29.0,33.0,45.0,31.0,33.0,43.0,47.0,39.0,31.0,32.0,35.0,32.0,36,0,0,0,0,1,0,0,36,11,2
38.0,29.0,28.0,31.0,65.0,67.0,59.0,33.0,51.0,72.0,51.0,29.0,34.0,30.0,37.0,29.0,33.0,45.0,31.0,33.0,43.0,47.0,39.0,31.0,32.0,35.0,32.0,36.0,36,1,0,0,0,0,0,0,36,12,2
29.0,28.0,31.0,65.0,67.0,59.0,33.0,51.0,72.0,51.0,29.0,34.0,30.0,37.0,29.0,33.0,45.0,31.0,33.0,43.0,47.0,39.0,31.0,32.0,35.0,32.0,36.0,36.0,33,0,0,1,0,0,0,0,33,13,2
28.0,31.0,65.0,67.0,59.0,33.0,51.0,72.0,51.0,29.0,34.0,30.0,37.0,29.0,33.0,45.0,31.0,33.0,43.0,47.0,39.0,31.0,32.0,35.0,32.0,36.0,36.0,33.0,33,0,0,0,1,0,0,0,33,14,2
31.0,65.0,67.0,59.0,33.0,51.0,72.0,51.0,29.0,34.0,30.0,37.0,29.0,33.0,45.0,31.0,33.0,43.0,47.0,39.0,31.0,32.0,35.0,32.0,36.0,36.0,33.0,33.0,67,0,1,0,0,0,0,0,67,15,2
65.0,67.0,59.0,33.0,51.0,72.0,51.0,29.0,34.0,30.0,37.0,29.0,33.0,45.0,31.0,33.0,43.0,47.0,39.0,31.0,32.0,35.0,32.0,36.0,36.0,33.0,33.0,67.0,56,0,0,0,0,0,1,0,56,16,2
67.0,59.0,33.0,51.0,72.0,51.0,29.0,34.0,30.0,37.0,29.0,33.0,45.0,31.0,33.0,43.0,47.0,39.0,31.0,32.0,35.0,32.0,36.0,36.0,33.0,33.0,67.0,56.0,31,0,0,0,0,0,0,1,31,17,2
59.0,33.0,51.0,72.0,51.0,29.0,34.0,30.0,37.0,29.0,33.0,45.0,31.0,33.0,43.0,47.0,39.0,31.0,32.0,35.0,32.0,36.0,36.0,33.0,33.0,67.0,56.0,31.0,58,0,0,0,0,1,0,0,58,18,2
33.0,51.0,72.0,51.0,29.0,34.0,30.0,37.0,29.0,33.0,45.0,31.0,33.0,43.0,47.0,39.0,31.0,32.0,35.0,32.0,36.0,36.0,33.0,33.0,67.0,56.0,31.0,58.0,39,1,0,0,0,0,0,0,39,19,2
51.0,72.0,51.0,29.0,34.0,30.0,37.0,29.0,33.0,45.0,31.0,33.0,43.0,47.0,39.0,31.0,32.0,35.0,32.0,36.0,36.0,33.0,33.0,67.0,56.0,31.0,58.0,39.0,23,0,0,1,0,0,0,0,23,20,2
72.0,51.0,29.0,34.0,30.0,37.0,29.0,33.0,45.0,31.0,33.0,43.0,47.0,39.0,31.0,32.0,35.0,32.0,36.0,36.0,33.0,33.0,67.0,56.0,31.0,58.0,39.0,23.0,25,0,0,0,1,0,0,0,25,21,2
51.0,29.0,34.0,30.0,37.0,29.0,33.0,45.0,31.0,33.0,43.0,47.0,39.0,31.0,32.0,35.0,32.0,36.0,36.0,33.0,33.0,67.0,56.0,31.0,58.0,39.0,23.0,25.0,27,0,1,0,0,0,0,0,27,22,2
29.0,34.0,30.0,37.0,29.0,33.0,45.0,31.0,33.0,43.0,47.0,39.0,31.0,32.0,35.0,32.0,36.0,36.0,33.0,33.0,67.0,56.0,31.0,58.0,39.0,23.0,25.0,27.0,34,0,0,0,0,0,1,0,34,23,2
34.0,30.0,37.0,29.0,33.0,45.0,31.0,33.0,43.0,47.0,39.0,31.0,32.0,35.0,32.0,36.0,36.0,33.0,33.0,67.0,56.0,31.0,58.0,39.0,23.0,25.0,27.0,34.0,31,0,0,0,0,0,0,1,31,24,2
30.0,37.0,29.0,33.0,45.0,31.0,33.0,43.0,47.0,39.0,31.0,32.0,35.0,32.0,36.0,36.0,33.0,33.0,67.0,56.0,31.0,58.0,39.0,23.0,25.0,27.0,34.0,31.0,34,0,0,0,0,1,0,0,34,25,2
37.0,29.0,33.0,45.0,31.0,33.0,43.0,47.0,39.0,31.0,32.0,35.0,32.0,36.0,36.0,33.0,33.0,67.0,56.0,31.0,58.0,39.0,23.0,25.0,27.0,34.0,31.0,34.0,31,1,0,0,0,0,0,0,31,26,2
29.0,33.0,45.0,31.0,33.0,43.0,47.0,39.0,31.0,32.0,35.0,32.0,36.0,36.0,33.0,33.0,67.0,56.0,31.0,58.0,39.0,23.0,25.0,27.0,34.0,31.0,34.0,31.0,33,0,0,1,0,0,0,0,33,27,2
