lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
17.0,13.0,25.0,43.0,62.0,65.0,41.0,18.0,55.0,65.0,30.0,56.0,58.0,28.0,19.0,20.0,29.0,31.0,63.0,54.0,31.0,45.0,62.0,51.0,15.0,11.0,20.0,19.0,5,0,0,1,0,0,0,0,5,30,1
13.0,25.0,43.0,62.0,65.0,41.0,18.0,55.0,65.0,30.0,56.0,58.0,28.0,19.0,20.0,29.0,31.0,63.0,54.0,31.0,45.0,62.0,51.0,15.0,11.0,20.0,19.0,5.0,20,0,0,0,1,0,0,0,20,31,1
25.0,43.0,62.0,65.0,41.0,18.0,55.0,65.0,30.0,56.0,58.0,28.0,19.0,20.0,29.0,31.0,63.0,54.0,31.0,45.0,62.0,51.0,15.0,11.0,20.0,19.0,5.0,20.0,21,0,1,0,0,0,0,0,21,1,2
43.0,62.0,65.0,41.0,18.0,55.0,65.0,30.0,56.0,58.0,28.0,19.0,20.0,29.0,31.0,63.0,54.0,31.0,45.0,62.0,51.0,15.0,11.0,20.0,19.0,5.0,20.0,21.0,15,0,0,0,0,0,1,0,15,2,2
62.0,65.0,41.0,18.0,55.0,65.0,30.0,56.0,58.0,28.0,19.0,20.0,29.0,31.0,63.0,54.0,31.0,45.0,62.0,51.0,15.0,11.0,20.0,19.0,5.0,20.0,21.0,15.0,18,0,0,0,0,0,0,1,18,3,2
65.0,41.0,18.0,55.0,65.0,30.0,56.0,58.0,28.0,19.0,20.0,29.0,31.0,63.0,54.0,31.0,45.0,62.0,51.0,15.0,11.0,20.0,19.0,5.0,20.0,21.0,15.0,18.0,30,0,0,0,0,1,0,0,30,4,2
41.0,18.0,55.0,65.0,30.0,56.0,58.0,28.0,19.0,20.0,29.0,31.0,63.0,54.0,31.0,45.0,62.0,51.0,15.0,11.0,20.0,19.0,5.0,20.0,21.0,15.0,18.0,30.0,41,1,0,0,0,0,0,0,41,5,2
18.0,55.0,65.0,30.0,56.0,58.0,28.0,19.0,20.0,29.0,31.0,63.0,54.0,31.0,45.0,62.0,51.0,15.0,11.0,20.0,19.0,5.0,20.0,21.0,15.0,18.0,30.0,41.0,23,0,0,1,0,0,0,0,23,6,2
55.0,65.0,30.0,56.0,58.0,28.0,19.0,20.0,29.0,31.0,63.0,54.0,31.0,45.0,62.0,51.0,15.0,11.0,20.0,19.0,5.0,20.0,21.0,15.0,18.0,30.0,41.0,23.0,17,0,0,0,1,0,0,0,17,7,2
65.0,30.0,56.0,58.0,28.0,19.0,20.0,29.0,31.0,63.0,54.0,31.0,45.0,62.0,51.0,15.0,11.0,20.0,19.0,5.0,20.0,21.0,15.0,18.0,30.0,41.0,23.0,17.0,16,0,1,0,0,0,0,0,16,8,2
30.0,56.0,58.0,28.0,19.0,20.0,29.0,31.0,63.0,54.0,31.0,45.0,62.0,51.0,15.0,11.0,20.0,19.0,5.0,20.0,21.0,15.0,18.0,30.0,41.0,23.0,17.0,16.0,18,0,0,0,0,0,1,0,18,9,2
56.0,58.0,28.0,19.0,20.0,29.0,31.0,63.0,54.0,31.0,45.0,62.0,51.0,15.0,11.0,20.0,19.0,5.0,20.0,21.0,15.0,18.0,30.0,41.0,23.0,17.0,16.0,18.0,23,0,0,0,0,0,0,1,23,10,2
58.0,28.0,19.0,20.0,29.0,31.0,63.0,54.0,31.0,45.0,62.0,51.0,15.0,11.0,20.0,19.0,5.0,20.0,21.0,15.0,18.0,30.0,41.0,23.0,17.0,16.0,18.0,23.0,33,0,0,0,0,1,0,0,33,11,2
28.0,19.0,20.0,29.0,31.0,63.0,54.0,31.0,45.0,62.0,51.0,15.0,11.0,20.0,19.0,5.0,20.0,21.0,15.0,18.0,30.0,41.0,23.0,17.0,16.0,18.0,23.0,33.0,23,1,0,0,0,0,0,0,23,12,2
19.0,20.0,29.0,31.0,63.0,54.0,31.0,45.0,62.0,51.0,15.0,11.0,20.0,19.0,5.0,20.0,21.0,15.0,18.0,30.0,41.0,23.0,17.0,16.0,18.0,23.0,33.0,23.0,30,0,0,1,0,0,0,0,30,13,2
20.0,29.0,31.0,63.0,54.0,31.0,45.0,62.0,51.0,15.0,11.0,20.0,19.0,5.0,20.0,21.0,15.0,18.0,30.0,41.0,23.0,17.0,16.0,18.0,23.0,33.0,23.0,30.0,26,0,0,0,1,0,0,0,26,14,2
29.0,31.0,63.0,54.0,31.0,45.0,62.0,51.0,15.0,11.0,20.0,19.0,5.0,20.0,21.0,15.0,18.0,30.0,41.0,23.0,17.0,16.0,18.0,23.0,33.0,23.0,30.0,26.0,41,0,1,0,0,0,0,0,41,15,2
31.0,63.0,54.0,31.0,45.0,62.0,51.0,15.0,11.0,20.0,19.0,5.0,20.0,21.0,15.0,18.0,30.0,41.0,23.0,17.0,16.0,18.0,23.0,33.0,23.0,30.0,26.0,41.0,18,0,0,0,0,0,1,0,18,16,2
63.0,54.0,31.0,45.0,62.0,51.0,15.0,11.0,20.0,19.0,5.0,20.0,21.0,15.0,18.0,30.0,41.0,23.0,17.0,16.0,18.0,23.0,33.0,23.0,30.0,26.0,41.0,18.0,25,0,0,0,0,0,0,1,25,17,2
54.0,31.0,45.0,62.0,51.0,15.0,11.0,20.0,19.0,5.0,20.0,21.0,15.0,18.0,30.0,41.0,23.0,17.0,16.0,18.0,23.0,33.0,23.0,30.0,26.0,41.0,18.0,25.0,53,0,0,0,0,1,0,0,53,18,2
31.0,45.0,62.0,51.0,15.0,11.0,20.0,19.0,5.0,20.0,21.0,15.0,18.0,30.0,41.0,23.0,17.0,16.0,18.0,23.0,33.0,23.0,30.0,26.0,41.0,18.0,25.0,53.0,56,1,0,0,0,0,0,0,56,19,2
45.0,62.0,51.0,15.0,11.0,20.0,19.0,5.0,20.0,21.0,15.0,18.0,30.0,41.0,23.0,17.0,16.0,18.0,23.0,33.0,23.0,30.0,26.0,41.0,18.0,25.0,53.0,56.0,11,0,0,1,0,0,0,0,11,20,2
62.0,51.0,15.0,11.0,20.0,19.0,5.0,20.0,21.0,15.0,18.0,30.0,41.0,23.0,17.0,16.0,18.0,23.0,33.0,23.0,30.0,26.0,41.0,18.0,25.0,53.0,56.0,11.0,7,0,0,0,1,0,0,0,7,21,2
