lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
23.0,23.0,30.0,35.0,31.0,23.0,27.0,38.0,36.0,45.0,28.0,40.0,32.0,20.0,20.0,32.0,38.0,32.0,28.0,21.0,15.0,19.0,26.0,58.0,51.0,24.0,18.0,16.0,12,0,0,0,0,0,1,0,12,6,3
23.0,30.0,35.0,31.0,23.0,27.0,38.0,36.0,45.0,28.0,40.0,32.0,20.0,20.0,32.0,38.0,32.0,28.0,21.0,15.0,19.0,26.0,58.0,51.0,24.0,18.0,16.0,12.0,24,0,0,0,0,0,0,1,24,7,3
30.0,35.0,31.0,23.0,27.0,38.0,36.0,45.0,28.0,40.0,32.0,20.0,20.0,32.0,38.0,32.0,28.0,21.0,15.0,19.0,26.0,58.0,51.0,24.0,18.0,16.0,12.0,24.0,25,0,0,0,0,1,0,0,25,8,3
35.0,31.0,23.0,27.0,38.0,36.0,45.0,28.0,40.0,32.0,20.0,20.0,32.0,38.0,32.0,28.0,21.0,15.0,19.0,26.0,58.0,51.0,24.0,18.0,16.0,12.0,24.0,25.0,53,1,0,0,0,0,0,0,53,9,3
31.0,23.0,27.0,38.0,36.0,45.0,28.0,40.0,32.0,20.0,20.0,32.0,38.0,32.0,28.0,21.0,15.0,19.0,26.0,58.0,51.0,24.0,18.0,16.0,12.0,24.0,25.0,53.0,38,0,0,1,0,0,0,0,38,10,3
23.0,27.0,38.0,36.0,45.0,28.0,40.0,32.0,20.0,20.0,32.0,38.0,32.0,28.0,21.0,15.0,19.0,26.0,58.0,51.0,24.0,18.0,16.0,12.0,24.0,25.0,53.0,38.0,55,0,0,0,1,0,0,0,55,11,3
27.0,38.0,36.0,45.0,28.0,40.0,32.0,20.0,20.0,32.0,38.0,32.0,28.0,21.0,15.0,19.0,26.0,58.0,51.0,24.0,18.0,16.0,12.0,24.0,25.0,53.0,38.0,55.0,25,0,1,0,0,0,0,0,25,12,3
38.0,36.0,45.0,28.0,40.0,32.0,20.0,20.0,32.0,38.0,32.0,28.0,21.0,15.0,19.0,26.0,58.0,51.0,24.0,18.0,16.0,12.0,24.0,25.0,53.0,38.0,55.0,25.0,22,0,0,0,0,0,1,0,22,13,3
36.0,45.0,28.0,40.0,32.0,20.0,20.0,32.0,38.0,32.0,28.0,21.0,15.0,19.0,26.0,58.0,51.0,24.0,18.0,16.0,12.0,24.0,25.0,53.0,38.0,55.0,25.0,22.0,31,0,0,0,0,0,0,1,31,14,3
45.0,28.0,40.0,32.0,20.0,20.0,32.0,38.0,32.0,28.0,21.0,15.0,19.0,26.0,58.0,51.0,24.0,18.0,16.0,12.0,24.0,25.0,53.0,38.0,55.0,25.0,22.0,31.0,8,0,0,0,0,1,0,0,8,15,3
28.0,40.0,32.0,20.0,20.0,32.0,38.0,32.0,28.0,21.0,15.0,19.0,26.0,58.0,51.0,24.0,18.0,16.0,12.0,24.0,25.0,53.0,38.0,55.0,25.0,22.0,31.0,8.0,30,1,0,0,0,0,0,0,30,16,3
40.0,32.0,20.0,20.0,32.0,38.0,32.0,28.0,21.0,15.0,19.0,26.0,58.0,51.0,24.0,18.0,16.0,12.0,24.0,25.0,53.0,38.0,55.0,25.0,22.0,31.0,8.0,30.0,55,0,0,1,0,0,0,0,55,17,3
32.0,20.0,20.0,32.0,38.0,32.0,28.0,21.0,15.0,19.0,26.0,58.0,51.0,24.0,18.0,16.0,12.0,24.0,25.0,53.0,38.0,55.0,25.0,22.0,31.0,8.0,30.0,55.0,55,0,0,0,1,0,0,0,55,18,3
20.0,20.0,32.0,38.0,32.0,28.0,21.0,15.0,19.0,26.0,58.0,51.0,24.0,18.0,16.0,12.0,24.0,25.0,53.0,38.0,55.0,25.0,22.0,31.0,8.0,30.0,55.0,55.0,17,0,1,0,0,0,0,0,17,19,3
20.0,32.0,38.0,32.0,28.0,21.0,15.0,19.0,26.0,58.0,51.0,24.0,18.0,16.0,12.0,24.0,25.0,53.0,38.0,55.0,25.0,22.0,31.0,8.0,30.0,55.0,55.0,17.0,11,0,0,0,0,0,1,0,11,20,3
32.0,38.0,32.0,28.0,21.0,15.0,19.0,26.0,58.0,51.0,24.0,18.0,16.0,12.0,24.0,25.0,53.0,38.0,55.0,25.0,22.0,31.0,8.0,30.0,55.0,55.0,17.0,11.0,15,0,0,0,0,0,0,1,15,21,3
38.0,32.0,28.0,21.0,15.0,19.0,26.0,58.0,51.0,24.0,18.0,16.0,12.0,24.0,25.0,53.0,38.0,55.0,25.0,22.0,31.0,8.0,30.0,55.0,55.0,17.0,11.0,15.0,37,0,0,0,0,1,0,0,37,22,3
32.0,28.0,21.0,15.0,19.0,26.0,58.0,51.0,24.0,18.0,16.0,12.0,24.0,25.0,53.0,38.0,55.0,25.0,22.0,31.0,8.0,30.0,55.0,55.0,17.0,11.0,15.0,37.0,19,1,0,0,0,0,0,0,19,23,3
28.0,21.0,15.0,19.0,26.0,58.0,51.0,24.0,18.0,16.0,12.0,24.0,25.0,53.0,38.0,55.0,25.0,22.0,31.0,8.0,30.0,55.0,55.0,17.0,11.0,15.0,37.0,19.0,8,0,0,1,0,0,0,0,8,24,3
21.0,15.0,19.0,26.0,58.0,51.0,24.0,18.0,16.0,12.0,24.0,25.0,53.0,38.0,55.0,25.0,22.0,31.0,8.0,30.0,55.0,55.0,17.0,11.0,15.0,37.0,19.0,8.0,13,0,0,0,1,0,0,0,13,25,3
15.0,19.0,26.0,58.0,51.0,24.0,18.0,16.0,12.0,24.0,25.0,53.0,38.0,55.0,25.0,22.0,31.0,8.0,30.0,55.0,55.0,17.0,11.0,15.0,37.0,19.0,8.0,13.0,28,0,1,0,0,0,0,0,28,26,3
19.0,26.0,58.0,51.0,24.0,18.0,16.0,12.0,24.0,25.0,53.0,38.0,55.0,25.0,22.0,31.0,8.0,30.0,55.0,55.0,17.0,11.0,15.0,37.0,19.0,8.0,13.0,28.0,36,0,0,0,0,0,1,0,36,27,3
26.0,58.0,51.0,24.0,18.0,16.0,12.0,24.0,25.0,53.0,38.0,55.0,25.0,22.0,31.0,8.0,30.0,55.0,55.0,17.0,11.0,15.0,37.0,19.0,8.0,13.0,28.0,36.0,20,0,0,0,0,0,0,1,20,28,3
58.0,51.0,24.0,18.0,16.0,12.0,24.0,25.0,53.0,38.0,55.0,25.0,22.0,31.0,8.0,30.0,55.0,55.0,17.0,11.0,15.0,37.0,19.0,8.0,13.0,28.0,36.0,20.0,29,0,0,0,0,1,0,0,29,29,3
51.0,24.0,18.0,16.0,12.0,24.0,25.0,53.0,38.0,55.0,25.0,22.0,31.0,8.0,30.0,55.0,55.0,17.0,11.0,15.0,37.0,19.0,8.0,13.0,28.0,36.0,20.0,29.0,15,1,0,0,0,0,0,0,15,30,3
24.0,18.0,16.0,12.0,24.0,25.0,53.0,38.0,55.0,25.0,22.0,31.0,8.0,30.0,55.0,55.0,17.0,11.0,15.0,37.0,19.0,8.0,13.0,28.0,36.0,20.0,29.0,15.0,18,0,0,1,0,0,0,0,18,31,3
18.0,16.0,12.0,24.0,25.0,53.0,38.0,55.0,25.0,22.0,31.0,8.0,30.0,55.0,55.0,17.0,11.0,15.0,37.0,19.0,8.0,13.0,28.0,36.0,20.0,29.0,15.0,18.0,20,0,0,0,1,0,0,0,20,1,4
16.0,12.0,24.0,25.0,53.0,38.0,55.0,25.0,22.0,31.0,8.0,30.0,55.0,55.0,17.0,11.0,15.0,37.0,19.0,8.0,13.0,28.0,36.0,20.0,29.0,15.0,18.0,20.0,27,0,1,0,0,0,0,0,27,2,4
12.0,24.0,25.0,53.0,38.0,55.0,25.0,22.0,31.0,8.0,30.0,55.0,55.0,17.0,11.0,15.0,37.0,19.0,8.0,13.0,28.0,36.0,20.0,29.0,15.0,18.0,20.0,27.0,15,0,0,0,0,0,1,0,15,3,4
24.0,25.0,53.0,38.0,55.0,25.0,22.0,31.0,8.0,30.0,55.0,55.0,17.0,11.0,15.0,37.0,19.0,8.0,13.0,28.0,36.0,20.0,29.0,15.0,18.0,20.0,27.0,15.0,29,0,0,0,0,0,0,1,29,4,4
25.0,53.0,38.0,55.0,25.0,22.0,31.0,8.0,30.0,55.0,55.0,17.0,11.0,15.0,37.0,19.0,8.0,13.0,28.0,36.0,20.0,29.0,15.0,18.0,20.0,27.0,15.0,29.0,30,0,0,0,0,1,0,0,30,5,4
53.0,38.0,55.0,25.0,22.0,31.0,8.0,30.0,55.0,55.0,17.0,11.0,15.0,37.0,19.0,8.0,13.0,28.0,36.0,20.0,29.0,15.0,18.0,20.0,27.0,15.0,29.0,30.0,24,1,0,0,0,0,0,0,24,6,4
38.0,55.0,25.0,22.0,31.0,8.0,30.0,55.0,55.0,17.0,11.0,15.0,37.0,19.0,8.0,13.0,28.0,36.0,20.0,29.0,15.0,18.0,20.0,27.0,15.0,29.0,30.0,24.0,27,0,0,1,0,0,0,0,27,7,4
