lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
18.0,43.0,10.0,45.0,17.0,33.0,28.0,68.0,12.0,31.0,5.0,43.0,7.0,19.0,63.0,53.0,10.0,29.0,10.0,7.0,44.0,44.0,29.0,23.0,6.0,7.0,40.0,13.0,8,0,1,0,0,0,0,0,8,28,3
43.0,10.0,45.0,17.0,33.0,28.0,68.0,12.0,31.0,5.0,43.0,7.0,19.0,63.0,53.0,10.0,29.0,10.0,7.0,44.0,44.0,29.0,23.0,6.0,7.0,40.0,13.0,8.0,6,0,0,0,0,1,0,0,6,31,3
10.0,45.0,17.0,33.0,28.0,68.0,12.0,31.0,5.0,43.0,7.0,19.0,63.0,53.0,10.0,29.0,10.0,7.0,44.0,44.0,29.0,23.0,6.0,7.0,40.0,13.0,8.0,6.0,14,0,0,0,1,0,0,0,14,3,4
45.0,17.0,33.0,28.0,68.0,12.0,31.0,5.0,43.0,7.0,19.0,63.0,53.0,10.0,29.0,10.0,7.0,44.0,44.0,29.0,23.0,6.0,7.0,40.0,13.0,8.0,6.0,14.0,25,0,0,0,0,0,0,1,25,6,4
17.0,33.0,28.0,68.0,12.0,31.0,5.0,43.0,7.0,19.0,63.0,53.0,10.0,29.0,10.0,7.0,44.0,44.0,29.0,23.0,6.0,7.0,40.0,13.0,8.0,6.0,14.0,25.0,11,0,0,1,0,0,0,0,11,9,4
33.0,28.0,68.0,12.0,31.0,5.0,43.0,7.0,19.0,63.0,53.0,10.0,29.0,10.0,7.0,44.0,44.0,29.0,23.0,6.0,7.0,40.0,13.0,8.0,6.0,14.0,25.0,11.0,13,0,0,0,0,0,1,0,13,12,4
28.0,68.0,12.0,31.0,5.0,43.0,7.0,19.0,63.0,53.0,10.0,29.0,10.0,7.0,44.0,44.0,29.0,23.0,6.0,7.0,40.0,13.0,8.0,6.0,14.0,25.0,11.0,13.0,28,1,0,0,0,0,0,0,28,15,4
68.0,12.0,31.0,5.0,43.0,7.0,19.0,63.0,53.0,10.0,29.0,10.0,7.0,44.0,44.0,29.0,23.0,6.0,7.0,40.0,13.0,8.0,6.0,14.0,25.0,11.0,13.0,28.0,32,0,1,0,0,0,0,0,32,18,4
12.0,31.0,5.0,43.0,7.0,19.0,63.0,53.0,10.0,29.0,10.0,7.0,44.0,44.0,29.0,23.0,6.0,7.0,40.0,13.0,8.0,6.0,14.0,25.0,11.0,13.0,28.0,32.0,12,0,0,0,0,1,0,0,12,21,4
31.0,5.0,43.0,7.0,19.0,63.0,53.0,10.0,29.0,10.0,7.0,44.0,44.0,29.0,23.0,6.0,7.0,40.0,13.0,8.0,6.0,14.0,25.0,11.0,13.0,28.0,32.0,12.0,30,0,0,0,1,0,0,0,30,24,4
5.0,43.0,7.0,19.0,63.0,53.0,10.0,29.0,10.0,7.0,44.0,44.0,29.0,23.0,6.0,7.0,40.0,13.0,8.0,6.0,14.0,25.0,11.0,13.0,28.0,32.0,12.0,30.0,12,0,0,0,0,0,0,1,12,27,4
43.0,7.0,19.0,63.0,53.0,10.0,29.0,10.0,7.0,44.0,44.0,29.0,23.0,6.0,7.0,40.0,13.0,8.0,6.0,14.0,25.0,11.0,13.0,28.0,32.0,12.0,30.0,12.0,13,0,0,1,0,0,0,0,13,30,4
7.0,19.0,63.0,53.0,10.0,29.0,10.0,7.0,44.0,44.0,29.0,23.0,6.0,7.0,40.0,13.0,8.0,6.0,14.0,25.0,11.0,13.0,28.0,32.0,12.0,30.0,12.0,13.0,18,0,0,0,0,0,1,0,18,3,5
19.0,63.0,53.0,10.0,29.0,10.0,7.0,44.0,44.0,29.0,23.0,6.0,7.0,40.0,13.0,8.0,6.0,14.0,25.0,11.0,13.0,28.0,32.0,12.0,30.0,12.0,13.0,18.0,24,1,0,0,0,0,0,0,24,6,5
63.0,53.0,10.0,29.0,10.0,7.0,44.0,44.0,29.0,23.0,6.0,7.0,40.0,13.0,8.0,6.0,14.0,25.0,11.0,13.0,28.0,32.0,12.0,30.0,12.0,13.0,18.0,24.0,35,0,1,0,0,0,0,0,35,9,5
53.0,10.0,29.0,10.0,7.0,44.0,44.0,29.0,23.0,6.0,7.0,40.0,13.0,8.0,6.0,14.0,25.0,11.0,13.0,28.0,32.0,12.0,30.0,12.0,13.0,18.0,24.0,35.0,7,0,0,0,0,1,0,0,7,12,5
10.0,29.0,10.0,7.0,44.0,44.0,29.0,23.0,6.0,7.0,40.0,13.0,8.0,6.0,14.0,25.0,11.0,13.0,28.0,32.0,12.0,30.0,12.0,13.0,18.0,24.0,35.0,7.0,7,0,0,0,1,0,0,0,7,15,5
29.0,10.0,7.0,44.0,44.0,29.0,23.0,6.0,7.0,40.0,13.0,8.0,6.0,14.0,25.0,11.0,13.0,28.0,32.0,12.0,30.0,12.0,13.0,18.0,24.0,35.0,7.0,7.0,7,0,0,0,0,1,0,0,7,2,6
10.0,7.0,44.0,44.0,29.0,23.0,6.0,7.0,40.0,13.0,8.0,6.0,14.0,25.0,11.0,13.0,28.0,32.0,12.0,30.0,12.0,13.0,18.0,24.0,35.0,7.0,7.0,7.0,13,0,0,0,1,0,0,0,13,5,6
7.0,44.0,44.0,29.0,23.0,6.0,7.0,40.0,13.0,8.0,6.0,14.0,25.0,11.0,13.0,28.0,32.0,12.0,30.0,12.0,13.0,18.0,24.0,35.0,7.0,7.0,7.0,13.0,14,0,0,0,0,0,0,1,14,8,6
