lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
4.0,7.0,25.0,15.0,11.0,36.0,8.0,5.0,17.0,29.0,20.0,39.0,30.0,10.0,28.0,13.0,26.0,33.0,14.0,16.0,16.0,7.0,23.0,34.0,15.0,3.0,23.0,17.0,21,0,0,1,0,0,0,0,21,30,1
7.0,25.0,15.0,11.0,36.0,8.0,5.0,17.0,29.0,20.0,39.0,30.0,10.0,28.0,13.0,26.0,33.0,14.0,16.0,16.0,7.0,23.0,34.0,15.0,3.0,23.0,17.0,21.0,20,0,0,0,1,0,0,0,20,31,1
25.0,15.0,11.0,36.0,8.0,5.0,17.0,29.0,20.0,39.0,30.0,10.0,28.0,13.0,26.0,33.0,14.0,16.0,16.0,7.0,23.0,34.0,15.0,3.0,23.0,17.0,21.0,20.0,14,0,1,0,0,0,0,0,14,1,2
15.0,11.0,36.0,8.0,5.0,17.0,29.0,20.0,39.0,30.0,10.0,28.0,13.0,26.0,33.0,14.0,16.0,16.0,7.0,23.0,34.0,15.0,3.0,23.0,17.0,21.0,20.0,14.0,8,0,0,0,0,0,1,0,8,2,2
11.0,36.0,8.0,5.0,17.0,29.0,20.0,39.0,30.0,10.0,28.0,13.0,26.0,33.0,14.0,16.0,16.0,7.0,23.0,34.0,15.0,3.0,23.0,17.0,21.0,20.0,14.0,8.0,20,0,0,0,0,0,0,1,20,3,2
36.0,8.0,5.0,17.0,29.0,20.0,39.0,30.0,10.0,28.0,13.0,26.0,33.0,14.0,16.0,16.0,7.0,23.0,34.0,15.0,3.0,23.0,17.0,21.0,20.0,14.0,8.0,20.0,8,0,0,0,0,1,0,0,8,4,2
8.0,5.0,17.0,29.0,20.0,39.0,30.0,10.0,28.0,13.0,26.0,33.0,14.0,16.0,16.0,7.0,23.0,34.0,15.0,3.0,23.0,17.0,21.0,20.0,14.0,8.0,20.0,8.0,14,1,0,0,0,0,0,0,14,5,2
5.0,17.0,29.0,20.0,39.0,30.0,10.0,28.0,13.0,26.0,33.0,14.0,16.0,16.0,7.0,23.0,34.0,15.0,3.0,23.0,17.0,21.0,20.0,14.0,8.0,20.0,8.0,14.0,28,0,0,1,0,0,0,0,28,6,2
17.0,29.0,20.0,39.0,30.0,10.0,28.0,13.0,26.0,33.0,14.0,16.0,16.0,7.0,23.0,34.0,15.0,3.0,23.0,17.0,21.0,20.0,14.0,8.0,20.0,8.0,14.0,28.0,6,0,0,0,1,0,0,0,6,7,2
29.0,20.0,39.0,30.0,10.0,28.0,13.0,26.0,33.0,14.0,16.0,16.0,7.0,23.0,34.0,15.0,3.0,23.0,17.0,21.0,20.0,14.0,8.0,20.0,8.0,14.0,28.0,6.0,6,0,1,0,0,0,0,0,6,8,2
20.0,39.0,30.0,10.0,28.0,13.0,26.0,33.0,14.0,16.0,16.0,7.0,23.0,34.0,15.0,3.0,23.0,17.0,21.0,20.0,14.0,8.0,20.0,8.0,14.0,28.0,6.0,6.0,12,0,0,0,0,0,1,0,12,9,2
39.0,30.0,10.0,28.0,13.0,26.0,33.0,14.0,16.0,16.0,7.0,23.0,34.0,15.0,3.0,23.0,17.0,21.0,20.0,14.0,8.0,20.0,8.0,14.0,28.0,6.0,6.0,12.0,8,0,0,0,0,0,0,1,8,10,2
30.0,10.0,28.0,13.0,26.0,33.0,14.0,16.0,16.0,7.0,23.0,34.0,15.0,3.0,23.0,17.0,21.0,20.0,14.0,8.0,20.0,8.0,14.0,28.0,6.0,6.0,12.0,8.0,8,0,0,0,0,1,0,0,8,11,2
10.0,28.0,13.0,26.0,33.0,14.0,16.0,16.0,7.0,23.0,34.0,15.0,3.0,23.0,17.0,21.0,20.0,14.0,8.0,20.0,8.0,14.0,28.0,6.0,6.0,12.0,8.0,8.0,33,1,0,0,0,0,0,0,33,12,2
28.0,13.0,26.0,33.0,14.0,16.0,16.0,7.0,23.0,34.0,15.0,3.0,23.0,17.0,21.0,20.0,14.0,8.0,20.0,8.0,14.0,28.0,6.0,6.0,12.0,8.0,8.0,33.0,8,0,0,1,0,0,0,0,8,13,2
13.0,26.0,33.0,14.0,16.0,16.0,7.0,23.0,34.0,15.0,3.0,23.0,17.0,21.0,20.0,14.0,8.0,20.0,8.0,14.0,28.0,6.0,6.0,12.0,8.0,8.0,33.0,8.0,15,0,0,0,1,0,0,0,15,14,2
26.0,33.0,14.0,16.0,16.0,7.0,23.0,34.0,15.0,3.0,23.0,17.0,21.0,20.0,14.0,8.0,20.0,8.0,14.0,28.0,6.0,6.0,12.0,8.0,8.0,33.0,8.0,15.0,30,0,1,0,0,0,0,0,30,15,2
33.0,14.0,16.0,16.0,7.0,23.0,34.0,15.0,3.0,23.0,17.0,21.0,20.0,14.0,8.0,20.0,8.0,14.0,28.0,6.0,6.0,12.0,8.0,8.0,33.0,8.0,15.0,30.0,32,0,0,0,0,1,0,0,32,18,2
14.0,16.0,16.0,7.0,23.0,34.0,15.0,3.0,23.0,17.0,21.0,20.0,14.0,8.0,20.0,8.0,14.0,28.0,6.0,6.0,12.0,8.0,8.0,33.0,8.0,15.0,30.0,32.0,18,1,0,0,0,0,0,0,18,19,2
16.0,16.0,7.0,23.0,34.0,15.0,3.0,23.0,17.0,21.0,20.0,14.0,8.0,20.0,8.0,14.0,28.0,6.0,6.0,12.0,8.0,8.0,33.0,8.0,15.0,30.0,32.0,18.0,9,0,0,1,0,0,0,0,9,20,2
16.0,7.0,23.0,34.0,15.0,3.0,23.0,17.0,21.0,20.0,14.0,8.0,20.0,8.0,14.0,28.0,6.0,6.0,12.0,8.0,8.0,33.0,8.0,15.0,30.0,32.0,18.0,9.0,25,0,0,0,1,0,0,0,25,21,2
7.0,23.0,34.0,15.0,3.0,23.0,17.0,21.0,20.0,14.0,8.0,20.0,8.0,14.0,28.0,6.0,6.0,12.0,8.0,8.0,33.0,8.0,15.0,30.0,32.0,18.0,9.0,25.0,8,0,1,0,0,0,0,0,8,22,2
23.0,34.0,15.0,3.0,23.0,17.0,21.0,20.0,14.0,8.0,20.0,8.0,14.0,28.0,6.0,6.0,12.0,8.0,8.0,33.0,8.0,15.0,30.0,32.0,18.0,9.0,25.0,8.0,9,0,0,0,0,0,1,0,9,23,2
34.0,15.0,3.0,23.0,17.0,21.0,20.0,14.0,8.0,20.0,8.0,14.0,28.0,6.0,6.0,12.0,8.0,8.0,33.0,8.0,15.0,30.0,32.0,18.0,9.0,25.0,8.0,9.0,23,0,0,0,0,0,0,1,23,24,2
15.0,3.0,23.0,17.0,21.0,20.0,14.0,8.0,20.0,8.0,14.0,28.0,6.0,6.0,12.0,8.0,8.0,33.0,8.0,15.0,30.0,32.0,18.0,9.0,25.0,8.0,9.0,23.0,7,0,0,0,0,1,0,0,7,25,2
3.0,23.0,17.0,21.0,20.0,14.0,8.0,20.0,8.0,14.0,28.0,6.0,6.0,12.0,8.0,8.0,33.0,8.0,15.0,30.0,32.0,18.0,9.0,25.0,8.0,9.0,23.0,7.0,25,1,0,0,0,0,0,0,25,26,2
23.0,17.0,21.0,20.0,14.0,8.0,20.0,8.0,14.0,28.0,6.0,6.0,12.0,8.0,8.0,33.0,8.0,15.0,30.0,32.0,18.0,9.0,25.0,8.0,9.0,23.0,7.0,25.0,35,0,0,1,0,0,0,0,35,27,2
17.0,21.0,20.0,14.0,8.0,20.0,8.0,14.0,28.0,6.0,6.0,12.0,8.0,8.0,33.0,8.0,15.0,30.0,32.0,18.0,9.0,25.0,8.0,9.0,23.0,7.0,25.0,35.0,22,0,0,0,1,0,0,0,22,28,2
21.0,20.0,14.0,8.0,20.0,8.0,14.0,28.0,6.0,6.0,12.0,8.0,8.0,33.0,8.0,15.0,30.0,32.0,18.0,9.0,25.0,8.0,9.0,23.0,7.0,25.0,35.0,22.0,20,0,1,0,0,0,0,0,20,29,2
20.0,14.0,8.0,20.0,8.0,14.0,28.0,6.0,6.0,12.0,8.0,8.0,33.0,8.0,15.0,30.0,32.0,18.0,9.0,25.0,8.0,9.0,23.0,7.0,25.0,35.0,22.0,20.0,48,0,0,0,0,0,1,0,48,1,3
14.0,8.0,20.0,8.0,14.0,28.0,6.0,6.0,12.0,8.0,8.0,33.0,8.0,15.0,30.0,32.0,18.0,9.0,25.0,8.0,9.0,23.0,7.0,25.0,35.0,22.0,20.0,48.0,36,0,0,0,0,0,0,1,36,2,3
8.0,20.0,8.0,14.0,28.0,6.0,6.0,12.0,8.0,8.0,33.0,8.0,15.0,30.0,32.0,18.0,9.0,25.0,8.0,9.0,23.0,7.0,25.0,35.0,22.0,20.0,48.0,36.0,40,0,0,0,0,1,0,0,40,3,3
20.0,8.0,14.0,28.0,6.0,6.0,12.0,8.0,8.0,33.0,8.0,15.0,30.0,32.0,18.0,9.0,25.0,8.0,9.0,23.0,7.0,25.0,35.0,22.0,20.0,48.0,36.0,40.0,37,1,0,0,0,0,0,0,37,4,3
8.0,14.0,28.0,6.0,6.0,12.0,8.0,8.0,33.0,8.0,15.0,30.0,32.0,18.0,9.0,25.0,8.0,9.0,23.0,7.0,25.0,35.0,22.0,20.0,48.0,36.0,40.0,37.0,45,0,0,1,0,0,0,0,45,5,3
14.0,28.0,6.0,6.0,12.0,8.0,8.0,33.0,8.0,15.0,30.0,32.0,18.0,9.0,25.0,8.0,9.0,23.0,7.0,25.0,35.0,22.0,20.0,48.0,36.0,40.0,37.0,45.0,47,0,0,0,1,0,0,0,47,6,3
28.0,6.0,6.0,12.0,8.0,8.0,33.0,8.0,15.0,30.0,32.0,18.0,9.0,25.0,8.0,9.0,23.0,7.0,25.0,35.0,22.0,20.0,48.0,36.0,40.0,37.0,45.0,47.0,48,0,1,0,0,0,0,0,48,7,3
6.0,6.0,12.0,8.0,8.0,33.0,8.0,15.0,30.0,32.0,18.0,9.0,25.0,8.0,9.0,23.0,7.0,25.0,35.0,22.0,20.0,48.0,36.0,40.0,37.0,45.0,47.0,48.0,46,0,0,0,0,0,1,0,46,8,3
6.0,12.0,8.0,8.0,33.0,8.0,15.0,30.0,32.0,18.0,9.0,25.0,8.0,9.0,23.0,7.0,25.0,35.0,22.0,20.0,48.0,36.0,40.0,37.0,45.0,47.0,48.0,46.0,39,0,0,0,0,0,0,1,39,9,3
12.0,8.0,8.0,33.0,8.0,15.0,30.0,32.0,18.0,9.0,25.0,8.0,9.0,23.0,7.0,25.0,35.0,22.0,20.0,48.0,36.0,40.0,37.0,45.0,47.0,48.0,46.0,39.0,54,0,0,0,0,1,0,0,54,10,3
8.0,8.0,33.0,8.0,15.0,30.0,32.0,18.0,9.0,25.0,8.0,9.0,23.0,7.0,25.0,35.0,22.0,20.0,48.0,36.0,40.0,37.0,45.0,47.0,48.0,46.0,39.0,54.0,31,1,0,0,0,0,0,0,31,11,3
8.0,33.0,8.0,15.0,30.0,32.0,18.0,9.0,25.0,8.0,9.0,23.0,7.0,25.0,35.0,22.0,20.0,48.0,36.0,40.0,37.0,45.0,47.0,48.0,46.0,39.0,54.0,31.0,31,0,0,1,0,0,0,0,31,12,3
33.0,8.0,15.0,30.0,32.0,18.0,9.0,25.0,8.0,9.0,23.0,7.0,25.0,35.0,22.0,20.0,48.0,36.0,40.0,37.0,45.0,47.0,48.0,46.0,39.0,54.0,31.0,31.0,51,0,0,0,1,0,0,0,51,13,3
8.0,15.0,30.0,32.0,18.0,9.0,25.0,8.0,9.0,23.0,7.0,25.0,35.0,22.0,20.0,48.0,36.0,40.0,37.0,45.0,47.0,48.0,46.0,39.0,54.0,31.0,31.0,51.0,41,0,1,0,0,0,0,0,41,14,3
15.0,30.0,32.0,18.0,9.0,25.0,8.0,9.0,23.0,7.0,25.0,35.0,22.0,20.0,48.0,36.0,40.0,37.0,45.0,47.0,48.0,46.0,39.0,54.0,31.0,31.0,51.0,41.0,36,0,0,0,0,0,1,0,36,15,3
30.0,32.0,18.0,9.0,25.0,8.0,9.0,23.0,7.0,25.0,35.0,22.0,20.0,48.0,36.0,40.0,37.0,45.0,47.0,48.0,46.0,39.0,54.0,31.0,31.0,51.0,41.0,36.0,45,0,0,0,0,0,0,1,45,16,3
32.0,18.0,9.0,25.0,8.0,9.0,23.0,7.0,25.0,35.0,22.0,20.0,48.0,36.0,40.0,37.0,45.0,47.0,48.0,46.0,39.0,54.0,31.0,31.0,51.0,41.0,36.0,45.0,43,0,0,0,0,1,0,0,43,17,3
18.0,9.0,25.0,8.0,9.0,23.0,7.0,25.0,35.0,22.0,20.0,48.0,36.0,40.0,37.0,45.0,47.0,48.0,46.0,39.0,54.0,31.0,31.0,51.0,41.0,36.0,45.0,43.0,38,1,0,0,0,0,0,0,38,18,3
9.0,25.0,8.0,9.0,23.0,7.0,25.0,35.0,22.0,20.0,48.0,36.0,40.0,37.0,45.0,47.0,48.0,46.0,39.0,54.0,31.0,31.0,51.0,41.0,36.0,45.0,43.0,38.0,36,0,0,1,0,0,0,0,36,19,3
25.0,8.0,9.0,23.0,7.0,25.0,35.0,22.0,20.0,48.0,36.0,40.0,37.0,45.0,47.0,48.0,46.0,39.0,54.0,31.0,31.0,51.0,41.0,36.0,45.0,43.0,38.0,36.0,39,0,0,0,1,0,0,0,39,20,3
8.0,9.0,23.0,7.0,25.0,35.0,22.0,20.0,48.0,36.0,40.0,37.0,45.0,47.0,48.0,46.0,39.0,54.0,31.0,31.0,51.0,41.0,36.0,45.0,43.0,38.0,36.0,39.0,42,0,1,0,0,0,0,0,42,21,3
9.0,23.0,7.0,25.0,35.0,22.0,20.0,48.0,36.0,40.0,37.0,45.0,47.0,48.0,46.0,39.0,54.0,31.0,31.0,51.0,41.0,36.0,45.0,43.0,38.0,36.0,39.0,42.0,54,0,0,0,0,0,1,0,54,22,3
23.0,7.0,25.0,35.0,22.0,20.0,48.0,36.0,40.0,37.0,45.0,47.0,48.0,46.0,39.0,54.0,31.0,31.0,51.0,41.0,36.0,45.0,43.0,38.0,36.0,39.0,42.0,54.0,49,0,0,0,0,0,0,1,49,23,3
