lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
32.0,30.0,32.0,40.0,42.0,47.0,44.0,36.0,25.0,42.0,44.0,45.0,44.0,44.0,44.0,34.0,31.0,37.0,47.0,45.0,37.0,32.0,45.0,30.0,34.0,44.0,38.0,32.0,36,1,0,0,0,0,0,0,36,1,4
30.0,32.0,40.0,42.0,47.0,44.0,36.0,25.0,42.0,44.0,45.0,44.0,44.0,44.0,34.0,31.0,37.0,47.0,45.0,37.0,32.0,45.0,30.0,34.0,44.0,38.0,32.0,36.0,40,0,0,1,0,0,0,0,40,2,4
32.0,40.0,42.0,47.0,44.0,36.0,25.0,42.0,44.0,45.0,44.0,44.0,44.0,34.0,31.0,37.0,47.0,45.0,37.0,32.0,45.0,30.0,34.0,44.0,38.0,32.0,36.0,40.0,40,0,0,0,1,0,0,0,40,3,4
40.0,42.0,47.0,44.0,36.0,25.0,42.0,44.0,45.0,44.0,44.0,44.0,34.0,31.0,37.0,47.0,45.0,37.0,32.0,45.0,30.0,34.0,44.0,38.0,32.0,36.0,40.0,40.0,49,0,1,0,0,0,0,0,49,4,4
42.0,47.0,44.0,36.0,25.0,42.0,44.0,45.0,44.0,44.0,44.0,34.0,31.0,37.0,47.0,45.0,37.0,32.0,45.0,30.0,34.0,44.0,38.0,32.0,36.0,40.0,40.0,49.0,41,0,0,0,0,0,1,0,41,5,4
47.0,44.0,36.0,25.0,42.0,44.0,45.0,44.0,44.0,44.0,34.0,31.0,37.0,47.0,45.0,37.0,32.0,45.0,30.0,34.0,44.0,38.0,32.0,36.0,40.0,40.0,49.0,41.0,44,0,0,0,0,0,0,1,44,6,4
44.0,36.0,25.0,42.0,44.0,45.0,44.0,44.0,44.0,34.0,31.0,37.0,47.0,45.0,37.0,32.0,45.0,30.0,34.0,44.0,38.0,32.0,36.0,40.0,40.0,49.0,41.0,44.0,42,0,0,0,0,1,0,0,42,7,4
36.0,25.0,42.0,44.0,45.0,44.0,44.0,44.0,34.0,31.0,37.0,47.0,45.0,37.0,32.0,45.0,30.0,34.0,44.0,38.0,32.0,36.0,40.0,40.0,49.0,41.0,44.0,42.0,40,1,0,0,0,0,0,0,40,8,4
25.0,42.0,44.0,45.0,44.0,44.0,44.0,34.0,31.0,37.0,47.0,45.0,37.0,32.0,45.0,30.0,34.0,44.0,38.0,32.0,36.0,40.0,40.0,49.0,41.0,44.0,42.0,40.0,43,0,0,1,0,0,0,0,43,9,4
42.0,44.0,45.0,44.0,44.0,44.0,34.0,31.0,37.0,47.0,45.0,37.0,32.0,45.0,30.0,34.0,44.0,38.0,32.0,36.0,40.0,40.0,49.0,41.0,44.0,42.0,40.0,43.0,49,0,0,0,1,0,0,0,49,10,4
44.0,45.0,44.0,44.0,44.0,34.0,31.0,37.0,47.0,45.0,37.0,32.0,45.0,30.0,34.0,44.0,38.0,32.0,36.0,40.0,40.0,49.0,41.0,44.0,42.0,40.0,43.0,49.0,41,0,1,0,0,0,0,0,41,11,4
45.0,44.0,44.0,44.0,34.0,31.0,37.0,47.0,45.0,37.0,32.0,45.0,30.0,34.0,44.0,38.0,32.0,36.0,40.0,40.0,49.0,41.0,44.0,42.0,40.0,43.0,49.0,41.0,41,0,0,0,0,0,1,0,41,12,4
44.0,44.0,44.0,34.0,31.0,37.0,47.0,45.0,37.0,32.0,45.0,30.0,34.0,44.0,38.0,32.0,36.0,40.0,40.0,49.0,41.0,44.0,42.0,40.0,43.0,49.0,41.0,41.0,29,0,0,0,0,0,0,1,29,13,4
44.0,44.0,34.0,31.0,37.0,47.0,45.0,37.0,32.0,45.0,30.0,34.0,44.0,38.0,32.0,36.0,40.0,40.0,49.0,41.0,44.0,42.0,40.0,43.0,49.0,41.0,41.0,29.0,27,0,0,0,0,1,0,0,27,14,4
44.0,34.0,31.0,37.0,47.0,45.0,37.0,32.0,45.0,30.0,34.0,44.0,38.0,32.0,36.0,40.0,40.0,49.0,41.0,44.0,42.0,40.0,43.0,49.0,41.0,41.0,29.0,27.0,38,1,0,0,0,0,0,0,38,15,4
34.0,31.0,37.0,47.0,45.0,37.0,32.0,45.0,30.0,34.0,44.0,38.0,32.0,36.0,40.0,40.0,49.0,41.0,44.0,42.0,40.0,43.0,49.0,41.0,41.0,29.0,27.0,38.0,38,0,0,1,0,0,0,0,38,16,4
31.0,37.0,47.0,45.0,37.0,32.0,45.0,30.0,34.0,44.0,38.0,32.0,36.0,40.0,40.0,49.0,41.0,44.0,42.0,40.0,43.0,49.0,41.0,41.0,29.0,27.0,38.0,38.0,45,0,0,0,1,0,0,0,45,17,4
37.0,47.0,45.0,37.0,32.0,45.0,30.0,34.0,44.0,38.0,32.0,36.0,40.0,40.0,49.0,41.0,44.0,42.0,40.0,43.0,49.0,41.0,41.0,29.0,27.0,38.0,38.0,45.0,54,0,1,0,0,0,0,0,54,18,4
47.0,45.0,37.0,32.0,45.0,30.0,34.0,44.0,38.0,32.0,36.0,40.0,40.0,49.0,41.0,44.0,42.0,40.0,43.0,49.0,41.0,41.0,29.0,27.0,38.0,38.0,45.0,54.0,38,0,0,0,0,0,1,0,38,19,4
45.0,37.0,32.0,45.0,30.0,34.0,44.0,38.0,32.0,36.0,40.0,40.0,49.0,41.0,44.0,42.0,40.0,43.0,49.0,41.0,41.0,29.0,27.0,38.0,38.0,45.0,54.0,38.0,50,0,0,0,0,0,0,1,50,20,4
37.0,32.0,45.0,30.0,34.0,44.0,38.0,32.0,36.0,40.0,40.0,49.0,41.0,44.0,42.0,40.0,43.0,49.0,41.0,41.0,29.0,27.0,38.0,38.0,45.0,54.0,38.0,50.0,44,1,0,0,0,0,0,0,44,22,4
32.0,45.0,30.0,34.0,44.0,38.0,32.0,36.0,40.0,40.0,49.0,41.0,44.0,42.0,40.0,43.0,49.0,41.0,41.0,29.0,27.0,38.0,38.0,45.0,54.0,38.0,50.0,44.0,47,0,0,1,0,0,0,0,47,23,4
45.0,30.0,34.0,44.0,38.0,32.0,36.0,40.0,40.0,49.0,41.0,44.0,42.0,40.0,43.0,49.0,41.0,41.0,29.0,27.0,38.0,38.0,45.0,54.0,38.0,50.0,44.0,47.0,50,0,0,0,1,0,0,0,50,24,4
30.0,34.0,44.0,38.0,32.0,36.0,40.0,40.0,49.0,41.0,44.0,42.0,40.0,43.0,49.0,41.0,41.0,29.0,27.0,38.0,38.0,45.0,54.0,38.0,50.0,44.0,47.0,50.0,54,0,1,0,0,0,0,0,54,25,4
34.0,44.0,38.0,32.0,36.0,40.0,40.0,49.0,41.0,44.0,42.0,40.0,43.0,49.0,41.0,41.0,29.0,27.0,38.0,38.0,45.0,54.0,38.0,50.0,44.0,47.0,50.0,54.0,42,0,0,0,0,0,1,0,42,26,4
44.0,38.0,32.0,36.0,40.0,40.0,49.0,41.0,44.0,42.0,40.0,43.0,49.0,41.0,41.0,29.0,27.0,38.0,38.0,45.0,54.0,38.0,50.0,44.0,47.0,50.0,54.0,42.0,27,0,0,0,0,0,0,1,27,27,4
38.0,32.0,36.0,40.0,40.0,49.0,41.0,44.0,42.0,40.0,43.0,49.0,41.0,41.0,29.0,27.0,38.0,38.0,45.0,54.0,38.0,50.0,44.0,47.0,50.0,54.0,42.0,27.0,45,0,0,0,0,1,0,0,45,28,4
32.0,36.0,40.0,40.0,49.0,41.0,44.0,42.0,40.0,43.0,49.0,41.0,41.0,29.0,27.0,38.0,38.0,45.0,54.0,38.0,50.0,44.0,47.0,50.0,54.0,42.0,27.0,45.0,34,1,0,0,0,0,0,0,34,29,4
36.0,40.0,40.0,49.0,41.0,44.0,42.0,40.0,43.0,49.0,41.0,41.0,29.0,27.0,38.0,38.0,45.0,54.0,38.0,50.0,44.0,47.0,50.0,54.0,42.0,27.0,45.0,34.0,28,0,0,1,0,0,0,0,28,30,4
40.0,40.0,49.0,41.0,44.0,42.0,40.0,43.0,49.0,41.0,41.0,29.0,27.0,38.0,38.0,45.0,54.0,38.0,50.0,44.0,47.0,50.0,54.0,42.0,27.0,45.0,34.0,28.0,33,0,0,0,1,0,0,0,33,1,5
40.0,49.0,41.0,44.0,42.0,40.0,43.0,49.0,41.0,41.0,29.0,27.0,38.0,38.0,45.0,54.0,38.0,50.0,44.0,47.0,50.0,54.0,42.0,27.0,45.0,34.0,28.0,33.0,19,0,1,0,0,0,0,0,19,2,5
49.0,41.0,44.0,42.0,40.0,43.0,49.0,41.0,41.0,29.0,27.0,38.0,38.0,45.0,54.0,38.0,50.0,44.0,47.0,50.0,54.0,42.0,27.0,45.0,34.0,28.0,33.0,19.0,38,0,0,0,0,0,1,0,38,3,5
41.0,44.0,42.0,40.0,43.0,49.0,41.0,41.0,29.0,27.0,38.0,38.0,45.0,54.0,38.0,50.0,44.0,47.0,50.0,54.0,42.0,27.0,45.0,34.0,28.0,33.0,19.0,38.0,44,0,0,0,0,0,0,1,44,4,5
44.0,42.0,40.0,43.0,49.0,41.0,41.0,29.0,27.0,38.0,38.0,45.0,54.0,38.0,50.0,44.0,47.0,50.0,54.0,42.0,27.0,45.0,34.0,28.0,33.0,19.0,38.0,44.0,46,0,0,0,0,1,0,0,46,5,5
42.0,40.0,43.0,49.0,41.0,41.0,29.0,27.0,38.0,38.0,45.0,54.0,38.0,50.0,44.0,47.0,50.0,54.0,42.0,27.0,45.0,34.0,28.0,33.0,19.0,38.0,44.0,46.0,46,1,0,0,0,0,0,0,46,6,5
40.0,43.0,49.0,41.0,41.0,29.0,27.0,38.0,38.0,45.0,54.0,38.0,50.0,44.0,47.0,50.0,54.0,42.0,27.0,45.0,34.0,28.0,33.0,19.0,38.0,44.0,46.0,46.0,48,0,0,1,0,0,0,0,48,7,5
43.0,49.0,41.0,41.0,29.0,27.0,38.0,38.0,45.0,54.0,38.0,50.0,44.0,47.0,50.0,54.0,42.0,27.0,45.0,34.0,28.0,33.0,19.0,38.0,44.0,46.0,46.0,48.0,50,0,0,0,1,0,0,0,50,8,5
49.0,41.0,41.0,29.0,27.0,38.0,38.0,45.0,54.0,38.0,50.0,44.0,47.0,50.0,54.0,42.0,27.0,45.0,34.0,28.0,33.0,19.0,38.0,44.0,46.0,46.0,48.0,50.0,37,0,1,0,0,0,0,0,37,9,5
41.0,41.0,29.0,27.0,38.0,38.0,45.0,54.0,38.0,50.0,44.0,47.0,50.0,54.0,42.0,27.0,45.0,34.0,28.0,33.0,19.0,38.0,44.0,46.0,46.0,48.0,50.0,37.0,34,0,0,0,0,0,1,0,34,10,5
41.0,29.0,27.0,38.0,38.0,45.0,54.0,38.0,50.0,44.0,47.0,50.0,54.0,42.0,27.0,45.0,34.0,28.0,33.0,19.0,38.0,44.0,46.0,46.0,48.0,50.0,37.0,34.0,36,0,0,0,0,0,0,1,36,11,5
29.0,27.0,38.0,38.0,45.0,54.0,38.0,50.0,44.0,47.0,50.0,54.0,42.0,27.0,45.0,34.0,28.0,33.0,19.0,38.0,44.0,46.0,46.0,48.0,50.0,37.0,34.0,36.0,36,0,0,0,0,1,0,0,36,12,5
27.0,38.0,38.0,45.0,54.0,38.0,50.0,44.0,47.0,50.0,54.0,42.0,27.0,45.0,34.0,28.0,33.0,19.0,38.0,44.0,46.0,46.0,48.0,50.0,37.0,34.0,36.0,36.0,45,1,0,0,0,0,0,0,45,13,5
38.0,38.0,45.0,54.0,38.0,50.0,44.0,47.0,50.0,54.0,42.0,27.0,45.0,34.0,28.0,33.0,19.0,38.0,44.0,46.0,46.0,48.0,50.0,37.0,34.0,36.0,36.0,45.0,40,0,0,1,0,0,0,0,40,14,5
