lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
23.0,22.0,23.0,21.0,17.0,18.0,13.0,23.0,23.0,22.0,23.0,20.0,28.0,20.0,20.0,22.0,22.0,19.0,19.0,19.0,19.0,23.0,22.0,19.0,21.0,22.0,22.0,21.0,22,0,0,1,0,0,0,0,22,30,1
22.0,23.0,21.0,17.0,18.0,13.0,23.0,23.0,22.0,23.0,20.0,28.0,20.0,20.0,22.0,22.0,19.0,19.0,19.0,19.0,23.0,22.0,19.0,21.0,22.0,22.0,21.0,22.0,22,0,0,0,1,0,0,0,22,31,1
23.0,21.0,17.0,18.0,13.0,23.0,23.0,22.0,23.0,20.0,28.0,20.0,20.0,22.0,22.0,19.0,19.0,19.0,19.0,23.0,22.0,19.0,21.0,22.0,22.0,21.0,22.0,22.0,21,0,1,0,0,0,0,0,21,1,2
21.0,17.0,18.0,13.0,23.0,23.0,22.0,23.0,20.0,28.0,20.0,20.0,22.0,22.0,19.0,19.0,19.0,19.0,23.0,22.0,19.0,21.0,22.0,22.0,21.0,22.0,22.0,21.0,25,0,0,0,0,0,1,0,25,2,2
17.0,18.0,13.0,23.0,23.0,22.0,23.0,20.0,28.0,20.0,20.0,22.0,22.0,19.0,19.0,19.0,19.0,23.0,22.0,19.0,21.0,22.0,22.0,21.0,22.0,22.0,21.0,25.0,23,0,0,0,0,0,0,1,23,3,2
18.0,13.0,23.0,23.0,22.0,23.0,20.0,28.0,20.0,20.0,22.0,22.0,19.0,19.0,19.0,19.0,23.0,22.0,19.0,21.0,22.0,22.0,21.0,22.0,22.0,21.0,25.0,23.0,25,0,0,0,0,1,0,0,25,4,2
13.0,23.0,23.0,22.0,23.0,20.0,28.0,20.0,20.0,22.0,22.0,19.0,19.0,19.0,19.0,23.0,22.0,19.0,21.0,22.0,22.0,21.0,22.0,22.0,21.0,25.0,23.0,25.0,21,1,0,0,0,0,0,0,21,5,2
23.0,23.0,22.0,23.0,20.0,28.0,20.0,20.0,22.0,22.0,19.0,19.0,19.0,19.0,23.0,22.0,19.0,21.0,22.0,22.0,21.0,22.0,22.0,21.0,25.0,23.0,25.0,21.0,26,0,0,1,0,0,0,0,26,6,2
23.0,22.0,23.0,20.0,28.0,20.0,20.0,22.0,22.0,19.0,19.0,19.0,19.0,23.0,22.0,19.0,21.0,22.0,22.0,21.0,22.0,22.0,21.0,25.0,23.0,25.0,21.0,26.0,24,0,0,0,1,0,0,0,24,7,2
22.0,23.0,20.0,28.0,20.0,20.0,22.0,22.0,19.0,19.0,19.0,19.0,23.0,22.0,19.0,21.0,22.0,22.0,21.0,22.0,22.0,21.0,25.0,23.0,25.0,21.0,26.0,24.0,22,0,1,0,0,0,0,0,22,8,2
