lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
12.0,23.0,13.0,30.0,23.0,17.0,35.0,21.0,16.0,18.0,8.0,12.0,20.0,34.0,27.0,26.0,13.0,35.0,18.0,42.0,29.0,8.0,11.0,6.0,13.0,24.0,22.0,19.0,13,0,0,0,0,1,0,0,13,31,3
23.0,13.0,30.0,23.0,17.0,35.0,21.0,16.0,18.0,8.0,12.0,20.0,34.0,27.0,26.0,13.0,35.0,18.0,42.0,29.0,8.0,11.0,6.0,13.0,24.0,22.0,19.0,13.0,18,0,0,0,1,0,0,0,18,3,4
13.0,30.0,23.0,17.0,35.0,21.0,16.0,18.0,8.0,12.0,20.0,34.0,27.0,26.0,13.0,35.0,18.0,42.0,29.0,8.0,11.0,6.0,13.0,24.0,22.0,19.0,13.0,18.0,20,0,0,0,0,0,0,1,20,6,4
30.0,23.0,17.0,35.0,21.0,16.0,18.0,8.0,12.0,20.0,34.0,27.0,26.0,13.0,35.0,18.0,42.0,29.0,8.0,11.0,6.0,13.0,24.0,22.0,19.0,13.0,18.0,20.0,16,0,0,1,0,0,0,0,16,9,4
23.0,17.0,35.0,21.0,16.0,18.0,8.0,12.0,20.0,34.0,27.0,26.0,13.0,35.0,18.0,42.0,29.0,8.0,11.0,6.0,13.0,24.0,22.0,19.0,13.0,18.0,20.0,16.0,13,0,0,0,0,0,1,0,13,12,4
17.0,35.0,21.0,16.0,18.0,8.0,12.0,20.0,34.0,27.0,26.0,13.0,35.0,18.0,42.0,29.0,8.0,11.0,6.0,13.0,24.0,22.0,19.0,13.0,18.0,20.0,16.0,13.0,28,1,0,0,0,0,0,0,28,15,4
35.0,21.0,16.0,18.0,8.0,12.0,20.0,34.0,27.0,26.0,13.0,35.0,18.0,42.0,29.0,8.0,11.0,6.0,13.0,24.0,22.0,19.0,13.0,18.0,20.0,16.0,13.0,28.0,38,0,1,0,0,0,0,0,38,18,4
21.0,16.0,18.0,8.0,12.0,20.0,34.0,27.0,26.0,13.0,35.0,18.0,42.0,29.0,8.0,11.0,6.0,13.0,24.0,22.0,19.0,13.0,18.0,20.0,16.0,13.0,28.0,38.0,11,0,0,0,0,1,0,0,11,21,4
16.0,18.0,8.0,12.0,20.0,34.0,27.0,26.0,13.0,35.0,18.0,42.0,29.0,8.0,11.0,6.0,13.0,24.0,22.0,19.0,13.0,18.0,20.0,16.0,13.0,28.0,38.0,11.0,34,0,0,0,1,0,0,0,34,24,4
18.0,8.0,12.0,20.0,34.0,27.0,26.0,13.0,35.0,18.0,42.0,29.0,8.0,11.0,6.0,13.0,24.0,22.0,19.0,13.0,18.0,20.0,16.0,13.0,28.0,38.0,11.0,34.0,15,0,0,0,0,0,0,1,15,27,4
8.0,12.0,20.0,34.0,27.0,26.0,13.0,35.0,18.0,42.0,29.0,8.0,11.0,6.0,13.0,24.0,22.0,19.0,13.0,18.0,20.0,16.0,13.0,28.0,38.0,11.0,34.0,15.0,20,0,0,1,0,0,0,0,20,30,4
12.0,20.0,34.0,27.0,26.0,13.0,35.0,18.0,42.0,29.0,8.0,11.0,6.0,13.0,24.0,22.0,19.0,13.0,18.0,20.0,16.0,13.0,28.0,38.0,11.0,34.0,15.0,20.0,14,0,0,0,0,0,1,0,14,3,5
20.0,34.0,27.0,26.0,13.0,35.0,18.0,42.0,29.0,8.0,11.0,6.0,13.0,24.0,22.0,19.0,13.0,18.0,20.0,16.0,13.0,28.0,38.0,11.0,34.0,15.0,20.0,14.0,29,1,0,0,0,0,0,0,29,6,5
34.0,27.0,26.0,13.0,35.0,18.0,42.0,29.0,8.0,11.0,6.0,13.0,24.0,22.0,19.0,13.0,18.0,20.0,16.0,13.0,28.0,38.0,11.0,34.0,15.0,20.0,14.0,29.0,32,0,1,0,0,0,0,0,32,9,5
27.0,26.0,13.0,35.0,18.0,42.0,29.0,8.0,11.0,6.0,13.0,24.0,22.0,19.0,13.0,18.0,20.0,16.0,13.0,28.0,38.0,11.0,34.0,15.0,20.0,14.0,29.0,32.0,15,0,0,0,0,1,0,0,15,12,5
26.0,13.0,35.0,18.0,42.0,29.0,8.0,11.0,6.0,13.0,24.0,22.0,19.0,13.0,18.0,20.0,16.0,13.0,28.0,38.0,11.0,34.0,15.0,20.0,14.0,29.0,32.0,15.0,15,0,0,0,1,0,0,0,15,15,5
13.0,35.0,18.0,42.0,29.0,8.0,11.0,6.0,13.0,24.0,22.0,19.0,13.0,18.0,20.0,16.0,13.0,28.0,38.0,11.0,34.0,15.0,20.0,14.0,29.0,32.0,15.0,15.0,20,0,0,0,0,0,0,1,20,18,5
35.0,18.0,42.0,29.0,8.0,11.0,6.0,13.0,24.0,22.0,19.0,13.0,18.0,20.0,16.0,13.0,28.0,38.0,11.0,34.0,15.0,20.0,14.0,29.0,32.0,15.0,15.0,20.0,29,0,0,1,0,0,0,0,29,21,5
18.0,42.0,29.0,8.0,11.0,6.0,13.0,24.0,22.0,19.0,13.0,18.0,20.0,16.0,13.0,28.0,38.0,11.0,34.0,15.0,20.0,14.0,29.0,32.0,15.0,15.0,20.0,29.0,39,0,0,0,0,0,1,0,39,24,5
42.0,29.0,8.0,11.0,6.0,13.0,24.0,22.0,19.0,13.0,18.0,20.0,16.0,13.0,28.0,38.0,11.0,34.0,15.0,20.0,14.0,29.0,32.0,15.0,15.0,20.0,29.0,39.0,21,1,0,0,0,0,0,0,21,27,5
29.0,8.0,11.0,6.0,13.0,24.0,22.0,19.0,13.0,18.0,20.0,16.0,13.0,28.0,38.0,11.0,34.0,15.0,20.0,14.0,29.0,32.0,15.0,15.0,20.0,29.0,39.0,21.0,23,0,1,0,0,0,0,0,23,30,5
8.0,11.0,6.0,13.0,24.0,22.0,19.0,13.0,18.0,20.0,16.0,13.0,28.0,38.0,11.0,34.0,15.0,20.0,14.0,29.0,32.0,15.0,15.0,20.0,29.0,39.0,21.0,23.0,20,0,0,0,0,1,0,0,20,2,6
11.0,6.0,13.0,24.0,22.0,19.0,13.0,18.0,20.0,16.0,13.0,28.0,38.0,11.0,34.0,15.0,20.0,14.0,29.0,32.0,15.0,15.0,20.0,29.0,39.0,21.0,23.0,20.0,14,0,0,0,1,0,0,0,14,5,6
6.0,13.0,24.0,22.0,19.0,13.0,18.0,20.0,16.0,13.0,28.0,38.0,11.0,34.0,15.0,20.0,14.0,29.0,32.0,15.0,15.0,20.0,29.0,39.0,21.0,23.0,20.0,14.0,18,0,0,0,0,0,0,1,18,8,6
13.0,24.0,22.0,19.0,13.0,18.0,20.0,16.0,13.0,28.0,38.0,11.0,34.0,15.0,20.0,14.0,29.0,32.0,15.0,15.0,20.0,29.0,39.0,21.0,23.0,20.0,14.0,18.0,57,0,0,1,0,0,0,0,57,11,6
24.0,22.0,19.0,13.0,18.0,20.0,16.0,13.0,28.0,38.0,11.0,34.0,15.0,20.0,14.0,29.0,32.0,15.0,15.0,20.0,29.0,39.0,21.0,23.0,20.0,14.0,18.0,57.0,46,0,0,0,0,0,1,0,46,14,6
22.0,19.0,13.0,18.0,20.0,16.0,13.0,28.0,38.0,11.0,34.0,15.0,20.0,14.0,29.0,32.0,15.0,15.0,20.0,29.0,39.0,21.0,23.0,20.0,14.0,18.0,57.0,46.0,33,1,0,0,0,0,0,0,33,17,6
19.0,13.0,18.0,20.0,16.0,13.0,28.0,38.0,11.0,34.0,15.0,20.0,14.0,29.0,32.0,15.0,15.0,20.0,29.0,39.0,21.0,23.0,20.0,14.0,18.0,57.0,46.0,33.0,41,0,1,0,0,0,0,0,41,20,6
