lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
45.0,82.0,42.0,62.0,40.0,40.0,42.0,40.0,37.0,38.0,36.0,36.0,42.0,43.0,40.0,40.0,37.0,39.0,41.0,43.0,45.0,69.0,68.0,43.0,40.0,37.0,37.0,42.0,56,0,0,1,0,0,0,0,56,30,1
82.0,42.0,62.0,40.0,40.0,42.0,40.0,37.0,38.0,36.0,36.0,42.0,43.0,40.0,40.0,37.0,39.0,41.0,43.0,45.0,69.0,68.0,43.0,40.0,37.0,37.0,42.0,56.0,43,0,0,0,1,0,0,0,43,31,1
42.0,62.0,40.0,40.0,42.0,40.0,37.0,38.0,36.0,36.0,42.0,43.0,40.0,40.0,37.0,39.0,41.0,43.0,45.0,69.0,68.0,43.0,40.0,37.0,37.0,42.0,56.0,43.0,53,0,1,0,0,0,0,0,53,1,2
62.0,40.0,40.0,42.0,40.0,37.0,38.0,36.0,36.0,42.0,43.0,40.0,40.0,37.0,39.0,41.0,43.0,45.0,69.0,68.0,43.0,40.0,37.0,37.0,42.0,56.0,43.0,53.0,41,0,0,0,0,0,1,0,41,2,2
40.0,40.0,42.0,40.0,37.0,38.0,36.0,36.0,42.0,43.0,40.0,40.0,37.0,39.0,41.0,43.0,45.0,69.0,68.0,43.0,40.0,37.0,37.0,42.0,56.0,43.0,53.0,41.0,41,0,0,0,0,0,0,1,41,3,2
40.0,42.0,40.0,37.0,38.0,36.0,36.0,42.0,43.0,40.0,40.0,37.0,39.0,41.0,43.0,45.0,69.0,68.0,43.0,40.0,37.0,37.0,42.0,56.0,43.0,53.0,41.0,41.0,44,0,0,0,0,1,0,0,44,4,2
42.0,40.0,37.0,38.0,36.0,36.0,42.0,43.0,40.0,40.0,37.0,39.0,41.0,43.0,45.0,69.0,68.0,43.0,40.0,37.0,37.0,42.0,56.0,43.0,53.0,41.0,41.0,44.0,42,1,0,0,0,0,0,0,42,5,2
40.0,37.0,38.0,36.0,36.0,42.0,43.0,40.0,40.0,37.0,39.0,41.0,43.0,45.0,69.0,68.0,43.0,40.0,37.0,37.0,42.0,56.0,43.0,53.0,41.0,41.0,44.0,42.0,41,0,0,1,0,0,0,0,41,6,2
37.0,38.0,36.0,36.0,42.0,43.0,40.0,40.0,37.0,39.0,41.0,43.0,45.0,69.0,68.0,43.0,40.0,37.0,37.0,42.0,56.0,43.0,53.0,41.0,41.0,44.0,42.0,41.0,42,0,0,0,1,0,0,0,42,7,2
38.0,36.0,36.0,42.0,43.0,40.0,40.0,37.0,39.0,41.0,43.0,45.0,69.0,68.0,43.0,40.0,37.0,37.0,42.0,56.0,43.0,53.0,41.0,41.0,44.0,42.0,41.0,42.0,42,0,1,0,0,0,0,0,42,8,2
