lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
28.0,37.0,31.0,20.0,26.0,35.0,35.0,24.0,31.0,33.0,36.0,34.0,37.0,38.0,32.0,39.0,29.0,37.0,31.0,38.0,36.0,36.0,41.0,40.0,31.0,35.0,35.0,38.0,39,0,0,1,0,0,0,0,39,30,1
37.0,31.0,20.0,26.0,35.0,35.0,24.0,31.0,33.0,36.0,34.0,37.0,38.0,32.0,39.0,29.0,37.0,31.0,38.0,36.0,36.0,41.0,40.0,31.0,35.0,35.0,38.0,39.0,39,0,0,0,1,0,0,0,39,31,1
31.0,20.0,26.0,35.0,35.0,24.0,31.0,33.0,36.0,34.0,37.0,38.0,32.0,39.0,29.0,37.0,31.0,38.0,36.0,36.0,41.0,40.0,31.0,35.0,35.0,38.0,39.0,39.0,40,0,1,0,0,0,0,0,40,1,2
20.0,26.0,35.0,35.0,24.0,31.0,33.0,36.0,34.0,37.0,38.0,32.0,39.0,29.0,37.0,31.0,38.0,36.0,36.0,41.0,40.0,31.0,35.0,35.0,38.0,39.0,39.0,40.0,37,0,0,0,0,0,1,0,37,2,2
26.0,35.0,35.0,24.0,31.0,33.0,36.0,34.0,37.0,38.0,32.0,39.0,29.0,37.0,31.0,38.0,36.0,36.0,41.0,40.0,31.0,35.0,35.0,38.0,39.0,39.0,40.0,37.0,38,0,0,0,0,0,0,1,38,3,2
35.0,35.0,24.0,31.0,33.0,36.0,34.0,37.0,38.0,32.0,39.0,29.0,37.0,31.0,38.0,36.0,36.0,41.0,40.0,31.0,35.0,35.0,38.0,39.0,39.0,40.0,37.0,38.0,39,0,0,0,0,1,0,0,39,4,2
35.0,24.0,31.0,33.0,36.0,34.0,37.0,38.0,32.0,39.0,29.0,37.0,31.0,38.0,36.0,36.0,41.0,40.0,31.0,35.0,35.0,38.0,39.0,39.0,40.0,37.0,38.0,39.0,39,1,0,0,0,0,0,0,39,5,2
24.0,31.0,33.0,36.0,34.0,37.0,38.0,32.0,39.0,29.0,37.0,31.0,38.0,36.0,36.0,41.0,40.0,31.0,35.0,35.0,38.0,39.0,39.0,40.0,37.0,38.0,39.0,39.0,40,0,0,1,0,0,0,0,40,6,2
31.0,33.0,36.0,34.0,37.0,38.0,32.0,39.0,29.0,37.0,31.0,38.0,36.0,36.0,41.0,40.0,31.0,35.0,35.0,38.0,39.0,39.0,40.0,37.0,38.0,39.0,39.0,40.0,40,0,0,0,1,0,0,0,40,7,2
33.0,36.0,34.0,37.0,38.0,32.0,39.0,29.0,37.0,31.0,38.0,36.0,36.0,41.0,40.0,31.0,35.0,35.0,38.0,39.0,39.0,40.0,37.0,38.0,39.0,39.0,40.0,40.0,40,0,1,0,0,0,0,0,40,8,2
36.0,34.0,37.0,38.0,32.0,39.0,29.0,37.0,31.0,38.0,36.0,36.0,41.0,40.0,31.0,35.0,35.0,38.0,39.0,39.0,40.0,37.0,38.0,39.0,39.0,40.0,40.0,40.0,43,0,0,0,0,0,1,0,43,9,2
34.0,37.0,38.0,32.0,39.0,29.0,37.0,31.0,38.0,36.0,36.0,41.0,40.0,31.0,35.0,35.0,38.0,39.0,39.0,40.0,37.0,38.0,39.0,39.0,40.0,40.0,40.0,43.0,39,0,0,0,0,0,0,1,39,10,2
37.0,38.0,32.0,39.0,29.0,37.0,31.0,38.0,36.0,36.0,41.0,40.0,31.0,35.0,35.0,38.0,39.0,39.0,40.0,37.0,38.0,39.0,39.0,40.0,40.0,40.0,43.0,39.0,42,0,0,0,0,1,0,0,42,11,2
38.0,32.0,39.0,29.0,37.0,31.0,38.0,36.0,36.0,41.0,40.0,31.0,35.0,35.0,38.0,39.0,39.0,40.0,37.0,38.0,39.0,39.0,40.0,40.0,40.0,43.0,39.0,42.0,49,1,0,0,0,0,0,0,49,12,2
32.0,39.0,29.0,37.0,31.0,38.0,36.0,36.0,41.0,40.0,31.0,35.0,35.0,38.0,39.0,39.0,40.0,37.0,38.0,39.0,39.0,40.0,40.0,40.0,43.0,39.0,42.0,49.0,48,0,0,1,0,0,0,0,48,13,2
39.0,29.0,37.0,31.0,38.0,36.0,36.0,41.0,40.0,31.0,35.0,35.0,38.0,39.0,39.0,40.0,37.0,38.0,39.0,39.0,40.0,40.0,40.0,43.0,39.0,42.0,49.0,48.0,41,0,0,0,1,0,0,0,41,14,2
29.0,37.0,31.0,38.0,36.0,36.0,41.0,40.0,31.0,35.0,35.0,38.0,39.0,39.0,40.0,37.0,38.0,39.0,39.0,40.0,40.0,40.0,43.0,39.0,42.0,49.0,48.0,41.0,40,0,1,0,0,0,0,0,40,15,2
37.0,31.0,38.0,36.0,36.0,41.0,40.0,31.0,35.0,35.0,38.0,39.0,39.0,40.0,37.0,38.0,39.0,39.0,40.0,40.0,40.0,43.0,39.0,42.0,49.0,48.0,41.0,40.0,32,0,0,0,0,0,1,0,32,16,2
31.0,38.0,36.0,36.0,41.0,40.0,31.0,35.0,35.0,38.0,39.0,39.0,40.0,37.0,38.0,39.0,39.0,40.0,40.0,40.0,43.0,39.0,42.0,49.0,48.0,41.0,40.0,32.0,43,0,0,0,0,0,0,1,43,17,2
38.0,36.0,36.0,41.0,40.0,31.0,35.0,35.0,38.0,39.0,39.0,40.0,37.0,38.0,39.0,39.0,40.0,40.0,40.0,43.0,39.0,42.0,49.0,48.0,41.0,40.0,32.0,43.0,44,0,0,0,0,1,0,0,44,18,2
36.0,36.0,41.0,40.0,31.0,35.0,35.0,38.0,39.0,39.0,40.0,37.0,38.0,39.0,39.0,40.0,40.0,40.0,43.0,39.0,42.0,49.0,48.0,41.0,40.0,32.0,43.0,44.0,35,1,0,0,0,0,0,0,35,19,2
36.0,41.0,40.0,31.0,35.0,35.0,38.0,39.0,39.0,40.0,37.0,38.0,39.0,39.0,40.0,40.0,40.0,43.0,39.0,42.0,49.0,48.0,41.0,40.0,32.0,43.0,44.0,35.0,41,0,0,1,0,0,0,0,41,20,2
41.0,40.0,31.0,35.0,35.0,38.0,39.0,39.0,40.0,37.0,38.0,39.0,39.0,40.0,40.0,40.0,43.0,39.0,42.0,49.0,48.0,41.0,40.0,32.0,43.0,44.0,35.0,41.0,39,0,0,0,1,0,0,0,39,21,2
