lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
30.0,34.0,13.0,26.0,24.0,38.0,22.0,28.0,32.0,31.0,34.0,34.0,26.0,31.0,32.0,30.0,32.0,32.0,31.0,32.0,35.0,33.0,31.0,77.0,31.0,31.0,27.0,31.0,33,0,0,1,0,0,0,0,33,30,1
34.0,13.0,26.0,24.0,38.0,22.0,28.0,32.0,31.0,34.0,34.0,26.0,31.0,32.0,30.0,32.0,32.0,31.0,32.0,35.0,33.0,31.0,77.0,31.0,31.0,27.0,31.0,33.0,40,0,0,0,1,0,0,0,40,31,1
13.0,26.0,24.0,38.0,22.0,28.0,32.0,31.0,34.0,34.0,26.0,31.0,32.0,30.0,32.0,32.0,31.0,32.0,35.0,33.0,31.0,77.0,31.0,31.0,27.0,31.0,33.0,40.0,31,0,1,0,0,0,0,0,31,1,2
26.0,24.0,38.0,22.0,28.0,32.0,31.0,34.0,34.0,26.0,31.0,32.0,30.0,32.0,32.0,31.0,32.0,35.0,33.0,31.0,77.0,31.0,31.0,27.0,31.0,33.0,40.0,31.0,33,0,0,0,0,0,1,0,33,2,2
24.0,38.0,22.0,28.0,32.0,31.0,34.0,34.0,26.0,31.0,32.0,30.0,32.0,32.0,31.0,32.0,35.0,33.0,31.0,77.0,31.0,31.0,27.0,31.0,33.0,40.0,31.0,33.0,32,0,0,0,0,0,0,1,32,3,2
38.0,22.0,28.0,32.0,31.0,34.0,34.0,26.0,31.0,32.0,30.0,32.0,32.0,31.0,32.0,35.0,33.0,31.0,77.0,31.0,31.0,27.0,31.0,33.0,40.0,31.0,33.0,32.0,30,0,0,0,0,1,0,0,30,4,2
22.0,28.0,32.0,31.0,34.0,34.0,26.0,31.0,32.0,30.0,32.0,32.0,31.0,32.0,35.0,33.0,31.0,77.0,31.0,31.0,27.0,31.0,33.0,40.0,31.0,33.0,32.0,30.0,34,1,0,0,0,0,0,0,34,5,2
28.0,32.0,31.0,34.0,34.0,26.0,31.0,32.0,30.0,32.0,32.0,31.0,32.0,35.0,33.0,31.0,77.0,31.0,31.0,27.0,31.0,33.0,40.0,31.0,33.0,32.0,30.0,34.0,39,0,0,1,0,0,0,0,39,6,2
32.0,31.0,34.0,34.0,26.0,31.0,32.0,30.0,32.0,32.0,31.0,32.0,35.0,33.0,31.0,77.0,31.0,31.0,27.0,31.0,33.0,40.0,31.0,33.0,32.0,30.0,34.0,39.0,33,0,0,0,1,0,0,0,33,7,2
31.0,34.0,34.0,26.0,31.0,32.0,30.0,32.0,32.0,31.0,32.0,35.0,33.0,31.0,77.0,31.0,31.0,27.0,31.0,33.0,40.0,31.0,33.0,32.0,30.0,34.0,39.0,33.0,34,0,1,0,0,0,0,0,34,8,2
