lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
41.0,39.0,44.0,45.0,62.0,64.0,63.0,51.0,18.0,29.0,46.0,29.0,49.0,64.0,48.0,27.0,24.0,23.0,24.0,31.0,41.0,43.0,43.0,63.0,57.0,26.0,44.0,38.0,36,0,0,1,0,0,0,0,36,30,1
39.0,44.0,45.0,62.0,64.0,63.0,51.0,18.0,29.0,46.0,29.0,49.0,64.0,48.0,27.0,24.0,23.0,24.0,31.0,41.0,43.0,43.0,63.0,57.0,26.0,44.0,38.0,36.0,45,0,0,0,1,0,0,0,45,31,1
44.0,45.0,62.0,64.0,63.0,51.0,18.0,29.0,46.0,29.0,49.0,64.0,48.0,27.0,24.0,23.0,24.0,31.0,41.0,43.0,43.0,63.0,57.0,26.0,44.0,38.0,36.0,45.0,33,0,1,0,0,0,0,0,33,1,2
45.0,62.0,64.0,63.0,51.0,18.0,29.0,46.0,29.0,49.0,64.0,48.0,27.0,24.0,23.0,24.0,31.0,41.0,43.0,43.0,63.0,57.0,26.0,44.0,38.0,36.0,45.0,33.0,30,0,0,0,0,0,1,0,30,2,2
62.0,64.0,63.0,51.0,18.0,29.0,46.0,29.0,49.0,64.0,48.0,27.0,24.0,23.0,24.0,31.0,41.0,43.0,43.0,63.0,57.0,26.0,44.0,38.0,36.0,45.0,33.0,30.0,41,0,0,0,0,0,0,1,41,3,2
64.0,63.0,51.0,18.0,29.0,46.0,29.0,49.0,64.0,48.0,27.0,24.0,23.0,24.0,31.0,41.0,43.0,43.0,63.0,57.0,26.0,44.0,38.0,36.0,45.0,33.0,30.0,41.0,23,0,0,0,0,1,0,0,23,4,2
63.0,51.0,18.0,29.0,46.0,29.0,49.0,64.0,48.0,27.0,24.0,23.0,24.0,31.0,41.0,43.0,43.0,63.0,57.0,26.0,44.0,38.0,36.0,45.0,33.0,30.0,41.0,23.0,21,1,0,0,0,0,0,0,21,5,2
51.0,18.0,29.0,46.0,29.0,49.0,64.0,48.0,27.0,24.0,23.0,24.0,31.0,41.0,43.0,43.0,63.0,57.0,26.0,44.0,38.0,36.0,45.0,33.0,30.0,41.0,23.0,21.0,43,0,0,1,0,0,0,0,43,6,2
18.0,29.0,46.0,29.0,49.0,64.0,48.0,27.0,24.0,23.0,24.0,31.0,41.0,43.0,43.0,63.0,57.0,26.0,44.0,38.0,36.0,45.0,33.0,30.0,41.0,23.0,21.0,43.0,47,0,0,0,1,0,0,0,47,7,2
29.0,46.0,29.0,49.0,64.0,48.0,27.0,24.0,23.0,24.0,31.0,41.0,43.0,43.0,63.0,57.0,26.0,44.0,38.0,36.0,45.0,33.0,30.0,41.0,23.0,21.0,43.0,47.0,38,0,1,0,0,0,0,0,38,8,2
