lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
31.0,28.0,29.0,29.0,19.0,21.0,28.0,27.0,31.0,32.0,1.0,35.0,25.0,19.0,31.0,32.0,31.0,33.0,34.0,35.0,36.0,35.0,35.0,32.0,22.0,27.0,22.0,23.0,24,0,0,1,0,0,0,0,24,30,1
28.0,29.0,29.0,19.0,21.0,28.0,27.0,31.0,32.0,1.0,35.0,25.0,19.0,31.0,32.0,31.0,33.0,34.0,35.0,36.0,35.0,35.0,32.0,22.0,27.0,22.0,23.0,24.0,22,0,0,0,1,0,0,0,22,31,1
29.0,29.0,19.0,21.0,28.0,27.0,31.0,32.0,1.0,35.0,25.0,19.0,31.0,32.0,31.0,33.0,34.0,35.0,36.0,35.0,35.0,32.0,22.0,27.0,22.0,23.0,24.0,22.0,35,0,1,0,0,0,0,0,35,1,2
29.0,19.0,21.0,28.0,27.0,31.0,32.0,1.0,35.0,25.0,19.0,31.0,32.0,31.0,33.0,34.0,35.0,36.0,35.0,35.0,32.0,22.0,27.0,22.0,23.0,24.0,22.0,35.0,38,0,0,0,0,0,1,0,38,2,2
19.0,21.0,28.0,27.0,31.0,32.0,1.0,35.0,25.0,19.0,31.0,32.0,31.0,33.0,34.0,35.0,36.0,35.0,35.0,32.0,22.0,27.0,22.0,23.0,24.0,22.0,35.0,38.0,0,0,0,0,0,0,0,1,0,3,2
21.0,28.0,27.0,31.0,32.0,1.0,35.0,25.0,19.0,31.0,32.0,31.0,33.0,34.0,35.0,36.0,35.0,35.0,32.0,22.0,27.0,22.0,23.0,24.0,22.0,35.0,38.0,0.0,31,0,0,0,0,1,0,0,31,4,2
28.0,27.0,31.0,32.0,1.0,35.0,25.0,19.0,31.0,32.0,31.0,33.0,34.0,35.0,36.0,35.0,35.0,32.0,22.0,27.0,22.0,23.0,24.0,22.0,35.0,38.0,0.0,31.0,36,1,0,0,0,0,0,0,36,5,2
27.0,31.0,32.0,1.0,35.0,25.0,19.0,31.0,32.0,31.0,33.0,34.0,35.0,36.0,35.0,35.0,32.0,22.0,27.0,22.0,23.0,24.0,22.0,35.0,38.0,0.0,31.0,36.0,32,0,0,1,0,0,0,0,32,6,2
31.0,32.0,1.0,35.0,25.0,19.0,31.0,32.0,31.0,33.0,34.0,35.0,36.0,35.0,35.0,32.0,22.0,27.0,22.0,23.0,24.0,22.0,35.0,38.0,0.0,31.0,36.0,32.0,33,0,0,0,1,0,0,0,33,7,2
32.0,1.0,35.0,25.0,19.0,31.0,32.0,31.0,33.0,34.0,35.0,36.0,35.0,35.0,32.0,22.0,27.0,22.0,23.0,24.0,22.0,35.0,38.0,0.0,31.0,36.0,32.0,33.0,39,0,1,0,0,0,0,0,39,8,2
1.0,35.0,25.0,19.0,31.0,32.0,31.0,33.0,34.0,35.0,36.0,35.0,35.0,32.0,22.0,27.0,22.0,23.0,24.0,22.0,35.0,38.0,0.0,31.0,36.0,32.0,33.0,39.0,34,0,0,0,0,0,1,0,34,9,2
35.0,25.0,19.0,31.0,32.0,31.0,33.0,34.0,35.0,36.0,35.0,35.0,32.0,22.0,27.0,22.0,23.0,24.0,22.0,35.0,38.0,0.0,31.0,36.0,32.0,33.0,39.0,34.0,31,0,0,0,0,0,0,1,31,10,2
