lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
28.0,34.0,25.0,28.0,54.0,55.0,54.0,28.0,11.0,28.0,48.0,15.0,40.0,54.0,21.0,23.0,12.0,27.0,55.0,63.0,45.0,25.0,34.0,63.0,59.0,43.0,60.0,34.0,50,0,0,1,0,0,0,0,50,30,1
34.0,25.0,28.0,54.0,55.0,54.0,28.0,11.0,28.0,48.0,15.0,40.0,54.0,21.0,23.0,12.0,27.0,55.0,63.0,45.0,25.0,34.0,63.0,59.0,43.0,60.0,34.0,50.0,50,0,0,0,1,0,0,0,50,31,1
25.0,28.0,54.0,55.0,54.0,28.0,11.0,28.0,48.0,15.0,40.0,54.0,21.0,23.0,12.0,27.0,55.0,63.0,45.0,25.0,34.0,63.0,59.0,43.0,60.0,34.0,50.0,50.0,46,0,1,0,0,0,0,0,46,1,2
28.0,54.0,55.0,54.0,28.0,11.0,28.0,48.0,15.0,40.0,54.0,21.0,23.0,12.0,27.0,55.0,63.0,45.0,25.0,34.0,63.0,59.0,43.0,60.0,34.0,50.0,50.0,46.0,54,0,0,0,0,0,1,0,54,2,2
54.0,55.0,54.0,28.0,11.0,28.0,48.0,15.0,40.0,54.0,21.0,23.0,12.0,27.0,55.0,63.0,45.0,25.0,34.0,63.0,59.0,43.0,60.0,34.0,50.0,50.0,46.0,54.0,22,0,0,0,0,0,0,1,22,3,2
55.0,54.0,28.0,11.0,28.0,48.0,15.0,40.0,54.0,21.0,23.0,12.0,27.0,55.0,63.0,45.0,25.0,34.0,63.0,59.0,43.0,60.0,34.0,50.0,50.0,46.0,54.0,22.0,30,0,0,0,0,1,0,0,30,4,2
54.0,28.0,11.0,28.0,48.0,15.0,40.0,54.0,21.0,23.0,12.0,27.0,55.0,63.0,45.0,25.0,34.0,63.0,59.0,43.0,60.0,34.0,50.0,50.0,46.0,54.0,22.0,30.0,24,1,0,0,0,0,0,0,24,5,2
28.0,11.0,28.0,48.0,15.0,40.0,54.0,21.0,23.0,12.0,27.0,55.0,63.0,45.0,25.0,34.0,63.0,59.0,43.0,60.0,34.0,50.0,50.0,46.0,54.0,22.0,30.0,24.0,45,0,0,1,0,0,0,0,45,6,2
11.0,28.0,48.0,15.0,40.0,54.0,21.0,23.0,12.0,27.0,55.0,63.0,45.0,25.0,34.0,63.0,59.0,43.0,60.0,34.0,50.0,50.0,46.0,54.0,22.0,30.0,24.0,45.0,42,0,0,0,1,0,0,0,42,7,2
28.0,48.0,15.0,40.0,54.0,21.0,23.0,12.0,27.0,55.0,63.0,45.0,25.0,34.0,63.0,59.0,43.0,60.0,34.0,50.0,50.0,46.0,54.0,22.0,30.0,24.0,45.0,42.0,54,0,1,0,0,0,0,0,54,8,2
48.0,15.0,40.0,54.0,21.0,23.0,12.0,27.0,55.0,63.0,45.0,25.0,34.0,63.0,59.0,43.0,60.0,34.0,50.0,50.0,46.0,54.0,22.0,30.0,24.0,45.0,42.0,54.0,14,0,0,0,0,0,1,0,14,9,2
15.0,40.0,54.0,21.0,23.0,12.0,27.0,55.0,63.0,45.0,25.0,34.0,63.0,59.0,43.0,60.0,34.0,50.0,50.0,46.0,54.0,22.0,30.0,24.0,45.0,42.0,54.0,14.0,29,0,0,0,0,0,0,1,29,10,2
40.0,54.0,21.0,23.0,12.0,27.0,55.0,63.0,45.0,25.0,34.0,63.0,59.0,43.0,60.0,34.0,50.0,50.0,46.0,54.0,22.0,30.0,24.0,45.0,42.0,54.0,14.0,29.0,33,0,0,0,0,1,0,0,33,11,2
54.0,21.0,23.0,12.0,27.0,55.0,63.0,45.0,25.0,34.0,63.0,59.0,43.0,60.0,34.0,50.0,50.0,46.0,54.0,22.0,30.0,24.0,45.0,42.0,54.0,14.0,29.0,33.0,40,1,0,0,0,0,0,0,40,12,2
21.0,23.0,12.0,27.0,55.0,63.0,45.0,25.0,34.0,63.0,59.0,43.0,60.0,34.0,50.0,50.0,46.0,54.0,22.0,30.0,24.0,45.0,42.0,54.0,14.0,29.0,33.0,40.0,24,0,0,1,0,0,0,0,24,13,2
23.0,12.0,27.0,55.0,63.0,45.0,25.0,34.0,63.0,59.0,43.0,60.0,34.0,50.0,50.0,46.0,54.0,22.0,30.0,24.0,45.0,42.0,54.0,14.0,29.0,33.0,40.0,24.0,25,0,0,0,1,0,0,0,25,14,2
12.0,27.0,55.0,63.0,45.0,25.0,34.0,63.0,59.0,43.0,60.0,34.0,50.0,50.0,46.0,54.0,22.0,30.0,24.0,45.0,42.0,54.0,14.0,29.0,33.0,40.0,24.0,25.0,43,0,1,0,0,0,0,0,43,15,2
27.0,55.0,63.0,45.0,25.0,34.0,63.0,59.0,43.0,60.0,34.0,50.0,50.0,46.0,54.0,22.0,30.0,24.0,45.0,42.0,54.0,14.0,29.0,33.0,40.0,24.0,25.0,43.0,26,0,0,0,0,0,1,0,26,16,2
55.0,63.0,45.0,25.0,34.0,63.0,59.0,43.0,60.0,34.0,50.0,50.0,46.0,54.0,22.0,30.0,24.0,45.0,42.0,54.0,14.0,29.0,33.0,40.0,24.0,25.0,43.0,26.0,29,0,0,0,0,0,0,1,29,17,2
63.0,45.0,25.0,34.0,63.0,59.0,43.0,60.0,34.0,50.0,50.0,46.0,54.0,22.0,30.0,24.0,45.0,42.0,54.0,14.0,29.0,33.0,40.0,24.0,25.0,43.0,26.0,29.0,40,0,0,0,0,1,0,0,40,18,2
45.0,25.0,34.0,63.0,59.0,43.0,60.0,34.0,50.0,50.0,46.0,54.0,22.0,30.0,24.0,45.0,42.0,54.0,14.0,29.0,33.0,40.0,24.0,25.0,43.0,26.0,29.0,40.0,57,1,0,0,0,0,0,0,57,19,2
25.0,34.0,63.0,59.0,43.0,60.0,34.0,50.0,50.0,46.0,54.0,22.0,30.0,24.0,45.0,42.0,54.0,14.0,29.0,33.0,40.0,24.0,25.0,43.0,26.0,29.0,40.0,57.0,69,0,0,1,0,0,0,0,69,20,2
